i've always been a kevin kline fan , silverado , fish called wanda , pirates of penzance , and even his hamlet on pbs' great performances . 	Translation	Positive	Negative	EmotionRationale
kline spends most of the first two-thirds of the film frantically trying to convince everyone that he isn't . 	kline spends most of the first two-thirds of the film frantically trying to convince everyone that he isn't .	1	-2	 kline[0] spends[0] most[0] of[0] the[0] first[0] two[0] thirds[0] of[0] the[0] film[0] frantically[-1] trying[0] to[0] convince[0] everyone[0] that[0] he[0] isn't[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the whole town begins to examine every detail of his life and begins to identifying all those things that confirm his sexual preference . 	the whole town begins to examine every detail of his life and begins to identifying all those things that confirm his sexual preference .	1	-1	 the[0] whole[0] town[0] begins[0] to[0] examine[0] every[0] detail[0] of[0] his[0] life[0] and[0] begins[0] to[0] identifying[0] all[0] those[0] things[0] that[0] confirm[0] his[0] sexual[0] preference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his closest friends don't help matters , bringing nothing but barbara streisand laserdiscs to his stag party . 	his closest friends don't help matters , bringing nothing but barbara streisand laserdiscs to his stag party .	2	-1	 his[0] closest[0] friends[1] don't[0] help[0] matters[0] bringing[0] nothing[0] but[0] barbara[0] streisand[0] laserdiscs[0] to[0] his[0] stag[0] party[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are some genuinely hilarous moments , one involving a tape geared towards helping men assert their masculinity . 	there are some genuinely hilarous moments , one involving a tape geared towards helping men assert their masculinity .	1	-1	 there[0] are[0] some[0] genuinely[0] hilarous[0] moments[0] one[0] involving[0] a[0] tape[0] geared[0] towards[0] helping[0] men[0] assert[0] their[0] masculinity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kline is hounded by a gay reporter played by tom selleck , who waxes poetic on the benefits of coming out , while at the same time doing his best to exploit the situation for his own sleazy tabloid machinations . 	kline is hounded by a gay reporter played by tom selleck , who waxes poetic on the benefits of coming out , while at the same time doing his best to exploit the situation for his own sleazy tabloid machinations .	2	-3	 kline[0] is[0] hounded[0] by[0] a[0] gay[-1] reporter[0] played[0] by[0] tom[0] selleck[0] who[0] waxes[0] poetic[0] on[0] the[0] benefits[0] of[0] coming[0] out[0] while[0] at[0] the[0] same[0] time[0] doing[0] his[0] best[1] to[0] exploit[0] the[0] situation[0] for[0] his[0] own[0] sleazy[-2] tabloid[0] machinations[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie moves along fine and slowly builds to the climax of the wedding . 	the movie moves along fine and slowly builds to the climax of the wedding .	3	-1	 the[0] movie[0] moves[0] along[0] fine[2] and[0] slowly[0] builds[0] to[0] the[0] climax[0] of[0] the[0] wedding[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kline stands at the altar and is asked to take his vows . . . 	kline stands at the altar and is asked to take his vows .<br> .<br> .	1	-1	 kline[0] stands[0] at[0] the[0] altar[0] and[0] is[0] asked[0] to[0] take[0] his[0] vows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you want to be surprised , don't read , i am going to reveal the ending . 	if you want to be surprised , don't read , i am going to reveal the ending .	1	-1	 if[0] you[0] want[0] to[0] be[0] surprised[0] don't[0] read[0] i[0] am[0] going[0] to[0] reveal[0] the[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . . . instead of saying " i do " in front of his parents and most of the town , and even some cameras , he says " i'm gay . " 	 .<br> .<br> .<br> instead of saying " i do " in front of his parents and most of the town , and even some cameras , he says " i'm gay .<br> "	1	-2	 instead[0] of[0] saying[0] i[0] do[0] in[0] front[0] of[0] his[0] parents[0] and[0] most[0] of[0] the[0] town[0] and[0] even[0] some[0] cameras[0] he[0] says[0] i'm[0] gay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is where the movie , in my opinion falls apart . 	this is where the movie , in my opinion falls apart .	1	-1	 this[0] is[0] where[0] the[0] movie[0] in[0] my[0] opinion[0] falls[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the humor in the film had come from kline's insistence that he was straight , while at the same time , loving poetry and being a senstivie guy , dressing well , and occaisionally acting prissy . 	most of the humor in the film had come from kline's insistence that he was straight , while at the same time , loving poetry and being a senstivie guy , dressing well , and occaisionally acting prissy .	4	-1	 most[0] of[0] the[0] humor[2] in[0] the[0] film[0] had[0] come[0] from[0] kline's[0] insistence[0] that[0] he[0] was[0] straight[0] while[0] at[0] the[0] same[0] time[0] loving[3] poetry[0] and[0] being[0] a[0] senstivie[0] guy[0] dressing[0] well[0] and[0] occaisionally[0] acting[0] prissy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it reminded me of the " effeminate heterosexual " sketch from saturday night live . 	it reminded me of the " effeminate heterosexual " sketch from saturday night live .	1	-1	 it[0] reminded[0] me[0] of[0] the[0] effeminate[0] heterosexual[0] sketch[0] from[0] saturday[0] night[0] live[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was funny , it was sustainably funny , and kline's performance made it doubly so . 	it was funny , it was sustainably funny , and kline's performance made it doubly so .	2	-1	 it[0] was[0] funny[1] it[0] was[0] sustainably[0] funny[1] and[0] kline's[0] performance[0] made[0] it[0] doubly[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , after the wedding , the film drags on . 	however , after the wedding , the film drags on .	1	-1	 however[0] after[0] the[0] wedding[0] the[0] film[0] drags[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they should have attempted to come to a quick conclusion , but it then gets into the serious side of what he's done . 	they should have attempted to come to a quick conclusion , but it then gets into the serious side of what he's done .	1	-2	 they[0] should[0] have[0] attempted[0] to[0] come[0] to[0] a[0] quick[0] conclusion[0] but[0] it[0] then[0] gets[0] into[0] the[0] serious[-1] side[0] of[0] what[0] he's[0] done[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he reconciles with his parents and his friends , some of which had turned on him . 	he reconciles with his parents and his friends , some of which had turned on him .	2	-1	 he[0] reconciles[0] with[0] his[0] parents[0] and[0] his[0] friends[1] some[0] of[0] which[0] had[0] turned[0] on[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are several scenes which seemed like a waste of time , the scene with his mother and her friends , which was hilarious , seemed pointless , and the scene with tom selleck in the bar with joan seemed pointless . 	there are several scenes which seemed like a waste of time , the scene with his mother and her friends , which was hilarious , seemed pointless , and the scene with tom selleck in the bar with joan seemed pointless .	3	-2	 there[0] are[0] several[0] scenes[0] which[0] seemed[0] like[1] a[0] waste[-1] of[0] time[0] the[0] scene[0] with[0] his[0] mother[0] and[0] her[0] friends[1] which[0] was[0] hilarious[2] seemed[0] pointless[-1] and[0] the[0] scene[0] with[0] tom[0] selleck[0] in[0] the[0] bar[0] with[0] joan[0] seemed[0] pointless[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
finally , even though i am not catholic , i found the scene with the priest to be condescending . 	finally , even though i am not catholic , i found the scene with the priest to be condescending .	1	-3	 finally[0] even[0] though[0] i[0] am[0] not[0] catholic[0] i[0] found[0] the[0] scene[0] with[0] the[0] priest[0] to[0] be[0] condescending[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the preist cannot believe that a man was engaged for three years and had not consumated the relationship , proclaiming to brackett in the third person , " he's gay . " 	the preist cannot believe that a man was engaged for three years and had not consumated the relationship , proclaiming to bracket in the third person , " he's gay .<br> "	1	-2	 the[0] preist[0] cannot[0] believe[0] that[0] a[0] man[0] was[0] engaged[0] for[0] three[0] years[0] and[0] had[0] not[0] consumated[0] the[0] relationship[0] proclaiming[0] to[0] brackett/bracket[0] in[0] the[0] third[0] person[0] he's[0] gay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it got a chuckle from the audience , but i was distracted by it , and began to tire of the film . 	it got a chuckle from the audience , but i was distracted by it , and began to tire of the film .	3	-2	 it[0] got[0] a[0] chuckle[2] from[0] the[0] audience[0] but[0] i[0] was[0] distracted[-1] by[0] it[0] and[0] began[0] to[0] tire[-1] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
by the time the wedding had come and gone , i found myself hoping it would be over soon . 	by the time the wedding had come and gone , i found myself hoping it would be over soon .	2	-1	 by[0] the[0] time[0] the[0] wedding[0] had[0] come[0] and[0] gone[0] i[0] found[0] myself[0] hoping[1] it[0] would[0] be[0] over[0] soon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( much like this review you are saying ) 	 ( much like this review you are saying )	2	-1	 much[0] like[1] this[0] review[0] you[0] are[0] saying[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overall , if i have to quantify it , i say , rising action gets * * * * and climax and falling action gets . 	overall , if i have to quantify it , i say , rising action gets * * * * and climax and falling action gets .	1	-1	 overall[0] if[0] i[0] have[0] to[0] quantify[0] it[0] i[0] say[0] rising[0] action[0] gets[0] and[0] climax[0] and[0] falling[0] action[0] gets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
see it in economy time . 	see it in economy time .	1	-1	 see[0] it[0] in[0] economy[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
