i read the new yorker magazine and i enjoy some of their really in-depth articles about some incident . 	Translation	Positive	Negative	EmotionRationale
the tide turned when a former vice-president of one of the companies was convinced by the cbs 60 minutes news team to tell the public how much the tobacco companies really knew about the health effects of smoking . 	the tide turned when a former vice-president of one of the companies was convinced by the cbs 60 minutes news team to tell the public how much the tobacco companies really knew about the health effects of smoking .	1	-2	 the[0] tide[0] turned[0] when[0] a[0] former[0] vice[-1] president[0] of[0] one[0] of[0] the[0] companies[0] was[0] convinced[0] by[0] the[0] cbs[0] 60[0] minutes[0] news[0] team[0] to[0] tell[0] the[0] public[0] how[0] much[0] the[0] tobacco[0] companies[0] really[0] knew[0] about[0] the[0] health[0] effects[0] of[0] smoking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the resulting pressure to stop the story created a small civil war at cbs . 	the resulting pressure to stop the story created a small civil war at cbs .	1	-3	 the[0] resulting[0] pressure[-1] to[0] stop[0] the[0] story[0] created[0] a[0] small[0] civil[0] war[-2] at[0] cbs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
who were the major people involved , what were their motives , how was the story almost killed , how did it get aired anyway ? 	who were the major people involved , what were their motives , how was the story almost killed , how did it get aired anyway ?	1	-4	 who[0] were[0] the[0] major[0] people[0] involved[0] what[0] were[0] their[0] motives[0] how[0] was[0] the[0] story[0] almost[0] killed[-3] how[0] did[0] it[0] get[0] aired[0] anyway[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that is the story covered in surprising detail by the insider . 	that is the story covered in surprising detail by the insider .	1	-1	 that[0] is[0] the[0] story[0] covered[0] in[0] surprising[0] detail[0] by[0] the[0] insider[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this all could have been enthralling , but it is not the sort of thing that a stylist like michael mann would be likely to do well . 	this all could have been enthralling , but it is not the sort of thing that a stylist like michael man would be likely to do well .	2	-1	 this[0] all[0] could[0] have[0] been[0] enthralling[0] but[0] it[0] is[0] not[0] the[0] sort[0] of[0] thing[0] that[0] a[0] stylist[0] like[1] michael[0] mann/man[0] would[0] be[0] likely[0] to[0] do[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and in the end , he failed . 	and in the end , he failed .	1	-3	 and[0] in[0] the[0] end[0] he[0] failed[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to make a long story short , the film needed a director who knew how to make a long story short . 	to make a long story short , the film needed a director who knew how to make a long story short .	1	-1	 to[0] make[0] a[0] long[0] story[0] short[0] the[0] film[0] needed[0] a[0] director[0] who[0] knew[0] how[0] to[0] make[0] a[0] long[0] story[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with the cbs 60 minutes team in iran with the assignment to interview a terrorist . 	the film opens with the cbs 60 minutes team in iran with the assignment to interview a terrorist .	1	-3	 the[0] film[0] opens[0] with[0] the[0] cbs[0] 60[0] minutes[0] team[0] in[0] iran[0] with[0] the[0] assignment[0] to[0] interview[0] a[0] terrorist[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we get a taste for their personal style and how they get the upper hand . 	we get a taste for their personal style and how they get the upper hand .	1	-1	 we[0] get[0] a[0] taste[0] for[0] their[0] personal[0] style[0] and[0] how[0] they[0] get[0] the[0] upper[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they go from being one newsman blindfolded at the hands of the terrorists to the actual interview with mike wallace ( played by christopher plummer ) . 	they go from being one newsman blindfolded at the hands of the terrorists to the actual interview with mike wallace ( played by christopher plummer ) .	1	-3	 they[0] go[0] from[0] being[0] one[0] newsman[0] blindfolded[-1] at[0] the[0] hands[0] of[0] the[0] terrorists[-2] to[0] the[0] actual[0] interview[0] with[0] mike[0] wallace[0] played[0] by[0] christopher[0] plummer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there the news team under producer lowell bergman ( al pacino ) are ordering around the terrorists and getting away with it . 	there the news team under producer lowell bergman ( al pacino ) are ordering around the terrorists and getting away with it .	1	-3	 there[0] the[0] news[0] team[0] under[0] producer[0] lowell[-1] bergman[0] al[0] pacino[0] are[0] ordering[0] around[0] the[0] terrorists[-2] and[0] getting[0] away[0] with[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this seems to have nothing to do with the main line of the story , but later when the tobacco industry is so much harder to manipulate than committed terrorists , we have a wry irony on who really has clout in the world . 	this seems to have nothing to do with the main line of the story , but later when the tobacco industry is so much harder to manipulate than committed terrorists , we have a wry irony on who really has clout in the world .	1	-3	 this[0] seems[0] to[0] have[0] nothing[0] to[0] do[0] with[0] the[0] main[0] line[0] of[0] the[0] story[0] but[0] later[0] when[0] the[0] tobacco[0] industry[0] is[0] so[0] much[0] harder[0] to[0] manipulate[-1] than[0] committed[0] terrorists[-2] we[0] have[0] a[0] wry[0] irony[-1] on[0] who[0] really[0] has[0] clout[0] in[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
terrorists can grab the headlines , but the tobacco companies have the real position of power . 	terrorists can grab the headlines , but the tobacco companies have the real position of power .	1	-3	 terrorists[-2] can[0] grab[-1] the[0] headlines[0] but[0] the[0] tobacco[0] companies[0] have[0] the[0] real[0] position[0] of[0] power[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
incongruously intercut with the iran interview sequence we see jeffrey wigand ( russell crowe ) dejectedly returning from work to his home . 	incongruously intercut with the iran interview sequence we see jeffrey wigand ( russell crowe ) dejectedly returning from work to his home .	1	-2	 incongruously[0] intercut[0] with[0] the[0] iran[0] interview[0] sequence[0] we[0] see[0] jeffrey[0] wigand[0] russell[0] crowe[0] dejectedly[-1] returning[0] from[0] work[0] to[0] his[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we discover that he has been fired and his career brought to a complete halt unexpectedly . 	we discover that he has been fired and his career brought to a complete halt unexpectedly .	1	-3	 we[0] discover[0] that[0] he[0] has[0] been[0] fired[-2] and[0] his[0] career[0] brought[0] to[0] a[0] complete[0] halt[0] unexpectedly[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he had been a very profitably rewarded vice-president in charge or research and development at brown and williams tobacco ; now he was unemployed and needed money to support his family . 	he had been a very profitably rewarded vice-president in charge or research and development at brown and williams tobacco ; now he was unemployed and needed money to support his family .	3	-2	 he[0] had[0] been[0] a[0] very[0] profitably[1][1 LastWordBoosterStrength] rewarded[1] vice[-1] president[0] in[0] charge[-1] or[0] research[0] and[0] development[0] at[0] brown[0] and[0] williams[0] tobacco[0] now[0] he[0] was[0] unemployed[-1] and[0] needed[0] money[0] to[0] support[1] his[0] family[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rather than support him his wife liane ( diane venora ) demands of him what are they supposed to do for income . 	rather than support him his wife liane ( diane venora ) demands of him what are they supposed to do for income .	2	-1	 rather[0] than[0] support[1] him[0] his[0] wife[0] liane[0] diane[0] venora[0] demands[0] of[0] him[0] what[0] are[0] they[0] supposed[0] to[0] do[0] for[0] income[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile the 60 minutes team trying to do a story on fires started by cigarettes have obtained some data they do not understand . 	meanwhile the 60 minutes team trying to do a story on fires started by cigarettes have obtained some data they do not understand .	1	-1	 meanwhile[0] the[0] 60[0] minutes[0] team[0] trying[0] to[0] do[0] a[0] story[0] on[0] fires[0] started[0] by[0] cigarettes[0] have[0] obtained[0] some[0] data[0] they[0] do[0] not[0] understand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they offer wigand  12 , 000 just to interpret the data . 	they offer wigand  12 , 00 just to interpret the data .	1	-1	 they[0] offer[0] wigand[0] 12[0] 000/00[0] just[0] to[0] interpret[0] the[0] data[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wigand's severance agreement swears him to secrecy about anything he knows about tobacco dealings , but he is reluctantly he stretches the severance terms . 	wigand's severance agreement swears him to secrecy about anything he knows about tobacco dealings , but he is reluctantly he stretches the severance terms .	1	-2	 wigand's[0] severance[0] agreement[0] swears[0] him[0] to[0] secrecy[0] about[0] anything[0] he[0] knows[0] about[0] tobacco[0] dealings[0] but[0] he[0] is[0] reluctantly[-1] he[0] stretches[0] the[0] severance[0] terms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is willing to read some documents from another tobacco company and interpret them for bergman . 	he is willing to read some documents from another tobacco company and interpret them for bergman .	1	-1	 he[0] is[0] willing[0] to[0] read[0] some[0] documents[0] from[0] another[0] tobacco[0] company[0] and[0] interpret[0] them[0] for[0] bergman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in spite of the secrecy , wigand's former employers seem immediately to know wigand is talking to 60 minutes and he is warned off by former boss thomas sandefur played michael gambon in an all too brief but deliciously sinister role . 	in spite of the secrecy , wigand's former employers seem immediately to know wigand is talking to 60 minutes and he is warned off by former boss thomas sandefur played michael gambon in an all too brief but deliciously sinister role .	3	-4	 in[0] spite[-3] of[0] the[0] secrecy[0] wigand's[0] former[0] employers[0] seem[0] immediately[0] to[0] know[0] wigand[0] is[0] talking[0] to[0] 60[0] minutes[0] and[0] he[0] is[0] warned[0] off[0] by[0] former[0] boss[0] thomas[0] sandefur[0] played[0] michael[0] gambon[0] in[0] an[0] all[0] too[0] brief[0] but[0] deliciously[2] sinister[-3] role[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and so the game begins . 	and so the game begins .	1	-1	 and[0] so[0] the[0] game[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wigand is irate at his negative treatment for what he still considered continued to be loyalty to his agreement and his former employer . 	wigand is irate at his negative treatment for what he still considered continued to be loyalty to his agreement and his former employer .	2	-2	 wigand[0] is[0] irate[0] at[0] his[0] negative[-1] treatment[0] for[0] what[0] he[0] still[0] considered[0] continued[0] to[0] be[0] loyalty[1] to[0] his[0] agreement[0] and[0] his[0] former[0] employer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile someone is playing very rough with wigand and his family . 	meanwhile someone is playing very rough with wigand and his family .	2	-3	 meanwhile[0] someone[0] is[0] playing[1] very[0] rough[-1][-1 LastWordBoosterStrength] with[0] wigand[0] and[0] his[0] family[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film examines wigand and the pressures placed on his family as they are caught between two powerful giants . 	the film examines wigand and the pressures placed on his family as they are caught between two powerful giants .	1	-2	 the[0] film[0] examines[0] wigand[0] and[0] the[0] pressures[-1] placed[0] on[0] his[0] family[0] as[0] they[0] are[0] caught[0] between[0] two[0] powerful[0] giants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wigand has always wanted to make tobacco safer and has natural sympathies with getting the story out . 	wigand has always wanted to make tobacco safer and has natural sympathies with getting the story out .	2	-1	 wigand[0] has[0] always[0] wanted[0] to[0] make[0] tobacco[0] safer[1] and[0] has[0] natural[0] sympathies[0] with[0] getting[0] the[0] story[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he and his family are assaulted psychologically and financially by the giant tobacco industry that had never lost a legal fight . 	he and his family are assaulted psychologically and financially by the giant tobacco industry that had never lost a legal fight .	1	-3	 he[0] and[0] his[0] family[0] are[0] assaulted[-2] psychologically[0] and[0] financially[0] by[0] the[0] giant[0] tobacco[0] industry[0] that[0] had[0] never[0] lost[0] a[0] legal[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
al pacino is given top billing but the wigand family is the core of the insider . 	al pacino is given top billing but the wigand family is the core of the insider .	1	-1	 al[0] pacino[0] is[0] given[0] top[0] billing[0] but[0] the[0] wigand[0] family[0] is[0] the[0] core[0] of[0] the[0] insider[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is told slowly and in just a bit too much meticulous detail . 	the story is told slowly and in just a bit too much meticulous detail .	1	-1	 the[0] story[0] is[0] told[0] slowly[0] and[0] in[0] just[0] a[0] bit[0] too[0] much[0] meticulous[0] detail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is 157 minutes and is an extremely demanding film for the audience . 	the film is 157 minutes and is an extremely demanding film for the audience .	1	-1	 the[0] film[0] is[0] 157[0] minutes[0] and[0] is[0] an[0] extremely[0] demanding[0] film[0] for[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the musical score by pieter bourke , lisa gerrard , and graeme revell is one of the worst in recent memory . 	the musical score by pieter bourke , lisa gerrard , and graeme revel is one of the worst in recent memory .	1	-3	 the[0] musical[0] score[0] by[0] pieter[0] bourke[0] lisa[0] gerrard[0] and[0] graeme[0] revell/revel[0] is[0] one[0] of[0] the[0] worst[-2] in[0] recent[0] memory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it puts ominous chords under some scenes and using voice in ways that become a distraction that gets in the way of the storytelling . 	it puts ominous chords under some scenes and using voice in ways that become a distraction that gets in the way of the storytelling .	1	-3	 it[0] puts[0] ominous[-2] chords[0] under[0] some[0] scenes[0] and[0] using[0] voice[0] in[0] ways[0] that[0] become[0] a[0] distraction[-1] that[0] gets[0] in[0] the[0] way[0] of[0] the[0] storytelling[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also disturbing is the casting of christopher plummer as mike wallace . 	also disturbing is the casting of christopher plummer as mike wallace .	1	-2	 also[0] disturbing[-1] is[0] the[0] casting[0] of[0] christopher[0] plummer[0] as[0] mike[0] wallace[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plummer and wallace are such different types and wallace is too well-known for even so good an actor as plummer to play him convincingly . 	plummer and wallace are such different types and wallace is too well-known for even so good an actor as plummer to play him convincingly .	2	-1	 plummer[0] and[0] wallace[0] are[0] such[0] different[0] types[0] and[0] wallace[0] is[0] too[0] well[0] known[0] for[0] even[0] so[0] good[1] an[0] actor[0] as[0] plummer[0] to[0] play[0] him[0] convincingly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film might have been a really engaging experience under another director's control . 	this film might have been a really engaging experience under another director's control .	1	-1	 this[0] film[0] might[0] have[0] been[0] a[0] really[0] engaging[0] experience[0] under[0] another[0] director's[0] control[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael mann was the wrong person to helm this film and the insider lacks intensity because of his style . 	michael man was the wrong person to helm this film and the insider lacks intensity because of his style .	1	-2	 michael[0] mann/man[0] was[0] the[0] wrong[-1] person[0] to[0] helm[0] this[0] film[0] and[0] the[0] insider[0] lacks[0] intensity[0] because[0] of[0] his[0] style[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i rate it a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale . 	i rate it a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale .	1	-1	 i[0] rate[0] it[0] a[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
