there is a scene early in jakob the liar that hints at how much better it could have been . 	Translation	Positive	Negative	EmotionRationale
this promising story of an ordinary person doing the extraordinary is burdened from the outset by casting : the " ordinary person " in question , jakob heym , is played by robin williams . 	this promising story of an ordinary person doing the extraordinary is burdened from the outset by casting : the " ordinary person " in question , jakob heym , is played by robin williams .	2	-2	 this[0] promising[1] story[0] of[0] an[0] ordinary[0] person[0] doing[0] the[0] extraordinary[0] is[0] burdened[-1] from[0] the[0] outset[0] by[0] casting[0] the[0] ordinary[0] person[0] in[0] question[0] jakob[0] heym[0] is[0] played[0] by[0] robin[0] williams[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i am of the depressing opinion that williams is growing less assured as an actor in his " serious " roles with every passing year . 	i am of the depressing opinion that williams is growing less assured as an actor in his " serious " roles with every passing year .	1	-4	 i[0] am[0] of[0] the[0] depressing[-3] opinion[0] that[0] williams[0] is[0] growing[0] less[0] assured[0] as[0] an[0] actor[0] in[0] his[0] serious[-1] roles[0] with[0] every[0] passing[0] year[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
compare his dramatic scenes in the world according to garp and moscow on the hudson with what dreams may come or patch adams , and see how much more mannered he has become ( or , at the very least , how much less sensible at choosing material ) . 	compare his dramatic scenes in the world according to garp and moscow on the hudson with what dreams may come or patch adams , and see how much more mannered he has become ( or , at the very least , how much less sensible at choosing material ) .	1	-1	 compare[0] his[0] dramatic[0] scenes[0] in[0] the[0] world[0] according[0] to[0] garp[0] and[0] moscow[0] on[0] the[0] hudson[0] with[0] what[0] dreams[0] may[0] come[0] or[0] patch[0] adams[0] and[0] see[0] how[0] much[0] more[0] mannered[0] he[0] has[0] become[0] or[0] at[0] the[0] very[0] least[0] how[0] much[0] less[0] sensible[0] at[0] choosing[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jakob the liar depends on the notion that jakob has to struggle to craft his fictions , but williams always looks like he's struggling _not_ to craft them . 	jakob the liar depends on the notion that jakob has to struggle to craft his fictions , but williams always looks like he's struggling _not_ to craft them .	2	-3	 jakob[0] the[0] liar[-2] depends[0] on[0] the[0] notion[0] that[0] jakob[0] has[0] to[0] struggle[-1] to[0] craft[0] his[0] fictions[0] but[0] williams[0] always[0] looks[0] like[1] he's[0] struggling[-1] _not_[0] to[0] craft[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when he improvises a radio address by winston churchill for ailing 10-year-old orphan lina ( hannah taylor gordon ) , he seems relieved that he can finally get wacky . 	when he improvises a radio address by winston churchill for ailing 10-year-old orphan lina ( hannah taylor gordon ) , he seems relieved that he can finally get wacky .	2	-3	 when[0] he[0] improvises[0] a[0] radio[0] address[0] by[0] winston[0] churchill[0] for[0] ailing[-2] 10[0] year[0] old[0] orphan[-1] lina[0] hannah[0] taylor[0] gordon[0] he[0] seems[0] relieved[1] that[0] he[0] can[0] finally[0] get[0] wacky[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
oh yes , and then there's that little girl . 	oh yes , and then there's that little girl .	1	-1	 oh[0] yes[0] and[0] then[0] there's[0] that[0] little[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some viewers will undoubtedly consider the hero's fanciful stories for a young charge too reminiscent of life is beautiful , but those scenes aren't problematic because they're familiar . 	some viewers will undoubtedly consider the hero's fanciful stories for a young charge too reminiscent of life is beautiful , but those scenes aren't problematic because they're familiar .	3	-2	 some[0] viewers[0] will[0] undoubtedly[0] consider[0] the[0] hero's[2] fanciful[0] stories[0] for[0] a[0] young[0] charge[-1] too[0] reminiscent[0] of[0] life[0] is[0] beautiful[2] but[0] those[0] scenes[0] aren't[0] problematic[-1][NegatedDueToPreviousWord] because[0] they're[0] familiar[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they're problematic because they're jarring and distracting , introducing a cutesy relationship into a film that shouldn't have been about cutesy relationships . 	they're problematic because they're jarring and distracting , introducing a cutesy relationship into a film that shouldn't have been about cutesy relationships .	2	-2	 they're[0] problematic[-1] because[0] they're[0] jarring[0] and[0] distracting[-1] introducing[0] a[0] cutesy[1] relationship[0] into[0] a[0] film[0] that[0] shouldn't[0] have[0] been[0] about[0] cutesy[1] relationships[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jakob's character arc may be about his willingness to act for the benefit of others , but there are plenty of others without poor little lina . 	jakob's character arc may be about his willingness to act for the benefit of others , but there are plenty of others without poor little lina .	1	-2	 jakob's[0] character[0] arc[0] may[0] be[0] about[0] his[0] willingness[0] to[0] act[0] for[0] the[0] benefit[0] of[0] others[0] but[0] there[0] are[0] plenty[0] of[0] others[0] without[0] poor[-1] little[0] lina[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every scene with her feels contrived , pulling jakob the liar away from its central story of hope coming to a previously hopeless people . 	every scene with her feels contrived , pulling jakob the liar away from its central story of hope coming to a previously hopeless people .	3	-4	 every[0] scene[0] with[0] her[0] feels[0] contrived[0] pulling[0] jakob[0] the[0] liar[-2] away[0] from[0] its[0] central[0] story[0] of[0] hope[2] coming[0] to[0] a[0] previously[0] hopeless[-3] people[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it is a pleasant surprise to find that jakob the liar is a much grittier production than you might expect from a hollywood-ized holocaust , combining the weighty subject matter with dark humor in some effective ways . 	it is a pleasant surprise to find that jakob the liar is a much grittier production than you might expect from a hollywood-ized holocaust , combining the weighty subject matter with dark humor in some effective ways .	3	-3	 it[0] is[0] a[0] pleasant[2] surprise[0] to[0] find[0] that[0] jakob[0] the[0] liar[-2] is[0] a[0] much[0] grittier[0] production[0] than[0] you[0] might[0] expect[0] from[0] a[0] hollywood[0] ized[0] holocaust[0] combining[0] the[0] weighty[0] subject[0] matter[0] with[0] dark[0] humor[2] in[0] some[0] effective[0] ways[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
director peter kassovitz , working from jurek becker's novel , crafts some nice scenes between jakob and the other townspeople , and draws solid performances from armin mueller-stahl ( as a once-revered doctor ) and bob balaban ( as a barber drifting into depression ) . 	director peter kassovitz , working from jurek becker's novel , crafts some nice scenes between jakob and the other townspeople , and draws solid performances from armin mueller-stahl ( as a once-revered doctor ) and bob balaban ( as a barber drifting into depression ) .	1	-4	 director[0] peter[0] kassovitz[0] working[0] from[0] jurek[0] becker's[0] novel[0] crafts[0] some[0] nice[1][-1 LastWordBoosterStrength] scenes[0] between[0] jakob[0] and[0] the[0] other[0] townspeople[0] and[0] draws[0] solid[0] performances[0] from[0] armin[0] mueller[0] stahl[0] as[0] a[0] once[0] revered[0] doctor[0] and[0] bob[0] balaban[0] as[0] a[0] barber[0] drifting[0] into[0] depression[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are just too many things going on that prove distracting , whether it's the sketchy romanctic angle involving liev schreiber as an earnest former prizefighter , or williams' incongrous presence , or a sweet but utterly irrelevant little girl . 	there are just too many things going on that prove distracting , whether it's the sketchy romanctic angle involving liev schreiber as an earnest former prizefighter , or williams' incongrous presence , or a sweet but utterly irrelevant little girl .	4	-2	 there[0] are[0] just[0] too[0] many[0] things[0] going[0] on[0] that[0] prove[0] distracting[-1] whether[0] it's[0] the[0] sketchy[-1] romanctic[3] angle[0] involving[0] liev[0] schreiber[0] as[0] an[0] earnest[0] former[0] prizefighter[2] or[0] williams'[0] incongrous[0] presence[0] or[0] a[0] sweet[1] but[0] utterly[0] irrelevant[0] little[0] girl[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
jakob the liar deals with too delicate a subject for such fumbling , and has too compelling a central character to waste . 	jakob the liar deals with too delicate a subject for such fumbling , and has too compelling a central character to waste .	1	-3	 jakob[0] the[0] liar[-2] deals[0] with[0] too[0] delicate[0] a[0] subject[0] for[0] such[0] fumbling[0] and[0] has[0] too[0] compelling[0] a[0] central[0] character[0] to[0] waste[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and after one wonderful early scene , you can see the film wasted and fumbled away . 	and after one wonderful early scene , you can see the film wasted and fumbled away .	3	-2	 and[0] after[0] one[0] wonderful[2] early[0] scene[0] you[0] can[0] see[0] the[0] film[0] wasted[-1] and[0] fumbled[-1] away[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
