there's a scene early on in " jawbreaker " where a character utters the unintentionally prophetic line , " that is * so * not funny " . 	Translation	Positive	Negative	EmotionRationale
pam grier has totally wasted any credibility she might have gotten from her role in quentin tarantino's " jackie brown " . 	pam grier has totally wasted any credibility she might have gotten from her role in quentin tarantino's " jackie brown " .	1	-3	 pam[0] grier[0] has[0] totally[0] wasted[-1][-1 LastWordBoosterStrength] any[0] credibility[0] she[0] might[0] have[0] gotten[0] from[0] her[0] role[0] in[0] quentin[0] tarantino's[0] jackie[0] brown[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and rose mcgowan should just quit acting . 	and rose mcgowan should just quit acting .	1	-1	 and[0] rose[0] mcgowan[0] should[0] just[0] quit[-1][--1 LastWordBoosterStrength] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has no charisma , no presence , and no acting skills other than rolling her eyes and looking disaffected . 	she has no charisma , no presence , and no acting skills other than rolling her eyes and looking disaffected .	1	-1	 she[0] has[0] no[0] charisma[0] no[0] presence[0] and[0] no[0] acting[0] skills[0] other[0] than[0] rolling[0] her[0] eyes[0] and[0] looking[0] disaffected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mcgowan manages to be upstaged by her real-life boyfriend , rocker marilyn manson , whose fifteen second role here is far more interesting than anything any of the " real " actors are doing . 	mcgowan manages to be upstaged by her real-life boyfriend , rocker marilyn manson , whose fifteen second role here is far more interesting than anything any of the " real " actors are doing .	2	-1	 mcgowan[0] manages[0] to[0] be[0] upstaged[0] by[0] her[0] real[0] life[0] boyfriend[0] rocker[0] marilyn[0] manson[0] whose[0] fifteen[0] second[0] role[0] here[0] is[0] far[0] more[0] interesting[1] than[0] anything[0] any[0] of[0] the[0] real[0] actors[0] are[0] doing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
manson , sans trademark makeup & contact lenses , and with an obviously fake moustache , looks eerily like nicholas cage ; who woulda thunk it ? 	manson , sans trademark makeup & contact lenses , and with an obviously fake moustache , looks eerily like nicholas cage ; who woulda thunk it ?	2	-2	 manson[0] sans[0] trademark[0] makeup[0] &[0] contact[0] lenses[0] and[0] with[0] an[0] obviously[0] fake[-1] moustache[0] looks[0] eerily[0] like[1] nicholas[0] cage[0] who[0] woulda[0] thunk[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that crack about direction by committee wasn't merely a pithy sound-bite . 	that crack about direction by committee wasn't merely a pithy sound-bite .	1	-1	 that[0] crack[0] about[0] direction[0] by[0] committee[0] wasn't[0] merely[0] a[0] pithy[0] sound[0] bite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stylistically , thematically & narratively , " jawbreaker " is all over the map , varying wildly in tone & content from scene to scene . 	stylistically , thematically & narratively , " jawbreaker " is all over the map , varying wildly in tone & content from scene to scene .	1	-1	 stylistically[0] thematically[0] &[0] narratively[0] jawbreaker[0] is[0] all[0] over[0] the[0] map[0] varying[0] wildly[0] in[0] tone[0] &[0] content[0] from[0] scene[0] to[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though credited solely to writer/director darren stein , one gets the feeling that no two scenes here were actually guided by the same hands . 	though credited solely to writer/director darren stein , one gets the feeling that no two scenes here were actually guided by the same hands .	1	-1	 though[0] credited[0] solely[0] to[0] writer/director[0] darren[0] stein[0] one[0] gets[0] the[0] feeling[0] that[0] no[0] two[0] scenes[0] here[0] were[0] actually[0] guided[0] by[0] the[0] same[0] hands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if stein was indeed responsible for the whole of this atrocity , someone needs to get the man some drugs , pronto . 	if stein was indeed responsible for the whole of this atrocity , someone needs to get the man some drugs , pronto .	1	-1	 if[0] stein[0] was[0] indeed[0] responsible[0] for[0] the[0] whole[0] of[0] this[0] atrocity[0] someone[0] needs[0] to[0] get[0] the[0] man[0] some[0] drugs[0] pronto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
prozac , lithium , kava , ritalin , something , anything . 	prozac , lithium , kava , ritalin , something , anything .	1	-1	 prozac[0] lithium[0] kava[0] ritalin[0] something[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's quite obviously in desperate need of chemical help . 	he's quite obviously in desperate need of chemical help .	1	-3	 he's[0] quite[0] obviously[0] in[0] desperate[-2] need[0] of[0] chemical[0] help[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " jawbreaker " is a monumental waste of effort and resources , and quite likely one of the single worst films i've ever seen . 	 " jawbreaker " is a monumental waste of effort and resources , and quite likely one of the single worst films i've ever seen .	1	-3	 jawbreaker[0] is[0] a[0] monumental[0] waste[-1] of[0] effort[0] and[0] resources[0] and[0] quite[0] likely[0] one[0] of[0] the[0] single[0] worst[-2] films[0] i've[0] ever[0] seen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to call " jawbreaker " garbage would be to insult garbage . 	to call " jawbreaker " garbage would be to insult garbage .	1	-4	 to[0] call[0] jawbreaker[0] garbage[-2] would[0] be[0] to[0] insult[-2] garbage[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bad flicks for the rest of the year are safe ; i've already got my pick for worst film of '99 . 	bad flicks for the rest of the year are safe ; i've already got my pick for worst film of '99 .	2	-3	 bad[-1] flicks[0] for[0] the[0] rest[0] of[0] the[0] year[0] are[0] safe[1] i've[0] already[0] got[0] my[0] pick[0] for[0] worst[-2] film[0] of[0] '99[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " jawbreaker " runs approximately 90 minutes , though it feels longer than " titanic " , and is rated r for language , sexual situations and graphic violence . 	 " jawbreaker " runs approximately 90 minutes , though it feels longer than " titanic " , and is rated are for language , sexual situations and graphic violence .	1	-4	 jawbreaker[0] runs[0] approximately[0] 90[0] minutes[0] though[0] it[0] feels[0] longer[0] than[0] titanic[0] and[0] is[0] rated[0] r[0] for[0] language[0] sexual[0] situations[0] and[0] graphic[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not recommended for kids , teens , or anyone else . 	not recommended for kids , teens , or anyone else .	1	-1	 not[0] recommended[0] for[0] kids[0] teens[0] or[0] anyone[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
