capsule : the running gag pair of characters from all of kevin smith's films gets their own movie . 	Translation	Positive	Negative	EmotionRationale
the problem with this comedy team is that neither really pulls his weight to make the film funny . 	the problem with this comedy team is that neither really pulls his weight to make the film funny .	2	-2	 the[0] problem[-1] with[0] this[0] comedy[0] team[0] is[0] that[0] neither[0] really[0] pulls[0] his[0] weight[0] to[0] make[0] the[0] film[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
silent bob , being silent , can only contribute to the comedy by reacting with that very expressive face of his . 	silent bob , being silent , can only contribute to the comedy by reacting with that very expressive face of his .	1	-1	 silent[0] bob[0] being[0] silent[0] can[0] only[0] contribute[0] to[0] the[0] comedy[0] by[0] reacting[0] with[0] that[0] very[0] expressive[0] face[0] of[0] his[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this makes his piece of the comedy even less than a straight man like a dean martin or bud abbott would have . 	this makes his piece of the comedy even less than a straight man like a dean martin or bud abbot would have .	2	-1	 this[0] makes[0] his[0] piece[0] of[0] the[0] comedy[0] even[0] less[0] than[0] a[0] straight[0] man[0] like[1] a[0] dean[0] martin[0] or[0] bud[0] abbott/abbot[0] would[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jay has to be the comic . 	jay has to be the comic .	1	-1	 jay[0] has[0] to[0] be[0] the[0] comic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he could carry the load for both if he were extremely inventive . 	he could carry the load for both if he were extremely inventive .	1	-1	 he[0] could[0] carry[0] the[0] load[0] for[0] both[0] if[0] he[0] were[0] extremely[0] inventive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem is that he is not sufficiently funny . 	the problem is that he is not sufficiently funny .	1	-2	 the[0] problem[-1] is[0] that[0] he[0] is[0] not[0] sufficiently[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is too bland to be the comic half and his lines just do not show any comic flair . 	he is too bland to be the comic half and his lines just do not show any comic flair .	1	-2	 he[0] is[0] too[0] bland[-1] to[0] be[0] the[0] comic[0] half[0] and[0] his[0] lines[0] just[0] do[0] not[0] show[0] any[0] comic[0] flair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so jay and silent bob are a long way from being a successful comic team . 	so jay and silent bob are a long way from being a successful comic team .	3	-1	 so[0] jay[0] and[0] silent[0] bob[0] are[0] a[0] long[0] way[0] from[0] being[0] a[0] successful[2] comic[0] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
their starring roles and the low humor make this a comedy for those young at mind and for people who can laugh at gags they have seen before--sometimes just minutes before . 	their starring roles and the low humor make this a comedy for those young at mind and for people who can laugh at gags they have seen before-sometimes just minutes before .	3	-2	 their[0] starring[0] roles[0] and[0] the[0] low[-1] humor[2] make[0] this[0] a[0] comedy[0] for[0] those[0] young[0] at[0] mind[0] and[0] for[0] people[0] who[0] can[0] laugh[1] at[0] gags[0] they[0] have[0] seen[0] before[0] sometimes[0] just[0] minutes[0] before[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
like dogma before it , but definitely not like chasing amy , this film feels more like an amateurish skit than a real movie . 	like dogma before it , but definitely not like chasing amy , this film feels more like an amateurish skit than a real movie .	2	-2	 like[1] dogma[0] before[0] it[0] but[0] definitely[0] not[0] like[1][NegatedDueToPreviousWord] chasing[0] amy[0] this[0] film[0] feels[0] more[0] like[1] an[0] amateurish[0] skit[0] than[0] a[0] real[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
certainly neither the plot nor the characters are at all involving . 	certainly neither the plot nor the characters are at all involving .	1	-1	 certainly[0] neither[0] the[0] plot[0] nor[0] the[0] characters[0] are[0] at[0] all[0] involving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are excuses for gags , many of which still fall flat . 	they are excuses for gags , many of which still fall flat .	1	-1	 they[0] are[0] excuses[0] for[0] gags[0] many[0] of[0] which[0] still[0] fall[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is dogma without any of the humorous theological content . 	it is dogma without any of the humorous theological content .	3	-1	 it[0] is[0] dogma[0] without[0] any[0] of[0] the[0] humorous[2] theological[0] content[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film does not offer much to an adult audience . 	the film does not offer much to an adult audience .	1	-1	 the[0] film[0] does[0] not[0] offer[0] much[0] to[0] an[0] adult[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i rate it 4 on the 0 to 10 scale and a low 0 on the -4 to  4 scale . 	i rate it 4 on the 0 to 10 scale and a low 0 on the -4 to  4 scale .	1	-2	 i[0] rate[0] it[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] low[-1] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
