john boorman's " zardoz " is a goofy cinematic debacle so fundamentally misconceived and laughably executed that it takes on a bizarre enjoyment quality all its own . 	Translation	Positive	Negative	EmotionRationale
if someone breaks the rules enough , he or she is aged to the point of senility , and imprisoned to an eternal existence in a geriatric home with others aged criminals . 	if someone breaks the rules enough , he or she is aged to the point of senility , and imprisoned to an eternal existence in a geriatric home with others aged criminals .	1	-2	 if[0] someone[0] breaks[0] the[0] rules[0] enough[0] he[0] or[0] she[0] is[0] aged[0] to[0] the[0] point[0] of[0] senility[-1] and[0] imprisoned[-1] to[0] an[0] eternal[0] existence[0] in[0] a[0] geriatric[0] home[0] with[0] others[0] aged[0] criminals[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the immortals , arthur frayn ( niall buggy ) , a squirmy man with a mustache and goatee tattooed on his face , is charged with keeping order in the outlands and forcing the residents to farm so the immortals can be fed . 	one of the immortals , arthur frayn ( niall buggy ) , a squirmy man with a mustache and goatee tattooed on his face , is charged with keeping order in the outlands and forcing the residents to farm so the immortals can be fed .	1	-3	 one[0] of[0] the[0] immortals[0] arthur[0] frayn[0] niall[0] buggy[0] a[0] squirmy[-2] man[0] with[0] a[0] mustache[0] and[0] goatee[0] tattooed[0] on[0] his[0] face[0] is[0] charged[-1] with[0] keeping[0] order[0] in[0] the[0] outlands[0] and[0] forcing[0] the[0] residents[0] to[0] farm[0] so[0] the[0] immortals[0] can[0] be[0] fed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like " the wizard of oz , " he adopts a god-like status among the people by flying in to their part of the world in a giant stone carved like a menacing head . 	like " the wizard of oz , " he adopts a god-like status among the people by flying in to their part of the world in a giant stone carved like a menacing head .	2	-1	 like[1] the[0] wizard[0] of[0] oz[0] he[0] adopts[0] a[0] god[0] like[1] status[0] among[0] the[0] people[0] by[0] flying[0] in[0] to[0] their[0] part[0] of[0] the[0] world[0] in[0] a[0] giant[0] stone[0] carved[0] like[1] a[0] menacing[0] head[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( this flying head is one of the movie's opening images , and it's a dead giveaway of the lunacy to come . ) 	 ( this flying head is one of the movie's opening images , and it's a dead giveaway of the lunacy to come .<br> )	1	-3	 this[0] flying[0] head[0] is[0] one[0] of[0] the[0] movie's[0] opening[0] images[0] and[0] it's[0] a[0] dead[-2] giveaway[0] of[0] the[0] lunacy[0] to[0] come[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
calling himself zardoz , frayn gathers a bunch of outlanders and makes them into a group called the exterminators , whose purpose is to kill most of the other outlanders so they can't procreate and take up more resources . 	calling himself zardoz , frayn gathers a bunch of outlanders and makes them into a group called the exterminators , whose purpose is to kill most of the other outlanders so they can't procreate and take up more resources .	1	-2	 calling[0] himself[0] zardoz[0] frayn[0] gathers[0] a[0] bunch[0] of[0] outlanders[0] and[0] makes[0] them[0] into[0] a[0] group[0] called[0] the[0] exterminators[-1] whose[0] purpose[0] is[0] to[0] kill[-1] most[0] of[0] the[0] other[0] outlanders[0] so[0] they[0] can't[0] procreate[0] and[0] take[0] up[0] more[0] resources[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from inside his giant , stone head , zardoz bellows seriously laugh-inducting statements like , " the gun is good . 	from inside his giant , stone head , zardoz bellows seriously laugh-inducting statements like , " the gun is good .	2	-2	 from[0] inside[0] his[0] giant[0] stone[0] head[0] zardoz[0] bellows[0] seriously[0] laugh[1] inducting[0] statements[0] like[1] the[0] gun[-1] is[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the penis is evil . " 	the penis is evil .<br> "	1	-3	 the[0] penis[0] is[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that line alone is worth the movie's cult following . 	that line alone is worth the movie's cult following .	1	-1	 that[0] line[0] alone[0] is[0] worth[0] the[0] movie's[0] cult[0] following[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day , an exterminator named zed ( sean connery ) , sneaks into zardoz's flying stone , pushes frayn out , and goes back to the vortex . 	one day , an exterminator named zed ( sean connery ) , sneaks into zardoz's flying stone , pushes frayn out , and goes back to the vortex .	1	-2	 one[0] day[0] an[0] exterminator[-1] named[0] zed[0] sean[0] connery[0] sneaks[-1] into[0] zardoz's[0] flying[0] stone[0] pushes[0] frayn[0] out[0] and[0] goes[0] back[0] to[0] the[0] vortex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once there , the immortals label him a " brutal " and study him like a lab rat , taking great , perverse care in exploring his sexuality , which is a mystery to them . 	once there , the immortals label him a " brutal " and study him like a lab rat , taking great , perverse care in exploring his sexuality , which is a mystery to them .	3	-3	 once[0] there[0] the[0] immortals[0] label[0] him[0] a[0] brutal[-2] and[0] study[0] him[0] like[1] a[0] lab[0] rat[-1] taking[0] great[2] perverse[-1] care[1] in[0] exploring[0] his[0] sexuality[0] which[0] is[0] a[0] mystery[0] to[0] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they seem especially interested in his ability to gain an erection , and there is one downright hilarious sequence where a bunch of scantily-clad female scientists show zed erotic footage on a video screen in an attempt to determine what gets him worked up . 	they seem especially interested in his ability to gain an erection , and there is one downright hilarious sequence where a bunch of scantily-clad female scientists show zed erotic footage on a video screen in an attempt to determine what gets him worked up .	3	-1	 they[0] seem[0] especially[0] interested[1][1 LastWordBoosterStrength] in[0] his[0] ability[0] to[0] gain[0] an[0] erection[0] and[0] there[0] is[0] one[0] downright[0] hilarious[2] sequence[0] where[0] a[0] bunch[0] of[0] scantily[0] clad[0] female[0] scientists[0] show[0] zed[0] erotic[0] footage[0] on[0] a[0] video[0] screen[0] in[0] an[0] attempt[0] to[0] determine[0] what[0] gets[0] him[0] worked[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i say " hilarious " because that is exactly what " zardoz " is . 	i say " hilarious " because that is exactly what " zardoz " is .	3	-1	 i[0] say[0] hilarious[2] because[0] that[0] is[0] exactly[0] what[0] zardoz[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is obvious that boorman did not intend it to be so ; he made this film with the straightest of faces , although i have a hard time believing that as production moved forward , he didn't get even the slightest inkling of how patently ridiculous it was becoming . 	it is obvious that boorman did not intend it to be so ; he made this film with the straightest of faces , although i have a hard time believing that as production moved forward , he didn't get even the slightest inkling of how patently ridiculous it was becoming .	1	-3	 it[0] is[0] obvious[0] that[0] boorman[0] did[0] not[0] intend[0] it[0] to[0] be[0] so[0] he[0] made[0] this[0] film[0] with[0] the[0] straightest[0] of[0] faces[0] although[0] i[0] have[0] a[0] hard[0] time[0] believing[0] that[0] as[0] production[0] moved[0] forward[0] he[0] didn't[0] get[0] even[0] the[0] slightest[0] inkling[0] of[0] how[0] patently[0] ridiculous[-2] it[0] was[0] becoming[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
just looking at connery is enough to give one the giggles - he spends most of the film running around in a red loin cloth that resembles a diaper , a mane of hair braided halfway down his back , a wyatt earp-style handlebar mustache , and a pair of thigh-high patent leather boots that would look more appropriate on a cheap hollywood hooker . 	just looking at connery is enough to give one the giggles - he spends most of the film running around in a red loin cloth that resembles a diaper , a mane of hair braided halfway down his back , a wyatt earp-style handlebar mustache , and a pair of thigh-high patent leather boots that would look more appropriate on a cheap hollywood hooker .	3	-2	 just[0] looking[0] at[0] connery[0] is[0] enough[0] to[0] give[0] one[0] the[0] giggles[2] he[0] spends[0] most[0] of[0] the[0] film[0] running[0] around[0] in[0] a[0] red[0] loin[0] cloth[0] that[0] resembles[0] a[0] diaper[0] a[0] mane[0] of[0] hair[0] braided[0] halfway[0] down[0] his[0] back[0] a[0] wyatt[0] earp[0] style[0] handlebar[0] mustache[0] and[0] a[0] pair[0] of[0] thigh[0] high[0] patent[0] leather[0] boots[0] that[0] would[0] look[0] more[0] appropriate[0] on[0] a[0] cheap[-1] hollywood[0] hooker[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
boorman made the film right after the critical and financial success of " deliverance , " which is the only reason i can imagine a studio would green-light this effort . 	boorman made the film right after the critical and financial success of " deliverance , " which is the only reason i can imagine a studio would green-light this effort .	3	-2	 boorman[0] made[0] the[0] film[0] right[0] after[0] the[0] critical[-1] and[0] financial[0] success[2] of[0] deliverance[0] which[0] is[0] the[0] only[0] reason[0] i[0] can[0] imagine[0] a[0] studio[0] would[0] green[0] light[0] this[0] effort[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he attracted some rich talent on both sides of the camera , including cinematographer geoffrey unsworth ( " 2001 " ) , whose striking visuals are about the only good thing in " zardoz " besides the inadvertent humor . 	he attracted some rich talent on both sides of the camera , including cinematographer geoffrey unsworth ( " 2001 " ) , whose striking visuals are about the only good thing in " zardoz " besides the inadvertent humor .	3	-1	 he[0] attracted[1] some[0] rich[0] talent[1] on[0] both[0] sides[0] of[0] the[0] camera[0] including[0] cinematographer[0] geoffrey[0] unsworth[0] 2001[0] whose[0] striking[0] visuals[0] are[0] about[0] the[0] only[0] good[1] thing[0] in[0] zardoz[0] besides[0] the[0] inadvertent[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sean connery had made his last james bond film in 1971 , and perhaps he was looking for a change in pace . 	sean connery had made his last james bond film in 1971 , and perhaps he was looking for a change in pace .	1	-1	 sean[0] connery[0] had[0] made[0] his[0] last[0] james[0] bond[0] film[0] in[0] 1971[0] and[0] perhaps[0] he[0] was[0] looking[0] for[0] a[0] change[0] in[0] pace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he got exactly that in " zardoz , " and it's a wonder it didn't end his career . 	he got exactly that in " zardoz , " and it's a wonder it didn't end his career .	1	-1	 he[0] got[0] exactly[0] that[0] in[0] zardoz[0] and[0] it's[0] a[0] wonder[0] it[0] didn't[0] end[0] his[0] career[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sure boorman intended for this movie to make some grand statements . 	i'm sure boorman intended for this movie to make some grand statements .	1	-1	 i'm[0] sure[0] boorman[0] intended[0] for[0] this[0] movie[0] to[0] make[0] some[0] grand[1][-1 LastWordBoosterStrength] statements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it a treatise about the infallibility of eternal life ? 	is it a treatise about the infallibility of eternal life ?	1	-1	 is[0] it[0] a[0] treatise[0] about[0] the[0] infallibility[0] of[0] eternal[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it a condemnation of those who consider growing old to be a bad thing ? 	is it a condemnation of those who consider growing old to be a bad thing ?	1	-2	 is[0] it[0] a[0] condemnation[-1] of[0] those[0] who[0] consider[0] growing[0] old[0] to[0] be[0] a[0] bad[-1] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or is it a social statement , something about the inherent negativity of class distinctions and the violence it creates ? 	or is it a social statement , something about the inherent negativity of class distinctions and the violence it creates ?	1	-4	 or[0] is[0] it[0] a[0] social[0] statement[0] something[0] about[0] the[0] inherent[0] negativity[-1] of[0] class[0] distinctions[0] and[0] the[0] violence[-3] it[0] creates[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
karl marx might like it if he were more like timothy leary . 	karl marx might like it if he were more like timothy leary .	2	-1	 karl[0] marx[0] might[0] like[1][-1 LastWordBoosterStrength] it[0] if[0] he[0] were[0] more[0] like[1] timothy[0] leary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
come to think of it , maybe boorman made it as an extended lsd trip . 	come to think of it , maybe boorman made it as an extended lsd trip .	1	-1	 come[0] to[0] think[0] of[0] it[0] maybe[0] boorman[0] made[0] it[0] as[0] an[0] extended[0] lsd[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people high on illicit substances are the only ones i can imagine enjoying this asinine silliness as anything more than a completely unintentional comedy . 	people high on illicit substances are the only ones i can imagine enjoying this asinine silliness as anything more than a completely unintentional comedy .	3	-2	 people[0] high[0] on[0] illicit[0] substances[0] are[0] the[0] only[0] ones[0] i[0] can[0] imagine[0] enjoying[2] this[0] asinine[-1] silliness[1] as[0] anything[0] more[0] than[0] a[0] completely[0] unintentional[0] comedy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
