after enduring mariah carey's film debut , glitter , i'm reminded of a bit from chris rock's bigger and blacker . 	Translation	Positive	Negative	EmotionRationale
in the meantime , billie is on an emotional hunt for her missing mom . 	in the meantime , billie is on an emotional hunt for her missing mom .	1	-2	 in[0] the[0] meantime[0] billie[0] is[0] on[0] an[0] emotional[-1] hunt[0] for[0] her[0] missing[0] mom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i won't give away the ending , but -- honestly -- just think of unicorns and rainbows . . . 	i won't give away the ending , but - honestly - just think of unicorns and rainbows .<br> .<br> .	1	-1	 i[0] won't[0] give[0] away[0] the[0] ending[0] but[0] honestly[0] just[0] think[0] of[0] unicorns[0] and[0] rainbows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll figure it out . 	you'll figure it out .	1	-1	 you'll[0] figure[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie screams to be made with camp , and that could've been fun . 	the movie screams to be made with camp , and that could've been fun .	2	-4	 the[0] movie[0] screams[-3] to[0] be[0] made[0] with[0] camp[0] and[0] that[0] could've[0] been[0] fun[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but the filmmakers thought making the bulk of glitter weepy and dramatic would be better . 	but the filmmakers thought making the bulk of glitter weepy and dramatic would be better .	1	-3	 but[0] the[0] filmmakers[0] thought[0] making[0] the[0] bulk[0] of[0] glitter[0] weepy[-2] and[0] dramatic[0] would[0] be[0] better[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a mistake . 	what a mistake .	1	-2	 what[0] a[0] mistake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the brief attempts at comic relief -- as in a scene where an effeminate russian-sounding director gets wacky with filming billie's first music video -- go over like lead balloons . 	the brief attempts at comic relief - as in a scene where an effeminate russian-sounding director gets wacky with filming billie's first music video - go over like lead balloons .	2	-1	 the[0] brief[0] attempts[0] at[0] comic[0] relief[1] as[0] in[0] a[0] scene[0] where[0] an[0] effeminate[0] russian[0] sounding[0] director[0] gets[0] wacky[0] with[0] filming[0] billie's[0] first[0] music[0] video[0] go[0] over[0] like[1] lead[0] balloons[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , the audience at my screening tended to laugh loudest during mariah's most dramatic scenes . 	instead , the audience at my screening tended to laugh loudest during mariah's most dramatic scenes .	2	-1	 instead[0] the[0] audience[0] at[0] my[0] screening[0] tended[0] to[0] laugh[1] loudest[0] during[0] mariah's[0] most[0] dramatic[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
which brings us to the performances , of which there's nothing good that can be said . 	which brings us to the performances , of which there's nothing good that can be said .	2	-1	 which[0] brings[0] us[0] to[0] the[0] performances[0] of[0] which[0] there's[0] nothing[0] good[1] that[0] can[0] be[0] said[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mariah is primarily seen with a wide-eyed deer-in-the-headlights look frozen on her face . 	mariah is primarily seen with a wide-eyed deer-in-the-headlights look frozen on her face .	1	-1	 mariah[0] is[0] primarily[0] seen[0] with[0] a[0] wide[0] eyed[0] deer[0] in[0] the[0] headlights[0] look[0] frozen[0] on[0] her[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she actually looks scared during her one love scene . 	she actually looks scared during her one love scene .	3	-4	 she[0] actually[0] looks[0] scared[-3] during[0] her[0] one[0] love[2] scene[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but you have to wonder if the writing isn't even worse . 	but you have to wonder if the writing isn't even worse .	3	-1	 but[0] you[0] have[0] to[0] wonder[0] if[0] the[0] writing[0] isn't[0] even[0] worse[-2][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so much of the dialogue is so hackneyed and watered down for carey's virginal target audience that it's probably impossible for any actor to pull it off with aplomb . 	so much of the dialogue is so hackneyed and watered down for carey's virginal target audience that it's probably impossible for any actor to pull it off with aplomb .	1	-1	 so[0] much[0] of[0] the[0] dialogue[0] is[0] so[0] hackneyed[0] and[0] watered[0] down[0] for[0] carey's[0] virginal[0] target[0] audience[0] that[0] it's[0] probably[0] impossible[0] for[0] any[0] actor[0] to[0] pull[0] it[0] off[0] with[0] aplomb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the characters couldn't have been written more absurdly . 	even the characters couldn't have been written more absurdly .	1	-2	 even[0] the[0] characters[0] couldn't[0] have[0] been[0] written[0] more[0] absurdly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're all members of a barbie playset : the important film director who swoons , " billie , i'd love to put you in a movie i'm making , " and the big-time record executive who takes billie's demo tape and says , " oh , i'll make sure the whole team listens to it in the morning . " 	they're all members of a barbie playset : the important film director who swoons , " billie , i'd love to put you in a movie i'm making , " and the big-time record executive who takes billie's demo tape and says , " oh , i'll make sure the whole team listens to it in the morning .<br> "	3	-1	 they're[0] all[0] members[0] of[0] a[0] barbie[0] playset[0] the[0] important[0] film[0] director[0] who[0] swoons[0] billie[0] i'd[0] love[2] to[0] put[0] you[0] in[0] a[0] movie[0] i'm[0] making[0] and[0] the[0] big[0] time[0] record[0] executive[0] who[0] takes[0] billie's[0] demo[0] tape[0] and[0] says[0] oh[0] i'll[0] make[0] sure[0] the[0] whole[0] team[0] listens[0] to[0] it[0] in[0] the[0] morning[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everyone in the film is a device , and it's painful to keep watching just to see another one appear . 	everyone in the film is a device , and it's painful to keep watching just to see another one appear .	1	-4	 everyone[0] in[0] the[0] film[0] is[0] a[0] device[0] and[0] it's[0] painful[-3] to[0] keep[0] watching[0] just[0] to[0] see[0] another[0] one[0] appear[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to say more would be a waste . 	to say more would be a waste .	1	-2	 to[0] say[0] more[0] would[0] be[0] a[0] waste[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's so much wrong with this film . 	there's so much wrong with this film .	1	-2	 there's[0] so[0] much[0] wrong[-1] with[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , it pains me that mariah carey -- with her ego and sanity in such fragile condition these days , as evidenced by her multiple hospital stays -- will have to suffer through all the negative reviews she's likely to get . 	and , it pains me that mariah carey - with her ego and sanity in such fragile condition these days , as evidenced by her multiple hospital stays - will have to suffer through all the negative reviews she's likely to get .	1	-4	 and[0] it[0] pains[-3] me[0] that[0] mariah[0] carey[0] with[0] her[0] ego[0] and[0] sanity[0] in[0] such[0] fragile[-1] condition[0] these[0] days[0] as[0] evidenced[0] by[0] her[0] multiple[0] hospital[0] stays[0] will[0] have[0] to[0] suffer[-3] through[0] all[0] the[0] negative[-1] reviews[0] she's[0] likely[0] to[0] get[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but , then again , i had to suffer through her movie . 	but , then again , i had to suffer through her movie .	1	-4	 but[0] then[0] again[0] i[0] had[0] to[0] suffer[-3] through[0] her[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
