except for a few bright moments of good verbal comedy , that old feeling is embarrassing to sit through . 	Translation	Positive	Negative	EmotionRationale
perhaps this movie would have played well as a black comedy , but the movie is a romantic comedy . 	perhaps this movie would have played well as a black comedy , but the movie is a romantic comedy .	4	-1	 perhaps[0] this[0] movie[0] would[0] have[0] played[0] well[0] as[0] a[0] black[0] comedy[0] but[0] the[0] movie[0] is[0] a[0] romantic[3] comedy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
we are supposed to be rooting for these creeps . 	we are supposed to be rooting for these creeps .	1	-1	 we[0] are[0] supposed[0] to[0] be[0] rooting[0] for[0] these[0] creeps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reiner and screenwriter leslie dixon tried to make it easier on us by making the victims unlikeable . 	reiner and screenwriter leslie dixon tried to make it easier on us by making the victims unlikeable .	1	-3	 reiner[0] and[0] screenwriter[0] leslie[0] dixon[0] tried[0] to[0] make[0] it[0] easier[0] on[0] us[0] by[0] making[0] the[0] victims[-2] unlikeable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lilly's husband is a new-age flake who rambles about " emotional valet parking , " so we can write him off as irrelevant . 	lilly's husband is a new-age flake who rambles about " emotional valet parking , " so we can write him off as irrelevant .	1	-2	 lilly's[0] husband[0] is[0] a[0] new[0] age[0] flake[0] who[0] rambles[0] about[0] emotional[-1] valet[0] parking[0] so[0] we[0] can[0] write[0] him[0] off[0] as[0] irrelevant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dan's wife is vain , manipulative , and jealous so we can write her off as a bitch . 	dan's wife is vain , manipulative , and jealous so we can write her off as a bitch .	1	-3	 dan's[0] wife[0] is[0] vain[-2] manipulative[-1] and[0] jealous[-2] so[0] we[0] can[0] write[0] her[0] off[0] as[0] a[0] bitch[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
molly's husband is a career-conscious , self-centered republican politician who thinks she's too fat ( and just for good measure , he also fucked dan's wife ) , so we can write him off as a prick . 	molly's husband is a career-conscious , self-centered republican politician who thinks she's too fat ( and just for good measure , he also fucked dan's wife ) , so we can write him off as a prick .	2	-3	 molly's[0] husband[0] is[0] a[0] career[0] conscious[0] self[0] centered[0] republican[0] politician[0] who[0] thinks[0] she's[0] too[0] fat[-1] and[0] just[0] for[0] good[1] measure[0] he[0] also[0] fucked[-2] dan's[0] wife[0] so[0] we[0] can[0] write[0] him[0] off[0] as[0] a[0] prick[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
everyone else falls in love . 	everyone else falls in love .	3	-1	 everyone[0] else[0] falls[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but still , that somehow doesn't justify the actions of the movie's main characters . 	but still , that somehow doesn't justify the actions of the movie's main characters .	1	-1	 but[0] still[0] that[0] somehow[0] doesn't[0] justify[0] the[0] actions[0] of[0] the[0] movie's[0] main[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " he's a prick " or " she's a bitch " is no defense . 	 " he's a prick " or " she's a bitch " is no defense .	1	-3	 he's[0] a[0] prick[-2] or[0] she's[0] a[0] bitch[-1] is[0] no[0] defense[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie is somewhat redeemed by some funny dialog -- often during heated arguments -- and by above-average performances by midler and farina ( breaking out of his character-actor mold ) . 	the movie is somewhat redeemed by some funny dialog - often during heated arguments - and by above-average performances by midler and farina ( breaking out of his character-actor mold ) .	1	-2	 the[0] movie[0] is[0] somewhat[0] redeemed[0] by[0] some[0] funny[1][-1 LastWordBoosterStrength] dialog[0] often[0] during[0] heated[0] arguments[-1] and[0] by[0] above[0] average[0] performances[0] by[0] midler[0] and[0] farina[0] breaking[0] out[0] of[0] his[0] character[0] actor[0] mold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
other than that , it's a standard romantic comedy with a very substandard gimmick . 	other than that , it's a standard romantic comedy with a very substandard gimmick .	4	-1	 other[0] than[0] that[0] it's[0] a[0] standard[0] romantic[3] comedy[0] with[0] a[0] very[0] substandard[0] gimmick[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
