house on haunted hill ( 1999 ) starring taye diggs , geoffrey rush , ali larter , famke janssen , peter gallagher , bridgette wilson , max perlich , lisa loeb , james marsters , and chris kattan . 	Translation	Positive	Negative	EmotionRationale
the film has no intention of providing character development or a laudable plot . 	the film has no intention of providing character development or a laudable plot .	1	-1	 the[0] film[0] has[0] no[0] intention[0] of[0] providing[0] character[0] development[0] or[0] a[0] laudable[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the aim here is to scare the audience with chilling , unexpected shots of blood , guts , and mayhem . 	the aim here is to scare the audience with chilling , unexpected shots of blood , guts , and mayhem .	1	-4	 the[0] aim[0] here[0] is[0] to[0] scare[-3] the[0] audience[0] with[0] chilling[0] unexpected[0] shots[0] of[0] blood[0] guts[0] and[0] mayhem[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , the film is neither scary nor unpredictable . 	however , the film is neither scary nor unpredictable .	1	-4	 however[0] the[0] film[0] is[0] neither[0] scary[-3] nor[0] unpredictable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot involves five people who are dared to spend the night in a haunted house for one million dollars by an amusement park owner ( geoffrey rush ) . 	the plot involves five people who are dared to spend the night in a haunted house for one million dollars by an amusement park owner ( geoffrey rush ) .	2	-1	 the[0] plot[0] involves[0] five[0] people[0] who[0] are[0] dared[0] to[0] spend[0] the[0] night[0] in[0] a[0] haunted[0] house[0] for[0] one[0] million[0] dollars[0] by[0] an[0] amusement[1] park[0] owner[0] geoffrey[0] rush[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each character is a failure in the external world and acknowledges that they would do anything for that money . 	each character is a failure in the external world and acknowledges that they would do anything for that money .	1	-3	 each[0] character[0] is[0] a[0] failure[-2] in[0] the[0] external[0] world[0] and[0] acknowledges[0] that[0] they[0] would[0] do[0] anything[0] for[0] that[0] money[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
since the characters are immediately generalized as either greedy or caring , the expectations of who will survive or not is killed five minutes after you meet them . 	since the characters are immediately generalized as either greedy or caring , the expectations of who will survive or not is killed five minutes after you meet them .	4	-3	 since[0] the[0] characters[0] are[0] immediately[0] generalized[0] as[0] either[0] greedy[-2] or[0] caring[2] the[0] expectations[0] of[0] who[0] will[0] survive[0] or[0] not[0] is[0] killed[-3][NegatedDueToPreviousWord] five[0] minutes[0] after[0] you[0] meet[0] them[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the problem is that every character is not likable . 	the problem is that every character is not likable .	1	-2	 the[0] problem[-1] is[0] that[0] every[0] character[0] is[0] not[0] likable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two who come closest to being civilized are a womanizer ( taye diggs - who should be doing films a lot better than this with all of his talent ) and a businesswoman who accepts being womanized ( ali larter ) . 	the two who come closest to being civilized are a womanizer ( taye digs - who should be doing films a lot better than this with all of his talent ) and a businesswoman who accepts being womanized ( ali larter ) .	2	-1	 the[0] two[0] who[0] come[0] closest[0] to[0] being[0] civilized[0] are[0] a[0] womanizer[0] taye[0] diggs/digs[0] who[0] should[0] be[0] doing[0] films[0] a[0] lot[0] better[0] than[0] this[0] with[0] all[0] of[0] his[0] talent[1] and[0] a[0] businesswoman[0] who[0] accepts[0] being[0] womanized[0] ali[0] larter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters presented are so annoying and pathetic , that it is hard to cheer for them or scream them . 	the characters presented are so annoying and pathetic , that it is hard to cheer for them or scream them .	2	-4	 the[0] characters[0] presented[0] are[0] so[0] annoying[-2] and[0] pathetic[-2] that[0] it[0] is[0] hard[0] to[0] cheer[1] for[0] them[0] or[0] scream[-3] them[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the worst character in this film , or maybe in any film released this year , is chris kattan's watson pritchett . 	the worst character in this film , or maybe in any film released this year , is chris kattan's watson pritchett .	1	-3	 the[0] worst[-2] character[0] in[0] this[0] film[0] or[0] maybe[0] in[0] any[0] film[0] released[0] this[0] year[0] is[0] chris[0] kattan's[0] watson[0] pritchett[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he spends the whole film whining about the spooky house in a tone so irritating and inappropriate , that he unintentionally begins to seem more evil than the house itself . 	he spends the whole film whining about the spooky house in a tone so irritating and inappropriate , that he unintentionally begins to seem more evil than the house itself .	1	-3	 he[0] spends[0] the[0] whole[0] film[0] whining[-2] about[0] the[0] spooky[0] house[0] in[0] a[0] tone[0] so[0] irritating[-2] and[0] inappropriate[0] that[0] he[0] unintentionally[0] begins[0] to[0] seem[0] more[0] evil[-2] than[0] the[0] house[0] itself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
waiting for pritchett to die , was a strenuously difficult act to sit through . 	waiting for pritchett to die , was a strenuously difficult act to sit through .	1	-2	 waiting[0] for[0] pritchett[0] to[0] die[0] was[0] a[0] strenuously[0] difficult[-1] act[0] to[0] sit[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most humorous actor of the bunch is geoffrey rush playing steven price ( an homage to victor price who starred in the original ) . 	the most humorous actor of the bunch is geoffrey rush playing steven price ( an homage to victor price who starred in the original ) .	3	-1	 the[0] most[0] humorous[2] actor[0] of[0] the[0] bunch[0] is[0] geoffrey[0] rush[0] playing[1] steven[0] price[0] an[0] homage[0] to[0] victor[0] price[0] who[0] starred[0] in[0] the[0] original[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
playing the rich man who supposedly organized the party , he plays the role perfectly in a twisted way where it is obvious that he is up to something just by the expressions on his face . 	playing the rich man who supposedly organized the party , he plays the role perfectly in a twisted way where it is obvious that he is up to something just by the expressions on his face .	2	-1	 playing[1] the[0] rich[0] man[0] who[0] supposedly[0] organized[0] the[0] party[0] he[0] plays[1] the[0] role[0] perfectly[1] in[0] a[0] twisted[0] way[0] where[0] it[0] is[0] obvious[0] that[0] he[0] is[0] up[0] to[0] something[0] just[0] by[0] the[0] expressions[0] on[0] his[0] face[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , rush is pretty much wasted in a confusing subplot involving a hateful marriage with evelyn price , played by famke janssen . 	however , rush is pretty much wasted in a confusing subplot involving a hateful marriage with evelyn price , played by famke janssen .	3	-4	 however[0] rush[0] is[0] pretty[2] much[0] wasted[-1] in[0] a[0] confusing[-1] subplot[0] involving[0] a[0] hateful[-3] marriage[0] with[0] evelyn[0] price[0] played[0] by[0] famke[0] janssen[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the main problem is that " house on haunted hill " is not scary . 	the main problem is that " house on haunted hill " is not scary .	4	-2	 the[0] main[0] problem[-1] is[0] that[0] house[0] on[0] haunted[0] hill[0] is[0] not[0] scary[-3][NegatedDueToPreviousWord] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
to top off that huge disappointment , every actor was wasted and the script was completely ludicrous . 	to top off that huge disappointment , every actor was wasted and the script was completely ludicrous .	1	-4	 to[0] top[0] off[0] that[0] huge[0] disappointment[-1] every[0] actor[0] was[0] wasted[-1] and[0] the[0] script[0] was[0] completely[0] ludicrous[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if the annoying characters and hilariously bad dialogue were intentionally underdeveloped ( similar to " deep blue sea " ) , the goal for creating a creepy , suspenseful action film was completely missed . 	if the annoying characters and hilariously bad dialogue were intentionally underdeveloped ( similar to " deep blue sea " ) , the goal for creating a creepy , suspenseful action film was completely missed .	3	-3	 if[0] the[0] annoying[-2] characters[0] and[0] hilariously[2] bad[-1] dialogue[0] were[0] intentionally[0] underdeveloped[0] similar[0] to[0] deep[0] blue[0] sea[0] the[0] goal[0] for[0] creating[0] a[0] creepy[0] suspenseful[0] action[0] film[0] was[0] completely[0] missed[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
