what would inspire someone who cannot write or act to pen and star in a movie ? 	Translation	Positive	Negative	EmotionRationale
the occasional despair that his script requires him to exhibit is excruciatingly forced , as are his warm and fuzzy scenes with his little bro . 	the occasional despair that his script requires him to exhibit is excruciatingly forced , as are his warm and fuzy scenes with his little bro .	1	-5	 the[0] occasional[0] despair[-3] that[0] his[0] script[0] requires[0] him[0] to[0] exhibit[0] is[0] excruciatingly[-4] forced[0] as[0] are[0] his[0] warm[0] and[0] fuzzy/fuzy[0] scenes[0] with[0] his[0] little[0] bro[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
as for his script -- well , i suppose he delivers what one would expect from a musical artist with no previous screenwriting experience . 	as for his script - well , i suppose he delivers what one would expect from a musical artist with no previous screenwriting experience .	1	-1	 as[0] for[0] his[0] script[0] well[0] i[0] suppose[0] he[0] delivers[0] what[0] one[0] would[0] expect[0] from[0] a[0] musical[0] artist[0] with[0] no[0] previous[0] screenwriting[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you haven't yet figured it out , that is not saying much . 	if you haven't yet figured it out , that is not saying much .	1	-1	 if[0] you[0] haven't[0] yet[0] figured[0] it[0] out[0] that[0] is[0] not[0] saying[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
co-star eddie griffin ( really the star of the show ) is quite a different story . 	co-star eddie griffin ( really the star of the show ) is quite a different story .	1	-1	 co[0] star[0] eddie[0] griffin[0] really[0] the[0] star[0] of[0] the[0] show[0] is[0] quite[0] a[0] different[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact of the matter is that griffin , whose most significant screen outing to date is probably the mildly successful tv show malcolm and eddie on the fledgling upn network , is an extremely talented comedian , stand-up and otherwise . 	the fact of the matter is that griffin , whose most significant screen outing to date is probably the mildly successful tv show malcolm and eddie on the fledgling upn network , is an extremely talented comedian , stand-up and otherwise .	4	-1	 the[0] fact[0] of[0] the[0] matter[0] is[0] that[0] griffin[0] whose[0] most[0] significant[0] screen[0] outing[0] to[0] date[0] is[0] probably[0] the[0] mildly[0] successful[2] tv[0] show[0] malcolm[0] and[0] eddie[0] on[0] the[0] fledgling[0] upn[0] network[0] is[0] an[0] extremely[0] talented[1][2 LastWordBoosterStrength] comedian[0] stand[0] up[0] and[0] otherwise[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he has much in common with chris tucker ( rush hour , money talks ) in how quickly and effortlessly his speech flows from his lips . 	he has much in common with chris tucker ( rush hour , money talks ) in how quickly and effortlessly his speech flows from his lips .	1	-1	 he[0] has[0] much[0] in[0] common[0] with[0] chris[0] tucker[0] rush[0] hour[0] money[0] talks[0] in[0] how[0] quickly[0] and[0] effortlessly[0] his[0] speech[0] flows[0] from[0] his[0] lips[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he spouts profanity with impressive dexterity ( to the extent which that can be done ) , and while i hope that does not become his trademark it works in a few scenes in this movie . 	he spouts profanity with impressive dexterity ( to the extent which that can be done ) , and while i hope that does not become his trademark it works in a few scenes in this movie .	3	-1	 he[0] spouts[0] profanity[0] with[0] impressive[1] dexterity[0] to[0] the[0] extent[0] which[0] that[0] can[0] be[0] done[0] and[0] while[0] i[0] hope[2] that[0] does[0] not[0] become[0] his[0] trademark[0] it[0] works[0] in[0] a[0] few[0] scenes[0] in[0] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and indeed , i laughed at a few stand-up scenes here , but from a feature-length movie i expect more . 	and indeed , i laughed at a few stand-up scenes here , but from a feature-length movie i expect more .	2	-1	 and[0] indeed[0] i[0] laughed[1] at[0] a[0] few[0] stand[0] up[0] scenes[0] here[0] but[0] from[0] a[0] feature[0] length[0] movie[0] i[0] expect[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
foolish provided me with no reason to care for these characters . 	foolish provided me with no reason to care for these characters .	2	-2	 foolish[-1] provided[0] me[0] with[0] no[0] reason[0] to[0] care[1] for[0] these[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
every scene which has any potential for dramatic impact is effectively diffused by either a stupid joke ( in a scene where tension escalates between the two brothers , foolish blurts out towards his jewelry-sporting sibling " you lay one hand on me and this cemetary is going to be a gold rush " ) or something even more idiotic such as foolish smashing his own car ( to which i said , a bit too loudly for the occasion " huh ? " ) after getting slightly upset with his wife . 	every scene which has any potential for dramatic impact is effectively diffused by either a stupid joke ( in a scene where tension escalates between the two brothers , foolish blurts out towards his jewelry-sporting sibling " you lay one hand on me and this cemetary is going to be a gold rush " ) or something even more idiotic such as foolish smashing his own car ( to which i said , a bit too loudly for the occasion " huh ?<br> " ) after getting slightly upset with his wife .	2	-3	 every[0] scene[0] which[0] has[0] any[0] potential[0] for[0] dramatic[0] impact[0] is[0] effectively[0] diffused[0] by[0] either[0] a[0] stupid[-1] joke[1] in[0] a[0] scene[0] where[0] tension[-2] escalates[0] between[0] the[0] two[0] brothers[0] foolish[-1] blurts[-1] out[0] towards[0] his[0] jewelry[0] sporting[0] sibling[0] you[0] lay[0] one[0] hand[0] on[0] me[0] and[0] this[0] cemetary[0] is[0] going[0] to[0] be[0] a[0] gold[0] rush[0] or[0] something[0] even[0] more[0] idiotic[-2] such[0] as[0] foolish[-1] smashing[0] his[0] own[0] car[0] to[0] which[0] i[0] said[0] a[0] bit[0] too[0] loudly[0] for[0] the[0] occasion[0] huh[0] [[Sentence=-3,2=word max, 1-5]] after[0] getting[0] slightly[0] upset[-2][--1 LastWordBoosterStrength] with[0] his[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[2,-3 max of sentences]]]
believe me when i say that there is nothing in foolish that warrants parting with your hard-earned  8 . 	believe me when i say that there is nothing in foolish that warrants parting with your hard-earned  8 .	1	-2	 believe[0] me[0] when[0] i[0] say[0] that[0] there[0] is[0] nothing[0] in[0] foolish[-1] that[0] warrants[0] parting[0] with[0] your[0] hard[0] earned[0] 8[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you'll get more laughs from watching 30 minutes of comedy central or any virtually any sitcom if you don't have cable . 	you'll get more laughs from watching 30 minutes of comedy central or any virtually any sitcom if you don't have cable .	2	-1	 you'll[0] get[0] more[0] laughs[1] from[0] watching[0] 30[0] minutes[0] of[0] comedy[0] central[0] or[0] any[0] virtually[0] any[0] sitcom[0] if[0] you[0] don't[0] have[0] cable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eddie griffin fans may enjoy this derivative ( although offensive ) yarn , but everyone else should stay the hell away . 	eddie griffin fans may enjoy this derivative ( although offensive ) yarn , but everyone else should stay the hell away .	2	-3	 eddie[0] griffin[0] fans[0] may[0] enjoy[2][-1 LastWordBoosterStrength] this[0] derivative[0] although[0] offensive[-2] yarn[0] but[0] everyone[0] else[0] should[0] stay[0] the[0] hell[-1] away[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
&#137 ; 	&#137 ;	1	-1	 &#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
