a backdrop of new year's eve in 1981 would seem to lend itself to a great party movie . 	Translation	Positive	Negative	EmotionRationale
more subplots - _many_ more - dot the big picture , but those listed above are the only ones worth noting in a positive light . 	more subplots - _many_ more - dot the big picture , but those listed above are the only ones worth noting in a positive light .	3	-1	 more[0] subplots[0] _many_[0] more[0] dot[0] the[0] big[0] picture[0] but[0] those[0] listed[0] above[0] are[0] the[0] only[0] ones[0] worth[0] noting[0] in[0] a[0] positive[2] light[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all the other story tangents are as frazzled as a cokehead trying to solve a rubick's cube . 	all the other story tangents are as frazled as a cokehead trying to solve a rubick's cube .	1	-1	 all[0] the[0] other[0] story[0] tangents[0] are[0] as[0] frazzled/frazled[0] as[0] a[0] cokehead[0] trying[0] to[0] solve[0] a[0] rubick's[0] cube[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ricci and gaby hoffman grate as two ronkonkoma gals ( the kind that have trouble pronouncing hard consonants ) out to have a high time in the big city . 	ricci and gaby hoffman grate as two ronkonkoma gals ( the kind that have trouble pronouncing hard consonants ) out to have a high time in the big city .	2	-2	 ricci[0] and[0] gaby[0] hoffman[0] grate[0] as[0] two[0] ronkonkoma[0] gals[0] the[0] kind[1] that[0] have[0] trouble[-1] pronouncing[0] hard[0] consonants[0] out[0] to[0] have[0] a[0] high[0] time[0] in[0] the[0] big[0] city[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
infamously acerbic comedienne janeane garofalo is wasted in what amounts to a several-scene cameo . 	infamously acerbic comedienne janeane garofalo is wasted in what amounts to a several-scene cameo .	1	-2	 infamously[-1] acerbic[0] comedienne[0] janeane[0] garofalo[0] is[0] wasted[-1] in[0] what[0] amounts[0] to[0] a[0] several[0] scene[0] cameo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hudson , as a pretty-in-pink klutz recently devirginized by a reprehensible ladies' man ( jay mohr ) , trips , pukes and gets smeared with dog poop . 	hudson , as a pretty-in-pink klutz recently devirginized by a reprehensible ladies' man ( jay mohr ) , trips , pukes and gets smeared with dog poop .	3	-4	 hudson[0] as[0] a[0] pretty[2] in[0] pink[0] klutz[0] recently[0] devirginized[0] by[0] a[0] reprehensible[-3] ladies'[0] man[0] jay[0] mohr[0] trips[0] pukes[-2] and[0] gets[0] smeared[-1] with[0] dog[0] poop[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
are we laughing yet ? 	are we laughing yet ?	2	-1	 are[0] we[0] laughing[1] yet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film boils down to a mixture of the good , the bad and the gaudy , with the latter two overtaking the former . 	the film boils down to a mixture of the good , the bad and the gaudy , with the latter two overtaking the former .	2	-2	 the[0] film[0] boils[0] down[0] to[0] a[0] mixture[0] of[0] the[0] good[1] the[0] bad[-1] and[0] the[0] gaudy[-1] with[0] the[0] latter[0] two[0] overtaking[0] the[0] former[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
game performances - especially by love , rudd and plimpton - are almost shot down by the bizarrely colorful parts and a constantly roving focus , here a combination that mostly sputters when it should crackle . 	game performances - especially by love , rudd and plimpton - are almost shot down by the bizarrely colorful parts and a constantly roving focus , here a combination that mostly sputters when it should crackle .	3	-2	 game[0] performances[0] especially[0] by[0] love[2] rudd[0] and[0] plimpton[0] are[0] almost[0] shot[-1] down[0] by[0] the[0] bizarrely[0] colorful[0] parts[0] and[0] a[0] constantly[0] roving[0] focus[0] here[0] a[0] combination[0] that[0] mostly[0] sputters[-1] when[0] it[0] should[0] crackle[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
too many sidetracks rate as uninteresting and have little payoff until a lengthy final montage where we find out many of the performers served as one night stands for each other . 	too many sidetracks rate as uninteresting and have little payoff until a lengthy final montage where we find out many of the performers served as one night stands for each other .	1	-1	 too[0] many[0] sidetracks[0] rate[0] as[0] uninteresting[0] and[0] have[0] little[0] payoff[0] until[0] a[0] lengthy[0] final[0] montage[0] where[0] we[0] find[0] out[0] many[0] of[0] the[0] performers[0] served[0] as[0] one[0] night[0] stands[0] for[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this is " 200 cigarettes , " then get me 200 nicotine patches . 	if this is " 200 cigarettes , " then get me 200 nicotine patches .	1	-1	 if[0] this[0] is[0] 200[0] cigarettes[0] then[0] get[0] me[0] 200[0] nicotine[0] patches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
