phew , what a mess ! 	Translation	Positive	Negative	EmotionRationale
mel is wider-open that we've ever seen him and , if his character's relationship with roberts' initially strains credibility , their combined star power is blissfully intoxicating . 	mel is wider-open that we've ever seen him and , if his character's relationship with roberts' initially strains credibility , their combined star power is blissfully intoxicating .	1	-2	 mel[0] is[0] wider[0] open[0] that[0] we've[0] ever[0] seen[0] him[0] and[0] if[0] his[0] character's[0] relationship[0] with[0] roberts'[0] initially[0] strains[-1] credibility[0] their[0] combined[0] star[0] power[0] is[0] blissfully[0] intoxicating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( the highest wattage of the summer , perhaps ? ) 	 ( the highest wattage of the summer , perhaps ?<br> )	1	-1	 the[0] highest[0] wattage[0] of[0] the[0] summer[0] perhaps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even when the plot contrivances begin to intrude , the two remain a randy dandy screen pair . 	even when the plot contrivances begin to intrude , the two remain a randy dandy screen pair .	1	-2	 even[0] when[0] the[0] plot[0] contrivances[0] begin[0] to[0] intrude[-1] the[0] two[0] remain[0] a[0] randy[0] dandy[0] screen[0] pair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a great scene in jerry's fortress , er , apartment , with alice trying to act casual as her hyperactive host tries to remember the combination to a locked coffee bean container . 	there's a great scene in jerry's fortress , er , apartment , with alice trying to act casual as her hyperactive host tries to remember the combination to a locked coffee bean container .	3	-1	 there's[0] a[0] great[2] scene[0] in[0] jerry's[0] fortress[0] er[0] apartment[0] with[0] alice[0] trying[0] to[0] act[0] casual[0] as[0] her[0] hyperactive[0] host[0] tries[0] to[0] remember[0] the[0] combination[0] to[0] a[0] locked[0] coffee[0] bean[0] container[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( which he stores in another locked con- tainer , his fridge . ) 	 ( which he stores in another locked con- tainer , his fridge .<br> )	1	-1	 which[0] he[0] stores[0] in[0] another[0] locked[0] con[0] tainer[0] his[0] fridge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other hilarious moments , of which there are many , include a trio of memorable convention-breakers , where alice ditches a tail , jerry cold-cocks someone , and , later , eludes a foot pursuit , each in a uproariously unexpected fashion . 	other hilarious moments , of which there are many , include a trio of memorable convention-breakers , where alice ditches a tail , jerry cold-cocks someone , and , later , eludes a foot pursuit , each in a uproariously unexpected fashion .	3	-2	 other[0] hilarious[2] moments[0] of[0] which[0] there[0] are[0] many[0] include[0] a[0] trio[0] of[0] memorable[0] convention[0] breakers[0] where[0] alice[0] ditches[0] a[0] tail[0] jerry[0] cold[-1] cocks[0] someone[0] and[0] later[0] eludes[0] a[0] foot[0] pursuit[0] each[0] in[0] a[0] uproariously[0] unexpected[0] fashion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( that's donner's own ladyhawke playing in the theater , btw . ) 	 ( that's donner's own ladyhawke playing in the theater , by the way .<br> )	2	-1	 that's[0] donner's[0] own[0] ladyhawke[0] playing[1] in[0] the[0] theater[0] btw[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
let's see , other pleasures include . . . 	let's see , other pleasures include .<br> .<br> .	3	-1	 let's[0] see[0] other[0] pleasures[2] include[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a brilliant title sequence , a jazzy score from carter burwell , and the worth-paying-to-see sight of roberts pumping lead into one bad guy and slamming another's head into a wall . 	a brilliant title sequence , a jazy score from carter burwell , and the worth-paying-to-see sight of roberts pumping lead into one bad guy and slamming another's head into a wall .	2	-2	 a[0] brilliant[1] title[0] sequence[0] a[0] jazzy/jazy[0] score[0] from[0] carter[0] burwell[0] and[0] the[0] worth[0] paying[0] to[0] see[0] sight[0] of[0] roberts[0] pumping[0] lead[0] into[0] one[0] bad[-1] guy[0] and[0] slamming[-1] another's[0] head[0] into[0] a[0] wall[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh , pretty woman ! 	oh , pretty woman !	3	-1	 oh[0] pretty[2] woman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
getting to the latter , however , requires slogging through an increasingly overburdened and ultimately unappealing story . 	getting to the latter , however , requires slogging through an increasingly overburdened and ultimately unappealing story .	1	-1	 getting[0] to[0] the[0] latter[0] however[0] requires[0] slogging[0] through[0] an[0] increasingly[0] overburdened[0] and[0] ultimately[0] unappealing[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last hour of conspiracy theory devolves from tolerable to torturous to almost unwatchable . 	the last hour of conspiracy theory devolves from tolerable to torturous to almost unwatchable .	1	-2	 the[0] last[0] hour[0] of[0] conspiracy[-1] theory[0] devolves[0] from[0] tolerable[0] to[0] torturous[-1] to[0] almost[0] unwatchable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
more stuff happens of the stupid shit variety than is worth mentioning here , except , perhaps , for a late sequence that has alice locating jerry in an abandoned wing of a mental hospital by hearing his voice carrying through the air ducts . 	more stuff happens of the stupid shit variety than is worth mentioning here , except , perhaps , for a late sequence that has alice locating jerry in an abandoned wing of a mental hospital by hearing his voice carrying through the air ducts .	1	-2	 more[0] stuff[0] happens[0] of[0] the[0] stupid[-1] shit[-1] variety[0] than[0] is[0] worth[0] mentioning[0] here[0] except[0] perhaps[0] for[0] a[0] late[0] sequence[0] that[0] has[0] alice[0] locating[0] jerry[0] in[0] an[0] abandoned[-1] wing[0] of[0] a[0] mental[0] hospital[0] by[0] hearing[0] his[0] voice[0] carrying[0] through[0] the[0] air[0] ducts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and here i thought it was wabbit season . 	and here i thought it was wabbit season .	1	-1	 and[0] here[0] i[0] thought[0] it[0] was[0] wabbit[0] season[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
good god , who rewrites these movies ? 	good god , who rewrites these movies ?	2	-1	 good[1] god[0] who[0] rewrites[0] these[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and do they arrive in nondescript black vehicles ? 	and do they arrive in nondescript black vehicles ?	1	-1	 and[0] do[0] they[0] arrive[0] in[0] nondescript[0] black[0] vehicles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
