synopsis : in " sooner than you think " america , the future of law enforcement resides in blade squad , a ragtag group of culturally diverse rollerblading cops with jetpacks strapped on their backs . 	Translation	Positive	Negative	EmotionRationale
to be honest , as a made-for-tv presentation , blade squad is at least watchable . 	to be honest , as a made-for-tv presentation , blade squad is at least watchable .	1	-1	 to[0] be[0] honest[0] as[0] a[0] made[0] for[0] tv[0] presentation[0] blade[0] squad[0] is[0] at[0] least[0] watchable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has a relatively large cast of characters , a surprisingly intelligible albeit predictable script , and enough action sequences to keep one half-interested . 	the film has a relatively large cast of characters , a surprisingly intelligible albeit predictable script , and enough action sequences to keep one half-interested .	2	-1	 the[0] film[0] has[0] a[0] relatively[0] large[0] cast[0] of[0] characters[0] a[0] surprisingly[0] intelligible[0] albeit[0] predictable[0] script[0] and[0] enough[0] action[0] sequences[0] to[0] keep[0] one[0] half[0] interested[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'd imagine adolescent males , probably the target audience of this turkey , would get a kick out of it . 	i'd imagine adolescent males , probably the target audience of this turkey , would get a kick out of it .	1	-2	 i'd[0] imagine[0] adolescent[0] males[0] probably[0] the[0] target[0] audience[0] of[0] this[0] turkey[0] would[0] get[0] a[0] kick[-1] out[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i tried to keep that in mind when i watched blade squad . 	i tried to keep that in mind when i watched blade squad .	1	-1	 i[0] tried[0] to[0] keep[0] that[0] in[0] mind[0] when[0] i[0] watched[0] blade[0] squad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can remember liking " airwolf " and " street hawk " when i was 10 or 11 . 	i can remember liking " airwolf " and " street hawk " when i was 10 or 11 .	3	-1	 i[0] can[0] remember[0] liking[2] airwolf[0] and[0] street[0] hawk[0] when[0] i[0] was[0] 10[0] or[0] 11[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , although this isn't saying much , blade squad is leaps and bounds better than the last fox network movie i had the displeasure of wasting time on : the insipidly awful generation x ( a huge disappointment considering the comic book's terrific two-year beginning ) . 	and , although this isn't saying much , blade squad is leaps and bounds better than the last fox network movie i had the displeasure of wasting time on : the insipidly awful generation x ( a huge disappointment considering the comic book's terrific two-year beginning ) .	4	-4	 and[0] although[0] this[0] isn't[0] saying[0] much[0] blade[0] squad[0] is[0] leaps[0] and[0] bounds[0] better[0] than[0] the[0] last[0] fox[0] network[0] movie[0] i[0] had[0] the[0] displeasure[-2] of[0] wasting[0] time[0] on[0] the[0] insipidly[0] awful[-3] generation[0] x[1] a[0] huge[0] disappointment[-1] considering[0] the[0] comic[0] book's[0] terrific[3] two[0] year[0] beginning[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
but , i digress . 	but , i digress .	1	-1	 but[0] i[0] digress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite its limited appeal , blade squad has a lot of kinks to work out if the movie is to become a tv series . 	despite its limited appeal , blade squad has a lot of kinks to work out if the movie is to become a tv series .	1	-1	 despite[0] its[0] limited[0] appeal[0] blade[0] squad[0] has[0] a[0] lot[0] of[0] kinks[0] to[0] work[0] out[0] if[0] the[0] movie[0] is[0] to[0] become[0] a[0] tv[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one , it suffers from mtv syndrome : a lot of quick shots and weird angles continuously jar the viewer's senses while a near nonstop generic rock soundtrack blares incessantly in the background . 	one , it suffers from mtv syndrome : a lot of quick shots and weird angles continuously jar the viewer's senses while a near nonstop generic rock soundtrack blares incessantly in the background .	2	-4	 one[0] it[0] suffers[-3] from[0] mtv[0] syndrome[0] a[0] lot[0] of[0] quick[0] shots[0] and[0] weird[-1] angles[0] continuously[0] jar[0] the[0] viewer's[0] senses[0] while[0] a[0] near[0] nonstop[0] generic[0] rock[1] soundtrack[0] blares[0] incessantly[0] in[0] the[0] background[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
oh yeah , dylan's " knockin' on heaven's door " and bowie's " i'm afraid of americans " are used here , in rather poor taste . 	oh yeah , dylan's " knockin' on heaven's door " and bowie's " i'm afraid of americans " are used here , in rather poor taste .	2	-4	 oh[0] yeah[0] dylan's[0] knockin'[0] on[0] heaven's[1] door[0] and[0] bowie's[0] i'm[0] afraid[-3] of[0] americans[0] are[0] used[0] here[0] in[0] rather[0] poor[-1] taste[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
two , blade squad needs a new crew for the sound . 	two , blade squad needs a new crew for the sound .	1	-1	 two[0] blade[0] squad[0] needs[0] a[0] new[0] crew[0] for[0] the[0] sound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the substandard sound editing irritated me to no end . 	the substandard sound editing irritated me to no end .	1	-3	 the[0] substandard[0] sound[0] editing[0] irritated[-2] me[0] to[0] no[0] end[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
characters' dialogue , at times , sounded choppy and unintelligible . 	characters' dialogue , at times , sounded choppy and unintelligible .	1	-1	 characters'[0] dialogue[0] at[0] times[0] sounded[0] choppy[0] and[0] unintelligible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during one important scene , a song played loudly in the background . 	during one important scene , a song played loudly in the background .	1	-1	 during[0] one[0] important[0] scene[0] a[0] song[0] played[0] loudly[0] in[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when a character spoke , the song's volume dropped but did not disappear . 	when a character spoke , the song's volume dropped but did not disappear .	1	-1	 when[0] a[0] character[0] spoke[0] the[0] song's[0] volume[0] dropped[0] but[0] did[0] not[0] disappear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as soon as that character finished speaking , the song's volume immediately returned to its original level until the next character spoke . 	as soon as that character finished speaking , the song's volume immediately returned to its original level until the next character spoke .	1	-1	 as[0] soon[0] as[0] that[0] character[0] finished[0] speaking[0] the[0] song's[0] volume[0] immediately[0] returned[0] to[0] its[0] original[0] level[0] until[0] the[0] next[0] character[0] spoke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this sounds trivial , i'm sure , but it distracted me immensely . 	this sounds trivial , i'm sure , but it distracted me immensely .	1	-2	 this[0] sounds[0] trivial[-1] i'm[0] sure[0] but[0] it[0] distracted[-1] me[0] immensely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , this is commercial television . 	finally , this is commercial television .	1	-1	 finally[0] this[0] is[0] commercial[0] television[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
foul language is not allowed , typically , on commercial television . 	foul language is not allowed , typically , on commercial television .	1	-1	 foul[0] language[0] is[0] not[0] allowed[0] typically[0] on[0] commercial[0] television[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thus , don't use foul language in a made-for-tv production because that foul language has to be censored in some manner . 	thus , don't use foul language in a made-for-tv production because that foul language has to be censored in some manner .	1	-2	 thus[0] don't[0] use[0] foul[0] language[0] in[0] a[0] made[0] for[0] tv[0] production[0] because[0] that[0] foul[0] language[0] has[0] to[0] be[0] censored[-1] in[0] some[0] manner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in an early scene of the film , for example , the lead good guy and bad guy have a minor confrontation in the streets . 	in an early scene of the film , for example , the lead good guy and bad guy have a minor confrontation in the streets .	2	-3	 in[0] an[0] early[0] scene[0] of[0] the[0] film[0] for[0] example[0] the[0] lead[0] good[1] guy[0] and[0] bad[-1] guy[0] have[0] a[0] minor[0] confrontation[-2] in[0] the[0] streets[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when the good guy spouts out a bad word , a driver conveniently honks his car's horn off-screen to muffle the word out . 	when the good guy spouts out a bad word , a driver conveniently honks his car's horn off-screen to muffle the word out .	2	-2	 when[0] the[0] good[1] guy[0] spouts[0] out[0] a[0] bad[-1] word[0] a[0] driver[0] conveniently[0] honks[0] his[0] car's[0] horn[0] off[0] screen[0] to[0] muffle[0] the[0] word[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a " seinfeld " episode , this technique proved funny ; here , it seemed goofy and cut the dramatic tension considerably . 	in a " seinfeld " episode , this technique proved funny ; here , it seemed goofy and cut the dramatic tension considerably .	2	-3	 in[0] a[0] seinfeld[0] episode[0] this[0] technique[0] proved[0] funny[1] here[0] it[0] seemed[0] goofy[0] and[0] cut[0] the[0] dramatic[0] tension[-2] considerably[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
perhaps future writers , if a show is spun out of the movie , could take a cue from marvel comics' 2099 series of comics . 	perhaps future writers , if a show is spun out of the movie , could take a cue from marvel comics' 2099 series of comics .	1	-1	 perhaps[0] future[0] writers[0] if[0] a[0] show[0] is[0] spun[0] out[0] of[0] the[0] movie[0] could[0] take[0] a[0] cue[0] from[0] marvel[0] comics'[0] 2099[0] series[0] of[0] comics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
make up a bunch of new bad words for the future . 	make up a bunch of new bad words for the future .	1	-2	 make[0] up[0] a[0] bunch[0] of[0] new[0] bad[-1] words[0] for[0] the[0] future[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this way , you don't need a bunch of honking horns or other silly devices to cover up foul language . 	this way , you don't need a bunch of honking horns or other silly devices to cover up foul language .	1	-2	 this[0] way[0] you[0] don't[0] need[0] a[0] bunch[0] of[0] honking[0] horns[0] or[0] other[0] silly[-1] devices[0] to[0] cover[0] up[0] foul[0] language[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
compared to the usual crap broadcast tv networks have to offer in terms of movies , blade squad is a suitable exercise in camp . 	compared to the usual crap broadcast tv networks have to offer in terms of movies , blade squad is a suitable exercise in camp .	1	-3	 compared[0] to[0] the[0] usual[0] crap[-2] broadcast[0] tv[0] networks[0] have[0] to[0] offer[0] in[0] terms[0] of[0] movies[0] blade[0] squad[0] is[0] a[0] suitable[0] exercise[0] in[0] camp[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when compared to , say , a movie studio film , blade squad has a lot in common with a term which shares its initials : bs . 	when compared to , say , a movie studio film , blade squad has a lot in common with a term which shares its initials : bs .	1	-1	 when[0] compared[0] to[0] say[0] a[0] movie[0] studio[0] film[0] blade[0] squad[0] has[0] a[0] lot[0] in[0] common[0] with[0] a[0] term[0] which[0] shares[0] its[0] initials[0] bs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( review written august 12 , 1998 ) 	 ( review written august 12 , 1998 )	1	-1	 review[0] written[0] august[0] 12[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
