if i were to plot a graph of year against movie-plot-ridiculity for = hollywood movies , you'll probably see a line with constant gradient . 	Translation	Positive	Negative	EmotionRationale
and harry struts it out , grace   is place in a position where she is unable to take sides , so she remains   seated in the nasa control tower , crying over both of them in about 80%   of the movie . 	and harry struts it out , grace   is place in a position where she is unable to take sides , so she remains   seated in the nasa control tower , crying over both of them in about 80%   of the movie .	3	-4	 and[0] harry[0] struts[0] it[0] out[0] grace[2] is[0] place[0] in[0] a[0] position[0] where[0] she[0] is[0] unable[0] to[0] take[0] sides[0] so[0] she[0] remains[0] seated[0] in[0] the[0] nasa[0] control[0] tower[0] crying[-3] over[0] both[0] of[0] them[0] in[0] about[0] 80%[0] of[0] the[0] movie[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the human elements this movie tries to inject proves to be nothing more   than just an excuse for more slow-mo's and gold-tinted photography . 	the human elements this movie tries to inject proves to be nothing more   than just an excuse for more slow-mo's and gold-tinted photography .	1	-1	 the[0] human[0] elements[0] this[0] movie[0] tries[0] to[0] inject[0] proves[0] to[0] be[0] nothing[0] more[0] than[0] just[0] an[0] excuse[0] for[0] more[0] slow[0] mo's[0] and[0] gold[0] tinted[0] photography[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the   anguish of the world is potrayed with scenes of people praying , running   for their lives or just sitting still staring at the sky , sounds fine   right ? 	the   anguish of the world is potrayed with scenes of people praying , running   for their lives or just sitting still staring at the sky , sounds fine   right ?	3	-4	 the[0] anguish[-3] of[0] the[0] world[0] is[0] potrayed[0] with[0] scenes[0] of[0] people[0] praying[0] running[0] for[0] their[0] lives[0] or[0] just[0] sitting[0] still[0] staring[0] at[0] the[0] sky[0] sounds[0] fine[2] right[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i know , but it looks too out of place on screen , too staged . 	i know , but it looks too out of place on screen , too staged .	1	-1	 i[0] know[0] but[0] it[0] looks[0] too[0] out[0] of[0] place[0] on[0] screen[0] too[0] staged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if   you were to ask yourself ,  what's the difference between armageddon and   a r&b music video ? " 	if   you were to ask yourself ,  what's the difference between armageddon and   a r&b music video ?<br> "	1	-1	 if[0] you[0] were[0] to[0] ask[0] yourself[0] what's[0] the[0] difference[0] between[0] armageddon[0] and[0] a[0] r&b[0] music[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'd probably just said  the music . " . 	you'd probably just said  the music .<br> " .	1	-1	 you'd[0] probably[0] just[0] said[0] the[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not   surprising since michael bay is a child of that industry and has   actually managed to transpose his mtv skills to screen successfully . 	not   surprising since michael bay is a child of that industry and has   actually managed to transpose his mtv skills to screen successfully .	3	-1	 not[0] surprising[0] since[0] michael[0] bay[0] is[0] a[0] child[0] of[0] that[0] industry[0] and[0] has[0] actually[0] managed[0] to[0] transpose[0] his[0] mtv[0] skills[0] to[0] screen[0] successfully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his   foray into armageddon just proves that he doesn't when to stop . 	his   foray into armageddon just proves that he doesn't when to stop .	1	-1	 his[0] foray[0] into[0] armageddon[0] just[0] proves[0] that[0] he[0] doesn't[0] when[0] to[0] stop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well there's really nothing much to sum up here . 	well there's really nothing much to sum up here .	1	-1	 well[0] there's[0] really[0] nothing[0] much[0] to[0] sum[0] up[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the   stock-aitken-waterman of hollywood movies have projected their art-form   into ridiculity , beyond the plane believability , where people still   accept even if they didn't believe . 	the   stock-aitken-waterman of hollywood movies have projected their art-form   into ridiculity , beyond the plane believability , where people still   accept even if they didn't believe .	1	-3	 the[0] stock[0] aitken[0] waterman[0] of[0] hollywood[0] movies[0] have[0] projected[0] their[0] art[0] form[0] into[0] ridiculity[-2] beyond[0] the[0] plane[0] believability[0] where[0] people[0] still[0] accept[0] even[0] if[0] they[0] didn't[0] believe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
deep impact was ridiculous in most   aspects and i believe the makers know this . 	deep impact was ridiculous in most   aspects and i believe the makers know this .	1	-3	 deep[0] impact[0] was[0] ridiculous[-2] in[0] most[0] aspects[0] and[0] i[0] believe[0] the[0] makers[0] know[0] this[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the thing is , they decided   to shroud myth and fantasy with a purely believable human tale of   suffering and coming in terms with ones problems , which ultimately   brought it above the ashes which it had initially put itself in . 	the thing is , they decided   to shroud myth and fantasy with a purely believable human tale of   suffering and coming in terms with ones problems , which ultimately   brought it above the ashes which it had initially put itself in .	1	-4	 the[0] thing[0] is[0] they[0] decided[0] to[0] shroud[-1] myth[0] and[0] fantasy[0] with[0] a[0] purely[0] believable[0] human[0] tale[0] of[0] suffering[-3] and[0] coming[0] in[0] terms[0] with[0] ones[0] problems[-1] which[0] ultimately[0] brought[0] it[0] above[0] the[0] ashes[0] which[0] it[0] had[0] initially[0] put[0] itself[0] in[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
  armageddon , is an overcrowded , loud , messy , preposterously manipulative   waste of money and deserves to remain in that same pile of ash . .  20 	  armageddon , is an overcrowded , loud , messy , preposterously manipulative   waste of money and deserves to remain in that same pile of ash .<br> .<br>  20	1	-2	 armageddon[0] is[0] an[0] overcrowded[0] loud[0] messy[0] preposterously[-1] manipulative[-1] waste[-1] of[0] money[0] and[0] deserves[0] to[0] remain[0] in[0] that[0] same[0] pile[0] of[0] ash[0] [[Sentence=-2,1=word max, 1-5]] 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you have planned to watched this over deep impact because of liv   tyler , bruce willis or the tagline " from the makers of  the rock' ! ! " . 	if you have planned to watched this over deep impact because of liv   tyler , bruce willis or the tagline " from the makers of  the rock' !<br> !<br> " .	1	-1	 if[0] you[0] have[0] planned[0] to[0] watched[0] this[0] over[0] deep[0] impact[0] because[0] of[0] liv[0] tyler[0] bruce[0] willis[0] or[0] the[0] tagline[0] from[0] the[0] makers[0] of[0] the[0] rock'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  please catch deep impact before it finishes its run , it may be the only   meteor worth watching in long-long time . 	  please catch deep impact before it finishes its run , it may be the only   meteor worth watching in long-long time .	2	-1	 please[1] catch[0] deep[0] impact[0] before[0] it[0] finishes[0] its[0] run[0] it[0] may[0] be[0] the[0] only[0] meteor[0] worth[0] watching[0] in[0] long[0] long[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you have to see it , please   bring ear-plugs and some aspirins ( for the vertigo ) . 	if you have to see it , please   bring ear-plugs and some aspirins ( for the vertigo ) .	2	-1	 if[0] you[0] have[0] to[0] see[0] it[0] please[1] bring[0] ear[0] plugs[0] and[0] some[0] aspirins[0] for[0] the[0] vertigo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
expect armageddon   ld's to retail at s 19 . 90 at carrefour come release time . 	expect armageddon   ld's to retail at s 19 .<br> 90 at carrefour come release time .	1	-1	 expect[0] armageddon[0] ld's[0] to[0] retail[0] at[0] s[0] 19[0] [[Sentence=-1,1=word max, 1-5]] 90[0] at[0] carrefour[0] come[0] release[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gee . . . . . . even 	gee .<br> .<br> .<br> .<br> .<br> .<br> even	1	-1	 gee[0] [[Sentence=-1,1=word max, 1-5]] even[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  that's not worth it ! 	  that's not worth it !	1	-1	 that's[0] not[0] worth[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
