so much for sweet returns . 	Translation	Positive	Negative	EmotionRationale
has no story to speak of , and is so vacuous of ideas , that the filmmakers , were forced to have a murder occur every five minutes just to keep the audience interested . 	has no story to speak of , and is so vacuous of ideas , that the filmmakers , were forced to have a murder occur every five minutes just to keep the audience interested .	2	-4	 has[0] no[0] story[0] to[0] speak[0] of[0] and[0] is[0] so[0] vacuous[0] of[0] ideas[0] that[0] the[0] filmmakers[0] were[0] forced[0] to[0] have[0] a[0] murder[-3] occur[0] every[0] five[0] minutes[0] just[0] to[0] keep[0] the[0] audience[0] interested[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
also gone are any signs of character development , and since every single character died before i got to know them , all i was left with was to stare at the screen , indifferent to what was going on . 	also gone are any signs of character development , and since every single character died before i got to know them , all i was left with was to stare at the screen , indifferent to what was going on .	1	-2	 also[0] gone[0] are[0] any[0] signs[0] of[0] character[0] development[0] and[0] since[0] every[0] single[0] character[0] died[0] before[0] i[0] got[0] to[0] know[0] them[0] all[0] i[0] was[0] left[0] with[0] was[0] to[0] stare[0] at[0] the[0] screen[0] indifferent[-1] to[0] what[0] was[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while i cared about the fates of the characters in the original , it made no difference to me in this sequel who lived and died . 	while i cared about the fates of the characters in the original , it made no difference to me in this sequel who lived and died .	2	-1	 while[0] i[0] cared[1] about[0] the[0] fates[0] of[0] the[0] characters[0] in[0] the[0] original[0] it[0] made[0] no[0] difference[0] to[0] me[0] in[0] this[0] sequel[0] who[0] lived[0] and[0] died[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they were all paper-thin and pointless , except to become victims to the lethal hook of the fisherman . 	they were all paper-thin and pointless , except to become victims to the lethal hook of the fisherman .	1	-3	 they[0] were[0] all[0] paper[0] thin[0] and[0] pointless[-1] except[0] to[0] become[0] victims[-2] to[0] the[0] lethal[0] hook[0] of[0] the[0] fisherman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another element that made the original so memorable were some superbly crafted set-pieces , like the store sequence with sarah michelle gellar , but there are none to speak of in this sequel ( although they do come close at one moment with brandy ) . 	another element that made the original so memorable were some superbly crafted set-pieces , like the store sequence with sarah michelle gellar , but there are none to speak of in this sequel ( although they do come close at one moment with brandy ) .	2	-1	 another[0] element[0] that[0] made[0] the[0] original[0] so[0] memorable[0] were[0] some[0] superbly[0] crafted[0] set[0] pieces[0] like[1] the[0] store[0] sequence[0] with[0] sarah[0] michelle[0] gellar[0] but[0] there[0] are[0] none[0] to[0] speak[0] of[0] in[0] this[0] sequel[0] although[0] they[0] do[0] come[0] close[0] at[0] one[0] moment[0] with[0] brandy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since so many people were killed every couple minutes , the suspense and scares evaporated faster than salt in water . 	since so many people were killed every couple minutes , the suspense and scares evaporated faster than salt in water .	1	-4	 since[0] so[0] many[0] people[0] were[0] killed[-3] every[0] couple[0] minutes[0] the[0] suspense[0] and[0] scares[-3] evaporated[0] faster[0] than[0] salt[0] in[0] water[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
also of note is the mystery of the second killer , and accomplice to ben , but it is obvious from the first frame who it is , and so i couldn't even have fun at that , like i did in the " scream " movies and , " urban legend . " 	also of note is the mystery of the second killer , and accomplice to ben , but it is obvious from the first frame who it is , and so i couldn't even have fun at that , like i did in the " scream " movies and , " urban legend .<br> "	2	-4	 also[0] of[0] note[0] is[0] the[0] mystery[0] of[0] the[0] second[0] killer[-1] and[0] accomplice[0] to[0] ben[0] but[0] it[0] is[0] obvious[0] from[0] the[0] first[0] frame[0] who[0] it[0] is[0] and[0] so[0] i[0] couldn't[0] even[0] have[0] fun[1] at[0] that[0] like[1] i[0] did[0] in[0] the[0] scream[-3] movies[0] and[0] urban[0] legend[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it figures that just as slasher films were starting to get some recognition again , a film would come along and ruin it for everyone else . 	it figures that just as slasher films were starting to get some recognition again , a film would come along and ruin it for everyone else .	1	-2	 it[0] figures[0] that[0] just[0] as[0] slasher[-1] films[0] were[0] starting[0] to[0] get[0] some[0] recognition[0] again[0] a[0] film[0] would[0] come[0] along[0] and[0] ruin[-1] it[0] for[0] everyone[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe the people who made , " i still know what you did last summer , " should have realized that in order to make a good movie , you must have a screenplay---or at least one that isn't such a black hole for thoughts and ideas . 	maybe the people who made , " i still know what you did last summer , " should have realized that in order to make a good movie , you must have a screenplay-or at least one that isn't such a black hole for thoughts and ideas .	2	-1	 maybe[0] the[0] people[0] who[0] made[0] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] should[0] have[0] realized[0] that[0] in[0] order[0] to[0] make[0] a[0] good[1] movie[0] you[0] must[0] have[0] a[0] screenplay[0] or[0] at[0] least[0] one[0] that[0] isn't[0] such[0] a[0] black[0] hole[0] for[0] thoughts[0] and[0] ideas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the ending of the film inevitably leaves the door wide open for a third part , but judging from this amazingly lackluster first sequel , everyone involved should have quit while they were still ahead . 	the ending of the film inevitably leaves the door wide open for a third part , but judging from this amazingly lackluster first sequel , everyone involved should have quit while they were still ahead .	3	-2	 the[0] ending[0] of[0] the[0] film[0] inevitably[0] leaves[0] the[0] door[0] wide[0] open[0] for[0] a[0] third[0] part[0] but[0] judging[0] from[0] this[0] amazingly[2] lackluster[0] first[0] sequel[0] everyone[0] involved[0] should[0] have[0] quit[-1] while[0] they[0] were[0] still[0] ahead[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
