romeo is bleeding wants to carry the unusual flavor of reservoir dogs or bad lieutenant . 	Translation	Positive	Negative	EmotionRationale
after being shot , handcuffed , and thrown in the back seat of a car , she still manages to cause an accident , kick out the windshield with her legs , grab a suitcase full of money ( plus some important documentation ) , climb through the rubble , land on her shot leg , and still succeed at running for safety . 	after being shot , handcuffed , and thrown in the back seat of a car , she still manages to cause an accident , kick out the windshield with her legs , grab a suitcase full of money ( plus some important documentation ) , climb through the rubble , land on her shot leg , and still succeed at running for safety .	3	-2	 after[0] being[0] shot[-1] handcuffed[0] and[0] thrown[0] in[0] the[0] back[0] seat[0] of[0] a[0] car[0] she[0] still[0] manages[0] to[0] cause[0] an[0] accident[-1] kick[-1] out[0] the[0] windshield[0] with[0] her[0] legs[0] grab[-1] a[0] suitcase[0] full[0] of[0] money[0] plus[0] some[0] important[0] documentation[0] climb[0] through[0] the[0] rubble[0] land[0] on[0] her[0] shot[-1] leg[0] and[0] still[0] succeed[2] at[0] running[0] for[0] safety[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what a woman ! 	what a woman !	1	-1	 what[0] a[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lena olin's performance is the only glimmer in this dismal film . 	lena olin's performance is the only glimmer in this dismal film .	1	-2	 lena[0] olin's[0] performance[0] is[0] the[0] only[0] glimmer[0] in[0] this[0] dismal[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anabella sciorra is wasted in her role as romeo's wife . 	anabella sciorra is wasted in her role as romeo's wife .	1	-2	 anabella[0] sciorra[0] is[0] wasted[-1] in[0] her[0] role[0] as[0] romeo's[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is little insight into her character . 	there is little insight into her character .	1	-1	 there[0] is[0] little[0] insight[0] into[0] her[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's depressed , she makes obvious references , she mopes around the house . 	she's depressed , she makes obvious references , she mopes around the house .	1	-4	 she's[0] depressed[-3] she[0] makes[0] obvious[0] references[0] she[0] mopes[0] around[0] the[0] house[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
juliette lewis , as romeo's girlfriend , is treated with the same cliche attitudes , although ms . lewis' portrayal certainly didn't improve it . 	juliette lewis , as romeo's girlfriend , is treated with the same cliche attitudes , although ms .<br> lewis' portrayal certainly didn't improve it .	2	-1	 juliette[0] lewis[0] as[0] romeo's[0] girlfriend[0] is[0] treated[0] with[0] the[0] same[0] cliche[0] attitudes[0] although[0] ms[0] [[Sentence=-1,1=word max, 1-5]] lewis'[0] portrayal[0] certainly[0] didn't[0] improve[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both women were anything but sexy or attractive . 	both women were anything but sexy or attractive .	3	-1	 both[0] women[0] were[0] anything[0] but[0] sexy[2] or[0] attractive[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
poorly developed characters aside , the screenplay also suffers from several logistical problems . 	poorly developed characters aside , the screenplay also suffers from several logistical problems .	1	-4	 poorly[-1] developed[0] characters[0] aside[0] the[0] screenplay[0] also[0] suffers[-3] from[0] several[0] logistical[0] problems[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is so discouraging to watch a film and want to shout at the main character ( not ) to do something . 	it is so discouraging to watch a film and want to shout at the main character ( not ) to do something .	1	-2	 it[0] is[0] so[0] discouraging[-1] to[0] watch[0] a[0] film[0] and[0] want[0] to[0] shout[0] at[0] the[0] main[0] character[0] not[0] to[0] do[0] something[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , jack and his friends attend a funeral to hang in the background to scope-out the mob scene . 	for example , jack and his friends attend a funeral to hang in the background to scope-out the mob scene .	2	-2	 for[0] example[0] jack[0] and[0] his[0] friends[1] attend[0] a[0] funeral[0] to[0] hang[-1] in[0] the[0] background[0] to[0] scope[0] out[0] the[0] mob[0] scene[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fine . 	fine .	3	-1	 fine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jack spots the big boss with his goons by the gravesite . 	jack spots the big boss with his goons by the gravesite .	1	-3	 jack[0] spots[0] the[0] big[0] boss[0] with[0] his[0] goons[0] by[0] the[0] gravesite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fine . 	fine .	3	-1	 fine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what does jack proceed to do ? 	what does jack proceed to do ?	1	-1	 what[0] does[0] jack[0] proceed[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he brushes his friends off by telling them he isn't feeling well , then strolls over to the boss . 	he brushes his friends off by telling them he isn't feeling well , then strolls over to the boss .	2	-1	 he[0] brushes[0] his[0] friends[1] off[0] by[0] telling[0] them[0] he[0] isn't[0] feeling[0] well[0] then[0] strolls[0] over[0] to[0] the[0] boss[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the boss had all ready threatened him ; falcone simply takes the opportunity to issue more threats by ordering his goons to take off some of jack's toes by the gravesite . 	the boss had all ready threatened him ; falcone simply takes the opportunity to issue more threats by ordering his goons to take off some of jack's toes by the gravesite .	1	-3	 the[0] boss[0] had[0] all[0] ready[0] threatened[-2] him[0] falcone[0] simply[0] takes[0] the[0] opportunity[0] to[0] issue[0] more[0] threats[-2] by[0] ordering[0] his[0] goons[0] to[0] take[0] off[0] some[0] of[0] jack's[0] toes[0] by[0] the[0] gravesite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i guess they weren't worried about any federal agents lingering around after the funeral . . . . 	i guess they weren't worried about any federal agents lingering around after the funeral .<br> .<br> .<br> .	1	-4	 i[0] guess[0] they[0] weren't[0] worried[-3] about[0] any[0] federal[0] agents[0] lingering[0] around[0] after[0] the[0] funeral[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
or here's another : demarkov set-up her own death by cutting off her arm with a circular saw . 	or here's another : demarkov set-up her own death by cutting off her arm with a circular saw .	1	-3	 or[0] here's[0] another[0] demarkov[0] set[0] up[0] her[0] own[0] death[-2] by[0] cutting[0] off[0] her[0] arm[0] with[0] a[0] circular[0] saw[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she proceeded to set the place on fire . 	she proceeded to set the place on fire .	1	-1	 she[0] proceeded[0] to[0] set[0] the[0] place[0] on[0] fire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wouldn't the flames burn off the fingerprints ? 	wouldn't the flames burn off the fingerprints ?	1	-2	 wouldn't[0] the[0] flames[0] burn[-1] off[0] the[0] fingerprints[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aren't dental records more important ? 	aren't dental records more important ?	2	-1	 aren't[0] dental[-1][NegatedDueToPreviousWord] records[0] more[0] important[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as bright and resourceful as she was supposed to be , couldn't she come up with a better plot ? 	as bright and resourceful as she was supposed to be , couldn't she come up with a better plot ?	1	-1	 as[0] bright[0] and[0] resourceful[0] as[0] she[0] was[0] supposed[0] to[0] be[0] couldn't[0] she[0] come[0] up[0] with[0] a[0] better[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( and it took her no time at all to get a good-fitting , functional prosthesis . ) 	 ( and it took her no time at all to get a good-fitting , functional prosthesis .<br> )	2	-1	 and[0] it[0] took[0] her[0] no[0] time[0] at[0] all[0] to[0] get[0] a[0] good[1] fitting[0] functional[0] prosthesis[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lack of attention to detail certainly adds up in a film . 	lack of attention to detail certainly adds up in a film .	1	-2	 lack[-1] of[0] attention[0] to[0] detail[0] certainly[0] adds[0] up[0] in[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film doesn't even add up the large details . 	this film doesn't even add up the large details .	1	-1	 this[0] film[0] doesn't[0] even[0] add[0] up[0] the[0] large[0] details[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is little or no consistency in the story-line . 	there is little or no consistency in the story-line .	1	-1	 there[0] is[0] little[0] or[0] no[0] consistency[0] in[0] the[0] story[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not much makes sense . 	not much makes sense .	1	-1	 not[0] much[0] makes[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the direction lacks cohesion , surprising from a director whose previous credits are impeccable . 	the direction lacks cohesion , surprising from a director whose previous credits are impeccable .	1	-1	 the[0] direction[0] lacks[0] cohesion[0] surprising[0] from[0] a[0] director[0] whose[0] previous[0] credits[0] are[0] impeccable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the moods shift , the styles shift , and no one can seem to decide if it is a serious film or satire of one . 	the moods shift , the styles shift , and no one can seem to decide if it is a serious film or satire of one .	1	-2	 the[0] moods[0] shift[0] the[0] styles[0] shift[0] and[0] no[0] one[0] can[0] seem[0] to[0] decide[0] if[0] it[0] is[0] a[0] serious[-1] film[0] or[0] satire[0] of[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so while it certainly isn't reservoir dogs , it certainly isn't diva . 	so while it certainly isn't reservoir dogs , it certainly isn't diva .	1	-1	 so[0] while[0] it[0] certainly[0] isn't[0] reservoir[0] dogs[0] it[0] certainly[0] isn't[0] diva[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's plenty more to tear apart in this film . 	there's plenty more to tear apart in this film .	1	-2	 there's[0] plenty[0] more[0] to[0] tear[-1] apart[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my advice to someone who hasn't seen it to to wait until it comes on video . 	my advice to someone who hasn't seen it to to wait until it comes on video .	1	-1	 my[0] advice[0] to[0] someone[0] who[0] hasn't[0] seen[0] it[0] to[0] to[0] wait[0] until[0] it[0] comes[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some quotable lines that would provide a campy evening if not taken seriously . 	there are some quotable lines that would provide a campy evening if not taken seriously .	1	-1	 there[0] are[0] some[0] quotable[0] lines[0] that[0] would[0] provide[0] a[0] campy[0] evening[0] if[0] not[0] taken[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not a boring film , just not a good one . 	it's not a boring film , just not a good one .	2	-2	 it's[0] not[0] a[0] boring[-1][NegatedDueToPreviousWord] film[0] just[0] not[0] a[0] good[1][NegatedDueToPreviousWord] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
or an intelligent one . 	or an intelligent one .	2	-1	 or[0] an[0] intelligent[1] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
