writers : dennis feldman and jonathan hensleigh ( based on the comic book by chuck pfarrer ) 	Translation	Positive	Negative	EmotionRationale
not that any of this is for a second scary or the least bit involving ; not only does this film start off with a chintzy bond-ian opening ( the destruction of the cruiser via a satellite transmission from mir ) , destroying any of the suspense in what could happen , but it also fails to bring us any interesting chracters . 	not that any of this is for a second scary or the least bit involving ; not only does this film start off with a chintzy bond-ian opening ( the destruction of the cruiser via a satellite transmission from mir ) , destroying any of the suspense in what could happen , but it also fails to bring us any interesting chracters .	2	-4	 not[0] that[0] any[0] of[0] this[0] is[0] for[0] a[0] second[0] scary[-3] or[0] the[0] least[0] bit[0] involving[0] not[0] only[0] does[0] this[0] film[0] start[0] off[0] with[0] a[0] chintzy[0] bond[0] ian[0] opening[0] the[0] destruction[-1] of[0] the[0] cruiser[0] via[0] a[0] satellite[0] transmission[0] from[0] mir[0] destroying[-2] any[0] of[0] the[0] suspense[0] in[0] what[0] could[0] happen[0] but[0] it[0] also[0] fails[-2] to[0] bring[0] us[0] any[0] interesting[1] chracters[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of its motley crew , it only choses as its potentially eccentric cast of characters a lead woman skipper , a masculine potential-romantic-interest , a drunken captain , a black technician , a tatooed aborigine , a manic russian survivor , and a couple other candidates for alien food , none whom are the least bit interesting or more dimensional than a thin , plain piece of writing paper . 	of its motley crew , it only choses as its potentially eccentric cast of characters a lead woman skipper , a masculine potential-romantic-interest , a drunken captain , a black technician , a tatooed aborigine , a manic russian survivor , and a couple other candidates for alien food , none whom are the least bit interesting or more dimensional than a thin , plain piece of writing paper .	4	-2	 of[0] its[0] motley[-1] crew[0] it[0] only[0] choses[0] as[0] its[0] potentially[0] eccentric[-1] cast[0] of[0] characters[0] a[0] lead[0] woman[0] skipper[0] a[0] masculine[0] potential[0] romantic[3] interest[1] a[0] drunken[-1] captain[0] a[0] black[0] technician[0] a[0] tatooed[0] aborigine[0] a[0] manic[0] russian[0] survivor[0] and[0] a[0] couple[0] other[0] candidates[0] for[0] alien[-1] food[0] none[0] whom[0] are[0] the[0] least[0] bit[0] interesting[1] or[0] more[0] dimensional[0] than[0] a[0] thin[0] plain[0] piece[0] of[0] writing[0] paper[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and it's not the traditional argument for films like these , where you may in fact want them all to be eaten ( even " aliens " played with the karma of the arrogant soldiers , but this was more of a plus-side for the film as a whole than the opposite ) ; instead , as another cliche goes , you just don't give a damn . 	and it's not the traditional argument for films like these , where you may in fact want them all to be eaten ( even " aliens " played with the karma of the arrogant soldiers , but this was more of a plus-side for the film as a whole than the opposite ) ; instead , as another cliche goes , you just don't give a damn .	2	-3	 and[0] it's[0] not[0] the[0] traditional[0] argument[-1] for[0] films[0] like[1] these[0] where[0] you[0] may[0] in[0] fact[0] want[0] them[0] all[0] to[0] be[0] eaten[0] even[0] aliens[0] played[0] with[0] the[0] karma[0] of[0] the[0] arrogant[-2] soldiers[0] but[0] this[0] was[0] more[0] of[0] a[0] plus[0] side[0] for[0] the[0] film[0] as[0] a[0] whole[0] than[0] the[0] opposite[0] instead[0] as[0] another[0] cliche[0] goes[0] you[0] just[0] don't[0] give[0] a[0] damn[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i almost don't even have to say that the acting from everyone ranges from sub-par to horrific , the former being jamie lee curtis in the lead showing off what a strong female lead she is ( and she is , just not really here ) and the latter being - and it pains me to say this as he's a particular favorite of mine - donald sutherland , who plays the captain so poorly and without a second of credibility that this will go down as the performance-of-which-he-should-be-ashamed . 	i almost don't even have to say that the acting from everyone ranges from sub-par to horrific , the former being jamie lee curtis in the lead showing off what a strong female lead she is ( and she is , just not really here ) and the latter being - and it pains me to say this as he's a particular favorite of mine - donald sutherland , who plays the captain so poorly and without a second of credibility that this will go down as the performance-of-which-he-should-be-ashamed .	2	-4	 i[0] almost[0] don't[0] even[0] have[0] to[0] say[0] that[0] the[0] acting[0] from[0] everyone[0] ranges[0] from[0] sub[0] par[0] to[0] horrific[-3] the[0] former[0] being[0] jamie[0] lee[0] curtis[0] in[0] the[0] lead[0] showing[0] off[0] what[0] a[0] strong[0] female[0] lead[0] she[0] is[0] and[0] she[0] is[0] just[0] not[0] really[0] here[0] and[0] the[0] latter[0] being[0] and[0] it[0] pains[-3] me[0] to[0] say[0] this[0] as[0] he's[0] a[0] particular[0] favorite[1] of[0] mine[0] donald[0] sutherland[0] who[0] plays[1] the[0] captain[0] so[0] poorly[-1] and[0] without[0] a[0] second[0] of[0] credibility[0] that[0] this[0] will[0] go[0] down[0] as[0] the[0] performance[0] of[0] which[0] he[0] should[0] be[0] ashamed[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
like anthony hopkins for " legends of the fall " ( the line " scrooooooo 'em " has been thus embroidered upon my membrance ) . 	like anthony hopkins for " legends of the fall " ( the line " scroo 'em " has been thus embroidered upon my membrance ) .	2	-1	 like[1] anthony[0] hopkins[0] for[0] legends[0] of[0] the[0] fall[0] the[0] line[0] scrooooooo/scroo[0][+0.6 MultipleLetters] 'em[0] has[0] been[0] thus[0] embroidered[0] upon[0] my[0] membrance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or peter o'toole in " caligula . " 	or peter o'toole in " caligula .<br> "	1	-1	 or[0] peter[0] o'toole[0] in[0] caligula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
great actor , horrific performance . 	great actor , horrific performance .	3	-4	 great[2] actor[0] horrific[-3] performance[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it happens every now and then , and it only helps sutherland's career that no one , except for an elite few , even bothered to see this film . 	it happens every now and then , and it only helps sutherland's career that no one , except for an elite few , even bothered to see this film .	1	-2	 it[0] happens[0] every[0] now[0] and[0] then[0] and[0] it[0] only[0] helps[0] sutherland's[0] career[0] that[0] no[0] one[0] except[0] for[0] an[0] elite[0] few[0] even[0] bothered[-1] to[0] see[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though it has sat on the shelves of universal studios for about two years , waiting until it can be released and make as much money as it possibly can ( read : early january , when everyone's still trying to catch up on the potential oscar-nominees ) , it does show that universal shelled out a pretty penny to make this film : it's laden with complex machinery , boasts respectable production design , and it may even feature believable special effects . . . if , of course , i , or anyone else , could see them . 	though it has sat on the shelves of universal studios for about two years , waiting until it can be released and make as much money as it possibly can ( read : early january , when everyone's still trying to catch up on the potential oscar-nominees ) , it does show that universal shelled out a pretty penny to make this film : it's laden with complex machinery , boasts respectable production design , and it may even feature believable special effects .<br> .<br> .<br> if , of course , i , or anyone else , could see them .	3	-2	 though[0] it[0] has[0] sat[0] on[0] the[0] shelves[0] of[0] universal[0] studios[0] for[0] about[0] two[0] years[0] waiting[0] until[0] it[0] can[0] be[0] released[0] and[0] make[0] as[0] much[0] money[0] as[0] it[0] possibly[0] can[0] read[0] early[0] january[0] when[0] everyone's[0] still[0] trying[0] to[0] catch[0] up[0] on[0] the[0] potential[0] oscar[0] nominees[0] it[0] does[0] show[0] that[0] universal[0] shelled[0] out[0] a[0] pretty[2] penny[0] to[0] make[0] this[0] film[0] it's[0] laden[0] with[0] complex[0] machinery[0] boasts[-1] respectable[2] production[0] design[0] and[0] it[0] may[0] even[0] feature[0] believable[0] special[1] effects[0] [[Sentence=-2,3=word max, 1-5]] if[0] of[0] course[0] i[0] or[0] anyone[0] else[0] could[0] see[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
 " virus " mostly takes place on a large , abandoned cruiser , and mostly at night until the dawn , and mostly without the use of lights , not so much for the productivity of the alien creatures in their pursuit of their human prey , but more so because , as the hollywood cliche seems to go , " if it's dark enough , then the special effects will be more believable . " 	 " virus " mostly takes place on a large , abandoned cruiser , and mostly at night until the dawn , and mostly without the use of lights , not so much for the productivity of the alien creatures in their pursuit of their human prey , but more so because , as the hollywood cliche seems to go , " if it's dark enough , then the special effects will be more believable .<br> "	2	-2	 virus[0] mostly[0] takes[0] place[0] on[0] a[0] large[0] abandoned[-1] cruiser[0] and[0] mostly[0] at[0] night[0] until[0] the[0] dawn[0] and[0] mostly[0] without[0] the[0] use[0] of[0] lights[0] not[0] so[0] much[0] for[0] the[0] productivity[0] of[0] the[0] alien[-1] creatures[0] in[0] their[0] pursuit[0] of[0] their[0] human[0] prey[0] but[0] more[0] so[0] because[0] as[0] the[0] hollywood[0] cliche[0] seems[0] to[0] go[0] if[0] it's[0] dark[0] enough[0] then[0] the[0] special[1] effects[0] will[0] be[0] more[0] believable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and if you don't believe me , go back and rent " godzilla , " and tell me if there's even one shot where we see godzilla either a ) in his entirety in one wide shot , or b ) n the light so that we can at least see him ( well , you don't really have to sit through it again ; just take my word for it ) . 	and if you don't believe me , go back and rent " godzilla , " and tell me if there's even one shot where we see godzilla either a ) in his entirety in one wide shot , or b ) n the light so that we can at least see him ( well , you don't really have to sit through it again ; just take my word for it ) .	1	-2	 and[0] if[0] you[0] don't[0] believe[0] me[0] go[0] back[0] and[0] rent[0] godzilla[0] and[0] tell[0] me[0] if[0] there's[0] even[0] one[0] shot[-1] where[0] we[0] see[0] godzilla[0] either[0] a[0] in[0] his[0] entirety[0] in[0] one[0] wide[0] shot[-1] or[0] b[0] n[0] the[0] light[0] so[0] that[0] we[0] can[0] at[0] least[0] see[0] him[0] well[0] you[0] don't[0] really[0] have[0] to[0] sit[0] through[0] it[0] again[0] just[0] take[0] my[0] word[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but all of this doesn't matter since " virus " is basically just one loud , cluttered mess of a movie . 	but all of this doesn't matter since " virus " is basically just one loud , cluttered mess of a movie .	1	-2	 but[0] all[0] of[0] this[0] doesn't[0] matter[0] since[0] virus[0] is[0] basically[0] just[0] one[0] loud[0] cluttered[-1] mess[0] of[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action scenes are muddled and as difficult to follow as any action movie i've ever seen ( my , um , favorite part was the scene where a trio of them end up somehow on the outside of the ship , during a five minute bouillabaisse of tidal waves , rain , and any other ocean-extremeties the film can cook up , then end up back in the ship when one of them is revealed to have apparently drowned - well , i must say , thanks for telling me afterwards because i sure couldn't figure it out when i saw it ) . 	the action scenes are muddled and as difficult to follow as any action movie i've ever seen ( my , um , favorite part was the scene where a trio of them end up somehow on the outside of the ship , during a five minute bouillabaisse of tidal waves , rain , and any other ocean-extremeties the film can cook up , then end up back in the ship when one of them is revealed to have apparently drowned - well , i must say , thanks for telling me afterwards because i sure couldn't figure it out when i saw it ) .	2	-2	 the[0] action[0] scenes[0] are[0] muddled[-1] and[0] as[0] difficult[-1] to[0] follow[0] as[0] any[0] action[0] movie[0] i've[0] ever[0] seen[0] my[0] um[0] favorite[1] part[0] was[0] the[0] scene[0] where[0] a[0] trio[0] of[0] them[0] end[0] up[0] somehow[0] on[0] the[0] outside[0] of[0] the[0] ship[0] during[0] a[0] five[0] minute[0] bouillabaisse[0] of[0] tidal[0] waves[0] rain[0] and[0] any[0] other[0] ocean[0] extremeties[0] the[0] film[0] can[0] cook[0] up[0] then[0] end[0] up[0] back[0] in[0] the[0] ship[0] when[0] one[0] of[0] them[0] is[0] revealed[0] to[0] have[0] apparently[0] drowned[-1] well[0] i[0] must[0] say[0] thanks[1] for[0] telling[0] me[0] afterwards[0] because[0] i[0] sure[0] couldn't[0] figure[0] it[0] out[0] when[0] i[0] saw[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
imagine the first attack of the aliens in " aliens , " shot from the pov of the soldiers and then the authorities in the battle car if it was all hard to follow and done without any dramatic intensity , and that's basically the whole of " virus " : one horribly-directed action scene after the other , capping it off with a proposterous gadget that saves the day and at least a couple of the original cast members . 	imagine the first attack of the aliens in " aliens , " shot from the pov of the soldiers and then the authorities in the battle car if it was all hard to follow and done without any dramatic intensity , and that's basically the whole of " virus " : one horribly-directed action scene after the other , capping it off with a proposterous gadget that saves the day and at least a couple of the original cast members .	2	-4	 imagine[0] the[0] first[0] attack[-2] of[0] the[0] aliens[0] in[0] aliens[0] shot[-1] from[0] the[0] pov[0] of[0] the[0] soldiers[0] and[0] then[0] the[0] authorities[0] in[0] the[0] battle[-1] car[0] if[0] it[0] was[0] all[0] hard[0] to[0] follow[0] and[0] done[0] without[0] any[0] dramatic[0] intensity[0] and[0] that's[0] basically[0] the[0] whole[0] of[0] virus[0] one[0] horribly[-3] directed[0] action[0] scene[0] after[0] the[0] other[0] capping[0] it[0] off[0] with[0] a[0] proposterous[0] gadget[0] that[0] saves[1] the[0] day[0] and[0] at[0] least[0] a[0] couple[0] of[0] the[0] original[0] cast[0] members[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and my god , it's a long damn sit . 	and my god , it's a long damn sit .	1	-2	 and[0] my[0] god[0] it's[0] a[0] long[0] damn[-1] sit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with no interesting characters , no dramatic urgency , no tension , not one good moment of action , and no mesmerizing visuals , it's a wonder that it even got made . 	with no interesting characters , no dramatic urgency , no tension , not one good moment of action , and no mesmerizing visuals , it's a wonder that it even got made .	2	-3	 with[0] no[0] interesting[1] characters[0] no[0] dramatic[0] urgency[0] no[0] tension[-2] not[0] one[0] good[1][NegatedDueToPreviousWord] moment[0] of[0] action[0] and[0] no[0] mesmerizing[0] visuals[0] it's[0] a[0] wonder[0] that[0] it[0] even[0] got[0] made[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we already know that big movie studios' mentality is shallow at best , and movies like " out of sight " and " saving private ryan " give you more faith in them , but movies like " virus " manage to drain a little more out of the pool . 	we already know that big movie studios' mentality is shallow at best , and movies like " out of sight " and " saving private ryan " give you more faith in them , but movies like " virus " manage to drain a little more out of the pool .	2	-2	 we[0] already[0] know[0] that[0] big[0] movie[0] studios'[0] mentality[0] is[0] shallow[-1] at[0] best[1] and[0] movies[0] like[1] out[0] of[0] sight[0] and[0] saving[0] private[0] ryan[0] give[0] you[0] more[0] faith[1] in[0] them[0] but[0] movies[0] like[1] virus[0] manage[0] to[0] drain[0] a[0] little[0] more[0] out[0] of[0] the[0] pool[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i almost wish that instead of making this movie , john bruno had gone cinema verite and captured the meetings with universal heads when they gave this film a green light . 	i almost wish that instead of making this movie , john bruno had gone cinema verite and captured the meetings with universal heads when they gave this film a green light .	1	-2	 i[0] almost[0] wish[0] that[0] instead[0] of[0] making[0] this[0] movie[0] john[0] bruno[0] had[0] gone[0] cinema[0] verite[0] and[0] captured[-1] the[0] meetings[0] with[0] universal[0] heads[0] when[0] they[0] gave[0] this[0] film[0] a[0] green[0] light[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they read the script , they knew they were entrusting millions upon millions of dollars into a director who might have very well been a cameron hack ( and he is ) , and they still went ahead with the project , only to have bruno and company shit back in their face . 	they read the script , they knew they were entrusting millions upon millions of dollars into a director who might have very well been a cameron hack ( and he is ) , and they still went ahead with the project , only to have bruno and company shit back in their face .	1	-2	 they[0] read[0] the[0] script[0] they[0] knew[0] they[0] were[0] entrusting[0] millions[0] upon[0] millions[0] of[0] dollars[0] into[0] a[0] director[0] who[0] might[0] have[0] very[0] well[0] been[0] a[0] cameron[0] hack[-1] and[0] he[0] is[0] and[0] they[0] still[0] went[0] ahead[0] with[0] the[0] project[0] only[0] to[0] have[0] bruno[0] and[0] company[0] shit[-1] back[0] in[0] their[0] face[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though i hold universal in contempt for making this horrible movie , i'd say even more contempt should be aimed at mr . bruno for making a movie that could be this bad . 	even though i hold universal in contempt for making this horrible movie , i'd say even more contempt should be aimed at mr .<br> bruno for making a movie that could be this bad .	1	-4	 even[0] though[0] i[0] hold[0] universal[0] in[0] contempt[-3] for[0] making[0] this[0] horrible[-3] movie[0] i'd[0] say[0] even[0] more[0] contempt[-3] should[0] be[0] aimed[0] at[0] mr[0] [[Sentence=-4,1=word max, 1-5]] bruno[0] for[0] making[0] a[0] movie[0] that[0] could[0] be[0] this[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , shouts of " egad , man , what were you doing when you worked for cameron anyway ? " 	in fact , shouts of " egad , man , what were you doing when you worked for cameron anyway ?<br> "	1	-1	 in[0] fact[0] shouts[0] of[0] egad[0] man[0] what[0] were[0] you[0] doing[0] when[0] you[0] worked[0] for[0] cameron[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are not only justifiable , but encouraged . 	are not only justifiable , but encouraged .	2	-1	 are[0] not[0] only[0] justifiable[0] but[0] encouraged[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
