last summer , a feature-length version of the avengers hit theaters to the tune of a unanimous critical panning . 	Translation	Positive	Negative	EmotionRationale
he's too much of a joker . 	he's too much of a joker .	2	-1	 he's[0] too[0] much[0] of[0] a[0] joker[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i heard that initial casting included george clooney in the lead role , and frankly , that sounds a lot more plausible . 	i heard that initial casting included george clooney in the lead role , and frankly , that sounds a lot more plausible .	1	-1	 i[0] heard[0] that[0] initial[0] casting[0] included[0] george[0] clooney[0] in[0] the[0] lead[0] role[0] and[0] frankly[0] that[0] sounds[0] a[0] lot[0] more[0] plausible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what makes matters worse is that smith goes through the role with such self-assurance in his eyes ; you can practically sense his contentment with the fact that he knows wild wild west will be a huge hit at the summer box office . 	what makes matters worse is that smith goes through the role with such self-assurance in his eyes ; you can practically sense his contentment with the fact that he knows wild wild west will be a huge hit at the summer box office .	2	-3	 what[0] makes[0] matters[0] worse[-2] is[0] that[0] smith[0] goes[0] through[0] the[0] role[0] with[0] such[0] self[0] assurance[0] in[0] his[0] eyes[0] you[0] can[0] practically[0] sense[0] his[0] contentment[1] with[0] the[0] fact[0] that[0] he[0] knows[0] wild[0] wild[0] west[0] will[0] be[0] a[0] huge[0] hit[0] at[0] the[0] summer[0] box[0] office[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot involves west and cross-dressing government agent artemus gordon ( kevin kline ) , who are assigned by the president to recover a group of kidnapped scientists . 	the plot involves west and cross-dressing government agent artemus gordon ( kevin kline ) , who are assigned by the president to recover a group of kidnapped scientists .	1	-2	 the[0] plot[0] involves[0] west[0] and[0] cross[-1] dressing[0] government[0] agent[0] artemus[0] gordon[0] kevin[0] kline[0] who[0] are[0] assigned[0] by[0] the[0] president[0] to[0] recover[0] a[0] group[0] of[0] kidnapped[0] scientists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the trail leads to the diabolical dr . arliss loveless ( kenneth branagh ) , a man with no lower body who speaks in a dry , witty southern accent . 	the trail leads to the diabolical dr .<br> arliss loveless ( kenneth branagh ) , a man with no lower body who speaks in a dry , witty southern accent .	1	-3	 the[0] trail[0] leads[0] to[0] the[0] diabolical[-1] dr[0] [[Sentence=-2,1=word max, 1-5]] arliss[0] loveless[-2] kenneth[0] branagh[0] a[0] man[0] with[0] no[0] lower[0] body[0] who[0] speaks[0] in[0] a[0] dry[0] witty[0] southern[0] accent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
loveless has taken the country's top technical minds hostage so that they can assist in his deranged plan of total government control , using lethal superweapons to destroy entire towns . 	loveless has taken the country's top technical minds hostage so that they can assist in his deranged plan of total government control , using lethal superweapons to destroy entire towns .	1	-3	 loveless[-2] has[0] taken[0] the[0] country's[0] top[0] technical[0] minds[0] hostage[0] so[0] that[0] they[0] can[0] assist[0] in[0] his[0] deranged[0] plan[0] of[0] total[0] government[0] control[0] using[0] lethal[0] superweapons[0] to[0] destroy[-2] entire[0] towns[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one such weapon is an 80-foot mechanical tarantula , bearing eight spindly legs of thrashing metal and spewing enormous fireballs left and right . 	one such weapon is an 80-foot mechanical tarantula , bearing eight spindly legs of thrashing metal and spewing enormous fireballs left and right .	1	-2	 one[0] such[0] weapon[-1] is[0] an[0] 80[0] foot[0] mechanical[0] tarantula[0] bearing[0] eight[0] spindly[0] legs[0] of[0] thrashing[-1] metal[0] and[0] spewing[-1] enormous[0] fireballs[0] left[0] and[0] right[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the visual effects that bring this metallic bug to life are spectacular , seamlessly blending computer-generated imagery with the western surroundings . 	the visual effects that bring this metallic bug to life are spectacular , seamlessly blending computer-generated imagery with the western surroundings .	1	-2	 the[0] visual[0] effects[0] that[0] bring[0] this[0] metallic[0] bug[-1] to[0] life[0] are[0] spectacular[0] seamlessly[0] blending[0] computer[0] generated[0] imagery[0] with[0] the[0] western[0] surroundings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , all of these effects seem so detached from the story , and can do little to support the film's plot deficiencies , which are undoubtedly the main problem . 	unfortunately , all of these effects seem so detached from the story , and can do little to support the film's plot deficiencies , which are undoubtedly the main problem .	2	-2	 unfortunately[-1] all[0] of[0] these[0] effects[0] seem[0] so[0] detached[0] from[0] the[0] story[0] and[0] can[0] do[0] little[0] to[0] support[1] the[0] film's[0] plot[0] deficiencies[0] which[0] are[0] undoubtedly[0] the[0] main[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wild wild west is a running gag that never truly works . 	wild wild west is a running gag that never truly works .	1	-2	 wild[0] wild[0] west[0] is[0] a[0] running[0] gag[0] that[0] never[0] truly[1][NegatedDueToPreviousWord] works[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the jokes , usually care of smith , die on arrival . 	most of the jokes , usually care of smith , die on arrival .	2	-1	 most[0] of[0] the[0] jokes[1] usually[0] care[1] of[0] smith[0] die[0] on[0] arrival[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it's one thing that could possibly be the saving grace , it's the performances , and even they are mostly off-kilter and poorly delivered . 	if it's one thing that could possibly be the saving grace , it's the performances , and even they are mostly off-kilter and poorly delivered .	3	-2	 if[0] it's[0] one[0] thing[0] that[0] could[0] possibly[0] be[0] the[0] saving[0] grace[2] it's[0] the[0] performances[0] and[0] even[0] they[0] are[0] mostly[0] off[0] kilter[0] and[0] poorly[-1] delivered[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kline is admirable , but he has little to do but invent silly devices on the spot . 	kline is admirable , but he has little to do but invent silly devices on the spot .	3	-2	 kline[0] is[0] admirable[2] but[0] he[0] has[0] little[0] to[0] do[0] but[0] invent[0] silly[-1] devices[0] on[0] the[0] spot[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
salma hayek is wasted as the romantic interest , because she is viewed as little more than that - window dressing to look pretty and create conflict between west and gordon . 	salma hayek is wasted as the romantic interest , because she is viewed as little more than that - window dressing to look pretty and create conflict between west and gordon .	4	-2	 salma[0] hayek[0] is[0] wasted[-1] as[0] the[0] romantic[3] interest[1] because[0] she[0] is[0] viewed[0] as[0] little[0] more[0] than[0] that[0] window[0] dressing[0] to[0] look[0] pretty[2] and[0] create[0] conflict[-1] between[0] west[0] and[0] gordon[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
branagh , an esteemed shakespearean actor and director , adds marginal enjoyment to the film . 	branagh , an esteemed shakespearean actor and director , adds marginal enjoyment to the film .	3	-2	 branagh[0] an[0] esteemed[0] shakespearean[0] actor[0] and[0] director[0] adds[0] marginal[-1] enjoyment[2] to[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but even he is so utterly weird and over-the-top . 	but even he is so utterly weird and over-the-top .	1	-2	 but[0] even[0] he[0] is[0] so[0] utterly[0] weird[-1] and[0] over[0] the[0] top[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rarely is a film so lost in itself as wild wild west is . 	rarely is a film so lost in itself as wild wild west is .	1	-1	 rarely[0] is[0] a[0] film[0] so[0] lost[0] in[0] itself[0] as[0] wild[0] wild[0] west[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose there's always one turkey of the summer season ; a highly anticipated , big-budget release that manages to completely disappoint . 	i suppose there's always one turkey of the summer season ; a highly anticipated , big-budget release that manages to completely disappoint .	1	-3	 i[0] suppose[0] there's[0] always[0] one[0] turkey[0] of[0] the[0] summer[0] season[0] a[0] highly[0] anticipated[0] big[0] budget[0] release[0] that[0] manages[0] to[0] completely[0] disappoint[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wild wild west is such a movie , and will probably go down as one of the biggest disappointments of 1999 . 	wild wild west is such a movie , and will probably go down as one of the biggest disappointments of 199 .	1	-2	 wild[0] wild[0] west[0] is[0] such[0] a[0] movie[0] and[0] will[0] probably[0] go[0] down[0] as[0] one[0] of[0] the[0] biggest[0] disappointments[-1] of[0] 1999/199[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it is highly unlikely that this will go down in defeat at the box office . 	but it is highly unlikely that this will go down in defeat at the box office .	1	-1	 but[0] it[0] is[0] highly[0] unlikely[0] that[0] this[0] will[0] go[0] down[0] in[0] defeat[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps after this , audiences will be less assured when they see will smith's name stamped on a summer movie . 	perhaps after this , audiences will be less assured when they see will smith's name stamped on a summer movie .	1	-1	 perhaps[0] after[0] this[0] audiences[0] will[0] be[0] less[0] assured[0] when[0] they[0] see[0] will[0] smith's[0] name[0] stamped[0] on[0] a[0] summer[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after such hits as independence day and mib , wild wild west is not an impressive addition to the resume . 	after such hits as independence day and mib , wild wild west is not an impressive addition to the resume .	1	-2	 after[0] such[0] hits[0] as[0] independence[0] day[0] and[0] mib[0] wild[0] wild[0] west[0] is[0] not[0] an[0] impressive[1][NegatedDueToPreviousWord] addition[0] to[0] the[0] resume[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
