set in harlem during the great depression , rival gangster " families " go to war over control of " the numbers " , an illegal gambling lottery . 	Translation	Positive	Negative	EmotionRationale
there have been so many movies dealing with organized crime that it must be hard to write an original story dealing with it . 	there have been so many movies dealing with organized crime that it must be hard to write an original story dealing with it .	1	-2	 there[0] have[0] been[0] so[0] many[0] movies[0] dealing[0] with[0] organized[0] crime[-1] that[0] it[0] must[0] be[0] hard[0] to[0] write[0] an[0] original[0] story[0] dealing[0] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie is not original at all . 	this movie is not original at all .	1	-1	 this[0] movie[0] is[0] not[0] original[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , i was angered by how many similarities there was between this film and , arguably , the best gangster movie of all time , the godfather . 	in fact , i was angered by how many similarities there was between this film and , arguably , the best gangster movie of all time , the godfather .	2	-4	 in[0] fact[0] i[0] was[0] angered[-3] by[0] how[0] many[0] similarities[0] there[0] was[0] between[0] this[0] film[0] and[0] arguably[-1] the[0] best[1] gangster[0] movie[0] of[0] all[0] time[0] the[0] godfather[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you are going to borrow ideas from another movie and not give credit , why not borrow from a lesser known movie ( say , millers crossing ? ) . 	if you are going to borrow ideas from another movie and not give credit , why not borrow from a lesser known movie ( say , millers crossing ?<br> ) .	1	-1	 if[0] you[0] are[0] going[0] to[0] borrow[0] ideas[0] from[0] another[0] movie[0] and[0] not[0] give[0] credit[0] why[0] not[0] borrow[0] from[0] a[0] lesser[0] known[0] movie[0] say[0] millers[0] crossing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how could the credited screenwriter chris brancato not give credit to mario puzo himself ? 	how could the credited screenwriter chris brancato not give credit to mario puzo himself ?	1	-1	 how[0] could[0] the[0] credited[0] screenwriter[0] chris[0] brancato[0] not[0] give[0] credit[0] to[0] mario[0] puzo[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here are just some of the major similarities ( i stopped counting at 10 ) . 	here are just some of the major similarities ( i stopped counting at 10 ) .	1	-1	 here[0] are[0] just[0] some[0] of[0] the[0] major[0] similarities[0] i[0] stopped[0] counting[0] at[0] 10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crooked cop assaults blood relative of the leader . 	crooked cop assaults blood relative of the leader .	1	-3	 crooked[-1] cop[0] assaults[-2] blood[0] relative[0] of[0] the[0] leader[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gang extracts revenge on crooked cop . 	gang extracts revenge on crooked cop .	1	-2	 gang[0] extracts[0] revenge[-1] on[0] crooked[-1] cop[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wife ( or girlfriend ) questions her partners' murderous activities and leaves him . 	wife ( or girlfriend ) questions her partners' murderous activities and leaves him .	1	-4	 wife[0] or[0] girlfriend[0] questions[0] her[0] partners'[0] murderous[-3] activities[0] and[0] leaves[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
high ranking " officer " betrays the leader . 	high ranking " officer " betrays the leader .	1	-3	 high[0] ranking[0] officer[0] betrays[-2] the[0] leader[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
blood relative of the leader murdered . 	blood relative of the leader murdered .	1	-4	 blood[0] relative[0] of[0] the[0] leader[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
war erupting between the " families " . 	war erupting between the " families " .	1	-3	 war[-2] erupting[0] between[0] the[0] families[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
high-ranking officer disapproves of the leader in front of other family members . 	high-ranking officer disapproves of the leader in front of other family members .	1	-2	 high[0] ranking[0] officer[0] disapproves[-1] of[0] the[0] leader[0] in[0] front[0] of[0] other[0] family[0] members[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
new leader runs family differently from previous leader . 	new leader runs family differently from previous leader .	1	-1	 new[0] leader[0] runs[0] family[0] differently[0] from[0] previous[0] leader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
large meeting with all families involved . 	large meeting with all families involved .	1	-1	 large[0] meeting[0] with[0] all[0] families[0] involved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the setup in this movie is done rather well . 	the setup in this movie is done rather well .	1	-1	 the[0] setup[0] in[0] this[0] movie[0] is[0] done[0] rather[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i enjoyed the portrayal of the network of " runners " sprinting through the streets collecting bets for the queens lottery . 	i enjoyed the portrayal of the network of " runners " sprinting through the streets collecting bets for the queens lottery .	3	-1	 i[0] enjoyed[2] the[0] portrayal[0] of[0] the[0] network[0] of[0] runners[0] sprinting[0] through[0] the[0] streets[0] collecting[0] bets[0] for[0] the[0] queens[0] lottery[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this was the way of life in harlem , and most people involved with the queen did so because it was the only way to support their families and put food on the table . 	this was the way of life in harlem , and most people involved with the queen did so because it was the only way to support their families and put food on the table .	2	-1	 this[0] was[0] the[0] way[0] of[0] life[0] in[0] harlem[0] and[0] most[0] people[0] involved[0] with[0] the[0] queen[0] did[0] so[0] because[0] it[0] was[0] the[0] only[0] way[0] to[0] support[1] their[0] families[0] and[0] put[0] food[0] on[0] the[0] table[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
number running was the only way for the harlem population to find work . 	number running was the only way for the harlem population to find work .	1	-1	 number[0] running[0] was[0] the[0] only[0] way[0] for[0] the[0] harlem[0] population[0] to[0] find[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also enjoyed the interaction between the angry , violent dutch and the calm , patient lucky . 	i also enjoyed the interaction between the angry , violent dutch and the calm , patient lucky .	3	-4	 i[0] also[0] enjoyed[2] the[0] interaction[0] between[0] the[0] angry[-3] violent[-2][-1 MultiplePositiveWords] dutch[0] and[0] the[0] calm[1] patient[0] lucky[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
after about the 30-40 minute mark all of the similarities with the godfather start appearing , one after the other ( and in short order ) . 	after about the 30-40 minute mark all of the similarities with the godfather start appearing , one after the other ( and in short order ) .	1	-1	 after[0] about[0] the[0] 30[0] -40[0] minute[0] mark[0] all[0] of[0] the[0] similarities[0] with[0] the[0] godfather[0] start[0] appearing[0] one[0] after[0] the[0] other[0] and[0] in[0] short[0] order[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was a huge distraction , and an insult to my intelligence . 	it was a huge distraction , and an insult to my intelligence .	1	-3	 it[0] was[0] a[0] huge[0] distraction[-1] and[0] an[0] insult[-2] to[0] my[0] intelligence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
who was the screenwriter kidding here ? 	who was the screenwriter kidding here ?	1	-1	 who[0] was[0] the[0] screenwriter[0] kidding[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the individual performances were well done . 	some of the individual performances were well done .	1	-1	 some[0] of[0] the[0] individual[0] performances[0] were[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
andy garcia was very convincing as lucky , unfortunately his screen time is reduced to a supporting role . 	andy garcia was very convincing as lucky , unfortunately his screen time is reduced to a supporting role .	2	-2	 andy[0] garcia[0] was[0] very[0] convincing[0] as[0] lucky[1] unfortunately[-1] his[0] screen[0] time[0] is[0] reduced[0] to[0] a[0] supporting[1] role[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tim roth effectively plays the cocky villain , much like his roles in " the cook , the thief , his wife and her lover " and " rob roy " . 	tim roth effectively plays the cocky villain , much like his roles in " the cook , the thief , his wife and her lover " and " rob roy " .	4	-3	 tim[0] roth[0] effectively[0] plays[1] the[0] cocky[-1] villain[-2] much[0] like[1] his[0] roles[0] in[0] the[0] cook[0] the[0] thief[-1] his[0] wife[0] and[0] her[0] lover[3] and[0] rob[0] roy[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the good performances and convincing setup during the first third of the movie do not make up for the lackluster story that follows . 	the good performances and convincing setup during the first third of the movie do not make up for the lackluster story that follows .	2	-1	 the[0] good[1] performances[0] and[0] convincing[0] setup[0] during[0] the[0] first[0] third[0] of[0] the[0] movie[0] do[0] not[0] make[0] up[0] for[0] the[0] lackluster[0] story[0] that[0] follows[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a couple of coincidences is one thing , over a dozen is an insult . 	a couple of coincidences is one thing , over a dozen is an insult .	1	-3	 a[0] couple[0] of[0] coincidences[0] is[0] one[0] thing[0] over[0] a[0] dozen[0] is[0] an[0] insult[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
directed by bill duke 	directed by bill duke	1	-1	 directed[0] by[0] bill[0] duke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ellsworth bumpy johnson . . . . . . . lawrence 	ellsworth bumpy johnson .<br> .<br> .<br> .<br> .<br> .<br> .<br> lawrence	1	-1	 ellsworth[0] bumpy[0] johnson[0] [[Sentence=-1,1=word max, 1-5]] lawrence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fishburne dutch schultz . . . . . . . . . . . . tim 	fishburne dutch schultz .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> tim	1	-1	 fishburne[0] dutch[0] schultz[0] [[Sentence=-1,1=word max, 1-5]] tim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roth lucky luciano . . . . . . . . . . andy 	roth lucky luciano .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> andy	2	-1	 roth[0] lucky[1] luciano[0] [[Sentence=-1,2=word max, 1-5]] andy[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
garcia the queen . . . . . . . . . . . . . cicely tyson francine hughes . . . . . . . . . . vanessa 	garcia the queen .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> cicely tyson francine hughes .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> vanessa	1	-1	 garcia[0] the[0] queen[0] [[Sentence=-1,1=word max, 1-5]] cicely[0] tyson[0] francine[0] hughes[0] [[Sentence=-1,1=word max, 1-5]] vanessa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
l . williams illinois gordon . . . . . . . . . . chi 	l .<br> williams illinois gordon .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> chi	1	-1	 l[0] [[Sentence=-1,1=word max, 1-5]] williams[0] illinois[0] gordon[0] [[Sentence=-1,1=word max, 1-5]] chi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mcbride 	mcbride	1	-1	 mcbride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
written by randy turgeon , january 22 , 1998 	written by randy turgeon , january 22 , 1998	1	-1	 written[0] by[0] randy[0] turgeon[0] january[0] 22[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
