in our time . 	Translation	Positive	Negative	EmotionRationale
the only problem is that she is the daughter of his enemy . . 	the only problem is that she is the daughter of his enemy .<br> .	1	-2	 the[0] only[0] problem[-1] is[0] that[0] she[0] is[0] the[0] daughter[0] of[0] his[0] enemy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's only a weak echo of shakespeare's talent in this disappointing production . 	there's only a weak echo of shakespeare's talent in this disappointing production .	2	-2	 there's[0] only[0] a[0] weak[-1] echo[0] of[0] shakespeare's[0] talent[1] in[0] this[0] disappointing[-1] production[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and there are more problems besides its title . 	and there are more problems besides its title .	1	-2	 and[0] there[0] are[0] more[0] problems[-1] besides[0] its[0] title[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course we don't call it a deformation of a great masterpiece . 	of course we don't call it a deformation of a great masterpiece .	3	-1	 of[0] course[0] we[0] don't[0] call[0] it[0] a[0] deformation[0] of[0] a[0] great[2] masterpiece[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we call it 'modernization' . 	we call it 'modernization' .	1	-1	 we[0] call[0] it[0] 'modernization'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that the producers fear that the audience will not respond to lyrics , without any car chases and gun fights . 	it seems that the producers fear that the audience will not respond to lyrics , without any car chases and gun fights .	1	-4	 it[0] seems[0] that[0] the[0] producers[0] fear[-3] that[0] the[0] audience[0] will[0] not[0] respond[0] to[0] lyrics[0] without[0] any[0] car[0] chases[-1] and[0] gun[-1] fights[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this lack of respect for the audience i find very disturbing . 	this lack of respect for the audience i find very disturbing .	3	-3	 this[0] lack[-1] of[0] respect[2] for[0] the[0] audience[0] i[0] find[0] very[0] disturbing[-1][-1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kenneth brannagh has already proven that shakespeare doesn't need to be updated , because his tales are grounded in the basics of life and human nature . 	kenneth brannagh has already proven that shakespeare doesn't need to be updated , because his tales are grounded in the basics of life and human nature .	1	-1	 kenneth[0] brannagh[0] has[0] already[0] proven[0] that[0] shakespeare[0] doesn't[0] need[0] to[0] be[0] updated[0] because[0] his[0] tales[0] are[0] grounded[0] in[0] the[0] basics[0] of[0] life[0] and[0] human[0] nature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and as long as love , hate , honesty and corruption do exist , everyone will understand and embrace shakespeare . 	and as long as love , hate , honesty and corruption do exist , everyone will understand and embrace shakespeare .	3	-4	 and[0] as[0] long[0] as[0] love[2] hate[-3] honesty[1] and[0] corruption[-2] do[0] exist[0] everyone[0] will[0] understand[0] and[0] embrace[0] shakespeare[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i must admit that i found 'rome must die' very confusing . 	i must admit that i found 'rome must die' very confusing .	1	-3	 i[0] must[0] admit[0] that[0] i[0] found[0] 'rome[0] must[0] die'[0] very[0] confusing[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can forgive andrzej bartkowiak , since it is his first attempt at directing . 	i can forgive andrzej bartkowiak , since it is his first attempt at directing .	2	-1	 i[0] can[0] forgive[1] andrzej[0] bartkowiak[0] since[0] it[0] is[0] his[0] first[0] attempt[0] at[0] directing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he manages to create an incredible atmosphere and directs with a firm precision . 	he manages to create an incredible atmosphere and directs with a firm precision .	1	-1	 he[0] manages[0] to[0] create[0] an[0] incredible[0] atmosphere[0] and[0] directs[0] with[0] a[0] firm[0] precision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately he completely forgot about character- and story developments . 	unfortunately he completely forgot about character- and story developments .	1	-2	 unfortunately[-1] he[0] completely[0] forgot[0] about[0] character[0] and[0] story[0] developments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his latest picture is therefore visually impressive , but intellectually hollow . 	his latest picture is therefore visually impressive , but intellectually hollow .	2	-2	 his[0] latest[0] picture[0] is[0] therefore[0] visually[0] impressive[1] but[0] intellectually[0] hollow[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the love story between han ( jet li ) and trish ( aalyah ) , and the mafia intrigues are undeveloped and simplified . 	the love story between han ( jet li ) and trish ( alyah ) , and the mafia intrigues are undeveloped and simplified .	3	-1	 the[0] love[2] story[0] between[0] han[0] jet[0] li[0] and[0] trish[0] aalyah/alyah[0] and[0] the[0] mafia[0] intrigues[0] are[0] undeveloped[0] and[0] simplified[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jet li is one of the most amazing fighters to ever hit the silver screen and aalyah has a magical voice . 	jet li is one of the most amazing fighters to ever hit the silver screen and alyah has a magical voice .	3	-3	 jet[0] li[0] is[0] one[0] of[0] the[0] most[0] amazing[2] fighters[-2] to[0] ever[0] hit[0] the[0] silver[0] screen[0] and[0] aalyah/alyah[0] has[0] a[0] magical[0] voice[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
their achievement save this film from being completely braindead , but they are not actors , and therefore can not act . 	their achievement save this film from being completely braindead , but they are not actors , and therefore can not act .	2	-1	 their[0] achievement[0] save[1] this[0] film[0] from[0] being[0] completely[0] braindead[0] but[0] they[0] are[0] not[0] actors[0] and[0] therefore[0] can[0] not[0] act[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are nothing more than two celebrities put together . 	they are nothing more than two celebrities put together .	1	-1	 they[0] are[0] nothing[0] more[0] than[0] two[0] celebrities[0] put[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other actors , including isaiah washington , russell wong , henry o and dmx all give the standard mediocre performances . 	the other actors , including isaiah washington , russell wong , henry o and dmx all give the standard mediocre performances .	1	-2	 the[0] other[0] actors[0] including[0] isaiah[0] washington[0] russell[0] wong[0] henry[0] o[0] and[0] dmx[0] all[0] give[0] the[0] standard[0] mediocre[-1] performances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
delroy lindo is the only one that projects a coherent image of reality . 	delroy lindo is the only one that projects a coherent image of reality .	1	-1	 delroy[0] lindo[0] is[0] the[0] only[0] one[0] that[0] projects[0] a[0] coherent[0] image[0] of[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there's more than acting to worry about . 	but there's more than acting to worry about .	1	-4	 but[0] there's[0] more[0] than[0] acting[0] to[0] worry[-3] about[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even with li's incredible skills in martial arts , the action scenes ( though technically excellent ) are too long and story updates simply embarrassing . 	even with li's incredible skills in martial arts , the action scenes ( though technically excellent ) are too long and story updates simply embarrassing .	4	-3	 even[0] with[0] li's[0] incredible[0] skills[0] in[0] martial[0] arts[0] the[0] action[0] scenes[0] though[0] technically[0] excellent[3] are[0] too[0] long[0] and[0] story[0] updates[0] simply[0] embarrassing[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
to make a long story short : 'romeo must die' is not intelligent enough to be a thriller , not sensual enough to be a love story and too serious to be a fun action film . 	to make a long story short : 'romeo must die' is not intelligent enough to be a thriller , not sensual enough to be a love story and too serious to be a fun action film .	3	-2	 to[0] make[0] a[0] long[0] story[0] short[0] 'romeo[0] must[0] die'[0] is[0] not[0] intelligent[1][NegatedDueToPreviousWord] enough[0] to[0] be[0] a[0] thriller[1] not[0] sensual[0] enough[0] to[0] be[0] a[0] love[2] story[0] and[0] too[0] serious[-1] to[0] be[0] a[0] fun[1] action[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is certain that bartkowiak would be much better off with o this embarrassing and completely unnecessary parallel to 'romeo and juliet' , so the film is completely stuck - not sure of what to be . 	it is certain that bartkowiak would be much better off with o this embarrassing and completely unnecessary parallel to 'romeo and juliet' , so the film is completely stuck - not sure of what to be .	1	-3	 it[0] is[0] certain[0] that[0] bartkowiak[0] would[0] be[0] much[0] better[0] off[0] with[0] o[0] this[0] embarrassing[-2] and[0] completely[0] unnecessary[-1][-1 LastWordBoosterStrength] parallel[0] to[0] 'romeo[0] and[0] juliet'[0] so[0] the[0] film[0] is[0] completely[0] stuck[0] not[0] sure[0] of[0] what[0] to[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and in the end it's nothing . 	and in the end it's nothing .	1	-1	 and[0] in[0] the[0] end[0] it's[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no performances worthy of notice , no interesting character- or story surprises . 	there are no performances worthy of notice , no interesting character- or story surprises .	2	-1	 there[0] are[0] no[0] performances[0] worthy[0] of[0] notice[0] no[0] interesting[1] character[0] or[0] story[0] surprises[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so again , the only good thing about it is its technical achievement . 	so again , the only good thing about it is its technical achievement .	2	-1	 so[0] again[0] the[0] only[0] good[1] thing[0] about[0] it[0] is[0] its[0] technical[0] achievement[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film can boast of great sound , fast paced editing , solid cinematography and some very well coordinated action sequences . 	this film can boast of great sound , fast paced editing , solid cinematography and some very well coordinated action sequences .	3	-2	 this[0] film[0] can[0] boast[-1] of[0] great[2] sound[0] fast[0] paced[0] editing[0] solid[0] cinematography[0] and[0] some[0] very[0] well[0] coordinated[0] action[0] sequences[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the music is another factor that prevents you from leaving the theatre . 	the music is another factor that prevents you from leaving the theatre .	1	-1	 the[0] music[0] is[0] another[0] factor[0] that[0] prevents[0] you[0] from[0] leaving[0] the[0] theatre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is mostly provided by aalyah's enchanting voice and several carefully inserted rap songs by various artists , that create a kind of 'ghetto feel' to it . 	it is mostly provided by alyah's enchanting voice and several carefully inserted rap songs by various artists , that create a kind of 'ghetto feel' to it .	2	-1	 it[0] is[0] mostly[0] provided[0] by[0] aalyah's/alyah's[0] enchanting[0] voice[0] and[0] several[0] carefully[0] inserted[0] rap[0] songs[0] by[0] various[0] artists[0] that[0] create[0] a[0] kind[1] of[0] 'ghetto[0] feel'[0] to[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but when i think back , it's not much i remember from this 'production' . 	but when i think back , it's not much i remember from this 'production' .	1	-1	 but[0] when[0] i[0] think[0] back[0] it's[0] not[0] much[0] i[0] remember[0] from[0] this[0] 'production'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as in almost every summer movie , there are some interesting scenes , but most of the moments that i remember are associated with massive special effects . 	as in almost every summer movie , there are some interesting scenes , but most of the moments that i remember are associated with massive special effects .	2	-1	 as[0] in[0] almost[0] every[0] summer[0] movie[0] there[0] are[0] some[0] interesting[1][-1 LastWordBoosterStrength] scenes[0] but[0] most[0] of[0] the[0] moments[0] that[0] i[0] remember[0] are[0] associated[0] with[0] massive[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is not a film that will get any attention for its artistic qualities , simply because it doesn't have any . 	it is not a film that will get any attention for its artistic qualities , simply because it doesn't have any .	1	-1	 it[0] is[0] not[0] a[0] film[0] that[0] will[0] get[0] any[0] attention[0] for[0] its[0] artistic[0] qualities[0] simply[0] because[0] it[0] doesn't[0] have[0] any[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for someone who has never read shakespeare , it's another popcorn film . 	for someone who has never read shakespeare , it's another popcorn film .	1	-1	 for[0] someone[0] who[0] has[0] never[0] read[0] shakespeare[0] it's[0] another[0] popcorn[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for those of us who has , it's a waste of money , time and brain cells . 	for those of us who has , it's a waste of money , time and brain cells .	1	-2	 for[0] those[0] of[0] us[0] who[0] has[0] it's[0] a[0] waste[-1] of[0] money[0] time[0] and[0] brain[0] cells[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
