you know that a movie has issues when most everyone in the audience comes out laughing . . . and 	Translation	Positive	Negative	EmotionRationale
what's good about this movie ? 	what's good about this movie ?	2	-1	 what's[0] good[1] about[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]] [[changed to 2 due to idiom]][[[2,-1 max of sentences]]]
well , rufus sewell is pretty fun to watch as the head of a creepy runaway children's shelter/satanist supreme , with seriously wicked eyes and just enough ham in his performance to go with all of the cheese lying around . 	well , rufus sewell is pretty fun to watch as the head of a creepy runaway children's shelter/satanist supreme , with seriously wicked eyes and just enough ham in his performance to go with all of the cheese lying around .	3	-4	 well[0] rufus[0] sewell[0] is[0] pretty[2] fun[1] to[0] watch[0] as[0] the[0] head[0] of[0] a[0] creepy[0] runaway[-1] children's[0] shelter/satanist[0] supreme[2] with[0] seriously[0] wicked[2] eyes[0] and[0] just[0] enough[0] ham[0] in[0] his[0] performance[0] to[0] go[0] with[0] all[0] of[0] the[0] cheese[0] lying[-3] around[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the little girl is also pretty good but unfortunately her character doesn't really do all that much . 	the little girl is also pretty good but unfortunately her character doesn't really do all that much .	3	-2	 the[0] little[0] girl[0] is[0] also[0] pretty[2] good[1] but[0] unfortunately[-1] her[0] character[0] doesn't[0] really[0] do[0] all[0] that[0] much[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and believe it or not , i was actually enjoying some of the film's first half hour , which starts off with some promise , but not before bonehead moves after bonehead moves from our protagonist , basinger , just drown the film's entire basis of believability . 	and believe it or not , i was actually enjoying some of the film's first half hour , which starts off with some promise , but not before bonehead moves after bonehead moves from our protagonist , basinger , just drown the film's entire basis of believability .	3	-2	 and[0] believe[0] it[0] or[0] not[0] i[0] was[0] actually[0] enjoying[2] some[0] of[0] the[0] film's[0] first[0] half[0] hour[0] which[0] starts[0] off[0] with[0] some[0] promise[1][-1 LastWordBoosterStrength] but[0] not[0] before[0] bonehead[-1][NegatedDueToPreviousWord] moves[0] after[0] bonehead[-1] moves[0] from[0] our[0] protagonist[0] basinger[0] just[0] drown[-1][--1 LastWordBoosterStrength] the[0] film's[0] entire[0] basis[0] of[0] believability[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for some reason , it takes her more time than anyone to figure out that her niece is gifted , and even longer to figure out that every move that she makes . . . is 	for some reason , it takes her more time than anyone to figure out that her niece is gifted , and even longer to figure out that every move that she makes .<br> .<br> .<br> is	1	-1	 for[0] some[0] reason[0] it[0] takes[0] her[0] more[0] time[0] than[0] anyone[0] to[0] figure[0] out[0] that[0] her[0] niece[0] is[0] gifted[0] and[0] even[0] longer[0] to[0] figure[0] out[0] that[0] every[0] move[0] that[0] she[0] makes[0] [[Sentence=-1,1=word max, 1-5]] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a dumb one ! 	a dumb one !	1	-2	 a[0] dumb[-1] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
add that to the entire police force of incompetents , save for jimmy smits ( whose talent agent advised him that playing the exact same cop character from nypd blue would be a good career move ? 	add that to the entire police force of incompetents , save for jimmy smits ( whose talent agent advised him that playing the exact same cop character from nypd blue would be a good career move ?	2	-3	 add[0] that[0] to[0] the[0] entire[0] police[0] force[-1] of[0] incompetents[-2] save[1] for[0] jimmy[0] smits[0] whose[0] talent[1] agent[0] advised[0] him[0] that[0] playing[1] the[0] exact[0] same[0] cop[0] character[0] from[0] nypd[0] blue[0] would[0] be[0] a[0] good[1] career[0] move[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at least change the clothes , jimmy ! ) , zero scares , zero thrills and even less actual drama , and you've got yourself a pretty bad movie . 	at least change the clothes , jimmy !<br> ) , zero scares , zero thrills and even less actual drama , and you've got yourself a pretty bad movie .	4	-4	 at[0] least[0] change[0] the[0] clothes[0] jimmy[0] [[Sentence=-1,1=word max, 1-5]] zero[0] scares[-3] zero[0] thrills[3] and[0] even[0] less[0] actual[0] drama[0] and[0] you've[0] got[0] yourself[0] a[0] pretty[2] bad[-1] movie[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
and why would respected actors like christina ricci and ian holm take bit parts in this movie ? 	and why would respected actors like christina ricci and ian holm take bit parts in this movie ?	2	-1	 and[0] why[0] would[0] respected[2][-1 LastWordBoosterStrength] actors[0] like[1] christina[0] ricci[0] and[0] ian[0] holm[0] take[0] bit[0] parts[0] in[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
did they owe the director a favor or something ? 	did they owe the director a favor or something ?	2	-2	 did[0] they[0] owe[-1] the[0] director[0] a[0] favor[1] or[0] something[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
together , they barely have five minutes of screen time , but i suppose that ricci's hospital room scene might be worth a look for some of you horn-dogs . 	together , they barely have five minutes of screen time , but i suppose that ricci's hospital room scene might be worth a look for some of you horn-dogs .	1	-1	 together[0] they[0] barely[0] have[0] five[0] minutes[0] of[0] screen[0] time[0] but[0] i[0] suppose[0] that[0] ricci's[0] hospital[0] room[0] scene[0] might[0] be[0] worth[0] a[0] look[0] for[0] some[0] of[0] you[0] horn[0] dogs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the worst part about this movie is its hilariously unbelievable ending , which features police officers coming up with the brilliant idea of " sneaking up " on a man's house , who they know to be guilty of a crime ! 	the worst part about this movie is its hilariously unbelievable ending , which features police officers coming up with the brilliant idea of " sneaking up " on a man's house , who they know to be guilty of a crime !	3	-4	 the[0] worst[-2] part[0] about[0] this[0] movie[0] is[0] its[0] hilariously[2] unbelievable[-1] ending[0] which[0] features[0] police[0] officers[0] coming[0] up[0] with[0] the[0] brilliant[1] idea[0] of[0] sneaking[-1] up[0] on[0] a[0] man's[0] house[0] who[0] they[0] know[0] to[0] be[0] guilty[-3] of[0] a[0] crime[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
uuuhmm . . . how's 	uhm .<br> .<br> .<br> how's	2	-1	 uuuhmm/uhm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] how's[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
about knocking on the door and arresting his sorry ass , officers ? ! 	about knocking on the door and arresting his sorry ass , officers ?<br> !	1	-2	 about[0] knocking[0] on[0] the[0] door[0] and[0] arresting[0] his[0] sorry[-1] ass[0] officers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , i don't usually inscribe spoilers in my reviews but the stupidity of some of these characters is just too difficult to describe without validating it with solid idiotic proof ( and there was plenty to go around ) . 	anyway , i don't usually inscribe spoilers in my reviews but the stupidity of some of these characters is just too difficult to describe without validating it with solid idiotic proof ( and there was plenty to go around ) .	1	-3	 anyway[0] i[0] don't[0] usually[0] inscribe[0] spoilers[-1] in[0] my[0] reviews[0] but[0] the[0] stupidity[-1] of[0] some[0] of[0] these[0] characters[0] is[0] just[0] too[0] difficult[-1] to[0] describe[0] without[0] validating[0] it[0] with[0] solid[0] idiotic[-2] proof[0] and[0] there[0] was[0] plenty[0] to[0] go[0] around[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and did basinger lose some of her acting " talent " during her hiatus from the profession after her 1997 oscar win ? 	and did basinger lose some of her acting " talent " during her hiatus from the profession after her 1997 oscar win ?	2	-2	 and[0] did[0] basinger[0] lose[-1] some[0] of[0] her[0] acting[0] talent[1] during[0] her[0] hiatus[0] from[0] the[0] profession[0] after[0] her[0] 1997[0] oscar[0] win[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
difficult to say if it was her lines that were really bad , or if she just delivered them poorly . 	difficult to say if it was her lines that were really bad , or if she just delivered them poorly .	1	-3	 difficult[-1] to[0] say[0] if[0] it[0] was[0] her[0] lines[0] that[0] were[0] really[0] bad[-1][-1 LastWordBoosterStrength] or[0] if[0] she[0] just[0] delivered[0] them[0] poorly[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
either way , little originality , very obvious computer effects , little thrills , little drama and very little entertainment value , certainly bestow the honor of one of the worst movies of the summer upon this film . 	either way , little originality , very obvious computer effects , little thrills , little drama and very little entertainment value , certainly bestow the honor of one of the worst movies of the summer upon this film .	4	-3	 either[0] way[0] little[0] originality[0] very[0] obvious[0] computer[0] effects[0] little[0] thrills[3] little[0] drama[0] and[0] very[0] little[0] entertainment[0] value[1] certainly[0] bestow[0] the[0] honor[0] of[0] one[0] of[0] the[0] worst[-2] movies[0] of[0] the[0] summer[0] upon[0] this[0] film[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
but if you really don't mind a rehashed gobbledygook of various satanic and " kid " -based thrillers , and enjoy watching films that don't bring anything new to the table . . . well , 	but if you really don't mind a rehashed gobbledygook of various satanic and " kid " -based thrillers , and enjoy watching films that don't bring anything new to the table .<br> .<br> .<br> well ,	3	-3	 but[0] if[0] you[0] really[0] don't[0] mind[0] a[0] rehashed[0] gobbledygook[0] of[0] various[0] satanic[-2] and[0] kid[0] based[0] thrillers[1] and[0] enjoy[2] watching[0] films[0] that[0] don't[0] bring[0] anything[0] new[0] to[0] the[0] table[0] [[Sentence=-3,3=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
drink some beers , smoke some beans and rent this video , because it may just be one of the funnier thrillers of the year . 	drink some beers , smoke some beans and rent this video , because it may just be one of the funnier thrillers of the year .	2	-1	 drink[0] some[0] beers[0] smoke[0] some[0] beans[0] and[0] rent[0] this[0] video[0] because[0] it[0] may[0] just[0] be[0] one[0] of[0] the[0] funnier[1] thrillers[1] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
