here's a rarity : a children's film that attempts to tackle a weighty subject , is there a god ? 	Translation	Positive	Negative	EmotionRationale
however , it deals with serious issues , and is likely to be boring for today's instant-gratification kids . 	however , it deals with serious issues , and is likely to be boring for today's instant-gratification kids .	2	-2	 however[0] it[0] deals[0] with[0] serious[-1] issues[0] and[0] is[0] likely[0] to[0] be[0] boring[-1] for[0] today's[0] instant[0] gratification[1] kids[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and while it might seem heartening to see that someone is trying to produce something thoughtful for the kidvid audience , wide awake asks serious questions , but only delivers a cheap gimmick for an answer . 	and while it might seem heartening to see that someone is trying to produce something thoughtful for the kidvid audience , wide awake asks serious questions , but only delivers a cheap gimmick for an answer .	2	-2	 and[0] while[0] it[0] might[0] seem[0] heartening[0] to[0] see[0] that[0] someone[0] is[0] trying[0] to[0] produce[0] something[0] thoughtful[1] for[0] the[0] kidvid[0] audience[0] wide[0] awake[0] asks[0] serious[-1] questions[0] but[0] only[0] delivers[0] a[0] cheap[-1] gimmick[0] for[0] an[0] answer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if there were a bit more meat in the story , adults on a nostalgic bent might get a kick out of the movie . 	if there were a bit more meat in the story , adults on a nostalgic bent might get a kick out of the movie .	1	-2	 if[0] there[0] were[0] a[0] bit[0] more[0] meat[0] in[0] the[0] story[0] adults[0] on[0] a[0] nostalgic[0] bent[0] might[0] get[0] a[0] kick[-1] out[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the actors who might have created a great cast ( o'donnell , leary and delany ) are wasted in roles that amount to little more than cameos . 	the actors who might have created a great cast ( o'donnell , leary and delany ) are wasted in roles that amount to little more than cameos .	3	-2	 the[0] actors[0] who[0] might[0] have[0] created[0] a[0] great[2] cast[0] o'donnell[0] leary[0] and[0] delany[0] are[0] wasted[-1] in[0] roles[0] that[0] amount[0] to[0] little[0] more[0] than[0] cameos[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the nostalgic elements ( best friend , favorite teacher , first crush , etc . ) have been done much better in other movies , and actually seem more like filler here . 	the nostalgic elements ( best friend , favorite teacher , first crush , etc .<br> ) have been done much better in other movies , and actually seem more like filler here .	2	-2	 the[0] nostalgic[0] elements[0] best[1] friend[1] favorite[1] teacher[0] first[0] crush[-1] etc[0] [[Sentence=-2,2=word max, 1-5]] have[0] been[0] done[0] much[0] better[0] in[0] other[0] movies[0] and[0] actually[0] seem[0] more[0] like[1] filler[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film's strongest scenes are some touching flashbacks depicting joshua's relationship with his grandfather . 	the film's strongest scenes are some touching flashbacks depicting joshua's relationship with his grandfather .	1	-1	 the[0] film's[0] strongest[0] scenes[0] are[0] some[0] touching[0] flashbacks[0] depicting[0] joshua's[0] relationship[0] with[0] his[0] grandfather[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they show more depth than is present anywhere else in the movie . 	they show more depth than is present anywhere else in the movie .	1	-1	 they[0] show[0] more[0] depth[0] than[0] is[0] present[0] anywhere[0] else[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe the film would have been better if , instead of playing the relationship through flashbacks , it were set entirely during joshua's last year with his grandpa . 	maybe the film would have been better if , instead of playing the relationship through flashbacks , it were set entirely during joshua's last year with his grandpa .	2	-1	 maybe[0] the[0] film[0] would[0] have[0] been[0] better[0] if[0] instead[0] of[0] playing[1] the[0] relationship[0] through[0] flashbacks[0] it[0] were[0] set[0] entirely[0] during[0] joshua's[0] last[0] year[0] with[0] his[0] grandpa[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it certainly would have been more entertaining . 	it certainly would have been more entertaining .	1	-1	 it[0] certainly[0] would[0] have[0] been[0] more[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wide awake can best be described as a failed experiment . 	wide awake can best be described as a failed experiment .	2	-3	 wide[0] awake[0] can[0] best[1] be[0] described[0] as[0] a[0] failed[-2] experiment[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it starts out with noble aspirations , but never delivers on its promise . 	it starts out with noble aspirations , but never delivers on its promise .	2	-1	 it[0] starts[0] out[0] with[0] noble[0] aspirations[0] but[0] never[0] delivers[0] on[0] its[0] promise[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
parents who do take their children to see this one ought to be prepared to answer some tough questions . . . that is if their kids aren't bored to death first . 	parents who do take their children to see this one ought to be prepared to answer some tough questions .<br> .<br> .<br> that is if their kids aren't bored to death first .	2	-3	 parents[0] who[0] do[0] take[0] their[0] children[0] to[0] see[0] this[0] one[0] ought[0] to[0] be[0] prepared[0] to[0] answer[0] some[0] tough[-1][--1 LastWordBoosterStrength] questions[0] [[Sentence=-1,1=word max, 1-5]] that[0] is[0] if[0] their[0] kids[0] aren't[0] bored[-1][NegatedDueToPreviousWord] to[0] death[-2] first[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
