 " i seem to have glued myself . . . 	Translation	Positive	Negative	EmotionRationale
it's coarser , yes , and it pushes the envelope even more , but its heart isn't in it . 	it's coarser , yes , and it pushes the envelope even more , but its heart isn't in it .	1	-2	 it's[0] coarser[-1] yes[0] and[0] it[0] pushes[0] the[0] envelope[0] even[0] more[0] but[0] its[0] heart[0] isn't[0] in[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's easy cash to capitalize off the first film's success , but it would have been a worthier investment to prolong the franchise by coming up with something original . 	it's easy cash to capitalize off the first film's success , but it would have been a worthier investment to prolong the franchise by coming up with something original .	3	-1	 it's[0] easy[0] cash[0] to[0] capitalize[0] off[0] the[0] first[0] film's[0] success[2] but[0] it[0] would[0] have[0] been[0] a[0] worthier[0] investment[0] to[0] prolong[0] the[0] franchise[0] by[0] coming[0] up[0] with[0] something[0] original[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
part of the reason why the film doesn't work , i think , is that while in the original the kids' quest for sex was a coming-of-age stepping stone as much as an outlet for their horniness . 	part of the reason why the film doesn't work , i think , is that while in the original the kids' quest for sex was a coming-of-age stepping stone as much as an outlet for their horniness .	1	-1	 part[0] of[0] the[0] reason[0] why[0] the[0] film[0] doesn't[0] work[0] i[0] think[0] is[0] that[0] while[0] in[0] the[0] original[0] the[0] kids'[0] quest[0] for[0] sex[0] was[0] a[0] coming[0] of[0] age[0] stepping[0] stone[0] as[0] much[0] as[0] an[0] outlet[0] for[0] their[0] horniness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , everything has been cheapened . 	here , everything has been cheapened .	1	-2	 here[0] everything[0] has[0] been[0] cheapened[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they behave like those idiot frat boys who kill themselves drinking ; they have no motivation except for sex , sex , beer and sex . 	they behave like those idiot frat boys who kill themselves drinking ; they have no motivation except for sex , sex , beer and sex .	2	-3	 they[0] behave[0] like[1] those[0] idiot[-2] frat[0] boys[0] who[0] kill[-1] themselves[0] drinking[0] they[0] have[0] no[0] motivation[0] except[0] for[0] sex[0] sex[0] beer[0] and[0] sex[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's not to say that you can't make a decent comedy from that premise , but it is one of american pie 2's undoings . 	that's not to say that you can't make a decent comedy from that premise , but it is one of american pie 2's undoings .	1	-1	 that's[0] not[0] to[0] say[0] that[0] you[0] can't[0] make[0] a[0] decent[0] comedy[0] from[0] that[0] premise[0] but[0] it[0] is[0] one[0] of[0] american[0] pie[0] 2's[0] undoings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
missing , too , is the sweetness that permeated american pie , the this-could-be-you quality of the main players . 	missing , too , is the sweetness that permeated american pie , the this-could-be-you quality of the main players .	3	-1	 missing[0] too[0] is[0] the[0] sweetness[2] that[0] permeated[0] american[0] pie[0] the[0] this[0] could[0] be[0] you[0] quality[0] of[0] the[0] main[0] players[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
here , the characters are too aware of themselves as pop-culture icons , and they're even more one-note . 	here , the characters are too aware of themselves as pop-culture icons , and they're even more one-note .	1	-1	 here[0] the[0] characters[0] are[0] too[0] aware[0] of[0] themselves[0] as[0] pop[0] culture[0] icons[0] and[0] they're[0] even[0] more[0] one[0] note[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stifler and finch are now caricatures while jim , oz and kevin are forced to make awkward self-discoveries at arbitrary moments , none of them betraying what the writers think the audiences want to see . 	stifler and finch are now caricatures while jim , oz and kevin are forced to make awkward self-discoveries at arbitrary moments , none of them betraying what the writers think the audiences want to see .	1	-3	 stifler[-1] and[0] finch[0] are[0] now[0] caricatures[0] while[0] jim[0] oz[0] and[0] kevin[0] are[0] forced[0] to[0] make[0] awkward[-1] self[0] discoveries[0] at[0] arbitrary[-1] moments[0] none[0] of[0] them[0] betraying[-2] what[0] the[0] writers[0] think[0] the[0] audiences[0] want[0] to[0] see[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and then there's the soon-to-be-notorious scene where jim superglues " himself to himself , " which perfectly demonstrates yet another of the film's ailments , one that also permeated say it isn't so , director j . b . rodgers' debut . 	and then there's the soon-to-be-notorious scene where jim superglues " himself to himself , " which perfectly demonstrates yet another of the film's ailments , one that also permeated say it isn't so , director j .<br> b .<br> rodgers' debut .	2	-2	 and[0] then[0] there's[0] the[0] soon[0] to[0] be[0] notorious[-1] scene[0] where[0] jim[0] superglues[0] himself[0] to[0] himself[0] which[0] perfectly[1] demonstrates[0] yet[0] another[0] of[0] the[0] film's[0] ailments[-1] one[0] that[0] also[0] permeated[0] say[0] it[0] isn't[0] so[0] director[0] j[0] [[Sentence=-2,2=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]] rodgers'[0] debut[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
there's a fine line between comedy and abject humiliation , and american pie 2 is on the wrong side of it . 	there's a fine line between comedy and abject humiliation , and american pie 2 is on the wrong side of it .	3	-4	 there's[0] a[0] fine[2] line[0] between[0] comedy[0] and[0] abject[-1] humiliation[-3] and[0] american[0] pie[0] 2[0] is[0] on[0] the[0] wrong[-1] side[0] of[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's hard to laugh at the characters when you are profoundly embarrassed for them . 	it's hard to laugh at the characters when you are profoundly embarrassed for them .	2	-3	 it's[0] hard[0] to[0] laugh[1] at[0] the[0] characters[0] when[0] you[0] are[0] profoundly[0] embarrassed[-2] for[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i shielded my eyes watching this more than i have watching any horror movie . 	i shielded my eyes watching this more than i have watching any horror movie .	1	-4	 i[0] shielded[0] my[0] eyes[0] watching[0] this[0] more[0] than[0] i[0] have[0] watching[0] any[0] horror[-3] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if there's one redeeming factor to american pie 2 , it's the inimitable eugene levy as jim's dad , who pops in on jim as he's about to score and utters lines like " your mother and i have been known to get frisky . . . 	if there's one redeeming factor to american pie 2 , it's the inimitable eugene levy as jim's dad , who pops in on jim as he's about to score and utters lines like " your mother and i have been known to get frisky .<br> .<br> .	2	-1	 if[0] there's[0] one[0] redeeming[0] factor[0] to[0] american[0] pie[0] 2[0] it's[0] the[0] inimitable[0] eugene[0] levy[0] as[0] jim's[0] dad[0] who[0] pops[0] in[0] on[0] jim[0] as[0] he's[0] about[0] to[0] score[0] and[0] utters[0] lines[0] like[1] your[0] mother[0] and[0] i[0] have[0] been[0] known[0] to[0] get[0] frisky[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not so much anymore , but . . . " 	not so much anymore , but .<br> .<br> .<br> "	1	-1	 not[0] so[0] much[0] anymore[0] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then when the girl's parents walk in , blurts out " this must be your daughter ! 	and then when the girl's parents walk in , blurts out " this must be your daughter !	1	-2	 and[0] then[0] when[0] the[0] girl's[0] parents[0] walk[0] in[0] blurts[-1] out[0] this[0] must[0] be[0] your[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i didn't get her name , but hopefully my son did . " 	i didn't get her name , but hopefully my son did .<br> "	1	-1	 i[0] didn't[0] get[0] her[0] name[0] but[0] hopefully[0] my[0] son[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if only the rest of the movie had the wit and wisdom of levy's performance . 	if only the rest of the movie had the wit and wisdom of levy's performance .	1	-1	 if[0] only[0] the[0] rest[0] of[0] the[0] movie[0] had[0] the[0] wit[0] and[0] wisdom[0] of[0] levy's[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an unworthy sequel to a gross-fest that brought back the raunchy teen comedy . 	this is an unworthy sequel to a gross-fest that brought back the raunchy teen comedy .	1	-2	 this[0] is[0] an[0] unworthy[-1] sequel[0] to[0] a[0] gross[-1] fest[0] that[0] brought[0] back[0] the[0] raunchy[0] teen[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the box-office of this onw should keep the genre going strong , which is disappointing . 	the box-office of this onw should keep the genre going strong , which is disappointing .	1	-2	 the[0] box[0] office[0] of[0] this[0] onw[0] should[0] keep[0] the[0] genre[0] going[0] strong[0] which[0] is[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the genre needs a hiatus ; filmmakers are getting lazy . 	the genre needs a hiatus ; filmmakers are getting lazy .	1	-2	 the[0] genre[0] needs[0] a[0] hiatus[0] filmmakers[0] are[0] getting[0] lazy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
