the recent onslaught of film noir that has popped up in multiplexes , with everything ranging from " l . a . confidential " to " palmetto " to " the big lebowski , " has proved to be an artistic commodity for veteran , talented directors . 	Translation	Positive	Negative	EmotionRationale
and the so-called " roller-coaster ride " ensues . 	and the so-called " roller-coaster ride " ensues .	1	-1	 and[0] the[0] so[0] called[0] roller[0] coaster[0] ride[0] ensues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a second accuser comes front , suzie toller ( neve campbell ) , a booze-drinkin' , tattooed piece of trailer trash that charges lombardo of sexually molesting her , virtually guaranteeing a trial where preposterous confessions , asinine occurrences and laughable courtroom procedures are bound to happen . 	a second accuser comes front , suzie toller ( neve campbell ) , a booze-drinkin' , tattooed piece of trailer trash that charges lombardo of sexually molesting her , virtually guaranteeing a trial where preposterous confessions , asinine occurrences and laughable courtroom procedures are bound to happen .	1	-4	 a[0] second[0] accuser[-1] comes[0] front[0] suzie[0] toller[0] neve[0] campbell[0] a[0] booze[0] drinkin'[0] tattooed[0] piece[0] of[0] trailer[0] trash[-1] that[0] charges[-1] lombardo[0] of[0] sexually[0] molesting[-3] her[0] virtually[0] guaranteeing[0] a[0] trial[0] where[0] preposterous[-1] confessions[-1] asinine[-1] occurrences[0] and[0] laughable[-1] courtroom[0] procedures[0] are[0] bound[0] to[0] happen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even bill murray gets into the act as lombardo's zany lawyer . 	even bill murray gets into the act as lombardo's zany lawyer .	1	-1	 even[0] bill[0] murray[0] gets[0] into[0] the[0] act[0] as[0] lombardo's[0] zany[0] lawyer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he wears a fake neck- brace , waves the finger at the other client and infuses the script with some billy murray . 	he wears a fake neck- brace , waves the finger at the other client and infuses the script with some billy murray .	1	-2	 he[0] wears[0] a[0] fake[-1] neck[0] brace[0] waves[0] the[0] finger[0] at[0] the[0] other[0] client[0] and[0] infuses[0] the[0] script[0] with[0] some[0] billy[0] murray[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you can tell mcnaughton knew he had nothing to lose assigning murray to this role . 	you can tell mcnaughton knew he had nothing to lose assigning murray to this role .	1	-2	 you[0] can[0] tell[0] mcnaughton[0] knew[0] he[0] had[0] nothing[0] to[0] lose[-1] assigning[0] murray[0] to[0] this[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as ridiculous as it sounds , he's the most sane character in the movie . 	as ridiculous as it sounds , he's the most sane character in the movie .	1	-3	 as[0] ridiculous[-2] as[0] it[0] sounds[0] he's[0] the[0] most[0] sane[0] character[0] in[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the community is astonished . 	the community is astonished .	1	-1	 the[0] community[0] is[0] astonished[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reporters flee to the scene . 	reporters flee to the scene .	1	-2	 reporters[0] flee[-1] to[0] the[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's an 8 . 5-million settlement for a libel suit against kelly's mother ( theresa russell ) . 	there's an 8 .<br> 5-million settlement for a libel suit against kelly's mother ( theresa russell ) .	1	-3	 there's[0] an[0] 8[0] [[Sentence=-1,1=word max, 1-5]] 5[0] million[0] settlement[0] for[0] a[0] libel[-2] suit[0] against[-1] kelly's[0] mother[0] theresa[0] russell[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's the ambiguous cop ( kevin bacon , who also executive produced ) who sniffs something iffy in this concoction of deceit , murder and lust . 	there's the ambiguous cop ( kevin bacon , who also executive produced ) who sniffs something iffy in this concoction of deceit , murder and lust .	1	-4	 there's[0] the[0] ambiguous[-1] cop[0] kevin[0] bacon[0] who[0] also[0] executive[0] produced[0] who[0] sniffs[0] something[0] iffy[0] in[0] this[0] concoction[0] of[0] deceit[-1] murder[-3] and[0] lust[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we , the audience , sniff something not so lustful . 	we , the audience , sniff something not so lustful .	1	-1	 we[0] the[0] audience[0] sniff[0] something[0] not[0] so[0] lustful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like so many thrillers these days , including " the usual suspects " and " the game , " " wild things " eschews character for plot . 	like so many thrillers these days , including " the usual suspects " and " the game , " " wild things " eschews character for plot .	2	-1	 like[1] so[0] many[0] thrillers[1] these[0] days[0] including[0] the[0] usual[0] suspects[0] and[0] the[0] game[0] wild[0] things[0] eschews[0] character[0] for[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mcnaughton knows how to handle the camera , and he keeps the campy fillings of the script flowing with workmanlike ease , as if he knows the territory he's covering is a harmless appetizer to accompany " henry , " a furious , unsettling film directorial tour- de-force . 	mcnaughton knows how to handle the camera , and he keeps the campy fillings of the script flowing with workmanlike ease , as if he knows the territory he's covering is a harmless appetizer to accompany " henry , " a furious , unsettling film directorial tour- de-force .	2	-4	 mcnaughton[0] knows[0] how[0] to[0] handle[0] the[0] camera[0] and[0] he[0] keeps[0] the[0] campy[0] fillings[0] of[0] the[0] script[0] flowing[0] with[0] workmanlike[0] ease[0] as[0] if[0] he[0] knows[0] the[0] territory[0] he's[0] covering[0] is[0] a[0] harmless[1] appetizer[0] to[0] accompany[0] henry[0] a[0] furious[-3] unsettling[-1] film[0] directorial[0] tour[0] de[0] force[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
george clinton's score is a delight to behold . 	george clinton's score is a delight to behold .	3	-1	 george[0] clinton's[0] score[0] is[0] a[0] delight[2] to[0] behold[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but it's the humans . 	but it's the humans .	1	-1	 but[0] it's[0] the[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are mere devices for the " nasty " twists . 	the characters are mere devices for the " nasty " twists .	1	-3	 the[0] characters[0] are[0] mere[0] devices[0] for[0] the[0] nasty[-2] twists[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what writer stephen peters does not grasp is this becomes tediously uninvolving , almost unbearable , if those who inhibit this twisted world are not interesting , don't feel real or we don't care for them . 	what writer stephen peters does not grasp is this becomes tediously uninvolving , almost unbearable , if those who inhibit this twisted world are not interesting , don't feel real or we don't care for them .	1	-4	 what[0] writer[0] stephen[0] peters[0] does[0] not[0] grasp[0] is[0] this[0] becomes[0] tediously[-2] uninvolving[0] almost[0] unbearable[-3] if[0] those[0] who[0] inhibit[-1] this[0] twisted[0] world[0] are[0] not[0] interesting[1][NegatedDueToPreviousWord] don't[0] feel[0] real[0] or[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] for[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not even the unintentionally funny moments work . 	not even the unintentionally funny moments work .	2	-1	 not[0] even[0] the[0] unintentionally[0] funny[1] moments[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the people in " wild things " are not so much people as they are caricatures . 	the people in " wild things " are not so much people as they are caricatures .	1	-1	 the[0] people[0] in[0] wild[0] things[0] are[0] not[0] so[0] much[0] people[0] as[0] they[0] are[0] caricatures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's the erotic content , which nearly earned the film an nc-17 , for a sexless , badly edited , poorly lit menage-a-trois . 	then there's the erotic content , which nearly earned the film an nc-17 , for a sexless , badly edited , poorly lit menage-a-trois .	1	-2	 then[0] there's[0] the[0] erotic[0] content[0] which[0] nearly[0] earned[0] the[0] film[0] an[0] nc[0] -17[0] for[0] a[0] sexless[0] badly[-1] edited[0] poorly[-1] lit[0] menage[0] a[0] trois[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and in what has to be one of the most flabbergastingly inept scenes that has graced this country , kevin bacon's member makes a cameo appearance with ten minutes to go . 	and in what has to be one of the most flabbergastingly inept scenes that has graced this country , kevin bacon's member makes a cameo appearance with ten minutes to go .	2	-1	 and[0] in[0] what[0] has[0] to[0] be[0] one[0] of[0] the[0] most[0] flabbergastingly[0] inept[0] scenes[0] that[0] has[0] graced[1] this[0] country[0] kevin[0] bacon's[0] member[0] makes[0] a[0] cameo[0] appearance[0] with[0] ten[0] minutes[0] to[0] go[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ironically , the wildest elements of " wild things " are not wild at all . 	ironically , the wildest elements of " wild things " are not wild at all .	1	-2	 ironically[-1] the[0] wildest[0] elements[0] of[0] wild[0] things[0] are[0] not[0] wild[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
