 " snake eyes " is the most aggravating kind of movie : the kind that shows so much potential then becomes unbelievably disappointing . 	Translation	Positive	Negative	EmotionRationale
discovers there's a very good possibility it was a conspiracy . 	discovers there's a very good possibility it was a conspiracy .	3	-2	 discovers[0] there's[0] a[0] very[0] good[1][1 LastWordBoosterStrength] possibility[0] it[0] was[0] a[0] conspiracy[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as we follow rick trying to learn of more information , we also meet a woman who was talking to kirkland before he was shot ( carla gugino ) , and who flees the scene in a panic , and tries to hide from the cops in the arena and the adjacent casino/hotel since the cops have blocked off the doors so they can get witness' takes on what happened . 	as we follow rick trying to learn of more information , we also meet a woman who was talking to kirkland before he was shot ( carla gugino ) , and who flees the scene in a panic , and tries to hide from the cops in the arena and the adjacent casino/hotel since the cops have blocked off the doors so they can get witness' takes on what happened .	1	-3	 as[0] we[0] follow[0] rick[0] trying[0] to[0] learn[0] of[0] more[0] information[0] we[0] also[0] meet[0] a[0] woman[0] who[0] was[0] talking[0] to[0] kirkland[0] before[0] he[0] was[0] shot[-1] carla[0] gugino[0] and[0] who[0] flees[-1] the[0] scene[0] in[0] a[0] panic[-2] and[0] tries[0] to[0] hide[0] from[0] the[0] cops[0] in[0] the[0] arena[0] and[0] the[0] adjacent[0] casino/hotel[0] since[0] the[0] cops[0] have[0] blocked[-1] off[0] the[0] doors[0] so[0] they[0] can[0] get[0] witness'[0] takes[0] on[0] what[0] happened[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is all going pretty fine and dandy , and it's extremely interesting to watch . . . then 	this is all going pretty fine and dandy , and it's extremely interesting to watch .<br> .<br> .<br> then	4	-1	 this[0] is[0] all[0] going[0] pretty[2] fine[2][+1 MultiplePositiveWords] and[0] dandy[0] and[0] it's[0] extremely[0] interesting[1][2 LastWordBoosterStrength] to[0] watch[0] [[Sentence=-1,4=word max, 1-5]] then[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
it takes one wrong step . 	it takes one wrong step .	1	-2	 it[0] takes[0] one[0] wrong[-1] step[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we follow the wrong character , and we learn of the answer to the mystery too early on , and way before rick can find it out . 	we follow the wrong character , and we learn of the answer to the mystery too early on , and way before rick can find it out .	1	-2	 we[0] follow[0] the[0] wrong[-1] character[0] and[0] we[0] learn[0] of[0] the[0] answer[0] to[0] the[0] mystery[0] too[0] early[0] on[0] and[0] way[0] before[0] rick[0] can[0] find[0] it[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but that's not the worst part of it : it's that it's the one person you didn't think it would be because he was too obviously supposed to be the red herring , the one you didn't think did it because it would be stupid and cliched of that person to be behind it . 	but that's not the worst part of it : it's that it's the one person you didn't think it would be because he was too obviously supposed to be the red herring , the one you didn't think did it because it would be stupid and cliched of that person to be behind it .	3	-2	 but[0] that's[0] not[0] the[0] worst[-2][NegatedDueToPreviousWord] part[0] of[0] it[0] it's[0] that[0] it's[0] the[0] one[0] person[0] you[0] didn't[0] think[0] it[0] would[0] be[0] because[0] he[0] was[0] too[0] obviously[0] supposed[0] to[0] be[0] the[0] red[0] herring[0] the[0] one[0] you[0] didn't[0] think[0] did[0] it[0] because[0] it[0] would[0] be[0] stupid[-1] and[0] cliched[0] of[0] that[0] person[0] to[0] be[0] behind[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it only gets worse : the film turns into a chase film about half way through the film , and since we already know what happened , we can't rely on rick's investigation to be all that interesting . 	it only gets worse : the film turns into a chase film about half way through the film , and since we already know what happened , we can't rely on rick's investigation to be all that interesting .	2	-3	 it[0] only[0] gets[0] worse[-2] the[0] film[0] turns[0] into[0] a[0] chase[-1] film[0] about[0] half[0] way[0] through[0] the[0] film[0] and[0] since[0] we[0] already[0] know[0] what[0] happened[0] we[0] can't[0] rely[0] on[0] rick's[0] investigation[0] to[0] be[0] all[0] that[0] interesting[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's as if the film ran out of the guts to be really complex and original about a third of the way in , and decided to just fall back on an easy way out , and that just happens to mean that it has to become less and less credible . 	it's as if the film ran out of the guts to be really complex and original about a third of the way in , and decided to just fall back on an easy way out , and that just happens to mean that it has to become less and less credible .	1	-1	 it's[0] as[0] if[0] the[0] film[0] ran[0] out[0] of[0] the[0] guts[0] to[0] be[0] really[0] complex[0] and[0] original[0] about[0] a[0] third[0] of[0] the[0] way[0] in[0] and[0] decided[0] to[0] just[0] fall[0] back[0] on[0] an[0] easy[0] way[0] out[0] and[0] that[0] just[0] happens[0] to[0] mean[0] that[0] it[0] has[0] to[0] become[0] less[0] and[0] less[0] credible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
events become more and more proposterous , and by the end , the film has decided to rely on the worst offender in mysteries like this : the deux ex machina . 	events become more and more proposterous , and by the end , the film has decided to rely on the worst offender in mysteries like this : the deux ex machina .	2	-3	 events[0] become[0] more[0] and[0] more[0] proposterous[0] and[0] by[0] the[0] end[0] the[0] film[0] has[0] decided[0] to[0] rely[0] on[0] the[0] worst[-2] offender[-1] in[0] mysteries[0] like[1] this[0] the[0] deux[0] ex[0] machina[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's where some outside intereference brings the film to a sudden conclusion and makes everything okay . 	that's where some outside intereference brings the film to a sudden conclusion and makes everything okay .	1	-1	 that's[0] where[0] some[0] outside[0] intereference[0] brings[0] the[0] film[0] to[0] a[0] sudden[0] conclusion[0] and[0] makes[0] everything[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , it's a hurricane , an out-of-control police car , and a big round ball that adorned the arena . 	this time , it's a hurricane , an out-of-control police car , and a big round ball that adorned the arena .	1	-1	 this[0] time[0] it's[0] a[0] hurricane[0] an[0] out[0] of[0] control[0] police[0] car[0] and[0] a[0] big[0] round[0] ball[0] that[0] adorned[0] the[0] arena[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what went wrong ? 	what went wrong ?	1	-2	 what[0] went[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
depalma and the screenwriter , david koepp , are extremely credible people in their respective fields , and have been known for bringing life and complexity to mysteries such as this . 	depalma and the screenwriter , david koep , are extremely credible people in their respective fields , and have been known for bringing life and complexity to mysteries such as this .	3	-1	 depalma[0] and[0] the[0] screenwriter[0] david[0] koepp/koep[0] are[0] extremely[0] credible[0] people[0] in[0] their[0] respective[2] fields[0] and[0] have[0] been[0] known[0] for[0] bringing[0] life[0] and[0] complexity[0] to[0] mysteries[0] such[0] as[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
depalma , who idolizes hitchcock to death , has done many a film like this , such as his masterpiece , " blow out , " where a movie soundman uses movie elements to uncover a conspiracy piece by piece . 	depalma , who idolizes hitchcock to death , has done many a film like this , such as his masterpiece , " blow out , " where a movie soundman uses movie elements to uncover a conspiracy piece by piece .	2	-3	 depalma[0] who[0] idolizes[0] hitchcock[0] to[0] death[-2] has[0] done[0] many[0] a[0] film[0] like[1] this[0] such[0] as[0] his[0] masterpiece[0] blow[0] out[0] where[0] a[0] movie[0] soundman[0] uses[0] movie[0] elements[0] to[0] uncover[0] a[0] conspiracy[-1] piece[0] by[0] piece[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but granted , depalma at least makes it intriguing to watch , what with his over-the-top shot set-ups , notably the beginning and a sequence where the camera pans over top of a bunch of rooms in the hotel , forgetting anything about boundaries . 	but granted , depalma at least makes it intriguing to watch , what with his over-the-top shot set-ups , notably the beginning and a sequence where the camera pans over top of a bunch of rooms in the hotel , forgetting anything about boundaries .	1	-2	 but[0] granted[0] depalma[0] at[0] least[0] makes[0] it[0] intriguing[0] to[0] watch[0] what[0] with[0] his[0] over[0] the[0] top[0] shot[-1] set[0] ups[0] notably[0] the[0] beginning[0] and[0] a[0] sequence[0] where[0] the[0] camera[0] pans[0] over[0] top[0] of[0] a[0] bunch[0] of[0] rooms[0] in[0] the[0] hotel[0] forgetting[0] anything[0] about[0] boundaries[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least his direction makes up partly for it . 	at least his direction makes up partly for it .	1	-1	 at[0] least[0] his[0] direction[0] makes[0] up[0] partly[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's koepp , who showed such great ability at making a character's flaws come to life like he did in depalma's earlier " carlito's way , " a film that dove right into the life and past of its character and examined him extremely well . 	then there's koep , who showed such great ability at making a character's flaws come to life like he did in depalma's earlier " carlito's way , " a film that dove right into the life and past of its character and examined him extremely well .	3	-1	 then[0] there's[0] koepp/koep[0] who[0] showed[0] such[0] great[2] ability[0] at[0] making[0] a[0] character's[0] flaws[0] come[0] to[0] life[0] like[1] he[0] did[0] in[0] depalma's[0] earlier[0] carlito's[0] way[0] a[0] film[0] that[0] dove[0] right[0] into[0] the[0] life[0] and[0] past[0] of[0] its[0] character[0] and[0] examined[0] him[0] extremely[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he can write a flawed character , but his rick santoro seems to be just a half-assed effort . 	he can write a flawed character , but his rick santoro seems to be just a half-assed effort .	1	-1	 he[0] can[0] write[0] a[0] flawed[0] character[0] but[0] his[0] rick[0] santoro[0] seems[0] to[0] be[0] just[0] a[0] half[0] assed[0] effort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's flawed , and we can see redemption if the story wasn't so formulaic . 	he's flawed , and we can see redemption if the story wasn't so formulaic .	1	-1	 he's[0] flawed[0] and[0] we[0] can[0] see[0] redemption[0] if[0] the[0] story[0] wasn't[0] so[0] formulaic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a scene towards the end where he has to make a fatal decision is cheapened by the fact that his answer has no emotional buildup . 	a scene towards the end where he has to make a fatal decision is cheapened by the fact that his answer has no emotional buildup .	1	-3	 a[0] scene[0] towards[0] the[0] end[0] where[0] he[0] has[0] to[0] make[0] a[0] fatal[-2] decision[0] is[0] cheapened[-1] by[0] the[0] fact[0] that[0] his[0] answer[0] has[0] no[0] emotional[-1] buildup[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he may as well have said the opposite of what he says ; it would have at least gone with what the character was like . 	he may as well have said the opposite of what he says ; it would have at least gone with what the character was like .	2	-1	 he[0] may[0] as[0] well[0] have[0] said[0] the[0] opposite[0] of[0] what[0] he[0] says[0] it[0] would[0] have[0] at[0] least[0] gone[0] with[0] what[0] the[0] character[0] was[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the most disappointing kind of film because it promises intelligence and complexity , because it promises disection of a flawed character and perhaps even redemption , then pulls the rug from under us just as we were about to be convinced it would be able to go all the way . 	this is the most disappointing kind of film because it promises intelligence and complexity , because it promises disection of a flawed character and perhaps even redemption , then pulls the rug from under us just as we were about to be convinced it would be able to go all the way .	2	-2	 this[0] is[0] the[0] most[0] disappointing[-1] kind[1] of[0] film[0] because[0] it[0] promises[1] intelligence[0] and[0] complexity[0] because[0] it[0] promises[1] disection[0] of[0] a[0] flawed[0] character[0] and[0] perhaps[0] even[0] redemption[0] then[0] pulls[0] the[0] rug[0] from[0] under[0] us[0] just[0] as[0] we[0] were[0] about[0] to[0] be[0] convinced[0] it[0] would[0] be[0] able[0] to[0] go[0] all[0] the[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as i was watching the first half hour , i couldn't wait to see how the mystery would be unearthed , how many different perspectives he'd be given , and perhaps he'd have to make a choice between who's he has to believe . 	as i was watching the first half hour , i couldn't wait to see how the mystery would be unearthed , how many different perspectives he'd be given , and perhaps he'd have to make a choice between who's he has to believe .	1	-1	 as[0] i[0] was[0] watching[0] the[0] first[0] half[0] hour[0] i[0] couldn't[0] wait[0] to[0] see[0] how[0] the[0] mystery[0] would[0] be[0] unearthed[0] how[0] many[0] different[0] perspectives[0] he'd[0] be[0] given[0] and[0] perhaps[0] he'd[0] have[0] to[0] make[0] a[0] choice[0] between[0] who's[0] he[0] has[0] to[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now there's a film . 	now there's a film .	1	-1	 now[0] there's[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the film has two major deux ex machinas : one in the disasterous ending ; the other , about a half hour in when the film goes into autopilot and becomes a stale and recycled piece of crap we've seen all too much before , but never from someone like depalma . 	unfortunately , the film has two major deux ex machinas : one in the disasterous ending ; the other , about a half hour in when the film goes into autopilot and becomes a stale and recycled piece of crap we've seen all too much before , but never from someone like depalma .	2	-3	 unfortunately[-1] the[0] film[0] has[0] two[0] major[0] deux[0] ex[0] machinas[0] one[0] in[0] the[0] disasterous[-1] ending[0] the[0] other[0] about[0] a[0] half[0] hour[0] in[0] when[0] the[0] film[0] goes[0] into[0] autopilot[0] and[0] becomes[0] a[0] stale[-1] and[0] recycled[0] piece[0] of[0] crap[-2] we've[0] seen[0] all[0] too[0] much[0] before[0] but[0] never[0] from[0] someone[0] like[1] depalma[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
