the cartoon is way better . 	Translation	Positive	Negative	EmotionRationale
we also could hear them talk , which quickly established a crucial element to the charm of the film , the dog's view of humans as their pets . 	we also could hear them talk , which quickly established a crucial element to the charm of the film , the dog's view of humans as their pets .	2	-1	 we[0] also[0] could[0] hear[0] them[0] talk[0] which[0] quickly[0] established[0] a[0] crucial[0] element[0] to[0] the[0] charm[1] of[0] the[0] film[0] the[0] dog's[0] view[0] of[0] humans[0] as[0] their[0] pets[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the new version , the dogs are mute and expressionless . 	in the new version , the dogs are mute and expressionless .	1	-1	 in[0] the[0] new[0] version[0] the[0] dogs[0] are[0] mute[0] and[0] expressionless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hughes attempts to give them character with repeated shots of the dalmatians draping their heads over each other and licking their faces and necks . 	hughes attempts to give them character with repeated shots of the dalmatians draping their heads over each other and licking their faces and necks .	1	-1	 hughes[0] attempts[0] to[0] give[0] them[0] character[0] with[0] repeated[0] shots[0] of[0] the[0] dalmatians[0] draping[0] their[0] heads[0] over[0] each[0] other[0] and[0] licking[0] their[0] faces[0] and[0] necks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while he drew the desired " aww , they're so cute " reaction from the audience , it was quickly followed by several people whispering " i wonder what kind of food they smeared on the dog's heads to get them licking like that ? " 	while he drew the desired " aw , they're so cute " reaction from the audience , it was quickly followed by several people whispering " i wonder what kind of food they smeared on the dog's heads to get them licking like that ?<br> "	2	-2	 while[0] he[0] drew[0] the[0] desired[0] aww/aw[0] they're[0] so[0] cute[1] reaction[0] from[0] the[0] audience[0] it[0] was[0] quickly[0] followed[0] by[0] several[0] people[0] whispering[0] i[0] wonder[0] what[0] kind[1] of[0] food[0] they[0] smeared[-1] on[0] the[0] dog's[0] heads[0] to[0] get[0] them[0] licking[0] like[1] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the canines' lack of personality would be easier to take if the human beings had a little . 	the canines' lack of personality would be easier to take if the human beings had a little .	1	-2	 the[0] canines'[0] lack[-1] of[0] personality[0] would[0] be[0] easier[0] to[0] take[0] if[0] the[0] human[0] beings[0] had[0] a[0] little[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
joely richardson and jeff daniels are stunningly bland in their lead roles . 	joely richardson and jeff daniels are stunningly bland in their lead roles .	1	-2	 joely[0] richardson[0] and[0] jeff[0] daniels[0] are[0] stunningly[0] bland[-1] in[0] their[0] lead[0] roles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in previous films , daniels successfully played off his white bread persona . 	in previous films , daniels successfully played off his white bread persona .	3	-1	 in[0] previous[0] films[0] daniels[0] successfully[2] played[0] off[0] his[0] white[0] bread[0] persona[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in " something wild " , he revealed the rebellious thrill-seeker beneath his neutral demeanor . 	in " something wild " , he revealed the rebellious thrill-seeker beneath his neutral demeanor .	4	-2	 in[0] something[0] wild[0] he[0] revealed[0] the[0] rebellious[-1] thrill[3] seeker[0] beneath[0] his[0] neutral[0] demeanor[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in " terms of endearment " , his hapless appearance masked a cold , manipulative womanizer . 	in " terms of endearment " , his hapless appearance masked a cold , manipulative womanizer .	1	-2	 in[0] terms[0] of[0] endearment[0] his[0] hapless[-1] appearance[0] masked[0] a[0] cold[-1] manipulative[-1] womanizer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , he and richardson are so consistently bland that it's a wonder their images even stick to the film . 	here , he and richardson are so consistently bland that it's a wonder their images even stick to the film .	1	-2	 here[0] he[0] and[0] richardson[0] are[0] so[0] consistently[0] bland[-1] that[0] it's[0] a[0] wonder[0] their[0] images[0] even[0] stick[0] to[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
glenn close , however , has no problems establishing a distinct personality . 	glen close , however , has no problems establishing a distinct personality .	1	-2	 glenn/glen[0] close[0] however[0] has[0] no[0] problems[-1] establishing[0] a[0] distinct[0] personality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the villainous icon cruella devil , she tears up the screen in a deliciously over-the-top performance . 	as the villainous icon cruella devil , she tears up the screen in a deliciously over-the-top performance .	3	-4	 as[0] the[0] villainous[-2] icon[0] cruella[-3] devil[-1] she[0] tears[-3] up[0] the[0] screen[0] in[0] a[0] deliciously[2] over[0] the[0] top[0] performance[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
close matches the intensity of the animated cruella by becoming a cartoon herself . 	close matches the intensity of the animated cruella by becoming a cartoon herself .	1	-4	 close[0] matches[0] the[0] intensity[0] of[0] the[0] animated[0] cruella[-3] by[0] becoming[0] a[0] cartoon[0] herself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with a two-tone fright wig , red gloves with long nails attached to the fingertips , garish animal skin outfits and stiletto heels , close bursts through her scenes like a force of nature . 	with a two-tone fright wig , red gloves with long nails attached to the fingertips , garish animal skin outfits and stiletto heels , close bursts through her scenes like a force of nature .	2	-4	 with[0] a[0] two[0] tone[0] fright[-3] wig[0] red[0] gloves[0] with[0] long[0] nails[0] attached[0] to[0] the[0] fingertips[0] garish[0] animal[0] skin[0] outfits[0] and[0] stiletto[0] heels[0] close[0] bursts[0] through[0] her[0] scenes[0] like[1] a[0] force[-1] of[0] nature[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she's clearly having a ball playing this monstrous icon , and her wicked glee is infectious . 	she's clearly having a ball playing this monstrous icon , and her wicked glee is infectious .	3	-3	 she's[0] clearly[0] having[0] a[0] ball[0] playing[1] this[0] monstrous[-2] icon[0] and[0] her[0] wicked[2] glee[0] is[0] infectious[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when she spits out lines like " you've won the battle , but i'm about to win the wardrobe ! , " 	when she spits out lines like " you've won the battle , but i'm about to win the wardrobe !<br> , "	2	-2	 when[0] she[0] spits[0] out[0] lines[0] like[1] you've[0] won[0] the[0] battle[-1] but[0] i'm[0] about[0] to[0] win[0] the[0] wardrobe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film comes briefly to life . 	the film comes briefly to life .	1	-1	 the[0] film[0] comes[0] briefly[0] to[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " 101 dalmatians " is crammed with john hughes' typical heavy-handed approach to comedy . 	 " 101 dalmatians " is crammed with john hughes' typical heavy-handed approach to comedy .	1	-1	 101[0] dalmatians[0] is[0] crammed[0] with[0] john[0] hughes'[0] typical[0] heavy[0] handed[0] approach[0] to[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after an ingenuous opening showing pongo's morning routine as he gets daniels prepared for the day , the film quickly tumbles into lame slapstick as the pooch drags daniels on a careening trek through a city park . a little slapstick goes a long way , but hughes just keeps laying it on . 	after an ingenuous opening showing pongo's morning routine as he gets daniels prepared for the day , the film quickly tumbles into lame slapstick as the pooch drags daniels on a careening trek through a city park .<br> a little slapstick goes a long way , but hughes just keeps laying it on .	1	-3	 after[0] an[0] ingenuous[0] opening[0] showing[0] pongo's[0] morning[0] routine[0] as[0] he[0] gets[0] daniels[0] prepared[0] for[0] the[0] day[0] the[0] film[0] quickly[0] tumbles[0] into[0] lame[-2] slapstick[-1] as[0] the[0] pooch[0] drags[0] daniels[0] on[0] a[0] careening[0] trek[0] through[0] a[0] city[0] park[0] [[Sentence=-3,1=word max, 1-5]] a[0] little[0] slapstick[-1] goes[0] a[0] long[0] way[0] but[0] hughes[0] just[0] keeps[0] laying[0] it[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
the second half of the film , where local animals team up to rescue 99 nondescript dalmatian puppies from devil and her henchmen , is a tedious home alone clone , with the bad guys enduring a variety of sadistic assaults worthy of an itchy & scratchy cartoon , including a thug getting his testicles fried on an electric fence . 	the second half of the film , where local animals team up to rescue 99 nondescript dalmatian puppies from devil and her henchmen , is a tedious home alone clone , with the bad guys enduring a variety of sadistic assaults worthy of an itchy & scratchy cartoon , including a thug getting his testicles fried on an electric fence .	1	-3	 the[0] second[0] half[0] of[0] the[0] film[0] where[0] local[0] animals[0] team[0] up[0] to[0] rescue[0] 99[0] nondescript[0] dalmatian[0] puppies[0] from[0] devil[-1] and[0] her[0] henchmen[0] is[0] a[0] tedious[-2] home[0] alone[0] clone[0] with[0] the[0] bad[-1] guys[0] enduring[0] a[0] variety[0] of[0] sadistic[0] assaults[-2] worthy[0] of[0] an[0] itchy[0] &[0] scratchy[0] cartoon[0] including[0] a[0] thug[0] getting[0] his[0] testicles[0] fried[0] on[0] an[0] electric[0] fence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " 101 dalmatians " has cute puppies and a hoot of a performance from glenn close , but not enough to warrant enduring third rate slapstick , bland characters , and unconvincing animatronic raccoons high-fiving one another . 	 " 101 dalmatians " has cute puppies and a hoot of a performance from glen close , but not enough to warrant enduring third rate slapstick , bland characters , and unconvincing animatronic raccoons high-fiving one another .	2	-2	 101[0] dalmatians[0] has[0] cute[1] puppies[0] and[0] a[0] hoot[0] of[0] a[0] performance[0] from[0] glenn/glen[0] close[0] but[0] not[0] enough[0] to[0] warrant[0] enduring[0] third[0] rate[0] slapstick[-1] bland[-1] characters[0] and[0] unconvincing[0] animatronic[0] raccoons[0] high[0] fiving[0] one[0] another[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rent the cartoon ! 	rent the cartoon !	1	-1	 rent[0] the[0] cartoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
