this movie is based off the wildly popular video-game series of the same name . 	Translation	Positive	Negative	EmotionRationale
somehow a plot dealing with all the dinosaurs being mutated and transported to an alternate futuristic mega-city jumbles in . 	somehow a plot dealing with all the dinosaurs being mutated and transported to an alternate futuristic mega-city jumbles in .	1	-1	 somehow[0] a[0] plot[0] dealing[0] with[0] all[0] the[0] dinosaurs[0] being[0] mutated[0] and[0] transported[0] to[0] an[0] alternate[0] futuristic[0] mega[0] city[0] jumbles[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is fine- better than the movie deserves . 	the plot is fine- better than the movie deserves .	3	-1	 the[0] plot[0] is[0] fine[2] better[0] than[0] the[0] movie[0] deserves[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting is ok . 	the acting is ok .	1	-1	 the[0] acting[0] is[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this seems to be more of a visual film . 	this seems to be more of a visual film .	1	-1	 this[0] seems[0] to[0] be[0] more[0] of[0] a[0] visual[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects are good , especially on the robotic yoshi . 	the special effects are good , especially on the robotic yoshi .	2	-1	 the[0] special[1] effects[0] are[0] good[1] especially[0] on[0] the[0] robotic[0] yoshi[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however the film drags and is no fun . 	however the film drags and is no fun .	2	-1	 however[0] the[0] film[0] drags[0] and[0] is[0] no[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and it leaves itself open to a sequel , which probably won't ever be made . 	and it leaves itself open to a sequel , which probably won't ever be made .	1	-1	 and[0] it[0] leaves[0] itself[0] open[0] to[0] a[0] sequel[0] which[0] probably[0] won't[0] ever[0] be[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie begins sort of promising , but ends up leaving a weird taste in your mouth . 	this movie begins sort of promising , but ends up leaving a weird taste in your mouth .	2	-2	 this[0] movie[0] begins[0] sort[0] of[0] promising[1] but[0] ends[0] up[0] leaving[0] a[0] weird[-1] taste[0] in[0] your[0] mouth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so if you want to watch a sort of odd movie starring the excellent dennis hopper , then watch super mario bros . : 	so if you want to watch a sort of odd movie starring the excellent dennis hopper , then watch super mario bros .<br> :	4	-1	 so[0] if[0] you[0] want[0] to[0] watch[0] a[0] sort[0] of[0] odd[0] movie[0] starring[0] the[0] excellent[3] dennis[0] hopper[0] then[0] watch[0] super[2] mario[0] bros[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the movie . 	the movie .	1	-1	 the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you could do worse . 	you could do worse .	1	-3	 you[0] could[0] do[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but you could definitely do better . . . 	but you could definitely do better .<br> .<br> .	1	-1	 but[0] you[0] could[0] definitely[0] do[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
street fighter : the movie ( 1995 ) starring : raul julia and jean claude van-damme 	street fighter : the movie ( 1995 ) starring : raul julia and jean claude van-dame	1	-3	 street[0] fighter[-2] the[0] movie[0] 1995[0] starring[0] raul[0] julia[0] and[0] jean[0] claude[0] van[0] damme/dame[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this movie was based off of a series of never ending sequels to a game called street fighter 2 . it has all the characters from the game in a reasonable plot . 	this movie was based off of a series of never ending sequels to a game called street fighter 2 .<br> it has all the characters from the game in a reasonable plot .	1	-3	 this[0] movie[0] was[0] based[0] off[0] of[0] a[0] series[0] of[0] never[0] ending[0] sequels[0] to[0] a[0] game[0] called[0] street[0] fighter[-2] 2[0] [[Sentence=-3,1=word max, 1-5]] it[0] has[0] all[0] the[0] characters[0] from[0] the[0] game[0] in[0] a[0] reasonable[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is more like a " movie " than it should be . 	it is more like a " movie " than it should be .	2	-1	 it[0] is[0] more[0] like[1] a[0] movie[0] than[0] it[0] should[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , it's watchable . 	yes , it's watchable .	1	-1	 yes[0] it's[0] watchable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
raul julia does a good job , considering this was his final film . 	raul julia does a good job , considering this was his final film .	2	-1	 raul[0] julia[0] does[0] a[0] good[1] job[0] considering[0] this[0] was[0] his[0] final[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while the game had non-stop fighting sequences , this movie is a hodge-podge of action scenes and flashy sets and costumes while trying to show off a plot at the same time . 	while the game had non-stop fighting sequences , this movie is a hodge-podge of action scenes and flashy sets and costumes while trying to show off a plot at the same time .	1	-3	 while[0] the[0] game[0] had[0] non[0] stop[0] fighting[-2] sequences[0] this[0] movie[0] is[0] a[0] hodge[0] podge[0] of[0] action[0] scenes[0] and[0] flashy[0] sets[0] and[0] costumes[0] while[0] trying[0] to[0] show[0] off[0] a[0] plot[0] at[0] the[0] same[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
does it work ? 	does it work ?	1	-1	 does[0] it[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sort of . . . 	sort of .<br> .<br> .	1	-1	 sort[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot involves the evil shadowloo organization run by m . bison ( raul julia ) . 	the plot involves the evil shadowloo organization run by m .<br> bison ( raul julia ) .	1	-3	 the[0] plot[0] involves[0] the[0] evil[-2] shadowloo[0] organization[0] run[0] by[0] m[0] [[Sentence=-3,1=word max, 1-5]] bison[0] raul[0] julia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
guile ( jean claude van-damme ) takes his troops to attack bison's main base in an attempt to liberate the innocent villages he has taken over . 	guile ( jean claude van-dame ) takes his troops to attack bison's main base in an attempt to liberate the innocent villages he has taken over .	2	-3	 guile[0] jean[0] claude[0] van[0] damme/dame[0] takes[0] his[0] troops[0] to[0] attack[-2] bison's[0] main[0] base[0] in[0] an[0] attempt[0] to[0] liberate[0] the[0] innocent[1] villages[0] he[0] has[0] taken[0] over[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in a short amount of time , the movie introduces several characters well . 	in a short amount of time , the movie introduces several characters well .	1	-1	 in[0] a[0] short[0] amount[0] of[0] time[0] the[0] movie[0] introduces[0] several[0] characters[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it catches your attention . 	it catches your attention .	1	-1	 it[0] catches[0] your[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it ultimately seems like a showcase for fans of the game so you can point out things like " there's chun li ! ! " 	but it ultimately seems like a showcase for fans of the game so you can point out things like " there's chun li !<br> !<br> "	2	-1	 but[0] it[0] ultimately[0] seems[0] like[1] a[0] showcase[0] for[0] fans[0] of[0] the[0] game[0] so[0] you[0] can[0] point[0] out[0] things[0] like[1] there's[0] chun[0] li[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or " look at that fire-ball ryu did at vega " . 	or " look at that fire-ball ryu did at vega " .	1	-1	 or[0] look[0] at[0] that[0] fire[0] ball[0] ryu[0] did[0] at[0] vega[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it hits the bases by presenting the characters in a plot with good sets , but goes no further . 	it hits the bases by presenting the characters in a plot with good sets , but goes no further .	2	-1	 it[0] hits[0] the[0] bases[0] by[0] presenting[0] the[0] characters[0] in[0] a[0] plot[0] with[0] good[1] sets[0] but[0] goes[0] no[0] further[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie needed more action in the first place . 	this movie needed more action in the first place .	1	-1	 this[0] movie[0] needed[0] more[0] action[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action scenes that are here are short and not very exciting . 	the action scenes that are here are short and not very exciting .	1	-4	 the[0] action[0] scenes[0] that[0] are[0] here[0] are[0] short[0] and[0] not[0] very[0] exciting[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you like light-hearted action flicks , or if you liked the game , watch this one . 	if you like light-hearted action flicks , or if you liked the game , watch this one .	3	-1	 if[0] you[0] like[1] light[0] hearted[0] action[0] flicks[0] or[0] if[0] you[0] liked[2] the[0] game[0] watch[0] this[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is even worth watching if you want to see raul julia's last performance , or if you can't get enough of van damme . 	it is even worth watching if you want to see raul julia's last performance , or if you can't get enough of van dame .	1	-1	 it[0] is[0] even[0] worth[0] watching[0] if[0] you[0] want[0] to[0] see[0] raul[0] julia's[0] last[0] performance[0] or[0] if[0] you[0] can't[0] get[0] enough[0] of[0] van[0] damme/dame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other than that , you could find better action flicks . 	other than that , you could find better action flicks .	1	-1	 other[0] than[0] that[0] you[0] could[0] find[0] better[0] action[0] flicks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
