a few months before the release of star wars episode 1 , the phantom menace , 20th century fox decides to release another space film , that is a complete rip off of star wars . 	Translation	Positive	Negative	EmotionRationale
the other things which are very bad about wing commander are the special effects and the music . 	the other things which are very bad about wing commander are the special effects and the music .	2	-3	 the[0] other[0] things[0] which[0] are[0] very[0] bad[-1][-1 LastWordBoosterStrength] about[0] wing[0] commander[0] are[0] the[0] special[1] effects[0] and[0] the[0] music[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the special effects are very unrealistic . 	the special effects are very unrealistic .	2	-1	 the[0] special[1] effects[0] are[0] very[0] unrealistic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when looking at two ships flying side by side , it is simple to tell they are hanging and a blue screen is behind them . 	when looking at two ships flying side by side , it is simple to tell they are hanging and a blue screen is behind them .	1	-1	 when[0] looking[0] at[0] two[0] ships[0] flying[0] side[0] by[0] side[0] it[0] is[0] simple[0] to[0] tell[0] they[0] are[0] hanging[0] and[0] a[0] blue[0] screen[0] is[0] behind[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the explosions look very unrealistic as well . 	the explosions look very unrealistic as well .	1	-2	 the[0] explosions[-1] look[0] very[0] unrealistic[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a ship will be blown up , but there will only be fire present four about one half of a second . 	a ship will be blown up , but there will only be fire present four about one half of a second .	1	-1	 a[0] ship[0] will[0] be[0] blown[0] up[0] but[0] there[0] will[0] only[0] be[0] fire[0] present[0] four[0] about[0] one[0] half[0] of[0] a[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is very unrealistic . 	this is very unrealistic .	1	-1	 this[0] is[0] very[0] unrealistic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
music pretty much accompanies the film the entire time . 	music pretty much accompanies the film the entire time .	3	-1	 music[0] pretty[2] much[0] accompanies[0] the[0] film[0] the[0] entire[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the music also felt like video game music , and it was very corny and annoying sounding . 	the music also felt like video game music , and it was very corny and annoying sounding .	2	-3	 the[0] music[0] also[0] felt[0] like[1] video[0] game[0] music[0] and[0] it[0] was[0] very[0] corny[0] and[0] annoying[-2] sounding[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after we are given the plot , the film repeats itself for another hour , without any plot twists , interesting scenes , or anything important to the film . 	after we are given the plot , the film repeats itself for another hour , without any plot twists , interesting scenes , or anything important to the film .	2	-1	 after[0] we[0] are[0] given[0] the[0] plot[0] the[0] film[0] repeats[0] itself[0] for[0] another[0] hour[0] without[0] any[0] plot[0] twists[0] interesting[1] scenes[0] or[0] anything[0] important[0] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
blair is forced to make jumps over other planets , and he must also fight against the kilrathi aircraft . 	blair is forced to make jumps over other planets , and he must also fight against the kilrathi aircraft .	1	-3	 blair[0] is[0] forced[0] to[0] make[0] jumps[0] over[0] other[0] planets[0] and[0] he[0] must[0] also[0] fight[-2] against[-1] the[0] kilrathi[0] aircraft[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for the entire length of the movie , it takes place in space . 	for the entire length of the movie , it takes place in space .	1	-1	 for[0] the[0] entire[0] length[0] of[0] the[0] movie[0] it[0] takes[0] place[0] in[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is truly like you are in a video game , because you are just watching people shoot at each other in ships for a long , extended period of time . 	it is truly like you are in a video game , because you are just watching people shoot at each other in ships for a long , extended period of time .	2	-2	 it[0] is[0] truly[1] like[1] you[0] are[0] in[0] a[0] video[0] game[0] because[0] you[0] are[0] just[0] watching[0] people[0] shoot[-1] at[0] each[0] other[0] in[0] ships[0] for[0] a[0] long[0] extended[0] period[0] of[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not much fun to watch at all . 	it's not much fun to watch at all .	1	-2	 it's[0] not[0] much[0] fun[1][NegatedDueToPreviousWord] to[0] watch[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if i wanted to watch people shoot at each other in ships , i would go watch star wars at home . 	if i wanted to watch people shoot at each other in ships , i would go watch star wars at home .	1	-3	 if[0] i[0] wanted[0] to[0] watch[0] people[0] shoot[-1] at[0] each[0] other[0] in[0] ships[0] i[0] would[0] go[0] watch[0] star[0] wars[-2] at[0] home[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at least star wars pays attention to people , myth , feelings , and has some real plot to it . 	at least star wars pays attention to people , myth , feelings , and has some real plot to it .	1	-3	 at[0] least[0] star[0] wars[-2] pays[0] attention[0] to[0] people[0] myth[0] feelings[0] and[0] has[0] some[0] real[0] plot[0] to[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bottom line- bring on the phantom menace 20th century fox ! 	the bottom line- bring on the phantom menace 20th century fox !	1	-3	 the[0] bottom[0] line[0] bring[0] on[0] the[0] phantom[0] menace[-2] 20th[0] century[0] fox[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
