the original _babe_ was my favorite movie of 1995 , a sleeper hit that transcended its target audience . 	Translation	Positive	Negative	EmotionRationale
this is screenwriting ? 	this is screenwriting ?	1	-1	 this[0] is[0] screenwriting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
further , i cannot explain the deep gnaw at my gut in the many scenes where accidents happen to good people in fantastically elaborate setups . 	further , i cannot explain the deep gnaw at my gut in the many scenes where accidents happen to good people in fantastically elaborate setups .	2	-2	 further[0] i[0] cannot[0] explain[0] the[0] deep[0] gnaw[0] at[0] my[0] gut[0] in[0] the[0] many[0] scenes[0] where[0] accidents[-1] happen[0] to[0] good[1] people[0] in[0] fantastically[0] elaborate[0] setups[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
had it been a cartoon , and the victim be an equivalent of elmer fudd , maybe my reaction would have been softened . 	had it been a cartoon , and the victim be an equivalent of elmer fudd , maybe my reaction would have been softened .	1	-3	 had[0] it[0] been[0] a[0] cartoon[0] and[0] the[0] victim[-2] be[0] an[0] equivalent[0] of[0] elmer[0] fudd[0] maybe[0] my[0] reaction[0] would[0] have[0] been[0] softened[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but to farmer hoggett ? 	but to farmer hoggett ?	1	-1	 but[0] to[0] farmer[0] hoggett[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his wife ? 	his wife ?	1	-1	 his[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an elderly mickey rooney ? 	an elderly mickey rooney ?	1	-1	 an[0] elderly[0] mickey[0] rooney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much too irreverent . 	much too irreverent .	1	-1	 much[0] too[0] irreverent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( " quick ! 	 ( " quick !	1	-1	 quick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
splice those singing mice into those scenes ! " ) . 	splice those singing mice into those scenes !<br> " ) .	1	-1	 splice[0] those[0] singing[0] mice[0] into[0] those[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film isn't a colossal failure . 	the film isn't a colossal failure .	1	-3	 the[0] film[0] isn't[0] a[0] colossal[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i did like glenne headley's schmoozy chimpanzee . 	i did like glenne headley's schmoozy chimpanzee .	1	-1	 i[0] did[0] like[1][-1 LastWordBoosterStrength] glenne[0] headley's[0] schmoozy[0] chimpanzee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i liked the pink poodle . 	i liked the pink poodle .	3	-1	 i[0] liked[2] the[0] pink[0] poodle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the dog on the cart , who momentarily thinks he's in dog heaven . 	the dog on the cart , who momentarily thinks he's in dog heaven .	2	-1	 the[0] dog[0] on[0] the[0] cart[0] who[0] momentarily[0] thinks[0] he's[0] in[0] dog[0] heaven[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and a weird looking guy who may have been doubly-cast as an airport employee and a judge . 	and a weird looking guy who may have been doubly-cast as an airport employee and a judge .	1	-2	 and[0] a[0] weird[-1] looking[0] guy[0] who[0] may[0] have[0] been[0] doubly[0] cast[0] as[0] an[0] airport[0] employee[0] and[0] a[0] judge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but most of the time , i was looking down , in boredom , or in embarrassment over the hacked-up script . 	but most of the time , i was looking down , in boredom , or in embarrassment over the hacked-up script .	1	-3	 but[0] most[0] of[0] the[0] time[0] i[0] was[0] looking[0] down[0] in[0] boredom[-1] or[0] in[0] embarrassment[-2] over[0] the[0] hacked[0] up[0] script[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
them singing mice , those chapter partitions , the proficient acting of the animals-- none of these can compensate for a story . 	them singing mice , those chapter partitions , the proficient acting of the animals- none of these can compensate for a story .	1	-2	 them[0] singing[0] mice[0] those[0] chapter[0] partitions[-1] the[0] proficient[0] acting[0] of[0] the[0] animals[0] none[0] of[0] these[0] can[0] compensate[0] for[0] a[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let me spoil the final scene : farmer hoggett looks at pig , proud , says " that'll do , pig . 	let me spoil the final scene : farmer hoggett looks at pig , proud , says " that'll do , pig .	2	-2	 let[0] me[0] spoil[-1] the[0] final[0] scene[0] farmer[0] hoggett[0] looks[0] at[0] pig[0] proud[1] says[0] that'll[0] do[0] pig[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that'll do . " 	that'll do .<br> "	1	-1	 that'll[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's it . 	that's it .	1	-1	 that's[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hope i didn't ruin it for you . 	hope i didn't ruin it for you .	3	-2	 hope[2] i[0] didn't[0] ruin[-1] it[0] for[0] you[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but tell me this : what the heck did that pig _do_ ? 	but tell me this : what the heck did that pig _do_ ?	1	-1	 but[0] tell[0] me[0] this[0] what[0] the[0] heck[0] did[0] that[0] pig[0] _do_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
