based on the 1960s tv series that i had never seen or heard of before this movie ( be happy , i won't bore you with any lame and unnecessary comparisons ) , this film allows will smith to take a third stab at the independence day weekend box-office , after scoring huge successes with men in black ( 7/10 ) , directed by the same man who controlled this one , and independence day ( 6/10 ) . 	Translation	Positive	Negative	EmotionRationale
could it be that the script was crappy because it took four people to write it ? 	could it be that the script was crappy because it took four people to write it ?	1	-3	 could[0] it[0] be[0] that[0] the[0] script[0] was[0] crappy[-2] because[0] it[0] took[0] four[0] people[0] to[0] write[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
maybe . 	maybe .	1	-1	 maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
could it be that most of the special effects don't show up until the last half hour , and even then , we don't see anything that its trailers hadn't already given away ? 	could it be that most of the special effects don't show up until the last half hour , and even then , we don't see anything that its trailers hadn't already given away ?	2	-1	 could[0] it[0] be[0] that[0] most[0] of[0] the[0] special[1] effects[0] don't[0] show[0] up[0] until[0] the[0] last[0] half[0] hour[0] and[0] even[0] then[0] we[0] don't[0] see[0] anything[0] that[0] its[0] trailers[0] hadn't[0] already[0] given[0] away[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps . 	perhaps .	1	-1	 perhaps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or could it be that we have come to expect so much more from will smith and hollywood big-budget movies , that we cannot help but evaluate them on a scale onto their own ? 	or could it be that we have come to expect so much more from will smith and hollywood big-budget movies , that we cannot help but evaluate them on a scale onto their own ?	1	-1	 or[0] could[0] it[0] be[0] that[0] we[0] have[0] come[0] to[0] expect[0] so[0] much[0] more[0] from[0] will[0] smith[0] and[0] hollywood[0] big[0] budget[0] movies[0] that[0] we[0] cannot[0] help[0] but[0] evaluate[0] them[0] on[0] a[0] scale[0] onto[0] their[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
naaaaaaah ! 	nah !	2	-1	 naaaaaaah/nah[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a bad movie is a bad movie . 	a bad movie is a bad movie .	1	-2	 a[0] bad[-1] movie[0] is[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on a positive note , i could honestly say that i did very much enjoy the lovely performance by the adorable salma hayek , who seemed underused ( in my humble opinion ) , and lit up every bubbly scene that she was hardly in . 	on a positive note , i could honestly say that i did very much enjoy the lovely performance by the adorable salma hayek , who seemed underused ( in my humble opinion ) , and lit up every bubbly scene that she was hardly in .	4	-1	 on[0] a[0] positive[2] note[0] i[0] could[0] honestly[0] say[0] that[0] i[0] did[0] very[0] much[0] enjoy[2] the[0] lovely[1] performance[0] by[0] the[0] adorable[3] salma[0] hayek[0] who[0] seemed[0] underused[0] in[0] my[0] humble[0] opinion[0] and[0] lit[0] up[0] every[0] bubbly[0] scene[0] that[0] she[0] was[0] hardly[0] in[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
branagh was also fun as the scenery-munching , over-the-top bad guy , but that's pretty much where the entertainment-buck stopped . 	branagh was also fun as the scenery-munching , over-the-top bad guy , but that's pretty much where the entertainment-buck stopped .	3	-2	 branagh[0] was[0] also[0] fun[1] as[0] the[0] scenery[0] munching[0] over[0] the[0] top[0] bad[-1] guy[0] but[0] that's[0] pretty[2] much[0] where[0] the[0] entertainment[0] buck[0] stopped[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
smith and kline were static at best , the plot full of holes , and the score insignificant and derivative of a dozen others . 	smith and kline were static at best , the plot full of holes , and the score insignificant and derivative of a dozen others .	2	-2	 smith[0] and[0] kline[0] were[0] static[-1] at[0] best[1] the[0] plot[0] full[0] of[0] holes[0] and[0] the[0] score[0] insignificant[-1] and[0] derivative[0] of[0] a[0] dozen[0] others[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i would strongly advise anyone not to see this movie . 	i would strongly advise anyone not to see this movie .	1	-1	 i[0] would[0] strongly[0] advise[0] anyone[0] not[0] to[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then again , there is that one scene with the lovely salma hayek tied up in a cage . . . huh . . . oh 	then again , there is that one scene with the lovely salma hayek tied up in a cage .<br> .<br> .<br> huh .<br> .<br> .<br> oh	2	-1	 then[0] again[0] there[0] is[0] that[0] one[0] scene[0] with[0] the[0] lovely[1] salma[0] hayek[0] tied[0] up[0] in[0] a[0] cage[0] [[Sentence=-1,2=word max, 1-5]] huh[0] [[Sentence=-1,1=word max, 1-5]] oh[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
yeah , but the rest of the movie sucked . 	yeah , but the rest of the movie sucked .	1	-2	 yeah[0] but[0] the[0] rest[0] of[0] the[0] movie[0] sucked[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
little known facts about this film and its stars : will smith has starred in two of the ten all-time top grossing films worldwide : 1997's summer blockbuster men in black ( 7/10 ) , for which he also recorded the grammy-winning title song , and 1996's independence day ( 6/10 ) . 	little known facts about this film and its stars : will smith has starred in two of the ten all-time top grossing films worldwide : 1997's summer blockbuster men in black ( 7/10 ) , for which he also recorded the grammy-winning title song , and 1996's independence day ( 6/10 ) .	2	-2	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] will[0] smith[0] has[0] starred[0] in[0] two[0] of[0] the[0] ten[0] all[0] time[0] top[0] grossing[-1] films[0] worldwide[0] 1997's[0] summer[0] blockbuster[-1] men[0] in[0] black[0] 7/10[0] for[0] which[0] he[0] also[0] recorded[0] the[0] grammy[0] winning[1] title[0] song[0] and[0] 1996's[0] independence[0] day[0] 6/10[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he once turned down a scholarship to mit to pursue his singing career . 	he once turned down a scholarship to mit to pursue his singing career .	1	-1	 he[0] once[0] turned[0] down[0] a[0] scholarship[0] to[0] mit[0] to[0] pursue[0] his[0] singing[0] career[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin kline is a graduate of the juilliard school of drama , and has been married to the cute-as-a-button actress phoebe cates since 1989 . 	kevin kline is a graduate of the juilliard school of drama , and has been married to the cute-as-a-button actress phoebe cates since 1989 .	2	-1	 kevin[0] kline[0] is[0] a[0] graduate[0] of[0] the[0] juilliard[0] school[0] of[0] drama[0] and[0] has[0] been[0] married[0] to[0] the[0] cute[1] as[0] a[0] button[0] actress[0] phoebe[0] cates[0] since[0] 1989[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they have two kids together , greta simone and owen . 	they have two kids together , greta simone and owen .	1	-1	 they[0] have[0] two[0] kids[0] together[0] greta[0] simone[0] and[0] owen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the buildings that gets blown up in this film has " kasdan " written on it . 	one of the buildings that gets blown up in this film has " kasdan " written on it .	1	-1	 one[0] of[0] the[0] buildings[0] that[0] gets[0] blown[0] up[0] in[0] this[0] film[0] has[0] kasdan[0] written[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lawrence kasdan is a director known to have worked with kevin on five of his movies , including the big chill , silverado , i love you to death , grand canyon and french kiss . 	lawrence kasdan is a director known to have worked with kevin on five of his movies , including the big chill , silverado , i love you to death , grand canyon and french kiss .	3	-3	 lawrence[0] kasdan[0] is[0] a[0] director[0] known[0] to[0] have[0] worked[0] with[0] kevin[0] on[0] five[0] of[0] his[0] movies[0] including[0] the[0] big[0] chill[0] silverado[0] i[0] love[2] you[0] to[0] death[-2] grand[1] canyon[0] and[0] french[0] kiss[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
salma hayek gave up a successful career as a major television star in latin america and moved to the united states to start over , even though she spoke no english . 	salma hayek gave up a successful career as a major television star in latin america and moved to the united states to start over , even though she spoke no english .	3	-1	 salma[0] hayek[0] gave[0] up[0] a[0] successful[2] career[0] as[0] a[0] major[0] television[0] star[0] in[0] latin[0] america[0] and[0] moved[0] to[0] the[0] united[0] states[0] to[0] start[0] over[0] even[0] though[0] she[0] spoke[0] no[0] english[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she made her feature film debut as an actress with a small role in allison anders' mi vida loca ( no , not the rickie martin video ! ) and played her first starring role in robert rodriguez's desperado opposite antonio banderas . 	she made her feature film debut as an actress with a small role in allison anders' mi vida loca ( no , not the rickie martin video !<br> ) and played her first starring role in robert rodriguez's desperado opposite antonio banderas .	1	-1	 she[0] made[0] her[0] feature[0] film[0] debut[0] as[0] an[0] actress[0] with[0] a[0] small[0] role[0] in[0] allison[0] anders'[0] mi[0] vida[0] loca[0] no[0] not[0] the[0] rickie[0] martin[0] video[0] [[Sentence=-1,1=word max, 1-5]] and[0] played[0] her[0] first[0] starring[0] role[0] in[0] robert[0] rodriguez's[0] desperado[0] opposite[0] antonio[0] banderas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since then , she has made an appearance in each one of rodriguez's films . 	since then , she has made an appearance in each one of rodriguez's films .	1	-1	 since[0] then[0] she[0] has[0] made[0] an[0] appearance[0] in[0] each[0] one[0] of[0] rodriguez's[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she stands 5'2 " , was born in southeast mexico , and the daughter of a lebanese father and a mexican mother . 	she stands 5'2 " , was born in southeast mexico , and the daughter of a lebanese father and a mexican mother .	1	-1	 she[0] stands[0] 5'2[0] was[0] born[0] in[0] southeast[0] mexico[0] and[0] the[0] daughter[0] of[0] a[0] lebanese[0] father[0] and[0] a[0] mexican[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the actresses cast as branagh's lovely but lethal beauties includes bail ling , a stage and screen star in her native china who was last seen starring opposite dick gere in red corner ( 7/10 ) . 	one of the actresses cast as branagh's lovely but lethal beauties includes bail ling , a stage and screen star in her native china who was last seen starring opposite dick gere in red corner ( 7/10 ) .	3	-2	 one[0] of[0] the[0] actresses[0] cast[0] as[0] branagh's[0] lovely[1] but[0] lethal[0] beauties[2] includes[0] bail[-1] ling[0] a[0] stage[0] and[0] screen[0] star[0] in[0] her[0] native[0] china[0] who[0] was[0] last[0] seen[0] starring[0] opposite[0] dick[0] gere[0] in[0] red[0] corner[0] 7/10[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
another is dutch-born frederique van der wal , who is one of the world's most recognized supermodels , having graced the cover of cosmopolitan numerous times , as well as harper's bazaar , vogue and mademoiselle . 	another is dutch-born frederique van der wal , who is one of the world's most recognized supermodels , having graced the cover of cosmopolitan numerous times , as well as harper's bazar , vogue and mademoiselle .	2	-1	 another[0] is[0] dutch[0] born[0] frederique[0] van[0] der[0] wal[0] who[0] is[0] one[0] of[0] the[0] world's[0] most[0] recognized[0] supermodels[0] having[0] graced[1] the[0] cover[0] of[0] cosmopolitan[0] numerous[0] times[0] as[0] well[0] as[0] harper's[0] bazaar/bazar[0] vogue[0] and[0] mademoiselle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
