 " tarzan and the lost city " is one of the most anemic movies to come out in quite a while . 	Translation	Positive	Negative	EmotionRationale
comic books have better plots than this . 	comic books have better plots than this .	1	-1	 comic[0] books[0] have[0] better[0] plots[0] than[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is so bad , in fact , that it retains that ridiculous tarzan call that was so tirelessly mocked in last summer's comedy " george of the jungle . " 	the movie is so bad , in fact , that it retains that ridiculous tarzan call that was so tirelessly mocked in last summer's comedy " george of the jungle .<br> "	1	-3	 the[0] movie[0] is[0] so[0] bad[-1] in[0] fact[0] that[0] it[0] retains[0] that[0] ridiculous[-2] tarzan[0] call[0] that[0] was[0] so[0] tirelessly[0] mocked[-2] in[0] last[0] summer's[0] comedy[0] george[0] of[0] the[0] jungle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
didn't the producers think to leave that back in the old weissmuller pictures where it belongs ? 	didn't the producers think to leave that back in the old weissmuller pictures where it belongs ?	1	-1	 didn't[0] the[0] producers[0] think[0] to[0] leave[0] that[0] back[0] in[0] the[0] old[0] weissmuller[0] pictures[0] where[0] it[0] belongs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story starts with the legend of tarzan already firmly established : a quick opening narration tells of tarzan ( casper van dien ) being found in the jungle after having been raised by apes , and his return to england where he assumes his greystoke heritage . 	the story starts with the legend of tarzan already firmly established : a quick opening narration tells of tarzan ( casper van dien ) being found in the jungle after having been raised by apes , and his return to england where he assumes his greystoke heritage .	1	-1	 the[0] story[0] starts[0] with[0] the[0] legend[0] of[0] tarzan[0] already[0] firmly[0] established[0] a[0] quick[0] opening[0] narration[0] tells[0] of[0] tarzan[0] casper[0] van[0] dien[0] being[0] found[0] in[0] the[0] jungle[0] after[0] having[0] been[0] raised[0] by[0] apes[0] and[0] his[0] return[0] to[0] england[0] where[0] he[0] assumes[0] his[0] greystoke[0] heritage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the movie starts in 1913 , he is a civilized english gentleman ( without an english accent ) , and he is to marry jane ( jane march ) in less than a week . 	when the movie starts in 1913 , he is a civilized english gentleman ( without an english accent ) , and he is to marry jane ( jane march ) in less than a week .	1	-1	 when[0] the[0] movie[0] starts[0] in[0] 1913[0] he[0] is[0] a[0] civilized[0] english[0] gentleman[0] without[0] an[0] english[0] accent[0] and[0] he[0] is[0] to[0] marry[0] jane[0] jane[0] march[0] in[0] less[0] than[0] a[0] week[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , when a wicked archeologist/grave-robber named nigel ravens ( steve waddington ) begins hunting for the fabled lost city of opar , one of africa's last great secrets , the witch doctor of an ancient african tribe summons tarzan back to the jungle . 	however , when a wicked archeologist/grave-robber named nigel ravens ( steve waddington ) begins hunting for the fabled lost city of opar , one of africa's last great secrets , the witch doctor of an ancient african tribe summons tarzan back to the jungle .	3	-2	 however[0] when[0] a[0] wicked[2] archeologist/grave[0] robber[-1] named[0] nigel[0] ravens[0] steve[0] waddington[0] begins[0] hunting[0] for[0] the[0] fabled[0] lost[0] city[0] of[0] opar[0] one[0] of[0] africa's[0] last[0] great[2] secrets[0] the[0] witch[0] doctor[0] of[0] an[0] ancient[0] african[0] tribe[0] summons[0] tarzan[0] back[0] to[0] the[0] jungle[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at first , jane refuses to go , pouting about how it will interfere with their wedding ; but after tarzan leaves she changes her mind and tracks him down , therefore assuring lots of lame smooch scenes between her and her ape-man . 	at first , jane refuses to go , pouting about how it will interfere with their wedding ; but after tarzan leaves she changes her mind and tracks him down , therefore assuring lots of lame smooch scenes between her and her ape-man .	1	-3	 at[0] first[0] jane[0] refuses[-1] to[0] go[0] pouting[-1] about[0] how[0] it[0] will[0] interfere[-1] with[0] their[0] wedding[0] but[0] after[0] tarzan[0] leaves[0] she[0] changes[0] her[0] mind[0] and[0] tracks[0] him[0] down[0] therefore[0] assuring[0] lots[0] of[0] lame[-2] smooch[0] scenes[0] between[0] her[0] and[0] her[0] ape[0] man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once the film gets going ( in its own sluggish way ) , it delves into a series of jungle adventures , as tarzan , jane , and the natives attempt the thwart ravens and his crew from discovering the city . 	once the film gets going ( in its own sluggish way ) , it delves into a series of jungle adventures , as tarzan , jane , and the natives attempt the thwart ravens and his crew from discovering the city .	1	-2	 once[0] the[0] film[0] gets[0] going[0] in[0] its[0] own[0] sluggish[-1] way[0] it[0] delves[0] into[0] a[0] series[0] of[0] jungle[0] adventures[0] as[0] tarzan[0] jane[0] and[0] the[0] natives[0] attempt[0] the[0] thwart[-1] ravens[0] and[0] his[0] crew[0] from[0] discovering[0] the[0] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the so-called adventures are cheesy , predictable , and unexciting , with no pace , tension , or action to speak of . 	most of the so-called adventures are cheesy , predictable , and unexciting , with no pace , tension , or action to speak of .	1	-3	 most[0] of[0] the[0] so[0] called[0] adventures[0] are[0] cheesy[0] predictable[0] and[0] unexciting[0] with[0] no[0] pace[0] tension[-2] or[0] action[0] to[0] speak[0] of[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are sequences stolen from innumerable recent adventure movies , ranging from " raiders of the lost ark " ( 1981 ) to " the goonies " ( 1985 ) . 	there are sequences stolen from innumerable recent adventure movies , ranging from " raiders of the lost ark " ( 1981 ) to " the goonies " ( 1985 ) .	1	-2	 there[0] are[0] sequences[0] stolen[-1] from[0] innumerable[0] recent[0] adventure[0] movies[0] ranging[0] from[0] raiders[0] of[0] the[0] lost[0] ark[0] 1981[0] to[0] the[0] goonies[0] 1985[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the movie is running short on action , it includes a few greenpeace-friendly scenes of tarzan freeing caged animals , releasing a baby elephant from a trap , and throwing ivory tusks into the river . 	when the movie is running short on action , it includes a few greenpeace-friendly scenes of tarzan freeing caged animals , releasing a baby elephant from a trap , and throwing ivory tusks into the river .	2	-2	 when[0] the[0] movie[0] is[0] running[0] short[0] on[0] action[0] it[0] includes[0] a[0] few[0] greenpeace[0] friendly[1] scenes[0] of[0] tarzan[0] freeing[0] caged[0] animals[0] releasing[0] a[0] baby[1] elephant[0] from[0] a[0] trap[-1] and[0] throwing[0] ivory[0] tusks[0] into[0] the[0] river[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie is also lacking even a remote hint of reality . 	the movie is also lacking even a remote hint of reality .	1	-1	 the[0] movie[0] is[0] also[0] lacking[0] even[0] a[0] remote[0] hint[0] of[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance , when tarzan - who was raised in the jungle - is bit by a cobra , he doesn't even attempt to suck the venom out like any semi-experienced weekend backpacker would do . 	for instance , when tarzan - who was raised in the jungle - is bit by a cobra , he doesn't even attempt to suck the venom out like any semi-experienced weekend backpacker would do .	2	-4	 for[0] instance[0] when[0] tarzan[0] who[0] was[0] raised[0] in[0] the[0] jungle[0] is[0] bit[0] by[0] a[0] cobra[0] he[0] doesn't[0] even[0] attempt[0] to[0] suck[-1] the[0] venom[-3] out[0] like[1] any[0] semi[0] experienced[0] weekend[0] backpacker[0] would[0] do[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
instead , he ties a tourniquet around his arm and stumbles off into the jungle with no plan for survival . 	instead , he ties a tourniquet around his arm and stumbles off into the jungle with no plan for survival .	1	-1	 instead[0] he[0] ties[0] a[0] tourniquet[0] around[0] his[0] arm[0] and[0] stumbles[0] off[0] into[0] the[0] jungle[0] with[0] no[0] plan[0] for[0] survival[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , one can't help but notice how fundamentally misleading the title is . 	of course , one can't help but notice how fundamentally misleading the title is .	1	-1	 of[0] course[0] one[0] can't[0] help[0] but[0] notice[0] how[0] fundamentally[0] misleading[0] the[0] title[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not to ruin the ending or anything , but there is no lost city . 	not to ruin the ending or anything , but there is no lost city .	2	-1	 not[0] to[0] ruin[-1][NegatedDueToPreviousWord] the[0] ending[0] or[0] anything[0] but[0] there[0] is[0] no[0] lost[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is , however , a lost pyramid , which i suppose is all the resource-strapped fx department could come up with ( the special effects are not worthy of a made-for-tv movie ) . 	there is , however , a lost pyramid , which i suppose is all the resource-strapped fx department could come up with ( the special effects are not worthy of a made-for-tv movie ) .	2	-1	 there[0] is[0] however[0] a[0] lost[0] pyramid[0] which[0] i[0] suppose[0] is[0] all[0] the[0] resource[0] strapped[0] fx[0] department[0] could[0] come[0] up[0] with[0] the[0] special[1] effects[0] are[0] not[0] worthy[0] of[0] a[0] made[0] for[0] tv[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
which also brings up the question of why the treasure hunters had to slog through numerous underground caverns to get to the lost pyramid , when it's sitting right out in the middle of an open field ? 	which also brings up the question of why the treasure hunters had to slog through numerous underground caverns to get to the lost pyramid , when it's sitting right out in the middle of an open field ?	2	-1	 which[0] also[0] brings[0] up[0] the[0] question[0] of[0] why[0] the[0] treasure[1] hunters[0] had[0] to[0] slog[0] through[0] numerous[0] underground[0] caverns[0] to[0] get[0] to[0] the[0] lost[0] pyramid[0] when[0] it's[0] sitting[0] right[0] out[0] in[0] the[0] middle[0] of[0] an[0] open[0] field[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
strictly speaking , " tarzan and the lost city " isn't even bad enough to have camp quality , although casper van dien's laughably stiff performance comes real close . 	strictly speaking , " tarzan and the lost city " isn't even bad enough to have camp quality , although casper van dien's laughably stiff performance comes real close .	2	-2	 strictly[-1] speaking[0] tarzan[0] and[0] the[0] lost[0] city[0] isn't[0] even[0] bad[-1][NegatedDueToPreviousWord] enough[0] to[0] have[0] camp[0] quality[0] although[0] casper[0] van[0] dien's[0] laughably[1] stiff[0] performance[0] comes[0] real[0] close[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this movie proves what " starship troopers " only hinted at : he cannot act , but he sure looks well-groomed , even in the deepest heart of the african jungle . 	this movie proves what " starship troopers " only hinted at : he cannot act , but he sure looks well-groomed , even in the deepest heart of the african jungle .	1	-1	 this[0] movie[0] proves[0] what[0] starship[0] troopers[0] only[0] hinted[0] at[0] he[0] cannot[0] act[0] but[0] he[0] sure[0] looks[0] well[0] groomed[0] even[0] in[0] the[0] deepest[0] heart[0] of[0] the[0] african[0] jungle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van dien is much too much of a pretty-boy to be an effective tarzan ; he's a calvin klein model in a loin cloth . 	van dien is much too much of a pretty-boy to be an effective tarzan ; he's a calvin klein model in a loin cloth .	3	-1	 van[0] dien[0] is[0] much[0] too[0] much[0] of[0] a[0] pretty[2] boy[0] to[0] be[0] an[0] effective[0] tarzan[0] he's[0] a[0] calvin[0] klein[0] model[0] in[0] a[0] loin[0] cloth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i also wondered what the make-up department was thinking when it outfitted him with that awful circa-1983 steve perry haircut . 	i also wondered what the make-up department was thinking when it outfitted him with that awful circa-1983 steve perry haircut .	1	-4	 i[0] also[0] wondered[0] what[0] the[0] make[0] up[0] department[0] was[0] thinking[0] when[0] it[0] outfitted[0] him[0] with[0] that[0] awful[-3] circa[0] -1983[0] steve[0] perry[0] haircut[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
waddington makes a decent villain , although he's like a charmless version of belloq from " raiders of the lost ark . " as jane , the ex-model jane march has little to do but smile and look pretty next to tarzan . 	waddington makes a decent villain , although he's like a charmless version of belloq from " raiders of the lost ark .<br> " as jane , the ex-model jane march has little to do but smile and look pretty next to tarzan .	3	-3	 waddington[0] makes[0] a[0] decent[0] villain[-2] although[0] he's[0] like[1] a[0] charmless[1] version[0] of[0] belloq[0] from[0] raiders[0] of[0] the[0] lost[0] ark[0] [[Sentence=-3,2=word max, 1-5]] as[0] jane[0] the[0] ex[0] model[0] jane[0] march[0] has[0] little[0] to[0] do[0] but[0] smile[2] and[0] look[0] pretty[2] next[0] to[0] tarzan[0] [[Sentence=-1,3=word max, 1-5]][[[3,-3 max of sentences]]]
she does fire off a gun at the evil treasure hunters a time or two , but whenever a snake comes into the picture , she is reduced to a hysterical mess . 	she does fire off a gun at the evil treasure hunters a time or two , but whenever a snake comes into the picture , she is reduced to a hysterical mess .	2	-3	 she[0] does[0] fire[0] off[0] a[0] gun[-1] at[0] the[0] evil[-2] treasure[1] hunters[0] a[0] time[0] or[0] two[0] but[0] whenever[0] a[0] snake[0] comes[0] into[0] the[0] picture[0] she[0] is[0] reduced[0] to[0] a[0] hysterical[-1] mess[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , amidst all this complaining , i do have one piece of good news . 	however , amidst all this complaining , i do have one piece of good news .	2	-2	 however[0] amidst[0] all[0] this[0] complaining[-1] i[0] do[0] have[0] one[0] piece[0] of[0] good[1] news[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " tarzan and the lost city " is so lacking in ideas both new and old , that it is unable to fill even an hour and a half of celluloid . 	 " tarzan and the lost city " is so lacking in ideas both new and old , that it is unable to fill even an hour and a half of celluloid .	1	-1	 tarzan[0] and[0] the[0] lost[0] city[0] is[0] so[0] lacking[0] in[0] ideas[0] both[0] new[0] and[0] old[0] that[0] it[0] is[0] unable[0] to[0] fill[0] even[0] an[0] hour[0] and[0] a[0] half[0] of[0] celluloid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , we can say this much for it : at least it had the decency to be short . 	so , we can say this much for it : at least it had the decency to be short .	1	-1	 so[0] we[0] can[0] say[0] this[0] much[0] for[0] it[0] at[0] least[0] it[0] had[0] the[0] decency[0] to[0] be[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
