the general's daughter will probably be the cleverest stupid film we'll see this year -- or perhaps the stupidest clever film . 	Translation	Positive	Negative	EmotionRationale
west just can't help himself from overdirecting every minute of the general's daughter . 	west just can't help himself from overdirecting every minute of the general's daughter .	1	-1	 west[0] just[0] can't[0] help[0] himself[0] from[0] overdirecting[0] every[0] minute[0] of[0] the[0] general's[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he even turns a scene of footage shown on cnn into an excuse for slow-fade edits . 	he even turns a scene of footage shown on cn into an excuse for slow-fade edits .	1	-1	 he[0] even[0] turns[0] a[0] scene[0] of[0] footage[0] shown[0] on[0] cnn/cn[0] into[0] an[0] excuse[0] for[0] slow[0] fade[0] edits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bubbling up from this overcooked stew are enough tasty lines to distract you from its smell . 	bubbling up from this overcooked stew are enough tasty lines to distract you from its smell .	1	-2	 bubbling[0] up[0] from[0] this[0] overcooked[0] stew[0] are[0] enough[0] tasty[0] lines[0] to[0] distract[-1] you[0] from[0] its[0] smell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the slickest scene finds brenner squaring off with captain campbell's mentor , a psychological warfare expert named moore ( james woods ) . 	the slickest scene finds brenner squaring off with captain campbell's mentor , a psychological warfare expert named more ( james woods ) .	1	-3	 the[0] slickest[0] scene[0] finds[0] brenner[0] squaring[0] off[0] with[0] captain[0] campbell's[0] mentor[0] a[0] psychological[0] warfare[-2] expert[0] named[0] moore/more[0] james[0] woods[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's something invigorating about watching two smart actors playing smart characters firing honesty at one another . 	there's something invigorating about watching two smart actors playing smart characters firing honesty at one another .	2	-1	 there's[0] something[0] invigorating[1] about[0] watching[0] two[0] smart[1] actors[0] playing[1] smart[1] characters[0] firing[0] honesty[1] at[0] one[0] another[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
indeed , travolta gets to sink his teeth into dozens of choice lines based on his delight at provoking authority figures ( to the local sheriff of the georgia county : " shouldn't you be out night-sticking the colored folk ? " ) . 	indeed , travolta gets to sink his teeth into dozens of choice lines based on his delight at provoking authority figures ( to the local sheriff of the georgia county : " shouldn't you be out night-sticking the colored folk ?<br> " ) .	3	-1	 indeed[0] travolta[0] gets[0] to[0] sink[0] his[0] teeth[0] into[0] dozens[0] of[0] choice[0] lines[0] based[0] on[0] his[0] delight[2] at[0] provoking[0] authority[0] figures[0] to[0] the[0] local[0] sheriff[0] of[0] the[0] georgia[0] county[0] shouldn't[0] you[0] be[0] out[0] night[0] sticking[0] the[0] colored[0] folk[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even the lame device of brenner and sunhill's sexual history provides a few winning zingers . 	even the lame device of brenner and sunhill's sexual history provides a few winning zingers .	2	-3	 even[0] the[0] lame[-2] device[0] of[0] brenner[0] and[0] sunhill's[0] sexual[0] history[0] provides[0] a[0] few[0] winning[1] zingers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
goldman's dialogue can serve up a bigger laugh than you'll find in most so-called comedies . 	goldman's dialogue can serve up a bigger laugh than you'll find in most so-called comedies .	2	-1	 goldman's[0] dialogue[0] can[0] serve[0] up[0] a[0] bigger[0] laugh[1] than[0] you'll[0] find[0] in[0] most[0] so[0] called[0] comedies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dialogue , unfortunately , just isn't enough to make a quality script . 	dialogue , unfortunately , just isn't enough to make a quality script .	1	-2	 dialogue[0] unfortunately[-1] just[0] isn't[0] enough[0] to[0] make[0] a[0] quality[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's difficult to take a movie about a criminal investigation seriously when the investigators are both too stupid to solve it sooner ( an idiotic inability to recognize the nature of the crime scene ) and too lucky for it to last any longer ( not one but two occasions where brenner catches a vital piece of evidence out of the corner of his eye ) . 	it's difficult to take a movie about a criminal investigation seriously when the investigators are both too stupid to solve it sooner ( an idiotic inability to recognize the nature of the crime scene ) and too lucky for it to last any longer ( not one but two occasions where brenner catches a vital piece of evidence out of the corner of his eye ) .	2	-3	 it's[0] difficult[-1] to[0] take[0] a[0] movie[0] about[0] a[0] criminal[-1] investigation[0] seriously[0] when[0] the[0] investigators[0] are[0] both[0] too[0] stupid[-1] to[0] solve[0] it[0] sooner[0] an[0] idiotic[-2] inability[-1] to[0] recognize[0] the[0] nature[0] of[0] the[0] crime[-1] scene[0] and[0] too[0] lucky[1] for[0] it[0] to[0] last[0] any[0] longer[0] not[0] one[0] but[0] two[0] occasions[0] where[0] brenner[0] catches[0] a[0] vital[0] piece[0] of[0] evidence[0] out[0] of[0] the[0] corner[0] of[0] his[0] eye[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
by the time the general's daughter wanders towards its over-wrought , psycho-in-the-rain finale , west's heavy hand has obliterated most of what made the film occasionally fun . 	by the time the general's daughter wanders towards its over-wrought , psycho-in-the-rain finale , west's heavy hand has obliterated most of what made the film occasionally fun .	2	-2	 by[0] the[0] time[0] the[0] general's[0] daughter[0] wanders[0] towards[0] its[0] over[0] wrought[0] psycho[0] in[0] the[0] rain[0] finale[0] west's[0] heavy[0] hand[0] has[0] obliterated[-1] most[0] of[0] what[0] made[0] the[0] film[0] occasionally[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's silly and pretentious film-making , but at least it provides a giggle or five . 	it's silly and pretentious film-making , but at least it provides a giggle or five .	3	-2	 it's[0] silly[-1] and[0] pretentious[-1] film[0] making[0] but[0] at[0] least[0] it[0] provides[0] a[0] giggle[2] or[0] five[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
goldman should tear the 15 decent pages out of this script and turn them into a stand-up routine . 	goldman should tear the 15 decent pages out of this script and turn them into a stand-up routine .	1	-1	 goldman[0] should[0] tear[-1][--1 LastWordBoosterStrength] the[0] 15[0] decent[0] pages[0] out[0] of[0] this[0] script[0] and[0] turn[0] them[0] into[0] a[0] stand[0] up[0] routine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
