even the best comic actor is at the mercy of his or her material , as this subpar submarine comedy proves . 	Translation	Positive	Negative	EmotionRationale
there's one scene where schneider looks through the ship's pantry in disgust , holds one food can up and announces , " this expired in 1966 ! " 	there's one scene where schneider looks through the ship's pantry in disgust , holds one food can up and announces , " this expired in 1966 !<br> "	1	-4	 there's[0] one[0] scene[0] where[0] schneider[0] looks[0] through[0] the[0] ship's[0] pantry[0] in[0] disgust[-3] holds[0] one[0] food[0] can[0] up[0] and[0] announces[0] this[0] expired[0] in[0] 1966[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i yelled back at the screen , " so did these jokes . " 	i yelled back at the screen , " so did these jokes .<br> "	2	-1	 i[0] yelled[0] back[0] at[0] the[0] screen[0] so[0] did[0] these[0] jokes[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i watched this movie with the whole family and everyone hated it . 	i watched this movie with the whole family and everyone hated it .	1	-4	 i[0] watched[0] this[0] movie[0] with[0] the[0] whole[0] family[0] and[0] everyone[0] hated[-3] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
my mom was so bored she brought out the coupon book midway through and , around the start of the second hour , i started writing my will . 	my mom was so bored she brought out the coupon book midway through and , around the start of the second hour , i started writing my will .	1	-2	 my[0] mom[0] was[0] so[0] bored[-1] she[0] brought[0] out[0] the[0] coupon[0] book[0] midway[0] through[0] and[0] around[0] the[0] start[0] of[0] the[0] second[0] hour[0] i[0] started[0] writing[0] my[0] will[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the blame can't really be placed on the stars , though . 	the blame can't really be placed on the stars , though .	1	-2	 the[0] blame[-1] can't[0] really[0] be[0] placed[0] on[0] the[0] stars[0] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kelsey grammer is good in this , he just doesn't have anything to work with . 	kelsey grammer is good in this , he just doesn't have anything to work with .	2	-1	 kelsey[0] grammer[0] is[0] good[1] in[0] this[0] he[0] just[0] doesn't[0] have[0] anything[0] to[0] work[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his character is said to have gotten so drunk one night that he had " welcome aboard " tatooed on his penis . 	his character is said to have gotten so drunk one night that he had " welcome aboard " tatooed on his penis .	2	-2	 his[0] character[0] is[0] said[0] to[0] have[0] gotten[0] so[0] drunk[-1] one[0] night[0] that[0] he[0] had[0] welcome[1] aboard[0] tatooed[0] on[0] his[0] penis[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
grammer probably did something even worse -- got really drunk and agreed to appear in a movie he knew nothing about . 	grammer probably did something even worse - got really drunk and agreed to appear in a movie he knew nothing about .	1	-3	 grammer[0] probably[0] did[0] something[0] even[0] worse[-2] got[0] really[0] drunk[-1][-1 LastWordBoosterStrength] and[0] agreed[0] to[0] appear[0] in[0] a[0] movie[0] he[0] knew[0] nothing[0] about[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
same for holley ( save the penis part ) , who is likeable in down periscope just because she's so gorgeous . 	same for holley ( save the penis part ) , who is likeable in down periscope just because she's so gorgeous .	3	-1	 same[0] for[0] holley[0] save[1] the[0] penis[0] part[0] who[0] is[0] likeable[2] in[0] down[0] periscope[0] just[0] because[0] she's[0] so[0] gorgeous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for schneider ( whose character is downright annoying ) , there was nowhere to go but up after surf ninjas , although he's still in the depths of the comedy ocean after jumping the " snl " ship . 	as for schneider ( whose character is downright annoying ) , there was nowhere to go but up after surf ninjas , although he's still in the depths of the comedy ocean after jumping the " snl " ship .	1	-3	 as[0] for[0] schneider[0] whose[0] character[0] is[0] downright[0] annoying[-2] there[0] was[0] nowhere[0] to[0] go[0] but[0] up[0] after[0] surf[0] ninjas[0] although[0] he's[0] still[0] in[0] the[0] depths[0] of[0] the[0] comedy[0] ocean[0] after[0] jumping[0] the[0] snl[0] ship[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
my theory is that down periscope is one of those movies that got the green light before the script was even written as a formula comedy ( " okay , it's police academy in the navy with frasier at the helm and the chick from dumb and dumber . " ) and after everyone was signed on turned into a disaster . 	my theory is that down periscope is one of those movies that got the green light before the script was even written as a formula comedy ( " okay , it's police academy in the navy with frasier at the helm and the chick from dumb and dumber .<br> " ) and after everyone was signed on turned into a disaster .	1	-2	 my[0] theory[0] is[0] that[0] down[0] periscope[0] is[0] one[0] of[0] those[0] movies[0] that[0] got[0] the[0] green[0] light[0] before[0] the[0] script[0] was[0] even[0] written[0] as[0] a[0] formula[0] comedy[0] okay[0] it's[0] police[0] academy[0] in[0] the[0] navy[0] with[0] frasier[0] at[0] the[0] helm[0] and[0] the[0] chick[0] from[0] dumb[-1] and[0] dumber[-1] [[Sentence=-2,1=word max, 1-5]] and[0] after[0] everyone[0] was[0] signed[0] on[0] turned[0] into[0] a[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
judging from the video box , most other movie critics agree with me . 	judging from the video box , most other movie critics agree with me .	1	-1	 judging[0] from[0] the[0] video[0] box[0] most[0] other[0] movie[0] critics[0] agree[0] with[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only quote the down periscope copy writers could dig up came from the prevue channel's jim ferguson . 	the only quote the down periscope copy writers could dig up came from the prevue channel's jim ferguson .	1	-1	 the[0] only[0] quote[0] the[0] down[0] periscope[0] copy[0] writers[0] could[0] dig[0] up[0] came[0] from[0] the[0] prevue[0] channel's[0] jim[0] ferguson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess even jeff craig from " 60 second preview " ( who said tank girl " kicks butt ! " 	i guess even jeff craig from " 60 second preview " ( who said tank girl " kicks butt !<br> "	1	-2	 i[0] guess[0] even[0] jeff[0] craig[0] from[0] 60[0] second[0] preview[0] who[0] said[0] tank[0] girl[0] kicks[-1] butt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without ever seeing it ) didn't like this . 	without ever seeing it ) didn't like this .	2	-1	 without[0] ever[0] seeing[0] it[0] didn't[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
