in double jeopardy , the stakes are high . 	Translation	Positive	Negative	EmotionRationale
but seriously , the inane screenplay by douglas weisberg and douglas s . cook is so elementary that the average viewer will be two or three steps ahead of the characters . 	but seriously , the inane screenplay by douglas weisberg and douglas s .<br> cook is so elementary that the average viewer will be two or three steps ahead of the characters .	1	-2	 but[0] seriously[0] the[0] inane[-1] screenplay[0] by[0] douglas[0] weisberg[0] and[0] douglas[0] s[0] [[Sentence=-2,1=word max, 1-5]] cook[0] is[0] so[0] elementary[0] that[0] the[0] average[0] viewer[0] will[0] be[0] two[0] or[0] three[0] steps[0] ahead[0] of[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
during the most vital scenes in the movie , i was anticipating every twist or  surprise' that eventually popped up on the screen . 	during the most vital scenes in the movie , i was anticipating every twist or  surprise' that eventually popped up on the screen .	1	-1	 during[0] the[0] most[0] vital[0] scenes[0] in[0] the[0] movie[0] i[0] was[0] anticipating[0] every[0] twist[0] or[0] surprise'[0] that[0] eventually[0] popped[0] up[0] on[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i imagine the writers presume their core audience for double jeopardy is a very naive group of individuals . 	i imagine the writers presume their core audience for double jeopardy is a very naive group of individuals .	1	-3	 i[0] imagine[0] the[0] writers[0] presume[0] their[0] core[0] audience[0] for[0] double[0] jeopardy[-1] is[0] a[0] very[0] naive[-1][-1 LastWordBoosterStrength] group[0] of[0] individuals[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most , unfortunately , will be too distracted by the moronic plot to appreciate the few positive aspects of the production . 	most , unfortunately , will be too distracted by the moronic plot to appreciate the few positive aspects of the production .	3	-3	 most[0] unfortunately[-1] will[0] be[0] too[0] distracted[-1] by[0] the[0] moronic[-2] plot[0] to[0] appreciate[1] the[0] few[0] positive[2] aspects[0] of[0] the[0] production[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one is tommy lee jones , who plays travis lehman , a parole officer given the tedious task of watching over libby after she serves her sentence in prison . 	one is tommy lee jones , who plays travis lehman , a parole officer given the tedious task of watching over libby after she serves her sentence in prison .	2	-3	 one[0] is[0] tommy[0] lee[0] jones[0] who[0] plays[1] travis[0] lehman[0] a[0] parole[0] officer[0] given[0] the[0] tedious[-2] task[0] of[0] watching[0] over[0] libby[0] after[0] she[0] serves[0] her[0] sentence[0] in[0] prison[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jones is always wonderful as an authority figure , and he's certainly familiar with this sort of role ( as he played so well in the fugitive and us marshals ) . 	jones is always wonderful as an authority figure , and he's certainly familiar with this sort of role ( as he played so well in the fugitive and us marshals ) .	3	-2	 jones[0] is[0] always[0] wonderful[2] as[0] an[0] authority[0] figure[0] and[0] he's[0] certainly[0] familiar[0] with[0] this[0] sort[0] of[0] role[0] as[0] he[0] played[0] so[0] well[0] in[0] the[0] fugitive[-1] and[0] us[0] marshals[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
judd , as a likable heroin with gusto , also has a chance to flex her acting abilities . 	judd , as a likable heroin with gusto , also has a chance to flex her acting abilities .	3	-1	 judd[0] as[0] a[0] likable[0] heroin[2] with[0] gusto[0] also[0] has[0] a[0] chance[0] to[0] flex[0] her[0] acting[0] abilities[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant . 	while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant .	2	-4	 while[0] emotionally[0] unconvincing[0] the[0] actress[0] is[0] tremendously[0] fun[1] in[0] her[0] juvenile[0] role[0] perking[0] up[0] the[0] movie[0] like[1] an[0] injection[0] of[0] anti[0] depressant[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the actors , and their relationship together , present the one-two punch that prevents double jeopardy from derailing itself entirely . 	the actors , and their relationship together , present the one-two punch that prevents double jeopardy from derailing itself entirely .	1	-2	 the[0] actors[0] and[0] their[0] relationship[0] together[0] present[0] the[0] one[0] two[0] punch[-1] that[0] prevents[0] double[0] jeopardy[-1] from[0] derailing[0] itself[0] entirely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and now , back to the plot . 	and now , back to the plot .	1	-1	 and[0] now[0] back[0] to[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while behind bars , libby learns an interesting little bit of information : a person can't be convicted of the same crime twice . 	while behind bars , libby learns an interesting little bit of information : a person can't be convicted of the same crime twice .	2	-2	 while[0] behind[0] bars[0] libby[0] learns[0] an[0] interesting[1] little[0] bit[0] of[0] information[0] a[0] person[0] can't[0] be[0] convicted[-1][NegatedDueToPreviousWord] of[0] the[0] same[0] crime[-1] twice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this law , called  double jeopardy' , could be her motive for hunting down her husband . . . 	this law , called  double jeopardy' , could be her motive for hunting down her husband .<br> .<br> .	1	-1	 this[0] law[0] called[0] double[0] jeopardy'[0] could[0] be[0] her[0] motive[0] for[0] hunting[0] down[0] her[0] husband[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who may still be alive . 	who may still be alive .	1	-1	 who[0] may[0] still[0] be[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , you heard right . 	yes , you heard right .	1	-1	 yes[0] you[0] heard[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie degenerates into a cross-country chase , where everything you expect to happen . . . 	the movie degenerates into a cross-country chase , where everything you expect to happen .<br> .<br> .	1	-2	 the[0] movie[0] degenerates[-1] into[0] a[0] cross[-1] country[0] chase[-1] where[0] everything[0] you[0] expect[0] to[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
does . 	does .	1	-1	 does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the final scenes , which could have redeemed the film , are poorly handled by director bruce beresford - whose previous work centers highly around drama ( driving miss daisy , paradise road ) . 	the final scenes , which could have redeemed the film , are poorly handled by director bruce beresford - whose previous work centers highly around drama ( driving miss daisy , paradise road ) .	4	-2	 the[0] final[0] scenes[0] which[0] could[0] have[0] redeemed[0] the[0] film[0] are[0] poorly[-1] handled[0] by[0] director[0] bruce[0] beresford[0] whose[0] previous[0] work[0] centers[0] highly[0] around[0] drama[0] driving[0] miss[-1] daisy[0] paradise[3] road[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
ironically , it is those elements - like the driving force of libby to reunite with her son - that don't quite work here . 	ironically , it is those elements - like the driving force of libby to reunite with her son - that don't quite work here .	2	-2	 ironically[-1] it[0] is[0] those[0] elements[0] like[1] the[0] driving[0] force[-1] of[0] libby[0] to[0] reunite[0] with[0] her[0] son[0] that[0] don't[0] quite[0] work[0] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at least double jeopardy is paced well enough to satisfy diehard fans of the two stars . 	at least double jeopardy is paced well enough to satisfy diehard fans of the two stars .	2	-2	 at[0] least[0] double[0] jeopardy[-1] is[0] paced[0] well[0] enough[0] to[0] satisfy[1] diehard[0] fans[0] of[0] the[0] two[0] stars[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , jones lacks some of the edge that he had as sam gerard in the fugitive , and the real depth of his character is only skin deep . 	unfortunately , jones lacks some of the edge that he had as sam gerard in the fugitive , and the real depth of his character is only skin deep .	1	-2	 unfortunately[-1] jones[0] lacks[0] some[0] of[0] the[0] edge[0] that[0] he[0] had[0] as[0] sam[0] gerard[0] in[0] the[0] fugitive[-1] and[0] the[0] real[0] depth[0] of[0] his[0] character[0] is[0] only[0] skin[0] deep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but he and ashley judd are more than welcome considering the material , and both have some memorable comic moments . 	but he and ashley judd are more than welcome considering the material , and both have some memorable comic moments .	2	-1	 but[0] he[0] and[0] ashley[0] judd[0] are[0] more[0] than[0] welcome[1] considering[0] the[0] material[0] and[0] both[0] have[0] some[0] memorable[0] comic[0] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
judd , in particular , has a hilarious scene in which she wards off an oncoming male by explaining she has to check in with her  parole officer' . 	judd , in particular , has a hilarious scene in which she wards off an oncoming male by explaining she has to check in with her  parole officer' .	3	-1	 judd[0] in[0] particular[0] has[0] a[0] hilarious[2] scene[0] in[0] which[0] she[0] wards[0] off[0] an[0] oncoming[0] male[0] by[0] explaining[0] she[0] has[0] to[0] check[0] in[0] with[0] her[0] parole[0] officer'[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hmmm . . . 	hm .<br> .<br> .	2	-1	 hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps this would have made a good comedy . 	perhaps this would have made a good comedy .	2	-1	 perhaps[0] this[0] would[0] have[0] made[0] a[0] good[1] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is disappointing , because there are the makings of a competent action film here . 	it is disappointing , because there are the makings of a competent action film here .	1	-2	 it[0] is[0] disappointing[-1] because[0] there[0] are[0] the[0] makings[0] of[0] a[0] competent[0] action[0] film[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's nicely shot and choreographed in downtown vancouver , and will entertain those who aren't turned off by the woeful story-line . 	it's nicely shot and choreographed in downtown vancouver , and will entertain those who aren't turned off by the woeful story-line .	2	-3	 it's[0] nicely[1] shot[-1] and[0] choreographed[-2] in[0] downtown[0] vancouver[0] and[0] will[0] entertain[0] those[0] who[0] aren't[0] turned[0] off[0] by[0] the[0] woeful[-2] story[0] line[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ? tis a shame that double jeopardy is an adult thriller that wouldn't fool most children . 	 ?<br> tis a shame that double jeopardy is an adult thriller that wouldn't fool most children .	2	-3	 tis[0] a[0] shame[-2] that[0] double[0] jeopardy[-1] is[0] an[0] adult[0] thriller[1] that[0] wouldn't[0] fool[-1][NegatedDueToPreviousWord] most[0] children[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
