i am a steven seagal fan . 	Translation	Positive	Negative	EmotionRationale
the glimmer man plot is pretty standard stuff , drawing ( as with his other films ) elements from the hotter films of the year ( eg , se7en ) . 	the glimmer man plot is pretty standard stuff , drawing ( as with his other films ) elements from the hotter films of the year ( eg , se7en ) .	3	-1	 the[0] glimmer[0] man[0] plot[0] is[0] pretty[2] standard[0] stuff[0] drawing[0] as[0] with[0] his[0] other[0] films[0] elements[0] from[0] the[0] hotter[0] films[0] of[0] the[0] year[0] eg[0] se7en[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's the other changes that disappoint . 	it's the other changes that disappoint .	1	-2	 it's[0] the[0] other[0] changes[0] that[0] disappoint[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , although there's a fair amount of violence in this movie , there's also the disastrous pairing of seagal with keenen ivory wayans , probably the best known of the wayans tribe ( how many are there , exactly ? ) from television's " in living colour . " 	for example , although there's a fair amount of violence in this movie , there's also the disastrous pairing of seagal with keenen ivory wayans , probably the best known of the wayans tribe ( how many are there , exactly ?<br> ) from television's " in living colour .<br> "	2	-4	 for[0] example[0] although[0] there's[0] a[0] fair[0] amount[0] of[0] violence[-3] in[0] this[0] movie[0] there's[0] also[0] the[0] disastrous[-3] pairing[0] of[0] seagal[0] with[0] keenen[0] ivory[0] wayans[0] probably[0] the[0] best[1] known[0] of[0] the[0] wayans[0] tribe[0] how[0] many[0] are[0] there[0] exactly[0] [[Sentence=-4,2=word max, 1-5]] from[0] television's[0] in[0] living[0] colour[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
wayans plays whiney straightman to seagal's bead-adorned and brocade-draped cole , keeping up his " are you crazy " part of the dialogue with wasted zest . 	wayans plays whiney straightman to seagal's bead-adorned and brocade-draped cole , keeping up his " are you crazy " part of the dialogue with wasted zest .	2	-3	 wayans[0] plays[1] whiney[-2] straightman[0] to[0] seagal's[0] bead[0] adorned[0] and[0] brocade[0] draped[0] cole[0] keeping[0] up[0] his[0] are[0] you[0] crazy[-1] part[0] of[0] the[0] dialogue[0] with[0] wasted[-1] zest[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as campbell , wayans confines himself to bemoaning his new partner's eccentric habits , but the chemistry between the two is minimal , and seagal's wooden comebacks make for painful watching . 	as campbell , wayans confines himself to bemoaning his new partner's eccentric habits , but the chemistry between the two is minimal , and seagal's wooden comebacks make for painful watching .	1	-4	 as[0] campbell[0] wayans[0] confines[0] himself[0] to[0] bemoaning[0] his[0] new[0] partner's[0] eccentric[-1] habits[0] but[0] the[0] chemistry[0] between[0] the[0] two[0] is[0] minimal[0] and[0] seagal's[0] wooden[0] comebacks[0] make[0] for[0] painful[-3] watching[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a cook in under seige 2 , seagal is now a buddhist who speaks chinese and wears prayer beads and intricate silk jackets over his normal black ensemble . 	a cook in under seige 2 , seagal is now a buddhist who speaks chinese and wears prayer beads and intricate silk jackets over his normal black ensemble .	1	-1	 a[0] cook[0] in[0] under[0] seige[0] 2[0] seagal[0] is[0] now[0] a[0] buddhist[0] who[0] speaks[0] chinese[0] and[0] wears[0] prayer[0] beads[0] and[0] intricate[0] silk[0] jackets[0] over[0] his[0] normal[0] black[0] ensemble[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he chants , refuses to fight unless truly provoked and introduces campbell to powdered deer penis to cure his allergies . 	he chants , refuses to fight unless truly provoked and introduces campbell to powdered deer penis to cure his allergies .	2	-3	 he[0] chants[0] refuses[-1] to[0] fight[-2] unless[0] truly[1] provoked[0] and[0] introduces[0] campbell[0] to[0] powdered[0] deer[0] penis[0] to[0] cure[0] his[0] allergies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
again , a benign ( if trite ) plot device except for the fact that these new character traits require seagal to speak more than usual . 	again , a benign ( if trite ) plot device except for the fact that these new character traits require seagal to speak more than usual .	2	-3	 again[0] a[0] benign[1] if[0] trite[-2] plot[0] device[0] except[0] for[0] the[0] fact[0] that[0] these[0] new[0] character[0] traits[0] require[0] seagal[0] to[0] speak[0] more[0] than[0] usual[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
heck , he has to deliver punchlines and carry a steady conversation with someone other than himself for a large part of the film . 	heck , he has to deliver punchlines and carry a steady conversation with someone other than himself for a large part of the film .	1	-2	 heck[0] he[0] has[0] to[0] deliver[0] punchlines[-1] and[0] carry[0] a[0] steady[0] conversation[0] with[0] someone[0] other[0] than[0] himself[0] for[0] a[0] large[0] part[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is that a lot to ask of the seague ? 	is that a lot to ask of the seague ?	1	-1	 is[0] that[0] a[0] lot[0] to[0] ask[0] of[0] the[0] seague[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too much . 	too much .	1	-1	 too[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seagal's best characteristic used to be that he knew his purpose in this already complicated world of movies : to crunchily snap off bad guy appendages , and to do it silently , and alone . 	seagal's best characteristic used to be that he knew his purpose in this already complicated world of movies : to crunchily snap off bad guy appendages , and to do it silently , and alone .	2	-2	 seagal's[0] best[1] characteristic[0] used[0] to[0] be[0] that[0] he[0] knew[0] his[0] purpose[0] in[0] this[0] already[0] complicated[-1] world[0] of[0] movies[0] to[0] crunchily[0] snap[0] off[0] bad[-1] guy[0] appendages[0] and[0] to[0] do[0] it[0] silently[0] and[0] alone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not for seagal , the snappy one-liners of arnold and stallone , nor the attempts to show that he can act , much less think . 	not for seagal , the snappy one-liners of arnold and stallone , nor the attempts to show that he can act , much less think .	1	-1	 not[0] for[0] seagal[0] the[0] snappy[0] one[0] liners[0] of[0] arnold[0] and[0] stallone[0] nor[0] the[0] attempts[0] to[0] show[0] that[0] he[0] can[0] act[0] much[0] less[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no kindergarten cop , no oscar , just simple , unadulterated deathblows . 	no kindergarten cop , no oscar , just simple , unadulterated deathblows .	1	-3	 no[0] kindergarten[0] cop[0] no[0] oscar[0] just[0] simple[0] unadulterated[0] deathblows[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's really how it must have started : like-minded fans who knew what they wanted streamed in to watch the seague do his thing , knowing that never in the seagal universe would they ever have to see him do anything else . 	that's really how it must have started : like-minded fans who knew what they wanted streamed in to watch the seague do his thing , knowing that never in the seagal universe would they ever have to see him do anything else .	2	-1	 that's[0] really[0] how[0] it[0] must[0] have[0] started[0] like[1] minded[0] fans[0] who[0] knew[0] what[0] they[0] wanted[0] streamed[0] in[0] to[0] watch[0] the[0] seague[0] do[0] his[0] thing[0] knowing[0] that[0] never[0] in[0] the[0] seagal[0] universe[0] would[0] they[0] ever[0] have[0] to[0] see[0] him[0] do[0] anything[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we trusted him . 	we trusted him .	2	-1	 we[0] trusted[1] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we got to know him . 	we got to know him .	1	-1	 we[0] got[0] to[0] know[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , betrayal . 	now , betrayal .	1	-3	 now[0] betrayal[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i don't know if i can watch another seagal movie without that little niggling doubt that he's going to try to be funny again . 	i don't know if i can watch another seagal movie without that little niggling doubt that he's going to try to be funny again .	2	-2	 i[0] don't[0] know[0] if[0] i[0] can[0] watch[0] another[0] seagal[0] movie[0] without[0] that[0] little[0] niggling[0] doubt[-1] that[0] he's[0] going[0] to[0] try[0] to[0] be[0] funny[1] again[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'll try , but it won't be easy . 	i'll try , but it won't be easy .	1	-1	 i'll[0] try[0] but[0] it[0] won't[0] be[0] easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you haven't watched the glimmer man yet , you might want to wait for the video to come out . 	if you haven't watched the glimmer man yet , you might want to wait for the video to come out .	1	-1	 if[0] you[0] haven't[0] watched[0] the[0] glimmer[0] man[0] yet[0] you[0] might[0] want[0] to[0] wait[0] for[0] the[0] video[0] to[0] come[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's easier to just fast forward the dialogue parts and linger on the action sequences . 	it's easier to just fast forward the dialogue parts and linger on the action sequences .	1	-1	 it's[0] easier[0] to[0] just[0] fast[0] forward[0] the[0] dialogue[0] parts[0] and[0] linger[0] on[0] the[0] action[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , if we can't depend on our fantasies , what can we depend on ? 	after all , if we can't depend on our fantasies , what can we depend on ?	1	-1	 after[0] all[0] if[0] we[0] can't[0] depend[0] on[0] our[0] fantasies[0] what[0] can[0] we[0] depend[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mufti spelenetik is still a steven seagal fan . 	mufti spelenetik is still a steven seagal fan .	1	-1	 mufti[0] spelenetik[0] is[0] still[0] a[0] steven[0] seagal[0] fan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everybody makes mistakes once in awhile . 	everybody makes mistakes once in awhile .	1	-2	 everybody[0] makes[0] mistakes[-1] once[0] in[0] awhile[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
