the plot of big momma's house is martin lawrence in a fat suit and a dress . 	Translation	Positive	Negative	EmotionRationale
indeed , sherry appears to be on her way , but big momma is headed out of town without knowing sherry is coming . 	indeed , sherry appears to be on her way , but big momma is headed out of town without knowing sherry is coming .	1	-1	 indeed[0] sherry[0] appears[0] to[0] be[0] on[0] her[0] way[0] but[0] big[0] momma[0] is[0] headed[0] out[0] of[0] town[0] without[0] knowing[0] sherry[0] is[0] coming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that leaves master of disguise malcolm to go under very heavy cover as big momma and find out what sherry knows . 	that leaves master of disguise malcolm to go under very heavy cover as big momma and find out what sherry knows .	1	-2	 that[0] leaves[0] master[0] of[0] disguise[-1] malcolm[0] to[0] go[0] under[0] very[0] heavy[0] cover[0] as[0] big[0] momma[0] and[0] find[0] out[0] what[0] sherry[0] knows[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
big momma's house's bloodlines are certainly traceable to mrs . 	big momma's house's bloodlines are certainly traceable to mrs .	1	-1	 big[0] momma's[0] house's[0] bloodlines[0] are[0] certainly[0] traceable[0] to[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire -- director raja gosnell edited that film , and the makeup effects were similarly created by greg cannom -- but there's just as strong a whiff of tootsie in the main character's attempt to use his alternate identity to get closer to a woman . 	doubtfire - director raja gosnell edited that film , and the makeup effects were similarly created by greg cannom - but there's just as strong a whiff of tootsie in the main character's attempt to use his alternate identity to get closer to a woman .	1	-2	 doubtfire[-1] director[0] raja[0] gosnell[0] edited[0] that[0] film[0] and[0] the[0] makeup[0] effects[0] were[0] similarly[0] created[0] by[0] greg[0] cannom[0] but[0] there's[0] just[0] as[0] strong[0] a[0] whiff[0] of[0] tootsie[0] in[0] the[0] main[0] character's[0] attempt[0] to[0] use[0] his[0] alternate[0] identity[0] to[0] get[0] closer[0] to[0] a[0] woman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , big momma's house makes a ridiculous decision neither of those other films made : instead of having the protagonist pose as a completely manufactured character unfamiliar to anyone elses , it places malcolm in the position of playing a friend and family member to several other characters . 	unfortunately , big momma's house makes a ridiculous decision neither of those other films made : instead of having the protagonist pose as a completely manufactured character unfamiliar to anyone elses , it places malcolm in the position of playing a friend and family member to several other characters .	2	-3	 unfortunately[-1] big[0] momma's[0] house[0] makes[0] a[0] ridiculous[-2] decision[0] neither[0] of[0] those[0] other[0] films[0] made[0] instead[0] of[0] having[0] the[0] protagonist[0] pose[0] as[0] a[0] completely[0] manufactured[0] character[0] unfamiliar[-1] to[0] anyone[0] elses[0] it[0] places[0] malcolm[0] in[0] the[0] position[0] of[0] playing[1] a[0] friend[1] and[0] family[0] member[0] to[0] several[0] other[0] characters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
suspension of disbelief in big momma's house requires you to believe every other person in the film is blind and/or stupid , since no one notices that one big momma looks or sounds absolutely nothing like the other . 	suspension of disbelief in big momma's house requires you to believe every other person in the film is blind and/or stupid , since no one notices that one big momma looks or sounds absolutely nothing like the other .	2	-2	 suspension[-1] of[0] disbelief[-1] in[0] big[0] momma's[0] house[0] requires[0] you[0] to[0] believe[0] every[0] other[0] person[0] in[0] the[0] film[0] is[0] blind[-1] and/or[0] stupid[-1] since[0] no[0] one[0] notices[0] that[0] one[0] big[0] momma[0] looks[0] or[0] sounds[0] absolutely[0] nothing[0] like[1] the[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , laughs trumps logic every time , and big momma's house probably still would have worked in spite of its utter disdain for common sense if it had just managed to be funny . 	of course , laughs trumps logic every time , and big momma's house probably still would have worked in spite of its utter disdain for common sense if it had just managed to be funny .	2	-4	 of[0] course[0] laughs[1] trumps[0] logic[0] every[0] time[0] and[0] big[0] momma's[0] house[0] probably[0] still[0] would[0] have[0] worked[0] in[0] spite[-3] of[0] its[0] utter[0] disdain[-1] for[0] common[0] sense[0] if[0] it[0] had[0] just[0] managed[0] to[0] be[0] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and it misses its best possible opportunity for some great farce by ignoring the simple fact that the real big momma is set up as a foul-tempered beast , while malcolm has to be nurturing in order to get the information he wants out of sherry . 	and it misses its best possible opportunity for some great farce by ignoring the simple fact that the real big momma is set up as a foul-tempered beast , while malcolm has to be nurturing in order to get the information he wants out of sherry .	2	-3	 and[0] it[0] misses[-2] its[0] best[1] possible[0] opportunity[0] for[0] some[0] great[2][-1 LastWordBoosterStrength] farce[-1] by[0] ignoring[0] the[0] simple[0] fact[0] that[0] the[0] real[0] big[0] momma[0] is[0] set[0] up[0] as[0] a[0] foul[0] tempered[0] beast[0] while[0] malcolm[0] has[0] to[0] be[0] nurturing[0] in[0] order[0] to[0] get[0] the[0] information[0] he[0] wants[0] out[0] of[0] sherry[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , no one involved appears to have the faintest idea how to deal with the comic gold mine involved in one real person pretending to be another , very different real person , so they fall back on an endless parade of sight gags : malcolm reacting violently to big momma's explosive diarrhea attack ; malcolm-as-momma schooling a pair of cocky teens in basketball ; malcolm trying to avoid detection as various prostheses give way at inopportune moments ; malcolm delivering a baby because big momma is the town midwife ( one of the few sequences that works ) . 	unfortunately , no one involved appears to have the faintest idea how to deal with the comic gold mine involved in one real person pretending to be another , very different real person , so they fall back on an endless parade of sight gags : malcolm reacting violently to big momma's explosive diarrhea attack ; malcolm-as-momma schooling a pair of cocky teens in basketball ; malcolm trying to avoid detection as various prostheses give way at inopportune moments ; malcolm delivering a baby because big momma is the town midwife ( one of the few sequences that works ) .	2	-3	 unfortunately[-1] no[0] one[0] involved[0] appears[0] to[0] have[0] the[0] faintest[0] idea[0] how[0] to[0] deal[0] with[0] the[0] comic[0] gold[0] mine[0] involved[0] in[0] one[0] real[0] person[0] pretending[0] to[0] be[0] another[0] very[0] different[0] real[0] person[0] so[0] they[0] fall[0] back[0] on[0] an[0] endless[0] parade[0] of[0] sight[0] gags[0] malcolm[0] reacting[0] violently[-2] to[0] big[0] momma's[0] explosive[-1] diarrhea[0] attack[-2] malcolm[0] as[0] momma[0] schooling[0] a[0] pair[0] of[0] cocky[-1] teens[0] in[0] basketball[0] malcolm[0] trying[0] to[0] avoid[-1] detection[0] as[0] various[0] prostheses[0] give[0] way[0] at[0] inopportune[0] moments[0] malcolm[0] delivering[0] a[0] baby[1] because[0] big[0] momma[0] is[0] the[0] town[0] midwife[0] one[0] of[0] the[0] few[0] sequences[0] that[0] works[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
martin lawrence can be likeable enough at times , but there's no reason to care a whit about his budding romance with sherry because malcolm is never an independently significant character . 	martin lawrence can be likeable enough at times , but there's no reason to care a whit about his budding romance with sherry because malcolm is never an independently significant character .	4	-1	 martin[0] lawrence[0] can[0] be[0] likeable[2] enough[0] at[0] times[0] but[0] there's[0] no[0] reason[0] to[0] care[1] a[0] whit[0] about[0] his[0] budding[0] romance[3] with[0] sherry[0] because[0] malcolm[0] is[0] never[0] an[0] independently[0] significant[0] character[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he's just big momma without the makeup on . 	he's just big momma without the makeup on .	1	-1	 he's[0] just[0] big[0] momma[0] without[0] the[0] makeup[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i won't waste time commenting on how ineptly the set-up of the escaped convict is employed , since it was clearly a waste of time to the film-makers . 	i won't waste time commenting on how ineptly the set-up of the escaped convict is employed , since it was clearly a waste of time to the film-makers .	2	-2	 i[0] won't[0] waste[-1][NegatedDueToPreviousWord] time[0] commenting[0] on[0] how[0] ineptly[0] the[0] set[0] up[0] of[0] the[0] escaped[0] convict[-1] is[0] employed[0] since[0] it[0] was[0] clearly[0] a[0] waste[-1] of[0] time[0] to[0] the[0] film[0] makers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are a few token scenes of lester looming as a threatening figure , but he's ultimately a distraction in a film that's really about its central visual incongruity ( and the accompanying lascivious glances at nia long's posterior ) . 	there are a few token scenes of lester looming as a threatening figure , but he's ultimately a distraction in a film that's really about its central visual incongruity ( and the accompanying lascivious glances at nia long's posterior ) .	1	-3	 there[0] are[0] a[0] few[0] token[0] scenes[0] of[0] lester[0] looming[0] as[0] a[0] threatening[-2] figure[0] but[0] he's[0] ultimately[0] a[0] distraction[-1] in[0] a[0] film[0] that's[0] really[0] about[0] its[0] central[0] visual[0] incongruity[0] and[0] the[0] accompanying[0] lascivious[0] glances[0] at[0] nia[0] long's[0] posterior[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm never prepared to underestimate how appealing that idea may be to other people -- several million of them apparently found adam sandler as an incompetent surrogate parent appealing -- but i know that when a film-maker tries to throw a concept at me and pretend that it's an entire film , i duck out of the way . 	i'm never prepared to underestimate how appealing that idea may be to other people - several million of them apparently found adam sandler as an incompetent surrogate parent appealing - but i know that when a film-maker tries to throw a concept at me and pretend that it's an entire film , i duck out of the way .	1	-3	 i'm[0] never[0] prepared[0] to[0] underestimate[0] how[0] appealing[0] that[0] idea[0] may[0] be[0] to[0] other[0] people[0] several[0] million[0] of[0] them[0] apparently[0] found[0] adam[0] sandler[0] as[0] an[0] incompetent[-2] surrogate[0] parent[0] appealing[0] but[0] i[0] know[0] that[0] when[0] a[0] film[0] maker[0] tries[0] to[0] throw[0] a[0] concept[0] at[0] me[0] and[0] pretend[-1] that[0] it's[0] an[0] entire[0] film[0] i[0] duck[0] out[0] of[0] the[0] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the gross implausibility of big momma's house might have been tolerable if it was seasoned with more big , cleverly-constructed laughs . 	the gross implausibility of big momma's house might have been tolerable if it was seasoned with more big , cleverly-constructed laughs .	2	-2	 the[0] gross[-1] implausibility[0] of[0] big[0] momma's[0] house[0] might[0] have[0] been[0] tolerable[0] if[0] it[0] was[0] seasoned[0] with[0] more[0] big[0] cleverly[0] constructed[0] laughs[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
its lack of big laughs might have been tolerable if its characters were at all relevant . 	its lack of big laughs might have been tolerable if its characters were at all relevant .	2	-2	 its[0] lack[-1] of[0] big[0] laughs[1] might[0] have[0] been[0] tolerable[0] if[0] its[0] characters[0] were[0] at[0] all[0] relevant[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
big momma's house is ridiculous _and_ not funny . 	big momma's house is ridiculous _and_ not funny .	1	-3	 big[0] momma's[0] house[0] is[0] ridiculous[-2] _and_[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just a sad exercise in the jaded presumption that any scene should be considered wacky and hilarious if it involves martin lawrence in a fat suit and a dress . 	it's just a sad exercise in the jaded presumption that any scene should be considered wacky and hilarious if it involves martin lawrence in a fat suit and a dress .	3	-4	 it's[0] just[0] a[0] sad[-3] exercise[0] in[0] the[0] jaded[-2] presumption[0] that[0] any[0] scene[0] should[0] be[0] considered[0] wacky[0] and[0] hilarious[2] if[0] it[0] involves[0] martin[0] lawrence[0] in[0] a[0] fat[-1] suit[0] and[0] a[0] dress[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
