gordie boggs ( arquette , aptly cast as a moron , as he is one ) and his best friend sean dawkins ( scott caan . 	Translation	Positive	Negative	EmotionRationale
i have news for you , eric : no wrestling fan in this day and age is dumb enough to believe that professional wrestling isn't for show , unless they are four years old . 	i have news for you , eric : no wrestling fan in this day and age is dumb enough to believe that professional wrestling isn't for show , unless they are four years old .	1	-2	 i[0] have[0] news[0] for[0] you[0] eric[0] no[0] wrestling[0] fan[0] in[0] this[0] day[0] and[0] age[0] is[0] dumb[-1] enough[0] to[0] believe[0] that[0] professional[0] wrestling[0] isn't[0] for[0] show[0] unless[0] they[0] are[0] four[0] years[0] old[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is 2000 , you know , not 1985 . 	this is 200 , you know , not 1985 .	1	-1	 this[0] is[0] 2000/200[0] you[0] know[0] not[0] 1985[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bischoff will try to cover up criticism like that by saying it is a comedy , but i have no doubt in my mind that if this had been a dramatic , rocky-style film ( which it probably should have been . 	bischoff will try to cover up criticism like that by saying it is a comedy , but i have no doubt in my mind that if this had been a dramatic , rocky-style film ( which it probably should have been .	2	-2	 bischoff[0] will[0] try[0] to[0] cover[0] up[0] criticism[-1] like[1] that[0] by[0] saying[0] it[0] is[0] a[0] comedy[0] but[0] i[0] have[0] no[0] doubt[-1] in[0] my[0] mind[0] that[0] if[0] this[0] had[0] been[0] a[0] dramatic[0] rocky[0] style[0] film[0] which[0] it[0] probably[0] should[0] have[0] been[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
professional wrestling is ridiculed enough as it is , why should the first wrestling movie in ten years be a comedy ? ) , gordie and sean would have been portrayed in the same light . 	professional wrestling is ridiculed enough as it is , why should the first wrestling movie in ten years be a comedy ?<br> ) , gordie and sean would have been portrayed in the same light .	1	-3	 professional[0] wrestling[0] is[0] ridiculed[-2] enough[0] as[0] it[0] is[0] why[0] should[0] the[0] first[0] wrestling[0] movie[0] in[0] ten[0] years[0] be[0] a[0] comedy[0] [[Sentence=-3,1=word max, 1-5]] gordie[0] and[0] sean[0] would[0] have[0] been[0] portrayed[0] in[0] the[0] same[0] light[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
anybody who has seen the documentary wrestling with shadows , documenting wwf owner vince mcmahon's double-crossing of bret hart , will probably realize via the reviews and previews of ready to rumble , that it is basically a rip-off of that film's storyline with the poor man's wayne and garth thrown in for comedic affect . 	anybody who has seen the documentary wrestling with shadows , documenting wwf owner vince mcmahon's double-crossing of bret hart , will probably realize via the reviews and previews of ready to rumble , that it is basically a rip-off of that film's storyline with the poor man's wayne and garth thrown in for comedic affect .	1	-2	 anybody[0] who[0] has[0] seen[0] the[0] documentary[0] wrestling[0] with[0] shadows[0] documenting[0] wwf[0] owner[0] vince[0] mcmahon's[0] double[0] crossing[0] of[0] bret[0] hart[0] will[0] probably[0] realize[0] via[0] the[0] reviews[0] and[0] previews[0] of[0] ready[0] to[0] rumble[0] that[0] it[0] is[0] basically[0] a[0] rip[-1] off[0] of[0] that[0] film's[0] storyline[0] with[0] the[0] poor[-1] man's[0] wayne[0] and[0] garth[0] thrown[0] in[0] for[0] comedic[0] affect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you can tell titus sinclair is supposed to poke fun at vince , but any self-respecting wrestling fan knows that sinclair is more inspired by bischoff than vince , and that vince did what he had to do to bret hart . 	you can tell titus sinclair is supposed to poke fun at vince , but any self-respecting wrestling fan knows that sinclair is more inspired by bischoff than vince , and that vince did what he had to do to bret hart .	3	-1	 you[0] can[0] tell[0] titus[0] sinclair[0] is[0] supposed[0] to[0] poke[0] fun[1] at[0] vince[0] but[0] any[0] self[0] respecting[2] wrestling[0] fan[0] knows[0] that[0] sinclair[0] is[0] more[0] inspired[2] by[0] bischoff[0] than[0] vince[0] and[0] that[0] vince[0] did[0] what[0] he[0] had[0] to[0] do[0] to[0] bret[0] hart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all of these aspects of the film , needless to say , seriously offended me as a wrestling fan . 	all of these aspects of the film , needless to say , seriously offended me as a wrestling fan .	1	-3	 all[0] of[0] these[0] aspects[0] of[0] the[0] film[0] needless[0] to[0] say[0] seriously[0] offended[-2] me[0] as[0] a[0] wrestling[0] fan[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another thing i found disturbing about the film was the romance between gordie and nitro girl sasha ( the lovely rose mcgowan ) . 	another thing i found disturbing about the film was the romance between gordie and nitro girl sasha ( the lovely rose mcgowan ) .	4	-2	 another[0] thing[0] i[0] found[0] disturbing[-1] about[0] the[0] film[0] was[0] the[0] romance[3] between[0] gordie[0] and[0] nitro[0] girl[0] sasha[0] the[0] lovely[1] rose[0] mcgowan[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
wouldn't it have been easier to bring something new into the relationship rather than revealing she was only working on gordie at sinclair's insistance ? 	wouldn't it have been easier to bring something new into the relationship rather than revealing she was only working on gordie at sinclair's insistance ?	1	-1	 wouldn't[0] it[0] have[0] been[0] easier[0] to[0] bring[0] something[0] new[0] into[0] the[0] relationship[0] rather[0] than[0] revealing[0] she[0] was[0] only[0] working[0] on[0] gordie[0] at[0] sinclair's[0] insistance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i hate that cliche ! 	i hate that cliche !	1	-4	 i[0] hate[-3] that[0] cliche[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the world wrestling federation would have made a better film . 	the world wrestling federation would have made a better film .	1	-1	 the[0] world[0] wrestling[0] federation[0] would[0] have[0] made[0] a[0] better[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are the promotion everyone cares about , they are winning the ratings , they have better wrestlers , and they take their fans into consideration and don't treat fans like morons . 	they are the promotion everyone cares about , they are winning the ratings , they have better wrestlers , and they take their fans into consideration and don't treat fans like morons .	2	-3	 they[0] are[0] the[0] promotion[0] everyone[0] cares[1] about[0] they[0] are[0] winning[1] the[0] ratings[0] they[0] have[0] better[0] wrestlers[0] and[0] they[0] take[0] their[0] fans[0] into[0] consideration[0] and[0] don't[0] treat[1][NegatedDueToPreviousWord] fans[0] like[1] morons[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so , vince , how about a movie ? 	so , vince , how about a movie ?	1	-1	 so[0] vince[0] how[0] about[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
