 " spice world " is just one long promotional film for the british girl band the spice girls . 	Translation	Positive	Negative	EmotionRationale
by the way , there's something in the opening credits which says " based on an idea by the spice girls " . 	by the way , there's something in the opening credits which says " based on an idea by the spice girls " .	1	-1	 by[0] the[0] way[0] there's[0] something[0] in[0] the[0] opening[0] credits[0] which[0] says[0] based[0] on[0] an[0] idea[0] by[0] the[0] spice[0] girls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wow , they got idea credit ! 	wow , they got idea credit !	3	-1	 wow[2] they[0] got[0] idea[0] credit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i certainly wish that was a new trend in hollywood . . . 	i certainly wish that was a new trend in hollywood .<br> .<br> .	1	-1	 i[0] certainly[0] wish[0] that[0] was[0] a[0] new[0] trend[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
giving credit for simply having the thought " say girls , let's make a movie ! " 	giving credit for simply having the thought " say girls , let's make a movie !<br> "	1	-1	 giving[0] credit[0] for[0] simply[0] having[0] the[0] thought[0] say[0] girls[0] let's[0] make[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast fares well . 	the supporting cast fares well .	2	-1	 the[0] supporting[1] cast[0] fares[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
roger moore ( the real james bond ) mockingly plays the cliche-spewing " chief " of the spice girls , and darn it all , he's fun to watch . 	roger more ( the real james bond ) mockingly plays the cliche-spewing " chief " of the spice girls , and darn it all , he's fun to watch .	2	-2	 roger[0] moore/more[0] the[0] real[0] james[0] bond[0] mockingly[0] plays[1] the[0] cliche[0] spewing[-1] chief[0] of[0] the[0] spice[0] girls[0] and[0] darn[-1] it[0] all[0] he's[0] fun[1] to[0] watch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mark mckenney also is good as a screenwriter trying to pitch film ideas to the band's manager ( richard e . grant ) . 	mark mckenney also is good as a screenwriter trying to pitch film ideas to the band's manager ( richard e .<br> grant ) .	2	-1	 mark[0] mckenney[0] also[0] is[0] good[1] as[0] a[0] screenwriter[0] trying[0] to[0] pitch[0] film[0] ideas[0] to[0] the[0] band's[0] manager[0] richard[0] e[0] [[Sentence=-1,2=word max, 1-5]] grant[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
one question though : george wendt ? 	one question though : george wendt ?	1	-1	 one[0] question[0] though[0] george[0] wendt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'd think that " spice world " would envoke one of two reactions in people . 	you'd think that " spice world " would envoke one of two reactions in people .	1	-1	 you'd[0] think[0] that[0] spice[0] world[0] would[0] envoke[0] one[0] of[0] two[0] reactions[0] in[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you like the spice girls , you'll like them even more afterwards . 	if you like the spice girls , you'll like them even more afterwards .	2	-1	 if[0] you[0] like[1] the[0] spice[0] girls[0] you'll[0] like[1] them[0] even[0] more[0] afterwards[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if you can't stand them ( like me ) , then " spice world " will really make you sick . 	and if you can't stand them ( like me ) , then " spice world " will really make you sick .	2	-2	 and[0] if[0] you[0] can't[0] stand[0] them[0] like[1] me[0] then[0] spice[0] world[0] will[0] really[0] make[0] you[0] sick[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oddly , the audience i saw the film with , roughly 50 twelve year-old girls , sat in silence for the entire film . 	oddly , the audience i saw the film with , roughly 50 twelve year-old girls , sat in silence for the entire film .	1	-2	 oddly[0] the[0] audience[0] i[0] saw[0] the[0] film[0] with[0] roughly[-1] 50[0] twelve[0] year[0] old[0] girls[0] sat[0] in[0] silence[0] for[0] the[0] entire[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , not the two who sat directly behind me . 	well , not the two who sat directly behind me .	1	-1	 well[0] not[0] the[0] two[0] who[0] sat[0] directly[0] behind[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they kept muttering " this is stupid " over and over again . 	they kept muttering " this is stupid " over and over again .	1	-2	 they[0] kept[0] muttering[0] this[0] is[0] stupid[-1] over[0] and[0] over[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe there is hope for humanity after all . 	maybe there is hope for humanity after all .	3	-1	 maybe[0] there[0] is[0] hope[2] for[0] humanity[0] after[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
[pg] 	[pg]	1	-1	 [pg][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
