synopsis : a mentally unstable man undergoing psychotherapy saves a boy from a potentially fatal accident and then falls in love with the boy's mother , a fledgling restauranteur . 	Translation	Positive	Negative	EmotionRationale
if the movie was meant to be about daryl , then it should have been called stalker not stalked . 	if the movie was meant to be about daryl , then it should have been called stalker not stalked .	1	-1	 if[0] the[0] movie[0] was[0] meant[0] to[0] be[0] about[0] daryl[0] then[0] it[0] should[0] have[0] been[0] called[0] stalker[0] not[0] stalked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay . so we know who the stalker is even before the movie starts ; no guesswork required . 	okay .<br> so we know who the stalker is even before the movie starts ; no guesswork required .	1	-1	 okay[0] [[Sentence=-1,1=word max, 1-5]] so[0] we[0] know[0] who[0] the[0] stalker[0] is[0] even[0] before[0] the[0] movie[0] starts[0] no[0] guesswork[0] required[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stalked proceeds , then , as it begins : obvious , obvious , obvious . 	stalked proceeds , then , as it begins : obvious , obvious , obvious .	1	-1	 stalked[0] proceeds[0] then[0] as[0] it[0] begins[0] obvious[0] obvious[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening sequence , contrived quite a bit , brings daryl and brooke ( the victim ) together . 	the opening sequence , contrived quite a bit , brings daryl and broke ( the victim ) together .	1	-3	 the[0] opening[0] sequence[0] contrived[0] quite[0] a[0] bit[0] brings[0] daryl[0] and[0] brooke/broke[-1] the[0] victim[-2] together[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
daryl obsesses over brooke , follows her around , and tries to woo her . 	daryl obsesses over broke , follows her around , and tries to woo her .	1	-3	 daryl[0] obsesses[-2] over[0] brooke/broke[-1] follows[0] her[0] around[0] and[0] tries[0] to[0] woo[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ultimately rejected by her , his plans become more and more desperate and elaborate . 	ultimately rejected by her , his plans become more and more desperate and elaborate .	1	-3	 ultimately[0] rejected[-1] by[0] her[0] his[0] plans[0] become[0] more[0] and[0] more[0] desperate[-2] and[0] elaborate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
these plans include the all-time , psycho-in-love , cliche : the murdered pet . 	these plans include the all-time , psycho-in-love , cliche : the murdered pet .	3	-4	 these[0] plans[0] include[0] the[0] all[0] time[0] psycho[0] in[0] love[2] cliche[0] the[0] murdered[-3] pet[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
for some reason , this genre's films require a dead pet to be found by the victim stalked . 	for some reason , this genre's films require a dead pet to be found by the victim stalked .	1	-3	 for[0] some[0] reason[0] this[0] genre's[0] films[0] require[0] a[0] dead[-2] pet[0] to[0] be[0] found[0] by[0] the[0] victim[-2] stalked[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stalked is no exception ( it's a cat this time -- found in the shower ) . 	stalked is no exception ( it's a cat this time - found in the shower ) .	1	-1	 stalked[0] is[0] no[0] exception[0] it's[0] a[0] cat[0] this[0] time[0] found[0] in[0] the[0] shower[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
events like these lead to the inevitable showdown between stalker and stalked , where only one survives ( guess who it invariably always is and you'll guess the conclusion to this turkey ) . 	events like these lead to the inevitable showdown between stalker and stalked , where only one survives ( guess who it invariably always is and you'll guess the conclusion to this turkey ) .	2	-1	 events[0] like[1] these[0] lead[0] to[0] the[0] inevitable[0] showdown[0] between[0] stalker[0] and[0] stalked[0] where[0] only[0] one[0] survives[0] guess[0] who[0] it[0] invariably[0] always[0] is[0] and[0] you'll[0] guess[0] the[0] conclusion[0] to[0] this[0] turkey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stalked's cast is uniformly adequate : not anything to write home about but also not all that bad either . 	stalked's cast is uniformly adequate : not anything to write home about but also not all that bad either .	1	-2	 stalked's[0] cast[0] is[0] uniformly[0] adequate[0] not[0] anything[0] to[0] write[0] home[0] about[0] but[0] also[0] not[0] all[0] that[0] bad[-1] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jay underwood , as the stalker , turns toward melodrama a bit too much . 	jay underwood , as the stalker , turns toward melodrama a bit too much .	1	-1	 jay[0] underwood[0] as[0] the[0] stalker[0] turns[0] toward[0] melodrama[0] a[0] bit[0] too[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he overdoes it , in other words , but he still manages to be creepy enough to pass as the type of stalker the story demands . 	he overdoes it , in other words , but he still manages to be creepy enough to pass as the type of stalker the story demands .	1	-1	 he[0] overdoes[0] it[0] in[0] other[0] words[0] but[0] he[0] still[0] manages[0] to[0] be[0] creepy[0] enough[0] to[0] pass[0] as[0] the[0] type[0] of[0] stalker[0] the[0] story[0] demands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maryam d'abo , about the only actor close to being a star here ( she played the bond chick in the living daylights ) , is equally adequate as the " stalked " of the title , even though she seems too ditzy at times to be a strong , independent business-owner . 	maryam d'abo , about the only actor close to being a star here ( she played the bond chick in the living daylights ) , is equally adequate as the " stalked " of the title , even though she seems too ditzy at times to be a strong , independent business-owner .	1	-1	 maryam[0] d'abo[0] about[0] the[0] only[0] actor[0] close[0] to[0] being[0] a[0] star[0] here[0] she[0] played[0] the[0] bond[0] chick[0] in[0] the[0] living[0] daylights[0] is[0] equally[0] adequate[0] as[0] the[0] stalked[0] of[0] the[0] title[0] even[0] though[0] she[0] seems[0] too[0] ditzy[0] at[0] times[0] to[0] be[0] a[0] strong[0] independent[0] business[0] owner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brooke ( d'abo ) needs to be ditzy , however , for the plot to proceed . 	broke ( d'abo ) needs to be ditzy , however , for the plot to proceed .	1	-2	 brooke/broke[-1] d'abo[0] needs[0] to[0] be[0] ditzy[0] however[0] for[0] the[0] plot[0] to[0] proceed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
toward the end , for example , brooke has her suspicions about daryl . 	toward the end , for example , broke has her suspicions about daryl .	1	-2	 toward[0] the[0] end[0] for[0] example[0] brooke/broke[-1] has[0] her[0] suspicions[-1] about[0] daryl[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to ensure he won't use it as another excuse to see her , brooke decides to return a toolbox he had left at her place to his house . 	to ensure he won't use it as another excuse to see her , broke decides to return a toolbox he had left at her place to his house .	1	-2	 to[0] ensure[0] he[0] won't[0] use[0] it[0] as[0] another[0] excuse[0] to[0] see[0] her[0] brooke/broke[-1] decides[0] to[0] return[0] a[0] toolbox[0] he[0] had[0] left[0] at[0] her[0] place[0] to[0] his[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
does she just leave the toolbox at the door when no one answers ? 	does she just leave the toolbox at the door when no one answers ?	1	-1	 does[0] she[0] just[0] leave[0] the[0] toolbox[0] at[0] the[0] door[0] when[0] no[0] one[0] answers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course not . 	of course not .	1	-1	 of[0] course[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she tries the door , opens it , and wanders around the house . 	she tries the door , opens it , and wanders around the house .	1	-1	 she[0] tries[0] the[0] door[0] opens[0] it[0] and[0] wanders[0] around[0] the[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when daryl returns , he enters the house , of course , so our heroine is in danger . 	when daryl returns , he enters the house , of course , so our heroine is in danger .	3	-2	 when[0] daryl[0] returns[0] he[0] enters[0] the[0] house[0] of[0] course[0] so[0] our[0] heroine[2] is[0] in[0] danger[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
somehow , even though her car is parked at the front of the house , right by the front door , daryl is oblivious to her presence inside . 	somehow , even though her car is parked at the front of the house , right by the front door , daryl is oblivious to her presence inside .	1	-1	 somehow[0] even[0] though[0] her[0] car[0] is[0] parked[0] at[0] the[0] front[0] of[0] the[0] house[0] right[0] by[0] the[0] front[0] door[0] daryl[0] is[0] oblivious[0] to[0] her[0] presence[0] inside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the whole episode places an incredible strain on the audience's suspension of disbelief and questions the validity of either character's intelligence . 	the whole episode places an incredible strain on the audience's suspension of disbelief and questions the validity of either character's intelligence .	1	-2	 the[0] whole[0] episode[0] places[0] an[0] incredible[0] strain[-1] on[0] the[0] audience's[0] suspension[-1] of[0] disbelief[-1] and[0] questions[0] the[0] validity[0] of[0] either[0] character's[0] intelligence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stalked receives two stars because , even though it is highly derivative and somewhat boring , it is not so bad that it cannot be watched . 	stalked receives two stars because , even though it is highly derivative and somewhat boring , it is not so bad that it cannot be watched .	2	-2	 stalked[0] receives[0] two[0] stars[0] because[0] even[0] though[0] it[0] is[0] highly[0] derivative[0] and[0] somewhat[0] boring[-1] it[0] is[0] not[0] so[0] bad[-1][NegatedDueToPreviousWord] that[0] it[0] cannot[0] be[0] watched[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rated r mostly for several murder scenes and brief nudity in a strip bar , it is not as offensive as many other thrillers in this genre are . 	rated are mostly for several murder scenes and brief nudity in a strip bar , it is not as offensive as many other thrillers in this genre are .	3	-4	 rated[0] r[0] mostly[0] for[0] several[0] murder[-3] scenes[0] and[0] brief[0] nudity[0] in[0] a[0] strip[0] bar[0] it[0] is[0] not[0] as[0] offensive[-2][NegatedDueToPreviousWord] as[0] many[0] other[0] thrillers[1] in[0] this[0] genre[0] are[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if you're in the mood for a good suspense film , though , stake out something else . 	if you're in the mood for a good suspense film , though , stake out something else .	2	-1	 if[0] you're[0] in[0] the[0] mood[0] for[0] a[0] good[1] suspense[0] film[0] though[0] stake[0] out[0] something[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
