underwater science fiction stays submerged 	Translation	Positive	Negative	EmotionRationale
however even the finest ingredients don't go very far in the hands of a chief who doesn't seem to care about his product . 	however even the finest ingredients don't go very far in the hands of a chief who doesn't seem to care about his product .	2	-1	 however[0] even[0] the[0] finest[0] ingredients[0] don't[0] go[0] very[0] far[0] in[0] the[0] hands[0] of[0] a[0] chief[0] who[0] doesn't[0] seem[0] to[0] care[1] about[0] his[0] product[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director barry levinson has churned out a mish-mosh that doesn't engage the audience beyond a few skillful suspense scenes . 	director barry levinson has churned out a mish-mosh that doesn't engage the audience beyond a few skillful suspense scenes .	2	-1	 director[0] barry[0] levinson[0] has[0] churned[0] out[0] a[0] mish[0] mosh[0] that[0] doesn't[0] engage[0] the[0] audience[0] beyond[0] a[0] few[0] skillful[1] suspense[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first of the film zooms by as the situation and players are introduced without any characterization or justification . 	the first of the film zooms by as the situation and players are introduced without any characterization or justification .	1	-1	 the[0] first[0] of[0] the[0] film[0] zooms[0] by[0] as[0] the[0] situation[0] and[0] players[0] are[0] introduced[0] without[0] any[0] characterization[0] or[0] justification[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's much like speed-reading a novel and realizing that you missed the nuances . 	it's much like speed-reading a novel and realizing that you missed the nuances .	2	-2	 it's[0] much[0] like[1] speed[0] reading[0] a[0] novel[0] and[0] realizing[0] that[0] you[0] missed[-1] the[0] nuances[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it doesn't get any better when the action scenes begin . 	it doesn't get any better when the action scenes begin .	1	-1	 it[0] doesn't[0] get[0] any[0] better[0] when[0] the[0] action[0] scenes[0] begin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the actors do an adequate job with their limited roles , the people are still flat . 	while the actors do an adequate job with their limited roles , the people are still flat .	1	-1	 while[0] the[0] actors[0] do[0] an[0] adequate[0] job[0] with[0] their[0] limited[0] roles[0] the[0] people[0] are[0] still[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oddly they hardly have reactions when deaths occur around them . 	oddly they hardly have reactions when deaths occur around them .	1	-3	 oddly[0] they[0] hardly[0] have[0] reactions[0] when[0] deaths[-2] occur[0] around[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after adams experiences the interior of the sphere , no one bothers to ask him what happened . 	after adams experiences the interior of the sphere , no one bothers to ask him what happened .	1	-2	 after[0] adams[0] experiences[0] the[0] interior[0] of[0] the[0] sphere[0] no[0] one[0] bothers[-1] to[0] ask[0] him[0] what[0] happened[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their history together is an intriguing plot device but is barely exploited . 	their history together is an intriguing plot device but is barely exploited .	1	-1	 their[0] history[0] together[0] is[0] an[0] intriguing[0] plot[0] device[0] but[0] is[0] barely[0] exploited[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even goodman and halperin's ill-conceived affair when she was his student is just mentioned in passing . 	even goodman and halperin's ill-conceived affair when she was his student is just mentioned in passing .	1	-2	 even[0] goodman[0] and[0] halperin's[0] ill[-1] conceived[0] affair[0] when[0] she[0] was[0] his[0] student[0] is[0] just[0] mentioned[0] in[0] passing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her psychotic tendencies are talked about but never convincing . 	her psychotic tendencies are talked about but never convincing .	1	-1	 her[0] psychotic[0] tendencies[0] are[0] talked[0] about[0] but[0] never[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a truism that items shown early in a movie must be used before the ending , but here they are far too obvious . 	there's a truism that items shown early in a movie must be used before the ending , but here they are far too obvious .	1	-1	 there's[0] a[0] truism[0] that[0] items[0] shown[0] early[0] in[0] a[0] movie[0] must[0] be[0] used[0] before[0] the[0] ending[0] but[0] here[0] they[0] are[0] far[0] too[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when an emergency mini-sub is explained , you know what's going to happen . 	when an emergency mini-sub is explained , you know what's going to happen .	1	-2	 when[0] an[0] emergency[-1] mini[0] sub[0] is[0] explained[0] you[0] know[0] what's[0] going[0] to[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie affectations are nothing more than distracting . 	the movie affectations are nothing more than distracting .	1	-2	 the[0] movie[0] affectations[-1] are[0] nothing[0] more[0] than[0] distracting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chapter headings that divide the movie have no function . 	chapter headings that divide the movie have no function .	1	-1	 chapter[0] headings[0] that[0] divide[0] the[0] movie[0] have[0] no[0] function[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the shaky camera work muddies already perplexing chaos . 	the shaky camera work muddies already perplexing chaos .	1	-2	 the[0] shaky[-1] camera[0] work[0] muddies[0] already[0] perplexing[-1] chaos[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much of what goes on is confusing and difficult to follow . 	much of what goes on is confusing and difficult to follow .	1	-2	 much[0] of[0] what[0] goes[0] on[0] is[0] confusing[-1] and[0] difficult[-1] to[0] follow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although some of the disorientation eventually is understandable , a great deal of it isn't . 	although some of the disorientation eventually is understandable , a great deal of it isn't .	3	-1	 although[0] some[0] of[0] the[0] disorientation[0] eventually[0] is[0] understandable[0] a[0] great[2] deal[0] of[0] it[0] isn't[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even a science fiction film must be internally consistent . 	even a science fiction film must be internally consistent .	1	-1	 even[0] a[0] science[0] fiction[0] film[0] must[0] be[0] internally[0] consistent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's too much here that doesn't make sense . 	there's too much here that doesn't make sense .	1	-1	 there's[0] too[0] much[0] here[0] that[0] doesn't[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are the manifestations real ? 	are the manifestations real ?	1	-1	 are[0] the[0] manifestations[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the jellyfish kill queen latifa ( in a throw-away role ) and the squid nearly destroys the outpost , but the bites of the fatal snakes have no effect . 	the jellyfish kill queen latifa ( in a throw-away role ) and the squid nearly destroys the outpost , but the bites of the fatal snakes have no effect .	1	-3	 the[0] jellyfish[0] kill[-1] queen[0] latifa[0] in[0] a[0] throw[0] away[0] role[0] and[0] the[0] squid[0] nearly[0] destroys[-2] the[0] outpost[0] but[0] the[0] bites[0] of[0] the[0] fatal[-2] snakes[0] have[0] no[0] effect[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a scene in the sub suggests that it's illusion , but earlier episodes indicate that it's not . 	a scene in the sub suggests that it's illusion , but earlier episodes indicate that it's not .	1	-1	 a[0] scene[0] in[0] the[0] sub[0] suggests[0] that[0] it's[0] illusion[0] but[0] earlier[0] episodes[0] indicate[0] that[0] it's[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not everything has to be explained to death , but there are major questions that the film never answers . 	not everything has to be explained to death , but there are major questions that the film never answers .	1	-3	 not[0] everything[0] has[0] to[0] be[0] explained[0] to[0] death[-2] but[0] there[0] are[0] major[0] questions[0] that[0] the[0] film[0] never[0] answers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
where the ship came from is clarified , but how it ended up on the ocean floor in 1709 is merely alluded to . 	where the ship came from is clarified , but how it ended up on the ocean floor in 1709 is merely alluded to .	1	-1	 where[0] the[0] ship[0] came[0] from[0] is[0] clarified[0] but[0] how[0] it[0] ended[0] up[0] on[0] the[0] ocean[0] floor[0] in[0] 1709[0] is[0] merely[0] alluded[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the enigmatic sphere is still mysterious when the credits roll . 	even the enigmatic sphere is still mysterious when the credits roll .	1	-1	 even[0] the[0] enigmatic[0] sphere[0] is[0] still[0] mysterious[0] when[0] the[0] credits[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the climax is followed by 15 minutes of epilogue that does little but weaken the already labored tale . 	the climax is followed by 15 minutes of epilogue that does little but weaken the already labored tale .	1	-2	 the[0] climax[0] is[0] followed[0] by[0] 15[0] minutes[0] of[0] epilogue[0] that[0] does[0] little[0] but[0] weaken[-1] the[0] already[0] labored[0] tale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after pre-release audience testing , the actors were called back to re-shoot the ending . 	after pre-release audience testing , the actors were called back to re-shoot the ending .	1	-2	 after[0] pre[0] release[0] audience[0] testing[0] the[0] actors[0] were[0] called[0] back[0] to[0] re[0] shoot[-1] the[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's difficult to imagine how the original could have been worse . 	it's difficult to imagine how the original could have been worse .	1	-3	 it's[0] difficult[-1] to[0] imagine[0] how[0] the[0] original[0] could[0] have[0] been[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
following the recent tradition of lengthy films , this weighs in at over two very long hours . 	following the recent tradition of lengthy films , this weighs in at over two very long hours .	1	-1	 following[0] the[0] recent[0] tradition[0] of[0] lengthy[0] films[0] this[0] weighs[0] in[0] at[0] over[0] two[0] very[0] long[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the weak scenes could have been cut , but then there wouldn't have been much left . 	the weak scenes could have been cut , but then there wouldn't have been much left .	1	-2	 the[0] weak[-1] scenes[0] could[0] have[0] been[0] cut[0] but[0] then[0] there[0] wouldn't[0] have[0] been[0] much[0] left[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie was supposedly held up by effects work , but there's nothing special on the screen . 	the movie was supposedly held up by effects work , but there's nothing special on the screen .	2	-1	 the[0] movie[0] was[0] supposedly[0] held[0] up[0] by[0] effects[0] work[0] but[0] there's[0] nothing[0] special[1] on[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we never even see the monstrous squid or the menacing storm . 	we never even see the monstrous squid or the menacing storm .	1	-3	 we[0] never[0] even[0] see[0] the[0] monstrous[-2] squid[0] or[0] the[0] menacing[0] storm[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stealing from " alien " , " the abyss " and the disastrous " event horizon " , this film has learned nothing from them . 	stealing from " alien " , " the abyss " and the disastrous " event horizon " , this film has learned nothing from them .	1	-4	 stealing[-2] from[0] alien[-1] the[0] abyss[-1] and[0] the[0] disastrous[-3] event[0] horizon[0] this[0] film[0] has[0] learned[0] nothing[0] from[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
remarkably levinson and hoffman's other currently showing film is " wag the dog " , a smart and entertaining piece of work . 	remarkably levinson and hoffman's other currently showing film is " wag the dog " , a smart and entertaining piece of work .	2	-1	 remarkably[0] levinson[0] and[0] hoffman's[0] other[0] currently[0] showing[0] film[0] is[0] wag[0] the[0] dog[0] a[0] smart[1] and[0] entertaining[0] piece[0] of[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this one could have been titled the same sans one word . 	this one could have been titled the same sans one word .	1	-1	 this[0] one[0] could[0] have[0] been[0] titled[0] the[0] same[0] sans[0] one[0] word[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
