sometimes i wonder just what the censors are thinking . 	Translation	Positive	Negative	EmotionRationale
however in the course of his investigation tinam ( who believed kitty had disappeared ) , runs into her again , but isn't quite sure if it's her . 	however in the course of his investigation tinam ( who believed kitty had disappeared ) , runs into her again , but isn't quite sure if it's her .	1	-1	 however[0] in[0] the[0] course[0] of[0] his[0] investigation[0] tinam[0] who[0] believed[0] kitty[0] had[0] disappeared[0] runs[0] into[0] her[0] again[0] but[0] isn't[0] quite[0] sure[0] if[0] it's[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to complicate matters the actual serial killlers , princess and baby , who a former students of cindy , and have been told to kill their old master and her new student . 	to complicate matters the actual serial killers , princess and baby , who a former students of cindy , and have been told to kill their old master and her new student .	2	-2	 to[0] complicate[-1] matters[0] the[0] actual[0] serial[0] killlers/killers[0] princess[0] and[0] baby[1] who[0] a[0] former[0] students[0] of[0] cindy[0] and[0] have[0] been[0] told[0] to[0] kill[-1] their[0] old[0] master[0] and[0] her[0] new[0] student[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
from then the action ensues . . . 	from then the action ensues .<br> .<br> .	1	-1	 from[0] then[0] the[0] action[0] ensues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all in all , this is not a well done movie . 	all in all , this is not a well done movie .	1	-1	 all[0] in[0] all[0] this[0] is[0] not[0] a[0] well[0] done[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script is awful , the direction all over the place , the editing is jerky and confusing and the subtitling is surprisingly poor . 	the script is awful , the direction all over the place , the editing is jerky and confusing and the subtitling is surprisingly poor .	1	-4	 the[0] script[0] is[0] awful[-3] the[0] direction[0] all[0] over[0] the[0] place[0] the[0] editing[0] is[0] jerky[0] and[0] confusing[-1] and[0] the[0] subtitling[0] is[0] surprisingly[0] poor[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however the are a few stand alone pieces that do entertain . 	however the are a few stand alone pieces that do entertain .	1	-1	 however[0] the[0] are[0] a[0] few[0] stand[0] alone[0] pieces[0] that[0] do[0] entertain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the shoot out in the car park is almost woo-like in adrenaline . 	the shoot out in the car park is almost woo-like in adrenaline .	2	-2	 the[0] shoot[-1] out[0] in[0] the[0] car[0] park[0] is[0] almost[0] woo[0] like[1] in[0] adrenaline[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the fight scenes are energetic and i guess it must get a few points for trying something a little different . 	the fight scenes are energetic and i guess it must get a few points for trying something a little different .	1	-3	 the[0] fight[-2] scenes[0] are[0] energetic[0] and[0] i[0] guess[0] it[0] must[0] get[0] a[0] few[0] points[0] for[0] trying[0] something[0] a[0] little[0] different[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let me put this way , if you like action - get something else , if you like strong women in movies - get something else , if you have do decide between this and " black cat " for your hong kong female action - don't get either . 	let me put this way , if you like action - get something else , if you like strong women in movies - get something else , if you have do decide between this and " black cat " for your hong kong female action - don't get either .	2	-1	 let[0] me[0] put[0] this[0] way[0] if[0] you[0] like[1] action[0] get[0] something[0] else[0] if[0] you[0] like[1] strong[0] women[0] in[0] movies[0] get[0] something[0] else[0] if[0] you[0] have[0] do[0] decide[0] between[0] this[0] and[0] black[0] cat[0] for[0] your[0] hong[0] kong[0] female[0] action[0] don't[0] get[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even for curiosity value it just isn't worth it . 	even for curiosity value it just isn't worth it .	2	-1	 even[0] for[0] curiosity[0] value[1] it[0] just[0] isn't[0] worth[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
let's face it - if ever the was a movie that became popular on it's subject alone , this is it . 	let's face it - if ever the was a movie that became popular on it's subject alone , this is it .	1	-1	 let's[0] face[0] it[0] if[0] ever[0] the[0] was[0] a[0] movie[0] that[0] became[0] popular[0] on[0] it's[0] subject[0] alone[0] this[0] is[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
