 * * * the following review contains spoilers * * * 	Translation	Positive	Negative	EmotionRationale
how do you get to " inner space " ? 	how do you get to " inner space " ?	1	-1	 how[0] do[0] you[0] get[0] to[0] inner[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this whole " inner space " notion is never explained , particularly in terms of how these people get information from the outside world . 	this whole " inner space " notion is never explained , particularly in terms of how these people get information from the outside world .	1	-1	 this[0] whole[0] inner[0] space[0] notion[0] is[0] never[0] explained[0] particularly[0] in[0] terms[0] of[0] how[0] these[0] people[0] get[0] information[0] from[0] the[0] outside[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how do they know where superman went ? 	how do they know where superman went ?	1	-1	 how[0] do[0] they[0] know[0] where[0] superman[0] went[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how do they know he took the name clark kent and now works at the daily planet ? 	how do they know he took the name clark kent and now works at the daily planet ?	1	-1	 how[0] do[0] they[0] know[0] he[0] took[0] the[0] name[0] clark[0] kent[0] and[0] now[0] works[0] at[0] the[0] daily[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these kinds of things frustrate the hell out of me . 	these kinds of things frustrate the hell out of me .	1	-3	 these[0] kinds[0] of[0] things[0] frustrate[-2] the[0] hell[-1] out[0] of[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
argo city is kept running by a power source called the omegahedron . 	argo city is kept running by a power source called the omegahedron .	1	-2	 argo[0] city[0] is[0] kept[0] running[0] by[0] a[0] power[0] source[-1] called[0] the[0] omegahedron[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one day the founder of argo city , zaltar ( peter o' toole ) , gives the omegahedron to superman's cousin , kara ( helen slater ) , for use as inspiration in her art . 	one day the founder of argo city , zaltar ( peter o' toole ) , gives the omegahedron to superman's cousin , kara ( helen slater ) , for use as inspiration in her art .	3	-2	 one[0] day[0] the[0] founder[-1] of[0] argo[0] city[0] zaltar[0] peter[0] o'[0] toole[0] gives[0] the[0] omegahedron[0] to[0] superman's[0] cousin[0] kara[0] helen[0] slater[0] for[0] use[0] as[0] inspiration[2] in[0] her[0] art[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kara uses it to create a bug-like thing which immediately crashes through the layer of " whatever " that protects the city . 	kara uses it to create a bug-like thing which immediately crashes through the layer of " whatever " that protects the city .	2	-2	 kara[0] uses[0] it[0] to[0] create[0] a[0] bug[-1] like[1] thing[0] which[0] immediately[0] crashes[0] through[0] the[0] layer[0] of[0] whatever[0] that[0] protects[0] the[0] city[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the chaos , the omegahedron sails out through the opening , dooming the argonians to death . . . 	in the chaos , the omegahedron sails out through the opening , dooming the argonians to death .<br> .<br> .	1	-3	 in[0] the[0] chaos[-1] the[0] omegahedron[0] sails[0] out[0] through[0] the[0] opening[0] dooming[-1] the[0] argonians[0] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in three days time , or something . 	in three days time , or something .	1	-1	 in[0] three[0] days[0] time[0] or[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kara then climbs into a pod which zaltar had designed for interdimensional travel and chases after the omegahedron to save her world . 	kara then climbs into a pod which zaltar had designed for interdimensional travel and chases after the omegahedron to save her world .	2	-2	 kara[0] then[0] climbs[0] into[0] a[0] pod[0] which[0] zaltar[0] had[0] designed[0] for[0] interdimensional[0] travel[0] and[0] chases[-1] after[0] the[0] omegahedron[0] to[0] save[1] her[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the power source travels directly to earth and lands in the bowl of dip belonging to a minor-league witch named selena ( faye dunaway ) who , immediately before her dip was ruined , announced her desires to rule the world to her sometimes warlock boyfriend nigel ( peter cook ) . 	the power source travels directly to earth and lands in the bowl of dip belonging to a minor-league witch named selena ( faye dunaway ) who , immediately before her dip was ruined , announced her desires to rule the world to her sometimes warlock boyfriend nigel ( peter cook ) .	1	-2	 the[0] power[0] source[-1] travels[0] directly[0] to[0] earth[0] and[0] lands[0] in[0] the[0] bowl[0] of[0] dip[0] belonging[0] to[0] a[0] minor[0] league[0] witch[0] named[0] selena[0] faye[0] dunaway[0] who[0] immediately[0] before[0] her[0] dip[0] was[0] ruined[-1] announced[0] her[0] desires[0] to[0] rule[0] the[0] world[0] to[0] her[0] sometimes[0] warlock[0] boyfriend[0] nigel[0] peter[0] cook[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
selena somehow knows that this ball from the sky will help her with her evil plans , and she sets out to achieve world domination . 	selena somehow knows that this ball from the sky will help her with her evil plans , and she sets out to achieve world domination .	1	-3	 selena[0] somehow[0] knows[0] that[0] this[0] ball[0] from[0] the[0] sky[0] will[0] help[0] her[0] with[0] her[0] evil[-2] plans[0] and[0] she[0] sets[0] out[0] to[0] achieve[0] world[0] domination[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
selena is unaware of course that kara has also arrived on earth , and that she's arrived as supergirl ( complete with appropriate costume ) . 	selena is unaware of course that kara has also arrived on earth , and that she's arrived as supergirl ( complete with appropriate costume ) .	1	-1	 selena[0] is[0] unaware[0] of[0] course[0] that[0] kara[0] has[0] also[0] arrived[0] on[0] earth[0] and[0] that[0] she's[0] arrived[0] as[0] supergirl[0] complete[0] with[0] appropriate[0] costume[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
supergirl emerges from the bottom of a lake when she arrives . 	supergirl emerges from the bottom of a lake when she arrives .	1	-1	 supergirl[0] emerges[0] from[0] the[0] bottom[0] of[0] a[0] lake[0] when[0] she[0] arrives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ok . . . 	ok .<br> .<br> .	1	-1	 ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
huh ? 	huh ?	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why does the omegahedron fall from the sky but supergirl shoots out of the bottom of a lake ? 	why does the omegahedron fall from the sky but supergirl shoots out of the bottom of a lake ?	1	-2	 why[0] does[0] the[0] omegahedron[0] fall[0] from[0] the[0] sky[0] but[0] supergirl[0] shoots[-1] out[0] of[0] the[0] bottom[0] of[0] a[0] lake[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
attention movie : explain yourself ! 	attention movie : explain yourself !	1	-1	 attention[0] movie[0] explain[0] yourself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sorry , i can only suspend disbelief so much . 	i'm sorry , i can only suspend disbelief so much .	1	-2	 i'm[0] sorry[-1] i[0] can[0] only[0] suspend[-1] disbelief[-1] so[0] much[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can't buy into any of this nonsense just because the movie wants me to . 	i can't buy into any of this nonsense just because the movie wants me to .	1	-2	 i[0] can't[0] buy[0] into[0] any[0] of[0] this[0] nonsense[-1] just[0] because[0] the[0] movie[0] wants[0] me[0] to[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
knowing that she needs a secret identity , supergirl basically " wills " herself into a school girl outfit ( complete with a different hairstyle ) , picks the alias linda lee and enrolls into school . 	knowing that she needs a secret identity , supergirl basically " wills " herself into a school girl outfit ( complete with a different hairstyle ) , picks the alias linda lee and enrolls into school .	1	-1	 knowing[0] that[0] she[0] needs[0] a[0] secret[0] identity[0] supergirl[0] basically[0] wills[0] herself[0] into[0] a[0] school[0] girl[0] outfit[0] complete[0] with[0] a[0] different[0] hairstyle[0] picks[0] the[0] alias[0] linda[0] lee[0] and[0] enrolls[0] into[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's given her dorm assignment , and who happens to be her roommate ? 	she's given her dorm assignment , and who happens to be her roommate ?	1	-1	 she's[0] given[0] her[0] dorm[0] assignment[0] and[0] who[0] happens[0] to[0] be[0] her[0] roommate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lois lane's sister , lucy . 	lois lane's sister , lucy .	1	-1	 lois[0] lane's[0] sister[0] lucy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ok , coincidence is one thing folks , but we're getting really contrived now . 	ok , coincidence is one thing folks , but we're getting really contrived now .	1	-1	 ok[0] coincidence[0] is[0] one[0] thing[0] folks[0] but[0] we're[0] getting[0] really[0] contrived[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what follows are some generic all-girls school hijinks . . . 	what follows are some generic all-girls school hijinks .<br> .<br> .	1	-1	 what[0] follows[0] are[0] some[0] generic[0] all[0] girls[0] school[0] hijinks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
complete with evil bully girls ( mean for no reason , of course ) and even a shower scene ( ! ) . 	complete with evil bully girls ( mean for no reason , of course ) and even a shower scene ( !<br> ) .	1	-3	 complete[0] with[0] evil[-2] bully[0] girls[0] mean[0] for[0] no[0] reason[0] of[0] course[0] and[0] even[0] a[0] shower[0] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
best moment though comes when supergirl decides to put a bra on over her school uniform and starts stuffing it with socks . 	best moment though comes when supergirl decides to put a bra on over her school uniform and starts stuffing it with socks .	2	-1	 best[1] moment[0] though[0] comes[0] when[0] supergirl[0] decides[0] to[0] put[0] a[0] bra[0] on[0] over[0] her[0] school[0] uniform[0] and[0] starts[0] stuffing[0] it[0] with[0] socks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at this point i'm rapidly wondering why i'm bothering with this nonsense . 	at this point i'm rapidly wondering why i'm bothering with this nonsense .	1	-2	 at[0] this[0] point[0] i'm[0] rapidly[0] wondering[0] why[0] i'm[0] bothering[-1] with[0] this[0] nonsense[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is some credit to give to the film however . 	there is some credit to give to the film however .	1	-1	 there[0] is[0] some[0] credit[0] to[0] give[0] to[0] the[0] film[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one lengthy and elaborate sequence featuring an " evil " bulldozer destroying a small town in search of its " prey " is very well done . 	one lengthy and elaborate sequence featuring an " evil " bulldozer destroying a small town in search of its " prey " is very well done .	1	-3	 one[0] lengthy[0] and[0] elaborate[0] sequence[0] featuring[0] an[0] evil[-2] bulldozer[0] destroying[-2] a[0] small[0] town[0] in[0] search[0] of[0] its[0] prey[0] is[0] very[0] well[0] done[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also , its commendable to see genders reversed in the film , whereas the women have all the power and the men are merely objects and tools . 	also , its commendable to see genders reversed in the film , whereas the women have all the power and the men are merely objects and tools .	1	-1	 also[0] its[0] commendable[0] to[0] see[0] genders[0] reversed[0] in[0] the[0] film[0] whereas[0] the[0] women[0] have[0] all[0] the[0] power[0] and[0] the[0] men[0] are[0] merely[0] objects[0] and[0] tools[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hart bochner ( die hard ) is particularly fun as kara's love interest , a lovesick landscaper who is under a spell cast by selena ( although he is unfortunately part of one of the film's more ridiculous moments , when he has to be rescued from being tapped by some " menacing " bumper cars ) . 	hart bochner ( die hard ) is particularly fun as kara's love interest , a lovesick landscaper who is under a spell cast by selena ( although he is unfortunately part of one of the film's more ridiculous moments , when he has to be rescued from being tapped by some " menacing " bumper cars ) .	3	-3	 hart[0] bochner[0] die[0] hard[0] is[0] particularly[0] fun[1] as[0] kara's[0] love[2] interest[1] a[0] lovesick[0] landscaper[0] who[0] is[0] under[0] a[0] spell[0] cast[0] by[0] selena[0] although[0] he[0] is[0] unfortunately[-1] part[0] of[0] one[0] of[0] the[0] film's[0] more[0] ridiculous[-2] moments[0] when[0] he[0] has[0] to[0] be[0] rescued[0] from[0] being[0] tapped[0] by[0] some[0] menacing[0] bumper[0] cars[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then there were numerous little things that bothered me . 	then there were numerous little things that bothered me .	1	-2	 then[0] there[0] were[0] numerous[0] little[0] things[0] that[0] bothered[-1] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the flying effects are never convincing for a moment . . . 	the flying effects are never convincing for a moment .<br> .<br> .	1	-1	 the[0] flying[0] effects[0] are[0] never[0] convincing[0] for[0] a[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's all too obvious that helen slater is hooked to wires . 	it's all too obvious that helen slater is hooked to wires .	1	-1	 it's[0] all[0] too[0] obvious[0] that[0] helen[0] slater[0] is[0] hooked[0] to[0] wires[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of having her look like she's flying , the filmmakers wanted her to be " graceful " , so she poses a lot and does ballet-type maneuvers . 	instead of having her look like she's flying , the filmmakers wanted her to be " graceful " , so she poses a lot and does ballet-type maneuvers .	3	-1	 instead[0] of[0] having[0] her[0] look[0] like[1] she's[0] flying[0] the[0] filmmakers[0] wanted[0] her[0] to[0] be[0] graceful[2] so[0] she[0] poses[0] a[0] lot[0] and[0] does[0] ballet[0] type[0] maneuvers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also , who are the first two humans to meet supergirl when she arrives on earth ? 	also , who are the first two humans to meet supergirl when she arrives on earth ?	1	-1	 also[0] who[0] are[0] the[0] first[0] two[0] humans[0] to[0] meet[0] supergirl[0] when[0] she[0] arrives[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a pair of truck drivers/rapists who immediately attack her and then meet a " wacky " demise . 	a pair of truck drivers/rapists who immediately attack her and then meet a " wacky " demise .	1	-3	 a[0] pair[0] of[0] truck[0] drivers/rapists[0] who[0] immediately[0] attack[-2] her[0] and[0] then[0] meet[0] a[0] wacky[0] demise[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is also some rampant product placement in the film , most notably for popeye's , tylenol , and a&w root beer , with the latter actually putting its logo on the t-shirt of one of the rapists ( ? ! ) . 	there is also some rampant product placement in the film , most notably for popeye's , tylenol , and a&w root beer , with the latter actually putting its logo on the t-shirt of one of the rapists ( ?<br> !<br> ) .	1	-4	 there[0] is[0] also[0] some[0] rampant[-1][--1 LastWordBoosterStrength] product[0] placement[0] in[0] the[0] film[0] most[0] notably[0] for[0] popeye's[0] tylenol[0] and[0] a&w[0] root[0] beer[0] with[0] the[0] latter[0] actually[0] putting[0] its[0] logo[0] on[0] the[0] t[0] shirt[0] of[0] one[0] of[0] the[0] rapists[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
finally , just one word : monsters . 	finally , just one word : monsters .	1	-1	 finally[0] just[0] one[0] word[0] monsters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
faye dunaway and peter o'toole ham it up unmercifully , however when o'toole overacts he's entertaining and when dunaway does it she's annoying ( her character actually says the line " seize them ! " 	faye dunaway and peter o'toole ham it up unmercifully , however when o'toole overacts he's entertaining and when dunaway does it she's annoying ( her character actually says the line " seize them !<br> "	1	-3	 faye[0] dunaway[0] and[0] peter[0] o'toole[0] ham[0] it[0] up[0] unmercifully[0] however[0] when[0] o'toole[0] overacts[0] he's[0] entertaining[0] and[0] when[0] dunaway[0] does[0] it[0] she's[0] annoying[-2] her[0] character[0] actually[0] says[0] the[0] line[0] seize[-1] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at one point ) . 	at one point ) .	1	-1	 at[0] one[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dunaway's henchmen ( played by peter cook and brenda vaccaro ) fare much better , with vaccaro coming off best as the equivalent of ned beatty's otis character from the first two superman movies . 	dunaway's henchmen ( played by peter cook and brenda vaccaro ) fare much better , with vaccaro coming off best as the equivalent of ned beatty's otis character from the first two superman movies .	2	-1	 dunaway's[0] henchmen[0] played[0] by[0] peter[0] cook[0] and[0] brenda[0] vaccaro[0] fare[0] much[0] better[0] with[0] vaccaro[0] coming[0] off[0] best[1] as[0] the[0] equivalent[0] of[0] ned[0] beatty's[0] otis[0] character[0] from[0] the[0] first[0] two[0] superman[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
helen slater effectively portrays supergirl as the innocent , naive character she's written to be , as she's able to gaze at flowers and bunnies with the right amount of genuine wonder to make it believable . 	helen slater effectively portrays supergirl as the innocent , naive character she's written to be , as she's able to gaze at flowers and bunnies with the right amount of genuine wonder to make it believable .	2	-2	 helen[0] slater[0] effectively[0] portrays[0] supergirl[0] as[0] the[0] innocent[1] naive[-1] character[0] she's[0] written[0] to[0] be[0] as[0] she's[0] able[0] to[0] gaze[0] at[0] flowers[0] and[0] bunnies[0] with[0] the[0] right[0] amount[0] of[0] genuine[0] wonder[0] to[0] make[0] it[0] believable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
believability aside though , it's still annoying . 	believability aside though , it's still annoying .	1	-3	 believability[0] aside[0] though[0] it's[0] still[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now despite all this negativity ( and i'm not alone here . . . supergirl is not a well liked nor a well respected movie in many circles ) , leave it to the good people at anchor bay entertainment to actually make people not only interested , but excited about its release on dvd ! 	now despite all this negativity ( and i'm not alone here .<br> .<br> .<br> supergirl is not a well liked nor a well respected movie in many circles ) , leave it to the good people at anchor bay entertainment to actually make people not only interested , but excited about its release on dvd !	3	-2	 now[0] despite[0] all[0] this[0] negativity[-1] and[0] i'm[0] not[0] alone[0] here[0] [[Sentence=-2,1=word max, 1-5]] supergirl[0] is[0] not[0] a[0] well[0] liked[2] nor[0] a[0] well[0] respected[2] movie[0] in[0] many[0] circles[0] leave[0] it[0] to[0] the[0] good[1] people[0] at[0] anchor[0] bay[0] entertainment[0] to[0] actually[0] make[0] people[0] not[0] only[0] interested[1][NegatedDueToPreviousWord] but[0] excited[2] about[0] its[0] release[0] on[0] dvd[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they have released two separate editions of the film on dvd , to the delight of many people ( including myself . . . 	they have released two separate editions of the film on dvd , to the delight of many people ( including myself .<br> .<br> .	3	-1	 they[0] have[0] released[0] two[0] separate[0] editions[0] of[0] the[0] film[0] on[0] dvd[0] to[0] the[0] delight[2] of[0] many[0] people[0] including[0] myself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet i'm still unclear as to why , since this movie is so awful ) . 	yet i'm still unclear as to why , since this movie is so awful ) .	1	-4	 yet[0] i'm[0] still[0] unclear[-1] as[0] to[0] why[0] since[0] this[0] movie[0] is[0] so[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first and most widely available dvd release features the international version of the film which runs 10 minutes longer than the print which ran in u . s . theaters . 	the first and most widely available dvd release features the international version of the film which runs 10 minutes longer than the print which ran in you .<br> s .<br> theaters .	1	-1	 the[0] first[0] and[0] most[0] widely[0] available[0] dvd[0] release[0] features[0] the[0] international[0] version[0] of[0] the[0] film[0] which[0] runs[0] 10[0] minutes[0] longer[0] than[0] the[0] print[0] which[0] ran[0] in[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] theaters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is presented in its original theatrical aspect ratio of 2 . 35 : 1 , is enhanced for 16x9 televisions , and has been remastered in full thx glory . 	the movie is presented in its original theatrical aspect ratio of 2 .<br> 35 : 1 , is enhanced for 16x9 televisions , and has been remastered in full thanks glory .	2	-1	 the[0] movie[0] is[0] presented[0] in[0] its[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 35[0] 1[0] is[0] enhanced[0] for[0] 16x9[0] televisions[0] and[0] has[0] been[0] remastered[0] in[0] full[0] thx[0] glory[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
extras on the disc include : a full length audio commentary track with director jeannot szwarc and " special project consultant " scott michael bosco , the excellent 50-minute documentary from 1984 called supergirl-the making of a feature ( dig that workout montage ! ) , 5 trailers , 3 tv spots , talent bios , in-depth storyboards ( accompanied by score from the movie ) , and assorted still galleries . 	extras on the disc include : a full length audio commentary track with director jeannot szwarc and " special project consultant " scot michael bosco , the excellent 50-minute documentary from 1984 called supergirl-the making of a feature ( dig that workout montage !<br> ) , 5 trailers , 3 tv spots , talent bios , in-depth storyboards ( accompanied by score from the movie ) , and assorted still galleries .	4	-1	 extras[0] on[0] the[0] disc[0] include[0] a[0] full[0] length[0] audio[0] commentary[0] track[0] with[0] director[0] jeannot[0] szwarc[0] and[0] special[1] project[0] consultant[0] scott/scot[0] michael[0] bosco[0] the[0] excellent[3] 50[0] minute[0] documentary[0] from[0] 1984[0] called[0] supergirl[0] the[0] making[0] of[0] a[0] feature[0] dig[0] that[0] workout[0] montage[0] [[Sentence=-1,4=word max, 1-5]] 5[0] trailers[0] 3[0] tv[0] spots[0] talent[1] bios[0] in[0] depth[0] storyboards[0] accompanied[0] by[0] score[0] from[0] the[0] movie[0] and[0] assorted[0] still[0] galleries[0] [[Sentence=-1,2=word max, 1-5]][[[4,-1 max of sentences]]]
the transfer on this international version is incredible . . . 	the transfer on this international version is incredible .<br> .<br> .	1	-1	 the[0] transfer[0] on[0] this[0] international[0] version[0] is[0] incredible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'd think you were watching a new release . 	you'd think you were watching a new release .	1	-1	 you'd[0] think[0] you[0] were[0] watching[0] a[0] new[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
images are sharp , colors jump off the screen , and the picture is free of scratches or artifacts . 	images are sharp , colors jump off the screen , and the picture is free of scratches or artifacts .	1	-1	 images[0] are[0] sharp[0] colors[0] jump[0] off[0] the[0] screen[0] and[0] the[0] picture[0] is[0] free[0] of[0] scratches[0] or[0] artifacts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only some special effects sequences show the wear of time , and there just isn't much that can be done about that ( unless you're obsessive like george lucas ) . 	only some special effects sequences show the wear of time , and there just isn't much that can be done about that ( unless you're obsessive like george lucas ) .	2	-3	 only[0] some[0] special[1][-1 LastWordBoosterStrength] effects[0] sequences[0] show[0] the[0] wear[0] of[0] time[0] and[0] there[0] just[0] isn't[0] much[0] that[0] can[0] be[0] done[0] about[0] that[0] unless[0] you're[0] obsessive[-2] like[1] george[0] lucas[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
