as bad as " mimic " was , it definitly scared me . 	Translation	Positive	Negative	EmotionRationale
just kidding ! ) and follows them up with the real scare , but nothing in this movie scares you . 	just kidding !<br> ) and follows them up with the real scare , but nothing in this movie scares you .	1	-4	 just[0] kidding[0] [[Sentence=-1,1=word max, 1-5]] and[0] follows[0] them[0] up[0] with[0] the[0] real[0] scare[-3] but[0] nothing[0] in[0] this[0] movie[0] scares[-3] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the audience in the theater never jumped during suspenseful moments ; i think they were bored , too . 	the audience in the theater never jumped during suspenseful moments ; i think they were bored , too .	1	-2	 the[0] audience[0] in[0] the[0] theater[0] never[0] jumped[0] during[0] suspenseful[0] moments[0] i[0] think[0] they[0] were[0] bored[-1] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i shouldn't blame del toro . 	i shouldn't blame del toro .	1	-2	 i[0] shouldn't[0] blame[-1] del[0] toro[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he isn't the first successful foreign director to come to hollywood and make a bad movie . 	he isn't the first successful foreign director to come to hollywood and make a bad movie .	3	-2	 he[0] isn't[0] the[0] first[0] successful[2] foreign[-1] director[0] to[0] come[0] to[0] hollywood[0] and[0] make[0] a[0] bad[-1] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hong kong director john woo made two of the best action films of all time , " the killer " and " hard boiled " then came to america to make the stupid " broken arrow . " 	hong kong director john woo made two of the best action films of all time , " the killer " and " hard boiled " then came to america to make the stupid " broken arrow .<br> "	2	-2	 hong[0] kong[0] director[0] john[0] woo[0] made[0] two[0] of[0] the[0] best[1] action[0] films[0] of[0] all[0] time[0] the[0] killer[-1] and[0] hard[0] boiled[0] then[0] came[0] to[0] america[0] to[0] make[0] the[0] stupid[-1] broken[-1] arrow[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
french directors luc besson ( " la femme nikita " ) and george sluizer ( " the vanishing " ) followed woo's lead and made dumbed down versions of those movies . 	french directors luc besson ( " la femme nikita " ) and george sluizer ( " the vanishing " ) followed woo's lead and made dumbed down versions of those movies .	1	-2	 french[0] directors[0] luc[0] besson[0] la[0] femme[0] nikita[0] and[0] george[0] sluizer[0] the[0] vanishing[-1] followed[0] woo's[0] lead[0] and[0] made[0] dumbed[-1] down[0] versions[0] of[0] those[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robert rodriguez , who directed the terrific low budget " el mariachi " came to hollywood and directed the horrible , high-budget " desperado . " 	robert rodriguez , who directed the terrific low budget " el mariachi " came to hollywood and directed the horrible , high-budget " desperado .<br> "	4	-4	 robert[0] rodriguez[0] who[0] directed[0] the[0] terrific[3] low[-1] budget[0] el[0] mariachi[0] came[0] to[0] hollywood[0] and[0] directed[0] the[0] horrible[-3] high[0] budget[0] desperado[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
i don't know why a foreign director who shows such talent in his country can't make a good american movie . 	i don't know why a foreign director who shows such talent in his country can't make a good american movie .	2	-2	 i[0] don't[0] know[0] why[0] a[0] foreign[-1] director[0] who[0] shows[0] such[0] talent[1] in[0] his[0] country[0] can't[0] make[0] a[0] good[1] american[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
woo finally broke through and made " face/off " , but it still isn't up to par with his earlier films . 	woo finally broke through and made " face/off " , but it still isn't up to par with his earlier films .	1	-2	 woo[0] finally[0] broke[-1] through[0] and[0] made[0] face/off[0] but[0] it[0] still[0] isn't[0] up[0] to[0] par[0] with[0] his[0] earlier[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i get the feeling a hollywood producer sits in his office , chews on a big smelly cigar and says to the director , " welcome to america ! 	i get the feeling a hollywood producer sits in his office , chews on a big smelly cigar and says to the director , " welcome to america !	2	-1	 i[0] get[0] the[0] feeling[0] a[0] hollywood[0] producer[0] sits[0] in[0] his[0] office[0] chews[0] on[0] a[0] big[0] smelly[0] cigar[0] and[0] says[0] to[0] the[0] director[0] welcome[1] to[0] america[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i bet you must be tired after being on that boat for so long . 	i bet you must be tired after being on that boat for so long .	1	-2	 i[0] bet[0] you[0] must[0] be[0] tired[-1] after[0] being[0] on[0] that[0] boat[0] for[0] so[0] long[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
do you speak english ? 	do you speak english ?	1	-1	 do[0] you[0] speak[0] english[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , i know you think you've made good movies in the past , but now you're in america , so things are a little different here . 	now , i know you think you've made good movies in the past , but now you're in america , so things are a little different here .	2	-1	 now[0] i[0] know[0] you[0] think[0] you've[0] made[0] good[1] movies[0] in[0] the[0] past[0] but[0] now[0] you're[0] in[0] america[0] so[0] things[0] are[0] a[0] little[0] different[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just remember what the american audience always wants , and you'll be fine . 	just remember what the american audience always wants , and you'll be fine .	3	-1	 just[0] remember[0] what[0] the[0] american[0] audience[0] always[0] wants[0] and[0] you'll[0] be[0] fine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they want to see at least one big breasted woman , characters that they've seen a thousand times before ( because change scares americans ) , and you always need a cheesy feel-good ending to wrap things up . 	they want to see at least one big breasted woman , characters that they've seen a thousand times before ( because change scares americans ) , and you always need a cheesy feel-good ending to wrap things up .	2	-4	 they[0] want[0] to[0] see[0] at[0] least[0] one[0] big[0] breasted[0] woman[0] characters[0] that[0] they've[0] seen[0] a[0] thousand[0] times[0] before[0] because[0] change[0] scares[-3] americans[0] and[0] you[0] always[0] need[0] a[0] cheesy[0] feel[0] good[1] ending[0] to[0] wrap[0] things[0] up[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you don't make that kind of movie , you'll be shining my shoes in no time . " 	if you don't make that kind of movie , you'll be shining my shoes in no time .<br> "	2	-1	 if[0] you[0] don't[0] make[0] that[0] kind[1] of[0] movie[0] you'll[0] be[0] shining[0] my[0] shoes[0] in[0] no[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
