the most interesting part of " can't hardly wait " just happens to be not only the most human , but for many of us , the one part that many of us can easily relate to . 	Translation	Positive	Negative	EmotionRationale
the film , as i said , portrays most of its characters as superficial and just totally ignorant to everything . 	the film , as i said , portrays most of its characters as superficial and just totally ignorant to everything .	1	-4	 the[0] film[0] as[0] i[0] said[0] portrays[0] most[0] of[0] its[0] characters[0] as[0] superficial[-1] and[0] just[0] totally[0] ignorant[-2][-1 LastWordBoosterStrength] to[0] everything[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , instead of sticking with this , perhaps even going a bit further with it , they let this lie , and actually make these characters into our heroes . 	however , instead of sticking with this , perhaps even going a bit further with it , they let this lie , and actually make these characters into our heroes .	3	-1	 however[0] instead[0] of[0] sticking[0] with[0] this[0] perhaps[0] even[0] going[0] a[0] bit[0] further[0] with[0] it[0] they[0] let[0] this[0] lie[0] and[0] actually[0] make[0] these[0] characters[0] into[0] our[0] heroes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we follow several of them , all a bunch of moronic stereotypes with only a shread of humanity and realism , and tries to tell boring and overly melodramatic tales about them as if we actually cared and/or identified with them . 	we follow several of them , all a bunch of moronic stereotypes with only a shread of humanity and realism , and tries to tell boring and overly melodramatic tales about them as if we actually cared and/or identified with them .	2	-3	 we[0] follow[0] several[0] of[0] them[0] all[0] a[0] bunch[0] of[0] moronic[-2] stereotypes[0] with[0] only[0] a[0] shread[0] of[0] humanity[0] and[0] realism[0] and[0] tries[0] to[0] tell[0] boring[-1] and[0] overly[0] melodramatic[-1] tales[0] about[0] them[0] as[0] if[0] we[0] actually[0] cared[1] and/or[0] identified[0] with[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and if we did , we certainly don't want to revisit that state of being . 	and if we did , we certainly don't want to revisit that state of being .	1	-1	 and[0] if[0] we[0] did[0] we[0] certainly[0] don't[0] want[0] to[0] revisit[0] that[0] state[0] of[0] being[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's a quick low-down : it's graduation , and we follow a bunch of seniors on the last night , otherwise known as the " american grafitti " or , to a lesser extent , the " dazed and confused " cliche . 	here's a quick low-down : it's graduation , and we follow a bunch of seniors on the last night , otherwise known as the " american grafitti " or , to a lesser extent , the " dazed and confused " cliche .	1	-2	 here's[0] a[0] quick[0] low[-1] down[0] it's[0] graduation[0] and[0] we[0] follow[0] a[0] bunch[0] of[0] seniors[0] on[0] the[0] last[0] night[0] otherwise[0] known[0] as[0] the[0] american[0] grafitti[0] or[0] to[0] a[0] lesser[0] extent[0] the[0] dazed[-1] and[0] confused[-1] cliche[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the formal just followed them as they drove aimlessly ; the latter did a little bit of that and featured a big outdoor keg party . 	the formal just followed them as they drove aimlessly ; the latter did a little bit of that and featured a big outdoor keg party .	1	-2	 the[0] formal[0] just[0] followed[0] them[0] as[0] they[0] drove[0] aimlessly[-1] the[0] latter[0] did[0] a[0] little[0] bit[0] of[0] that[0] and[0] featured[0] a[0] big[0] outdoor[0] keg[0] party[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " can't hardly wait " just opts for a big indoor keg party , and a little bit of aimless driving , albeit of the i'm-whining-because-i-can't-get-a-girl-i-want brand . 	 " can't hardly wait " just opts for a big indoor keg party , and a little bit of aimless driving , albeit of the i'm-whining-because-i-can't-get-a-girl-i-want brand .	1	-3	 can't[0] hardly[0] wait[0] just[0] opts[0] for[0] a[0] big[0] indoor[0] keg[0] party[0] and[0] a[0] little[0] bit[0] of[0] aimless[-1] driving[0] albeit[0] of[0] the[0] i'm[0] whining[-2] because[0] i[0] can't[0] get[0] a[0] girl[0] i[0] want[0] brand[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we follow many people around , but mostly we trail preston ( ethan embry , of " that thing you do ! " ) , the alienated writer , who's been pining over the homcoming queen , amanda ( the totally overrated jennifer love hewitt ) , for the entirety of high school because he thinks they shared a moment their freshman year over a freaking pop tart . 	we follow many people around , but mostly we trail preston ( ethan embry , of " that thing you do !<br> " ) , the alienated writer , who's been pining over the homcoming queen , amanda ( the totally overrated jennifer love hewitt ) , for the entirety of high school because he thinks they shared a moment their freshman year over a freaking pop tart .	3	-2	 we[0] follow[0] many[0] people[0] around[0] but[0] mostly[0] we[0] trail[0] preston[0] ethan[0] embry[0] of[0] that[0] thing[0] you[0] do[0] [[Sentence=-1,1=word max, 1-5]] the[0] alienated[-1] writer[0] who's[0] been[0] pining[0] over[0] the[0] homcoming[0] queen[0] amanda[0] the[0] totally[0] overrated[0] jennifer[0] love[2] hewitt[0] for[0] the[0] entirety[0] of[0] high[0] school[0] because[0] he[0] thinks[0] they[0] shared[0] a[0] moment[0] their[0] freshman[0] year[0] over[0] a[0] freaking[-1] pop[0] tart[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now that she's broken up with her football player boyfriend , mike ( peter facinelli ) , he decides to go to the party with a note he's written declaring his " love " for her in the hopes he'll build up the guts to give it to her . . . even 	now that she's broken up with her football player boyfriend , mike ( peter facinelli ) , he decides to go to the party with a note he's written declaring his " love " for her in the hopes he'll build up the guts to give it to her .<br> .<br> .<br> even	3	-2	 now[0] that[0] she's[0] broken[-1] up[0] with[0] her[0] football[0] player[0] boyfriend[0] mike[0] peter[0] facinelli[0] he[0] decides[0] to[0] go[0] to[0] the[0] party[0] with[0] a[0] note[0] he's[0] written[0] declaring[0] his[0] love[2] for[0] her[0] in[0] the[0] hopes[1] he'll[0] build[0] up[0] the[0] guts[0] to[0] give[0] it[0] to[0] her[0] [[Sentence=-2,3=word max, 1-5]] even[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
though he's leaving for a multi-week intensive writing program hosted by none other than kurt vonnegut ( okay : the ingenius vonnegut or some icky noxema spokesperson ? ) . 	though he's leaving for a multi-week intensive writing program hosted by none other than kurt vonnegut ( okay : the ingenius vonnegut or some icky noxema spokesperson ?<br> ) .	1	-1	 though[0] he's[0] leaving[0] for[0] a[0] multi[0] week[0] intensive[0] writing[0] program[0] hosted[0] by[0] none[0] other[0] than[0] kurt[0] vonnegut[0] okay[0] the[0] ingenius[0] vonnegut[0] or[0] some[0] icky[0] noxema[0] spokesperson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since that plot is incredibly lame and a track record of what goes on with it wouldn't be able to carry a commercial let alone a feature film , and because it's a party , there are some more main characters , such as : william ( charlie korsmo , finally surfacing after " dick tracy " ) , the nerd ( and his dominions ) who has come up with a ridiculous plan to publically sabotage mike , who's humiliated him for years , but gets too caught up in drinking to do it ; kenny ( seth green ) , the wigger , who has decided that this party will be where he will finally get laid ( uh huh ) ; and denise , the only exceptional character , who unfortunately gets stuck in a bathroom ( don't ask ) with kenny where the two characters let down their characters and are allowed to follow the laws of plot cliches from point a to point b with nary a bit of characterization involved after awhile . 	since that plot is incredibly lame and a track record of what goes on with it wouldn't be able to carry a commercial let alone a feature film , and because it's a party , there are some more main characters , such as : william ( charlie korsmo , finally surfacing after " dick tracy " ) , the nerd ( and his dominions ) who has come up with a ridiculous plan to publically sabotage mike , who's humiliated him for years , but gets too caught up in drinking to do it ; kenny ( seth green ) , the wigger , who has decided that this party will be where he will finally get laid ( uh huh ) ; and denise , the only exceptional character , who unfortunately gets stuck in a bathroom ( don't ask ) with kenny where the two characters let down their characters and are allowed to follow the laws of plot cliches from point a to point b with nary a bit of characterization involved after awhile .	1	-5	 since[0] that[0] plot[0] is[0] incredibly[0] lame[-2][-2 LastWordBoosterStrength] and[0] a[0] track[0] record[0] of[0] what[0] goes[0] on[0] with[0] it[0] wouldn't[0] be[0] able[0] to[0] carry[0] a[0] commercial[0] let[0] alone[0] a[0] feature[0] film[0] and[0] because[0] it's[0] a[0] party[0] there[0] are[0] some[0] more[0] main[0] characters[0] such[0] as[0] william[0] charlie[0] korsmo[0] finally[0] surfacing[0] after[0] dick[0] tracy[0] the[0] nerd[-2] and[0] his[0] dominions[0] who[0] has[0] come[0] up[0] with[0] a[0] ridiculous[-2] plan[0] to[0] publically[0] sabotage[-1] mike[0] who's[0] humiliated[-3] him[0] for[0] years[0] but[0] gets[0] too[0] caught[0] up[0] in[0] drinking[0] to[0] do[0] it[0] kenny[0] seth[0] green[0] the[0] wigger[0] who[0] has[0] decided[0] that[0] this[0] party[0] will[0] be[0] where[0] he[0] will[0] finally[0] get[0] laid[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
ugh . 	ugh .	1	-3	 ugh[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the main comparison this film is getting to another film is actually not " american grafitti " or " dazed and confused , " two films that embraced and ultimately made humans out of many of its high schoolers ( not to mention were extremely entertaining ) , but to john hughes films of the 80s , most notably " sixteen candles . " 	the main comparison this film is getting to another film is actually not " american grafitti " or " dazed and confused , " two films that embraced and ultimately made humans out of many of its high schoolers ( not to mention were extremely entertaining ) , but to john hughes films of the 80s , most notably " sixteen candles .<br> "	1	-2	 the[0] main[0] comparison[0] this[0] film[0] is[0] getting[0] to[0] another[0] film[0] is[0] actually[0] not[0] american[0] grafitti[0] or[0] dazed[-1] and[0] confused[-1] two[0] films[0] that[0] embraced[0] and[0] ultimately[0] made[0] humans[0] out[0] of[0] many[0] of[0] its[0] high[0] schoolers[0] not[0] to[0] mention[0] were[0] extremely[0] entertaining[0] but[0] to[0] john[0] hughes[0] films[0] of[0] the[0] 80s[0] most[0] notably[0] sixteen[0] candles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the big difference in the two is that that film managed to not only embrace but even satirize its main characters , and did so equally and in an entertaining fashion . 	the big difference in the two is that that film managed to not only embrace but even satirize its main characters , and did so equally and in an entertaining fashion .	1	-1	 the[0] big[0] difference[0] in[0] the[0] two[0] is[0] that[0] that[0] film[0] managed[0] to[0] not[0] only[0] embrace[0] but[0] even[0] satirize[0] its[0] main[0] characters[0] and[0] did[0] so[0] equally[0] and[0] in[0] an[0] entertaining[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film forgets to satirize its characters , and ultimately tells a story about a bunch of uninteresting stereotypes . . . and 	this film forgets to satirize its characters , and ultimately tells a story about a bunch of uninteresting stereotypes .<br> .<br> .<br> and	1	-1	 this[0] film[0] forgets[0] to[0] satirize[0] its[0] characters[0] and[0] ultimately[0] tells[0] a[0] story[0] about[0] a[0] bunch[0] of[0] uninteresting[0] stereotypes[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then says that it's all okay . 	then says that it's all okay .	1	-1	 then[0] says[0] that[0] it's[0] all[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can't take this film seriously , nor can we take this as fun , so really what good is it ? 	we can't take this film seriously , nor can we take this as fun , so really what good is it ?	2	-1	 we[0] can't[0] take[0] this[0] film[0] seriously[0] nor[0] can[0] we[0] take[0] this[0] as[0] fun[1] so[0] really[0] what[0] good[1] is[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but i will tell you some things i did like : i liked the direction , except for a couple too-over-the-top features , like way-too-glossy jump cuts ( it's like an oxymoron ) and other obscurities . 	but i will tell you some things i did like : i liked the direction , except for a couple too-over-the-top features , like way-too-glossy jump cuts ( it's like an oxymoron ) and other obscurities .	3	-1	 but[0] i[0] will[0] tell[0] you[0] some[0] things[0] i[0] did[0] like[1][-1 LastWordBoosterStrength] i[0] liked[2] the[0] direction[0] except[0] for[0] a[0] couple[0] too[0] over[0] the[0] top[0] features[0] like[1] way[0] too[0] glossy[0] jump[0] cuts[0] it's[0] like[1] an[0] oxymoron[0] and[0] other[0] obscurities[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
generally , though , elfont and kaplan do have graceful camera movement , and even manage to capture an altman-esque feel to their film from time to time ( a thing with a note , though , is too hokey to really be admirable ) . 	generally , though , elfont and kaplan do have graceful camera movement , and even manage to capture an altman-esque feel to their film from time to time ( a thing with a note , though , is too hokey to really be admirable ) .	3	-2	 generally[0] though[0] elfont[0] and[0] kaplan[0] do[0] have[0] graceful[2] camera[0] movement[0] and[0] even[0] manage[0] to[0] capture[-1] an[0] altman[0] esque[0] feel[0] to[0] their[0] film[0] from[0] time[0] to[0] time[0] a[0] thing[0] with[0] a[0] note[0] though[0] is[0] too[0] hokey[0] to[0] really[0] be[0] admirable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i actually did like seth green , for once in about a decade ( when he played a very young woody allen in " radio days " ) - his desintegration of his wigger character was almost believable . . . almost . 	i actually did like seth green , for once in about a decade ( when he played a very young woody allen in " radio days " ) - his desintegration of his wigger character was almost believable .<br> .<br> .<br> almost .	1	-1	 i[0] actually[0] did[0] like[1][-1 LastWordBoosterStrength] seth[0] green[0] for[0] once[0] in[0] about[0] a[0] decade[0] when[0] he[0] played[0] a[0] very[0] young[0] woody[0] allen[0] in[0] radio[0] days[0] his[0] desintegration[0] of[0] his[0] wigger[0] character[0] was[0] almost[0] believable[0] [[Sentence=-1,1=word max, 1-5]] almost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , of course , lauren ambrose is wonderful as denise , the one character we could have used some more of , even though it would have changed the entirety of the film . 	and , of course , lauren ambrose is wonderful as denise , the one character we could have used some more of , even though it would have changed the entirety of the film .	3	-1	 and[0] of[0] course[0] lauren[0] ambrose[0] is[0] wonderful[2] as[0] denise[0] the[0] one[0] character[0] we[0] could[0] have[0] used[0] some[0] more[0] of[0] even[0] though[0] it[0] would[0] have[0] changed[0] the[0] entirety[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , the character of denise really doesn't work with the film , when really thought about . 	however , the character of denise really doesn't work with the film , when really thought about .	1	-1	 however[0] the[0] character[0] of[0] denise[0] really[0] doesn't[0] work[0] with[0] the[0] film[0] when[0] really[0] thought[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's far too witty and realized ( at least for the first half ) to belong in this film , and whenever she appears , she automatically gives everything a delightfully satirical tone . 	she's far too witty and realized ( at least for the first half ) to belong in this film , and whenever she appears , she automatically gives everything a delightfully satirical tone .	3	-1	 she's[0] far[0] too[0] witty[0] and[0] realized[0] at[0] least[0] for[0] the[0] first[0] half[0] to[0] belong[0] in[0] this[0] film[0] and[0] whenever[0] she[0] appears[0] she[0] automatically[0] gives[0] everything[0] a[0] delightfully[2] satirical[0] tone[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she's not just the cynic or the intellectual ; she's just a very interesting character who provides entertainment even if it further damages other already damaged characters . 	she's not just the cynic or the intellectual ; she's just a very interesting character who provides entertainment even if it further damages other already damaged characters .	3	-1	 she's[0] not[0] just[0] the[0] cynic[-1][NegatedDueToPreviousWord] or[0] the[0] intellectual[0] she's[0] just[0] a[0] very[0] interesting[1][1 LastWordBoosterStrength] character[0] who[0] provides[0] entertainment[0] even[0] if[0] it[0] further[0] damages[0] other[0] already[0] damaged[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she may ruin the film more , but at least when she's on screen we can sit up and think to ourselves " well , at least we'll be entertained . " 	she may ruin the film more , but at least when she's on screen we can sit up and think to ourselves " well , at least we'll be entertained .<br> "	1	-1	 she[0] may[0] ruin[-1][--1 LastWordBoosterStrength] the[0] film[0] more[0] but[0] at[0] least[0] when[0] she's[0] on[0] screen[0] we[0] can[0] sit[0] up[0] and[0] think[0] to[0] ourselves[0] well[0] at[0] least[0] we'll[0] be[0] entertained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a couple other things that just don't work : mike's character , who suffers an epiphany throughout the film but in the end acts as though he has forgotten everything : too much the sacrificial lamb for the film in general ; the aimless , bitchy driving by preston to try and get over his inability to shack up with amanda - give me a break ; and perhaps the one thing that just doesn't work at all : jenna eflman's uncredited cameo as an angel - just didn't work , but nice try . 	a couple other things that just don't work : mike's character , who suffers an epiphany throughout the film but in the end acts as though he has forgotten everything : too much the sacrificial lamb for the film in general ; the aimless , bitchy driving by preston to try and get over his inability to shack up with amanda - give me a break ; and perhaps the one thing that just doesn't work at all : jenna eflman's uncredited cameo as an angel - just didn't work , but nice try .	2	-4	 a[0] couple[0] other[0] things[0] that[0] just[0] don't[0] work[0] mike's[0] character[0] who[0] suffers[-3] an[0] epiphany[0] throughout[0] the[0] film[0] but[0] in[0] the[0] end[0] acts[0] as[0] though[0] he[0] has[0] forgotten[0] everything[0] too[0] much[0] the[0] sacrificial[0] lamb[0] for[0] the[0] film[0] in[0] general[0] the[0] aimless[-1] bitchy[-1] driving[0] by[0] preston[0] to[0] try[0] and[0] get[0] over[0] his[0] inability[-1] to[0] shack[0] up[0] with[0] amanda[0] give[0] me[0] a[0] break[0] and[0] perhaps[0] the[0] one[0] thing[0] that[0] just[0] doesn't[0] work[0] at[0] all[0] jenna[0] eflman's[0] uncredited[0] cameo[0] as[0] an[0] angel[0] just[0] didn't[0] work[0] but[0] nice[1] try[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
basically the worst thing about this film , the real reason i'm giving this such a low rating , is because it refuses to give us any fully realized characters and then insists we follow around complete stereotypes from other movies doing things that are inane and unlike anything we'd do . 	basically the worst thing about this film , the real reason i'm giving this such a low rating , is because it refuses to give us any fully realized characters and then insists we follow around complete stereotypes from other movies doing things that are inane and unlike anything we'd do .	1	-3	 basically[0] the[0] worst[-2] thing[0] about[0] this[0] film[0] the[0] real[0] reason[0] i'm[0] giving[0] this[0] such[0] a[0] low[-1] rating[0] is[0] because[0] it[0] refuses[-1] to[0] give[0] us[0] any[0] fully[0] realized[0] characters[0] and[0] then[0] insists[0] we[0] follow[0] around[0] complete[0] stereotypes[0] from[0] other[0] movies[0] doing[0] things[0] that[0] are[0] inane[-1] and[0] unlike[0] anything[0] we'd[0] do[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we don't feel for these characters because for most of us , we aren't stereotypes going through the motions to worn subplots . 	we don't feel for these characters because for most of us , we aren't stereotypes going through the motions to worn subplots .	1	-2	 we[0] don't[0] feel[0] for[0] these[0] characters[0] because[0] for[0] most[0] of[0] us[0] we[0] aren't[0] stereotypes[0] going[0] through[0] the[0] motions[0] to[0] worn[-1] subplots[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the acid test for high school movies is : does it at all capture the feel of what it's portraying ? 	the acid test for high school movies is : does it at all capture the feel of what it's portraying ?	1	-2	 the[0] acid[0] test[0] for[0] high[0] school[0] movies[0] is[0] does[0] it[0] at[0] all[0] capture[-1] the[0] feel[0] of[0] what[0] it's[0] portraying[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the answer for this film is no . 	the answer for this film is no .	1	-1	 the[0] answer[0] for[0] this[0] film[0] is[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nice try , though . 	nice try , though .	2	-1	 nice[1] try[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
