to sum the entire film " 54 " up in one sentence , it would be : watch a vh1 documentary instead . 	Translation	Positive	Negative	EmotionRationale
the film builds up from nothing and becomes nothing as it's climax ( isn't that an apt word for studio 54 ) lands with a thud . 	the film builds up from nothing and becomes nothing as it's climax ( isn't that an apt word for studio 54 ) lands with a thud .	1	-2	 the[0] film[0] builds[0] up[0] from[0] nothing[0] and[0] becomes[0] nothing[0] as[0] it's[0] climax[0] isn't[0] that[0] an[0] apt[0] word[0] for[0] studio[0] 54[0] lands[0] with[0] a[0] thud[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the glitz of the club and perpetually semi-clothed patrons are used in an to attempt to show the it's glamour . 	the glitz of the club and perpetually semi-clothed patrons are used in an to attempt to show the it's glamour .	2	-1	 the[0] glitz[0] of[0] the[0] club[0] and[0] perpetually[0] semi[0] clothed[0] patrons[0] are[0] used[0] in[0] an[0] to[0] attempt[0] to[0] show[0] the[0] it's[0] glamour[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for much of its target audience , college age to early thirties , it attempts to show celebrities mixing with " normal people . " 	for much of its target audience , college age to early thirties , it attempts to show celebrities mixing with " normal people .<br> "	1	-1	 for[0] much[0] of[0] its[0] target[0] audience[0] college[0] age[0] to[0] early[0] thirties[0] it[0] attempts[0] to[0] show[0] celebrities[0] mixing[0] with[0] normal[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this even fails since the only two celebs truly introduced are andy warhol and truman capote . 	this even fails since the only two celebs truly introduced are andy warhol and truman capote .	2	-3	 this[0] even[0] fails[-2] since[0] the[0] only[0] two[0] celebs[0] truly[1] introduced[0] are[0] andy[0] warhol[0] and[0] truman[0] capote[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you can be sure that half of the audience hasn't heard of them , another quarter only know their names , and the other quarter knew they were there already . 	you can be sure that half of the audience hasn't heard of them , another quarter only know their names , and the other quarter knew they were there already .	1	-1	 you[0] can[0] be[0] sure[0] that[0] half[0] of[0] the[0] audience[0] hasn't[0] heard[0] of[0] them[0] another[0] quarter[0] only[0] know[0] their[0] names[0] and[0] the[0] other[0] quarter[0] knew[0] they[0] were[0] there[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the humor , if you can call it that , is built on an eighty year old woman getting high and 70s references like john travolta and olivia newton john making us laugh at how stupid we were back then 	the humor , if you can call it that , is built on an eighty year old woman getting high and 70s references like john travolta and olivia newton john making us laugh at how stupid we were back then	3	-2	 the[0] humor[2] if[0] you[0] can[0] call[0] it[0] that[0] is[0] built[0] on[0] an[0] eighty[0] year[0] old[0] woman[0] getting[0] high[0] and[0] 70s[0] references[0] like[1] john[0] travolta[0] and[0] olivia[0] newton[0] john[0] making[0] us[0] laugh[1] at[0] how[0] stupid[-1] we[0] were[0] back[0] then[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the best performance in the film is given by mike myers as the perpetually high , sexually ambivlaent , very new york steve rubell . 	the best performance in the film is given by mike myers as the perpetually high , sexually ambivlaent , very new york steve rubell .	2	-1	 the[0] best[1] performance[0] in[0] the[0] film[0] is[0] given[0] by[0] mike[0] myers[0] as[0] the[0] perpetually[0] high[0] sexually[0] ambivlaent[0] very[0] new[0] york[0] steve[0] rubell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he seems to play rubell better than rubell would if he was still alive . 	he seems to play rubell better than rubell would if he was still alive .	1	-1	 he[0] seems[0] to[0] play[0] rubell[0] better[0] than[0] rubell[0] would[0] if[0] he[0] was[0] still[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he looks like rubell and sounds just like him while giving a subdued , almost nostalgic performance , when needed . 	he looks like rubell and sounds just like him while giving a subdued , almost nostalgic performance , when needed .	2	-1	 he[0] looks[0] like[1] rubell[0] and[0] sounds[0] just[0] like[1][-1 LastWordBoosterStrength] him[0] while[0] giving[0] a[0] subdued[0] almost[0] nostalgic[0] performance[0] when[0] needed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it reminds you of his saturday night live character linda richmond on " coffee talk " sans dress and wig . 	it reminds you of his saturday night live character linda richmond on " coffee talk " sans dress and wig .	1	-1	 it[0] reminds[0] you[0] of[0] his[0] saturday[0] night[0] live[0] character[0] linda[0] richmond[0] on[0] coffee[0] talk[0] sans[0] dress[0] and[0] wig[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast of salma hayek , breckin meyer , and neve cambell are their only there to give added subplots which are introduced but lead absolutely nowhere . 	the supporting cast of salma hayek , breckin meyer , and neve cambell are their only there to give added subplots which are introduced but lead absolutely nowhere .	2	-1	 the[0] supporting[1] cast[0] of[0] salma[0] hayek[0] breckin[0] meyer[0] and[0] neve[0] cambell[0] are[0] their[0] only[0] there[0] to[0] give[0] added[0] subplots[0] which[0] are[0] introduced[0] but[0] lead[0] absolutely[0] nowhere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the romance between phillippe and cambell , as a soap opera star , is completely implausable . 	the romance between phillippe and cambell , as a soap opera star , is completely implausable .	4	-1	 the[0] romance[3] between[0] phillippe[0] and[0] cambell[0] as[0] a[0] soap[0] opera[0] star[0] is[0] completely[0] implausable[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the two share about half as much screen time as there are shots of the eighty year old hooked on amphetimenes . 	the two share about half as much screen time as there are shots of the eighty year old hooked on amphetimenes .	1	-1	 the[0] two[0] share[0] about[0] half[0] as[0] much[0] screen[0] time[0] as[0] there[0] are[0] shots[0] of[0] the[0] eighty[0] year[0] old[0] hooked[0] on[0] amphetimenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hayek's wanna-be singer seems extremely forced and her husband , greg ( meyer ) stands in as shane o'shae's surrogate best friend . 	hayek's wanna-be singer seems extremely forced and her husband , greg ( meyer ) stands in as shane o'shae's surrogate best friend .	2	-1	 hayek's[0] wanna[0] be[0] singer[0] seems[0] extremely[0] forced[0] and[0] her[0] husband[0] greg[0] meyer[0] stands[0] in[0] as[0] shane[0] o'shae's[0] surrogate[0] best[1] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the subplots seemed forced and seem like they have been added just to make sure the film was over an hour and a half long . 	the subplots seemed forced and seem like they have been added just to make sure the film was over an hour and a half long .	2	-1	 the[0] subplots[0] seemed[0] forced[0] and[0] seem[0] like[1] they[0] have[0] been[0] added[0] just[0] to[0] make[0] sure[0] the[0] film[0] was[0] over[0] an[0] hour[0] and[0] a[0] half[0] long[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overall , " 54 " tried to give a view of the brashness of the place where crack flowed like heroin which flowed like wine . 	overall , " 54 " tried to give a view of the brashness of the place where crack flowed like heroin which flowed like wine .	3	-1	 overall[0] 54[0] tried[0] to[0] give[0] a[0] view[0] of[0] the[0] brashness[0] of[0] the[0] place[0] where[0] crack[0] flowed[0] like[1] heroin[2] which[0] flowed[0] like[1] wine[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film never leads to anything , has no obserable point , and covers up a lack of real plot with a veil of beautiful people . 	the film never leads to anything , has no obserable point , and covers up a lack of real plot with a veil of beautiful people .	3	-2	 the[0] film[0] never[0] leads[0] to[0] anything[0] has[0] no[0] obserable[0] point[0] and[0] covers[0] up[0] a[0] lack[-1] of[0] real[0] plot[0] with[0] a[0] veil[0] of[0] beautiful[2] people[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in truth , that reminded me of the eighies . 	in truth , that reminded me of the eighies .	2	-1	 in[0] truth[1] that[0] reminded[0] me[0] of[0] the[0] eighies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
