it's time to take cover . 	Translation	Positive	Negative	EmotionRationale
a few years later , harry is sent to investigate some unusual seismic activity detected near the small town of dante's peak , washington ( which , we are told , has been voted second most desirable place to live ( under 20 , 000 ) by the readers of money magazine ) . 	a few years later , harry is sent to investigate some unusual seismic activity detected near the small town of dante's peak , washington ( which , we are told , has been voted second most desirable place to live ( under 20 , 00 ) by the readers of money magazine ) .	4	-1	 a[0] few[0] years[0] later[0] harry[0] is[0] sent[0] to[0] investigate[0] some[0] unusual[0] seismic[0] activity[0] detected[0] near[0] the[0] small[0] town[0] of[0] dante's[0] peak[0] washington[0] which[0] we[0] are[0] told[0] has[0] been[0] voted[0] second[0] most[0] desirable[3] place[0] to[0] live[0] under[0] 20[0] 000/00[0] by[0] the[0] readers[0] of[0] money[0] magazine[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there harry meets rachel wando , a single mother of two who serves as mayor of dante's peak and proprietor of a small coffee shop . 	there harry meets rachel wando , a single mother of two who serves as mayor of dante's peak and proprietor of a small coffee shop .	1	-1	 there[0] harry[0] meets[0] rachel[0] wando[0] a[0] single[0] mother[0] of[0] two[0] who[0] serves[0] as[0] mayor[0] of[0] dante's[0] peak[0] and[0] proprietor[0] of[0] a[0] small[0] coffee[0] shop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the mayor doesn't seem to be alarmed by the presence of a man sent to determine if the mountain next to their town is going to blow up , a few members of the city council are . 	although the mayor doesn't seem to be alarmed by the presence of a man sent to determine if the mountain next to their town is going to blow up , a few members of the city council are .	1	-3	 although[0] the[0] mayor[0] doesn't[0] seem[0] to[0] be[0] alarmed[-2] by[0] the[0] presence[0] of[0] a[0] man[0] sent[0] to[0] determine[0] if[0] the[0] mountain[0] next[0] to[0] their[0] town[0] is[0] going[0] to[0] blow[0] up[0] a[0] few[0] members[0] of[0] the[0] city[0] council[0] are[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are afraid that harry's presence is going to scare off an investor who has pledged to put millions of dollars into developing dante's peak . 	they are afraid that harry's presence is going to scare off an investor who has pledged to put millions of dollars into developing dante's peak .	1	-4	 they[0] are[0] afraid[-3] that[0] harry's[0] presence[0] is[0] going[0] to[0] scare[-3] off[0] an[0] investor[0] who[0] has[0] pledged[0] to[0] put[0] millions[0] of[0] dollars[0] into[0] developing[0] dante's[0] peak[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they would rather have any news of possible stirrings within the neighboring dormant volcano swept under the rug . 	they would rather have any news of possible stirrings within the neighboring dormant volcano swept under the rug .	1	-1	 they[0] would[0] rather[0] have[0] any[0] news[0] of[0] possible[0] stirrings[0] within[0] the[0] neighboring[0] dormant[0] volcano[0] swept[0] under[0] the[0] rug[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , when an amorous young couple takes a skinny-dip in the local hot springs , they turn up cooked by lava which bubbles up from a small fissure underneath . 	however , when an amorous young couple takes a skinny-dip in the local hot springs , they turn up cooked by lava which bubbles up from a small fissure underneath .	2	-1	 however[0] when[0] an[0] amorous[1] young[0] couple[0] takes[0] a[0] skinny[0] dip[0] in[0] the[0] local[0] hot[0] springs[0] they[0] turn[0] up[0] cooked[0] by[0] lava[0] which[0] bubbles[0] up[0] from[0] a[0] small[0] fissure[0] underneath[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thus begins a chain of events leading up to the inevitable eruption . 	thus begins a chain of events leading up to the inevitable eruption .	1	-1	 thus[0] begins[0] a[0] chain[0] of[0] events[0] leading[0] up[0] to[0] the[0] inevitable[0] eruption[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film contains a number of cliches . 	this film contains a number of cliches .	1	-1	 this[0] film[0] contains[0] a[0] number[0] of[0] cliches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the amorous couple is one . 	the amorous couple is one .	2	-1	 the[0] amorous[1] couple[0] is[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as soon as they doff their clothes , you know they're going to die . 	as soon as they doff their clothes , you know they're going to die .	1	-1	 as[0] soon[0] as[0] they[0] doff[0] their[0] clothes[0] you[0] know[0] they're[0] going[0] to[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the town busybody and the abrasive mother-in-law make appearances , as does the death-defying dog . 	the town busybody and the abrasive mother-in-law make appearances , as does the death-defying dog .	1	-3	 the[0] town[0] busybody[-1] and[0] the[0] abrasive[-1] mother[0] in[0] law[0] make[0] appearances[0] as[0] does[0] the[0] death[-2] defying[0] dog[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
countless familiar scenarios only serve to make this film very predictable . 	countless familiar scenarios only serve to make this film very predictable .	1	-1	 countless[0] familiar[0] scenarios[0] only[0] serve[0] to[0] make[0] this[0] film[0] very[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching the movie , i was able to not only anticipate each of the major plot elements , but some of the dialogue as well . 	watching the movie , i was able to not only anticipate each of the major plot elements , but some of the dialogue as well .	1	-1	 watching[0] the[0] movie[0] i[0] was[0] able[0] to[0] not[0] only[0] anticipate[0] each[0] of[0] the[0] major[0] plot[0] elements[0] but[0] some[0] of[0] the[0] dialogue[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunate , since much of the dialog is terrible . 	unfortunate , since much of the dialog is terrible .	1	-4	 unfortunate[-1] since[0] much[0] of[0] the[0] dialog[0] is[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for example , harry's boss , paul ( charles hallahan ) , and a team from the u . s . geological survey join harry to assess the situation . 	for example , harry's boss , paul ( charles hallahan ) , and a team from the you .<br> s .<br> geological survey join harry to assess the situation .	1	-1	 for[0] example[0] harry's[0] boss[0] paul[0] charles[0] hallahan[0] and[0] a[0] team[0] from[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] geological[0] survey[0] join[0] harry[0] to[0] assess[0] the[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul basically tells the townsfolk that harry's eruption predictions aren't cause for alarm . 	paul basically tells the townsfolk that harry's eruption predictions aren't cause for alarm .	1	-3	 paul[0] basically[0] tells[0] the[0] townsfolk[0] that[0] harry's[0] eruption[0] predictions[0] aren't[0] cause[0] for[0] alarm[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this causes harry to leave in a fit of rage , only to turn up the next day , ready for work . 	this causes harry to leave in a fit of rage , only to turn up the next day , ready for work .	1	-4	 this[0] causes[0] harry[0] to[0] leave[0] in[0] a[0] fit[0] of[0] rage[-3] only[0] to[0] turn[0] up[0] the[0] next[0] day[0] ready[0] for[0] work[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when paul asks harry why he stayed , he says with grim determination , " cause this town's in trouble and i'm the best man you've got . " 	when paul asks harry why he stayed , he says with grim determination , " cause this town's in trouble and i'm the best man you've got .<br> "	2	-3	 when[0] paul[0] asks[0] harry[0] why[0] he[0] stayed[0] he[0] says[0] with[0] grim[-2] determination[0] cause[0] this[0] town's[0] in[0] trouble[-1] and[0] i'm[0] the[0] best[1] man[0] you've[0] got[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even better is when harry is trying to explain the need to jolt the residents into leaving . 	even better is when harry is trying to explain the need to jolt the residents into leaving .	1	-1	 even[0] better[0] is[0] when[0] harry[0] is[0] trying[0] to[0] explain[0] the[0] need[0] to[0] jolt[0] the[0] residents[0] into[0] leaving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he likens the situation to how a frog will jump out if dropped into a pot of boiling water . 	he likens the situation to how a frog will jump out if dropped into a pot of boiling water .	1	-1	 he[0] likens[0] the[0] situation[0] to[0] how[0] a[0] frog[0] will[0] jump[0] out[0] if[0] dropped[0] into[0] a[0] pot[0] of[0] boiling[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the frog is in cold water which is gradually heated up , however , the frog won't move and will allow itself to be cooked . 	if the frog is in cold water which is gradually heated up , however , the frog won't move and will allow itself to be cooked .	1	-2	 if[0] the[0] frog[0] is[0] in[0] cold[-1] water[0] which[0] is[0] gradually[0] heated[0] up[0] however[0] the[0] frog[0] won't[0] move[0] and[0] will[0] allow[0] itself[0] to[0] be[0] cooked[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " is that your recipe for frog soup ? " 	 " is that your recipe for frog soup ?<br> "	1	-1	 is[0] that[0] your[0] recipe[0] for[0] frog[0] soup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
asks one of the team members . 	asks one of the team members .	1	-1	 asks[0] one[0] of[0] the[0] team[0] members[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " it's my recipe for disaster , " responds harry . 	 " it's my recipe for disaster , " responds harry .	1	-2	 it's[0] my[0] recipe[0] for[0] disaster[-1] responds[0] harry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dante's peak has a singular talent for pointing out the obvious . 	dante's peak has a singular talent for pointing out the obvious .	2	-1	 dante's[0] peak[0] has[0] a[0] singular[0] talent[1] for[0] pointing[0] out[0] the[0] obvious[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
our heroes are in a boat in the middle of a lake which harry realizes the volcanic activity has turned to acid . 	our heroes are in a boat in the middle of a lake which harry realizes the volcanic activity has turned to acid .	3	-1	 our[0] heroes[2] are[0] in[0] a[0] boat[0] in[0] the[0] middle[0] of[0] a[0] lake[0] which[0] harry[0] realizes[0] the[0] volcanic[0] activity[0] has[0] turned[0] to[0] acid[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mayor wando demonstrates her brilliant powers of deduction by proclaiming , in a very grave tone , " acid eats metal . " 	mayor wando demonstrates her brilliant powers of deduction by proclaiming , in a very grave tone , " acid eats metal .<br> "	2	-4	 mayor[0] wando[0] demonstrates[0] her[0] brilliant[1] powers[0] of[0] deduction[0] by[0] proclaiming[0] in[0] a[0] very[0] grave[-2][-1 LastWordBoosterStrength] tone[0] acid[0] eats[0] metal[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
thanks for the tip . 	thanks for the tip .	2	-1	 thanks[1] for[0] the[0] tip[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when we first see the u . s . geological survey building , there's a caption labeling it as such . 	when we first see the you .<br> s .<br> geological survey building , there's a caption labeling it as such .	1	-1	 when[0] we[0] first[0] see[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] geological[0] survey[0] building[0] there's[0] a[0] caption[0] labeling[0] it[0] as[0] such[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this wouldn't have been so bad if it weren't for the fact that the caption is right above a sign on the building which reads , in large letters , " u . s . geological survey . " 	this wouldn't have been so bad if it weren't for the fact that the caption is right above a sign on the building which reads , in large letters , " you .<br> s .<br> geological survey .<br> "	1	-2	 this[0] wouldn't[0] have[0] been[0] so[0] bad[-1] if[0] it[0] weren't[0] for[0] the[0] fact[0] that[0] the[0] caption[0] is[0] right[0] above[0] a[0] sign[0] on[0] the[0] building[0] which[0] reads[0] in[0] large[0] letters[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] geological[0] survey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose the caption is for people who can't read signs . 	i suppose the caption is for people who can't read signs .	1	-1	 i[0] suppose[0] the[0] caption[0] is[0] for[0] people[0] who[0] can't[0] read[0] signs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although harry and mayor wando become an item by the end of the film , the viewer has no idea why . 	although harry and mayor wando become an item by the end of the film , the viewer has no idea why .	1	-1	 although[0] harry[0] and[0] mayor[0] wando[0] become[0] an[0] item[0] by[0] the[0] end[0] of[0] the[0] film[0] the[0] viewer[0] has[0] no[0] idea[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a severe lack of chemistry between the two characters , and the relationship seems rushed because of this . 	there is a severe lack of chemistry between the two characters , and the relationship seems rushed because of this .	1	-2	 there[0] is[0] a[0] severe[-1] lack[-1] of[0] chemistry[0] between[0] the[0] two[0] characters[0] and[0] the[0] relationship[0] seems[0] rushed[0] because[0] of[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when they get close to kissing , i was asking myself , " why do they want to kiss ? 	when they get close to kissing , i was asking myself , " why do they want to kiss ?	3	-1	 when[0] they[0] get[0] close[0] to[0] kissing[2] i[0] was[0] asking[0] myself[0] why[0] do[0] they[0] want[0] to[0] kiss[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
were they even attracted to each other ? " 	were they even attracted to each other ?<br> "	2	-1	 were[0] they[0] even[0] attracted[1] to[0] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if i were the mayor , i would sure think twice about kissing a guy who doesn't even crack a smile through the whole movie , trying to pull off the rough-yet-debonair act . 	if i were the mayor , i would sure think twice about kissing a guy who doesn't even crack a smile through the whole movie , trying to pull off the rough-yet-debonair act .	3	-2	 if[0] i[0] were[0] the[0] mayor[0] i[0] would[0] sure[0] think[0] twice[0] about[0] kissing[2] a[0] guy[0] who[0] doesn't[0] even[0] crack[0] a[0] smile[2] through[0] the[0] whole[0] movie[0] trying[0] to[0] pull[0] off[0] the[0] rough[-1] yet[0] debonair[0] act[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
who does he think he is ? 	who does he think he is ?	1	-1	 who[0] does[0] he[0] think[0] he[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james bond ? 	james bond ?	1	-1	 james[0] bond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the eruption of the volcano feels similarly rushed . 	the eruption of the volcano feels similarly rushed .	1	-1	 the[0] eruption[0] of[0] the[0] volcano[0] feels[0] similarly[0] rushed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are several " warning signs " prior to the eruption itself , but they are so lackluster and without suspense that we don't feel as if they are leading up to anything . 	there are several " warning signs " prior to the eruption itself , but they are so lackluster and without suspense that we don't feel as if they are leading up to anything .	1	-1	 there[0] are[0] several[0] warning[0] signs[0] prior[0] to[0] the[0] eruption[0] itself[0] but[0] they[0] are[0] so[0] lackluster[0] and[0] without[0] suspense[0] that[0] we[0] don't[0] feel[0] as[0] if[0] they[0] are[0] leading[0] up[0] to[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , one of the survey team members makes his way down into the crater of the volcano in order to retrieve a remote controlled robot . 	for example , one of the survey team members makes his way down into the crater of the volcano in order to retrieve a remote controlled robot .	1	-1	 for[0] example[0] one[0] of[0] the[0] survey[0] team[0] members[0] makes[0] his[0] way[0] down[0] into[0] the[0] crater[0] of[0] the[0] volcano[0] in[0] order[0] to[0] retrieve[0] a[0] remote[0] controlled[0] robot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a tremor occurs . 	a tremor occurs .	1	-1	 a[0] tremor[0] occurs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does he plunge headlong to his death ? 	does he plunge headlong to his death ?	1	-3	 does[0] he[0] plunge[0] headlong[0] to[0] his[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is he engulfed in lava which shoots up from below ? 	is he engulfed in lava which shoots up from below ?	1	-2	 is[0] he[0] engulfed[-1] in[0] lava[0] which[0] shoots[-1] up[0] from[0] below[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , a couple of rocks fall on him and break his leg . 	no , a couple of rocks fall on him and break his leg .	1	-1	 no[0] a[0] couple[0] of[0] rocks[0] fall[0] on[0] him[0] and[0] break[0] his[0] leg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sole purpose of this scene seemed to be to set up the subsequent chopper rescue scene , which i suppose was intended to be dramatic as well . 	the sole purpose of this scene seemed to be to set up the subsequent chopper rescue scene , which i suppose was intended to be dramatic as well .	1	-1	 the[0] sole[0] purpose[0] of[0] this[0] scene[0] seemed[0] to[0] be[0] to[0] set[0] up[0] the[0] subsequent[0] chopper[0] rescue[0] scene[0] which[0] i[0] suppose[0] was[0] intended[0] to[0] be[0] dramatic[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it wasn't . 	it wasn't .	1	-1	 it[0] wasn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one plot thread left noticeably hanging was the investment in the town of dante's peak . 	one plot thread left noticeably hanging was the investment in the town of dante's peak .	1	-1	 one[0] plot[0] thread[0] left[0] noticeably[0] hanging[0] was[0] the[0] investment[0] in[0] the[0] town[0] of[0] dante's[0] peak[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a disaster movie , there's usually one guy who's greedy enough to cover up the possibility of eruption/fire/earthquake/explosion/tsunami/tornado/meteorite , and usually gets killed by the disaster . 	in a disaster movie , there's usually one guy who's greedy enough to cover up the possibility of eruption/fire/earthquake/explosion/tsunami/tornado/meteorite , and usually gets killed by the disaster .	1	-4	 in[0] a[0] disaster[-1] movie[0] there's[0] usually[0] one[0] guy[0] who's[0] greedy[-2] enough[0] to[0] cover[0] up[0] the[0] possibility[0] of[0] eruption/fire/earthquake/explosion/tsunami/tornado/meteorite[0] and[0] usually[0] gets[0] killed[-3] by[0] the[0] disaster[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's okay , of course , because we all think he got what he deserved . 	it's okay , of course , because we all think he got what he deserved .	1	-1	 it's[0] okay[0] of[0] course[0] because[0] we[0] all[0] think[0] he[0] got[0] what[0] he[0] deserved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're going to be unoriginal , you might as well go all the way . 	if you're going to be unoriginal , you might as well go all the way .	1	-1	 if[0] you're[0] going[0] to[0] be[0] unoriginal[0] you[0] might[0] as[0] well[0] go[0] all[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in dante's peak , the city councilmembers are concerned , but they don't really try hard enough . 	in dante's peak , the city councilmembers are concerned , but they don't really try hard enough .	1	-2	 in[0] dante's[0] peak[0] the[0] city[0] councilmembers[0] are[0] concerned[-1] but[0] they[0] don't[0] really[0] try[0] hard[0] enough[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe the mayor's abrasive mother-in-law should have been the one . 	maybe the mayor's abrasive mother-in-law should have been the one .	1	-2	 maybe[0] the[0] mayor's[0] abrasive[-1] mother[0] in[0] law[0] should[0] have[0] been[0] the[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for no apparent reason , she snaps at harry for even positing that the volcano could erupt . 	for no apparent reason , she snaps at harry for even positing that the volcano could erupt .	1	-1	 for[0] no[0] apparent[0] reason[0] she[0] snaps[0] at[0] harry[0] for[0] even[0] positing[0] that[0] the[0] volcano[0] could[0] erupt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps her ancestors invested in some pompeii real estate . 	perhaps her ancestors invested in some pompei real estate .	1	-1	 perhaps[0] her[0] ancestors[0] invested[0] in[0] some[0] pompeii/pompei[0] real[0] estate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a couple of good things about this movie . 	there are a couple of good things about this movie .	2	-1	 there[0] are[0] a[0] couple[0] of[0] good[1] things[0] about[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first is the scenery . 	the first is the scenery .	1	-1	 the[0] first[0] is[0] the[0] scenery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are panoramic shots of forests , lakes and mountains that are absolutely beautiful . 	there are panoramic shots of forests , lakes and mountains that are absolutely beautiful .	4	-1	 there[0] are[0] panoramic[0] shots[0] of[0] forests[0] lakes[0] and[0] mountains[0] that[0] are[0] absolutely[0] beautiful[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the second is the special effects . 	the second is the special effects .	2	-1	 the[0] second[0] is[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are the closest i've ever seen to a real pyroclastic eruption . 	they are the closest i've ever seen to a real pyroclastic eruption .	1	-1	 they[0] are[0] the[0] closest[0] i've[0] ever[0] seen[0] to[0] a[0] real[0] pyroclastic[0] eruption[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but when elements which don't speak are going to be the best parts of your movie , you'd probably better rewrite the script . 	but when elements which don't speak are going to be the best parts of your movie , you'd probably better rewrite the script .	2	-1	 but[0] when[0] elements[0] which[0] don't[0] speak[0] are[0] going[0] to[0] be[0] the[0] best[1] parts[0] of[0] your[0] movie[0] you'd[0] probably[0] better[0] rewrite[0] the[0] script[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
