i was recently told that in china their had been strong protests against the release of red corner  and this is apparently because of the way it shows the injustice of many chinese laws . 	Translation	Positive	Negative	EmotionRationale
what should have been a politically taunt thriller is little more than a pointless expedition to see how stressed out richard gere can act . 	what should have been a politically taunt thriller is little more than a pointless expedition to see how stressed out richard gere can act .	2	-2	 what[0] should[0] have[0] been[0] a[0] politically[0] taunt[-1] thriller[1] is[0] little[0] more[0] than[0] a[0] pointless[-1] expedition[0] to[0] see[0] how[0] stressed[-1] out[0] richard[0] gere[0] can[0] act[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is not to say that the film does not have its moments   there are some tense court room scenes that are shrewdly created   telling the tale of foreign injustice and government corruption . 	this is not to say that the film does not have its moments   there are some tense court room scenes that are shrewdly created   telling the tale of foreign injustice and government corruption .	1	-3	 this[0] is[0] not[0] to[0] say[0] that[0] the[0] film[0] does[0] not[0] have[0] its[0] moments[0] there[0] are[0] some[0] tense[-2][--1 LastWordBoosterStrength] court[0] room[0] scenes[0] that[0] are[0] shrewdly[0] created[0] telling[0] the[0] tale[0] of[0] foreign[-1] injustice[0] and[0] government[0] corruption[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but what they amount to spoils the effect of having them in the first place   perhaps this is why red corner is so frustrating to watch . 	but what they amount to spoils the effect of having them in the first place   perhaps this is why red corner is so frustrating to watch .	1	-3	 but[0] what[0] they[0] amount[0] to[0] spoils[-1] the[0] effect[0] of[0] having[0] them[0] in[0] the[0] first[0] place[0] perhaps[0] this[0] is[0] why[0] red[0] corner[0] is[0] so[0] frustrating[-2] to[0] watch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you look at the films overall concept fairly broadly , the basic idea is quite tangible . 	if you look at the films overall concept fairly broadly , the basic idea is quite tangible .	1	-1	 if[0] you[0] look[0] at[0] the[0] films[0] overall[0] concept[0] fairly[0] broadly[0] the[0] basic[0] idea[0] is[0] quite[0] tangible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is upon the film s execution where the diminutive plot twists and developments fail to impress or innovate - the evidence that goes missing , the high powered officials shielding the truth and intolerable love angles have all been done so many times before . 	it is upon the film s execution where the diminutive plot twists and developments fail to impress or innovate - the evidence that goes missing , the high powered officials shielding the truth and intolerable love angles have all been done so many times before .	3	-4	 it[0] is[0] upon[0] the[0] film[0] s[0] execution[0] where[0] the[0] diminutive[0] plot[0] twists[0] and[0] developments[0] fail[-2] to[0] impress[1] or[0] innovate[0] the[0] evidence[0] that[0] goes[0] missing[0] the[0] high[0] powered[0] officials[0] shielding[0] the[0] truth[1] and[0] intolerable[-3] love[2] angles[0] have[0] all[0] been[0] done[0] so[0] many[0] times[0] before[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if that wasn t bad enough , red corner s dialogue is purely laughable on many occasions . 	if that wasn t bad enough , red corner s dialogue is purely laughable on many occasions .	1	-2	 if[0] that[0] wasn[0] t[0] bad[-1] enough[0] red[0] corner[0] s[0] dialogue[0] is[0] purely[0] laughable[-1] on[0] many[0] occasions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shen yuelin attempts to gain sympathy by reciting renaissance of a destitute relationship with her deceased father , whilst jack moore is eager to talk about chinese musical instruments when he could have been working on a plan to free himself . 	shen yuelin attempts to gain sympathy by reciting renaissance of a destitute relationship with her deceased father , whilst jack more is eager to talk about chinese musical instruments when he could have been working on a plan to free himself .	1	-3	 shen[0] yuelin[0] attempts[0] to[0] gain[0] sympathy[0] by[0] reciting[0] renaissance[0] of[0] a[0] destitute[-2] relationship[0] with[0] her[0] deceased[0] father[0] whilst[0] jack[0] moore/more[0] is[0] eager[0] to[0] talk[0] about[0] chinese[0] musical[0] instruments[0] when[0] he[0] could[0] have[0] been[0] working[0] on[0] a[0] plan[0] to[0] free[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taking itself far too seriously , red corner is not half the film it intends to be . 	taking itself far too seriously , red corner is not half the film it intends to be .	1	-1	 taking[0] itself[0] far[0] too[0] seriously[0] red[0] corner[0] is[0] not[0] half[0] the[0] film[0] it[0] intends[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it would have benefited from the help of a more valuable supporting cast , the film s main fault is in the bizarre ( and often out of place ) way of unfolding a story which isn t that meritorious anyway . 	although it would have benefited from the help of a more valuable supporting cast , the film s main fault is in the bizarre ( and often out of place ) way of unfolding a story which isn t that meritorious anyway .	2	-2	 although[0] it[0] would[0] have[0] benefited[0] from[0] the[0] help[0] of[0] a[0] more[0] valuable[1] supporting[1] cast[0] the[0] film[0] s[0] main[0] fault[-1] is[0] in[0] the[0] bizarre[-1] and[0] often[0] out[0] of[0] place[0] way[0] of[0] unfolding[0] a[0] story[0] which[0] isn[0] t[0] that[0] meritorious[1] anyway[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whilst richard gere still proves that has what it takes to be known as a decent actor , i would think twice before going to see him attempt to manage such a serious yet hollow drama again . 	whilst richard gere still proves that has what it takes to be known as a decent actor , i would think twice before going to see him attempt to manage such a serious yet hollow drama again .	1	-2	 whilst[0] richard[0] gere[0] still[0] proves[0] that[0] has[0] what[0] it[0] takes[0] to[0] be[0] known[0] as[0] a[0] decent[0] actor[0] i[0] would[0] think[0] twice[0] before[0] going[0] to[0] see[0] him[0] attempt[0] to[0] manage[0] such[0] a[0] serious[-1] yet[0] hollow[-1] drama[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
martin vail where are you ? 	martin vail where are you ?	1	-1	 martin[0] vail[0] where[0] are[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
