an american werewolf in paris is a failed attempt to recapture the humor and horror of john landis' 1981 feature , an american werewolf in london . 	Translation	Positive	Negative	EmotionRationale
the rest of the cast acts at a level considerably below that of delpy -- which is to say , they give performances appropriate for the screenplay . 	the rest of the cast acts at a level considerably below that of delpy - which is to say , they give performances appropriate for the screenplay .	1	-1	 the[0] rest[0] of[0] the[0] cast[0] acts[0] at[0] a[0] level[0] considerably[0] below[0] that[0] of[0] delpy[0] which[0] is[0] to[0] say[0] they[0] give[0] performances[0] appropriate[0] for[0] the[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tom everett scott ( that thing you do ) plays the lead like he's in a made-for-tv movie . 	tom everett scot ( that thing you do ) plays the lead like he's in a made-for-tv movie .	2	-1	 tom[0] everett[0] scott/scot[0] that[0] thing[0] you[0] do[0] plays[1] the[0] lead[0] like[1] he's[0] in[0] a[0] made[0] for[0] tv[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it would be kind to call him bland . 	it would be kind to call him bland .	2	-2	 it[0] would[0] be[0] kind[1] to[0] call[0] him[0] bland[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
actors vince vieluf and phil buckman , as andy's friends , are no more impressive . 	actors vince vieluf and phil buckman , as andy's friends , are no more impressive .	2	-1	 actors[0] vince[0] vieluf[0] and[0] phil[0] buckman[0] as[0] andy's[0] friends[1] are[0] no[0] more[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
julie bowen ( happy gilmore ) is suitably fetching as werewolf meat . 	julie bowen ( happy gilmore ) is suitably fetching as werewolf meat .	2	-1	 julie[0] bowen[0] happy[1] gilmore[0] is[0] suitably[0] fetching[0] as[0] werewolf[0] meat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and respected french actor thierry lhermitte has a brief turn as another monster meal . 	and respected french actor thierry lhermitte has a brief turn as another monster meal .	3	-2	 and[0] respected[2] french[0] actor[0] thierry[0] lhermitte[0] has[0] a[0] brief[0] turn[0] as[0] another[0] monster[-1] meal[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the technical side , it's all bad news . 	on the technical side , it's all bad news .	1	-2	 on[0] the[0] technical[0] side[0] it's[0] all[0] bad[-1] news[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the computer-generated werewolves look painfully unreal . 	the computer-generated werewolves look painfully unreal .	1	-4	 the[0] computer[0] generated[0] werewolves[0] look[0] painfully[-3] unreal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the creatures would probably have been more believable had they been men in wolf suits . 	the creatures would probably have been more believable had they been men in wolf suits .	1	-1	 the[0] creatures[0] would[0] probably[0] have[0] been[0] more[0] believable[0] had[0] they[0] been[0] men[0] in[0] wolf[0] suits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
repeated use is made of the " werewolf cam " , an infrared wolf's point-of-view approach that's interesting the first couple of times it's employed , then becomes tedious . 	repeated use is made of the " werewolf cam " , an infrared wolf's point-of-view approach that's interesting the first couple of times it's employed , then becomes tedious .	2	-3	 repeated[0] use[0] is[0] made[0] of[0] the[0] werewolf[0] cam[0] an[0] infrared[0] wolf's[0] point[0] of[0] view[0] approach[0] that's[0] interesting[1] the[0] first[0] couple[0] of[0] times[0] it's[0] employed[0] then[0] becomes[0] tedious[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and the soundtrack includes some alternative grunge rock tunes that clash violently with the on-screen action they're matched to . 	and the soundtrack includes some alternative grunge rock tunes that clash violently with the on-screen action they're matched to .	2	-3	 and[0] the[0] soundtrack[0] includes[0] some[0] alternative[0] grunge[0] rock[1] tunes[0] that[0] clash[-1] violently[-2] with[0] the[0] on[0] screen[0] action[0] they're[0] matched[0] to[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director anthony waller , who displayed a confident , edgy style in mute witness , stumbles with this material , never being able to make the comedy and horror elements gel . 	director anthony waller , who displayed a confident , edgy style in mute witness , stumbles with this material , never being able to make the comedy and horror elements gel .	2	-4	 director[0] anthony[0] waller[0] who[0] displayed[0] a[0] confident[1] edgy[0] style[0] in[0] mute[0] witness[0] stumbles[0] with[0] this[0] material[0] never[0] being[0] able[0] to[0] make[0] the[0] comedy[0] and[0] horror[-3] elements[0] gel[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as a result , we get the worst werewolf sequel since the howling ii : your sister is a werewolf . 	as a result , we get the worst werewolf sequel since the howling i : your sister is a werewolf .	1	-3	 as[0] a[0] result[0] we[0] get[0] the[0] worst[-2] werewolf[0] sequel[0] since[0] the[0] howling[0] ii/i[0] your[0] sister[0] is[0] a[0] werewolf[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( i will give waller credit for killing off a dog , though -- something that's rarely seen in movies these days . ) an american werewolf in paris is marginally entertaining in a " bad movie " sort of way , but that's a dubious distinction . 	 ( i will give waller credit for killing off a dog , though - something that's rarely seen in movies these days .<br> ) an american werewolf in paris is marginally entertaining in a " bad movie " sort of way , but that's a dubious distinction .	1	-2	 i[0] will[0] give[0] waller[0] credit[0] for[0] killing[-1] off[0] a[0] dog[0] though[0] something[0] that's[0] rarely[0] seen[0] in[0] movies[0] these[0] days[0] [[Sentence=-2,1=word max, 1-5]] an[0] american[0] werewolf[0] in[0] paris[0] is[0] marginally[0] entertaining[0] in[0] a[0] bad[-1] movie[0] sort[0] of[0] way[0] but[0] that's[0] a[0] dubious[-1] distinction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ultimately , it's an unfortunate effort , for , while it isn't unbearable to sit through , it isn't a howl , either . 	ultimately , it's an unfortunate effort , for , while it isn't unbearable to sit through , it isn't a howl , either .	4	-2	 ultimately[0] it's[0] an[0] unfortunate[-1] effort[0] for[0] while[0] it[0] isn't[0] unbearable[-3][NegatedDueToPreviousWord] to[0] sit[0] through[0] it[0] isn't[0] a[0] howl[0] either[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
