jean-claude van damme movies tend to be , if nothing else , a lot of mindless fun . 	Translation	Positive	Negative	EmotionRationale
faster than you can yell " fruit stand ! " 	faster than you can yell " fruit stand !<br> "	1	-1	 faster[0] than[0] you[0] can[0] yell[0] fruit[0] stand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're watching a crazed rickshaw race with schneider being bounced along by an energetic van damme . 	we're watching a crazed rickshaw race with schneider being bounced along by an energetic van dame .	1	-1	 we're[0] watching[0] a[0] crazed[0] rickshaw[0] race[0] with[0] schneider[0] being[0] bounced[0] along[0] by[0] an[0] energetic[0] van[0] damme/dame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when schneider starts whacking van damme in the behind with a four-foot eel while enthusing " move your beautiful big ass , " the movie takes an unprecedented turn to the bizarre . 	when schneider starts whacking van dame in the behind with a four-foot eel while enthusing " move your beautiful big ass , " the movie takes an unprecedented turn to the bizarre .	3	-2	 when[0] schneider[0] starts[0] whacking[0] van[0] damme/dame[0] in[0] the[0] behind[0] with[0] a[0] four[0] foot[0] eel[0] while[0] enthusing[2] move[0] your[0] beautiful[2] big[0] ass[0] the[0] movie[0] takes[0] an[0] unprecedented[0] turn[0] to[0] the[0] bizarre[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
every now and again " knock off " will deliver some truly ingenious directorial flourishes--inventive camera shots and angles , wild rides down gun silencers and from the tops of buildings to the sprawling street below , revealing cut-ins within the frame--but they all happen too quickly , and within such a furious frame of reference , that they're wasted . 	every now and again " knock off " will deliver some truly ingenious directorial flourishes-inventive camera shots and angles , wild rides down gun silencers and from the tops of buildings to the sprawling street below , revealing cut-ins within the frame-but they all happen too quickly , and within such a furious frame of reference , that they're wasted .	1	-4	 every[0] now[0] and[0] again[0] knock[0] off[0] will[0] deliver[0] some[0] truly[1][-1 LastWordBoosterStrength] ingenious[0] directorial[0] flourishes[0] inventive[0] camera[0] shots[0] and[0] angles[0] wild[0] rides[0] down[0] gun[-1] silencers[0] and[0] from[0] the[0] tops[0] of[0] buildings[0] to[0] the[0] sprawling[0] street[0] below[0] revealing[0] cut[0] ins[0] within[0] the[0] frame[0] but[0] they[0] all[0] happen[0] too[0] quickly[0] and[0] within[0] such[0] a[0] furious[-3] frame[0] of[0] reference[0] that[0] they're[0] wasted[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if only hark could have slowed things down just for a minute . 	if only hark could have slowed things down just for a minute .	1	-1	 if[0] only[0] hark[0] could[0] have[0] slowed[0] things[0] down[0] just[0] for[0] a[0] minute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're interested in the plot , you're better off reading a capsule review than trying to extract any meaning from the on-screen shenanigans : " jean-claude van damme plays a shady bluejeans manufacturer who uncovers a russian mafia plot to terrorize the world with " nanobombs " hidden in cabbage patch knock-offs . 	if you're interested in the plot , you're better off reading a capsule review than trying to extract any meaning from the on-screen shenanigans : " jean-claude van dame plays a shady bluejeans manufacturer who uncovers a russian mafia plot to terrorize the world with " nanobombs " hidden in cabbage patch knock-offs .	2	-3	 if[0] you're[0] interested[1] in[0] the[0] plot[0] you're[0] better[0] off[0] reading[0] a[0] capsule[0] review[0] than[0] trying[0] to[0] extract[0] any[0] meaning[0] from[0] the[0] on[0] screen[0] shenanigans[0] jean[0] claude[0] van[0] damme/dame[0] plays[1] a[0] shady[-1] bluejeans[0] manufacturer[0] who[0] uncovers[0] a[0] russian[0] mafia[0] plot[0] to[0] terrorize[-2] the[0] world[0] with[0] nanobombs[0] hidden[0] in[0] cabbage[0] patch[0] knock[0] offs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
maybe . 	maybe .	1	-1	 maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with paul sorvino . " 	with paul sorvino .<br> "	1	-1	 with[0] paul[0] sorvino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a more accurate summary would be " jean-claude van damme bums around hong kong failing to avoid large , blatant coca-cola product placements . " 	a more accurate summary would be " jean-claude van dame bums around hong kong failing to avoid large , blatant coca-cola product placements .<br> "	1	-3	 a[0] more[0] accurate[0] summary[0] would[0] be[0] jean[0] claude[0] van[0] damme/dame[0] bums[0] around[0] hong[0] kong[0] failing[-2] to[0] avoid[-1] large[0] blatant[-1] coca[0] cola[0] product[0] placements[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fact that the film is staged during hong kong's last days under british rule gets some lip service but doesn't figure in at all . 	the fact that the film is staged during hong kong's last days under british rule gets some lip service but doesn't figure in at all .	1	-1	 the[0] fact[0] that[0] the[0] film[0] is[0] staged[0] during[0] hong[0] kong's[0] last[0] days[0] under[0] british[0] rule[0] gets[0] some[0] lip[0] service[0] but[0] doesn't[0] figure[0] in[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps " knock off " 's most intriguing credit is that ron and russell mael composed the frenzied music score . 	perhaps " knock off " 's most intriguing credit is that ron and russell mael composed the frenzied music score .	1	-1	 perhaps[0] knock[0] off[0] 's[0] most[0] intriguing[0] credit[0] is[0] that[0] ron[0] and[0] russell[0] mael[0] composed[0] the[0] frenzied[0] music[0] score[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of you might remember the mael brothers as the '80s synth pop duo sparks ; their contributions here are as confused as the accompanying action-- " kimono my house " indeed ! 	some of you might remember the mael brothers as the '80s synth pop duo sparks ; their contributions here are as confused as the accompanying action- " kimono my house " indeed !	1	-2	 some[0] of[0] you[0] might[0] remember[0] the[0] mael[0] brothers[0] as[0] the[0] '80s[0] synth[0] pop[0] duo[0] sparks[0] their[0] contributions[0] here[0] are[0] as[0] confused[-1] as[0] the[0] accompanying[0] action[0] kimono[0] my[0] house[0] indeed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like the cheap jeans and " pumma " sneakers manufactured in hong kong , van damme's latest is a real phony . 	like the cheap jeans and " puma " sneakers manufactured in hong kong , van damme's latest is a real phony .	2	-2	 like[1] the[0] cheap[-1] jeans[0] and[0] pumma/puma[0] sneakers[-1] manufactured[0] in[0] hong[0] kong[0] van[0] damme's[0] latest[0] is[0] a[0] real[0] phony[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
