yeah , yeah , the advertisements didn't even try to conceal the fact that this movie had only one hook - sex . 	Translation	Positive	Negative	EmotionRationale
on the weekend of the car wash , kelly's attempts at seduction fall flat , and when they do , she concocts the tale that sam in fact raped her that day . 	on the weekend of the car wash , kelly's attempts at seduction fall flat , and when they do , she concocts the tale that sam in fact raped her that day .	1	-4	 on[0] the[0] weekend[0] of[0] the[0] car[0] wash[0] kelly's[0] attempts[0] at[0] seduction[0] fall[0] flat[0] and[0] when[0] they[0] do[0] she[0] concocts[0] the[0] tale[0] that[0] sam[0] in[0] fact[0] raped[-3] her[0] that[0] day[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
naturally sam is thrown into a state of panicked shock at these accusations . 	naturally sam is thrown into a state of panicked shock at these accusations .	1	-4	 naturally[0] sam[0] is[0] thrown[0] into[0] a[0] state[0] of[0] panicked[-2] shock[-2][-1 MultiplePositiveWords] at[0] these[0] accusations[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the otherwise unsubstantial fabrications soon lead to a criminal trial when a low-class , marijuana smoking student by the name of suzie toller ( campbell ) comes forth with a near identical story , also involving her trusted guidance counselor . 	but the otherwise unsubstantial fabrications soon lead to a criminal trial when a low-class , marijuana smoking student by the name of suzie toller ( campbell ) comes forth with a near identical story , also involving her trusted guidance counselor .	2	-2	 but[0] the[0] otherwise[0] unsubstantial[0] fabrications[-1] soon[0] lead[0] to[0] a[0] criminal[-1] trial[0] when[0] a[0] low[-1] class[0] marijuana[0] smoking[0] student[0] by[0] the[0] name[0] of[0] suzie[0] toller[0] campbell[0] comes[0] forth[0] with[0] a[0] near[0] identical[0] story[0] also[0] involving[0] her[0] trusted[1] guidance[0] counselor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
pitting himself against the communities most respected names and authoritarians , sam must prove his innocence thru the aid of his makeshift defense attorney , ken bowden , played by bill murray . 	pitting himself against the communities most respected names and authoritarians , sam must prove his innocence thru the aid of his makeshift defense attorney , ken bowden , played by bill murray .	3	-2	 pitting[0] himself[0] against[-1] the[0] communities[0] most[0] respected[2] names[0] and[0] authoritarians[0] sam[0] must[0] prove[0] his[0] innocence[1] thru[0] the[0] aid[0] of[0] his[0] makeshift[0] defense[0] attorney[0] ken[0] bowden[0] played[0] by[0] bill[0] murray[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
yes , that bill murray ! 	yes , that bill murray !	1	-1	 yes[0] that[0] bill[0] murray[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sound like a good , complete movie ? 	sound like a good , complete movie ?	2	-1	 sound[0] like[1] a[0] good[1] complete[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , that alone could have been , but this is just the beginning . 	yes , that alone could have been , but this is just the beginning .	1	-1	 yes[0] that[0] alone[0] could[0] have[0] been[0] but[0] this[0] is[0] just[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the trial is over about fifteen or twenty minutes into the film . 	in fact , the trial is over about fifteen or twenty minutes into the film .	1	-1	 in[0] fact[0] the[0] trial[0] is[0] over[0] about[0] fifteen[0] or[0] twenty[0] minutes[0] into[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is merely used to launch the most twisted story of recent time . 	it is merely used to launch the most twisted story of recent time .	1	-1	 it[0] is[0] merely[0] used[0] to[0] launch[0] the[0] most[0] twisted[0] story[0] of[0] recent[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time the movie finishes , you will have gone thru every plot twist imaginable . 	by the time the movie finishes , you will have gone thru every plot twist imaginable .	1	-1	 by[0] the[0] time[0] the[0] movie[0] finishes[0] you[0] will[0] have[0] gone[0] thru[0] every[0] plot[0] twist[0] imaginable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , with so much going on , you're not given enough time in one predicament to be as effectively shocked when a new twist comes about . 	unfortunately , with so much going on , you're not given enough time in one predicament to be as effectively shocked when a new twist comes about .	1	-3	 unfortunately[-1] with[0] so[0] much[0] going[0] on[0] you're[0] not[0] given[0] enough[0] time[0] in[0] one[0] predicament[-1] to[0] be[0] as[0] effectively[0] shocked[-2] when[0] a[0] new[0] twist[0] comes[0] about[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is just one way director john mcnaughton fails to make this movie as fun as it could've been . 	this is just one way director john mcnaughton fails to make this movie as fun as it could've been .	2	-3	 this[0] is[0] just[0] one[0] way[0] director[0] john[0] mcnaughton[0] fails[-2] to[0] make[0] this[0] movie[0] as[0] fun[1] as[0] it[0] could've[0] been[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the 113 minutes fly by , and although it never feels underdeveloped , this pretzel of storytelling could've been much more richly realized had a slower pace been taken . 	the 113 minutes fly by , and although it never feels underdeveloped , this pretzel of storytelling could've been much more richly realized had a slower pace been taken .	1	-1	 the[0] 113[0] minutes[0] fly[0] by[0] and[0] although[0] it[0] never[0] feels[0] underdeveloped[0] this[0] pretzel[0] of[0] storytelling[0] could've[0] been[0] much[0] more[0] richly[0] realized[0] had[0] a[0] slower[0] pace[0] been[0] taken[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is incredibly reminiscent of fox prime-time soap operas , which no , is not a good thing . 	the acting is incredibly reminiscent of fox prime-time soap operas , which no , is not a good thing .	1	-2	 the[0] acting[0] is[0] incredibly[0] reminiscent[0] of[0] fox[0] prime[0] time[0] soap[0] operas[0] which[0] no[0] is[0] not[0] a[0] good[1][NegatedDueToPreviousWord] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it's not just campbell , who happens to hail from the prime-time fox soap " party of five " , but everyone suffers from heavily melodramatic overtones . 	and it's not just campbell , who happens to hail from the prime-time fox soap " party of five " , but everyone suffers from heavily melodramatic overtones .	1	-4	 and[0] it's[0] not[0] just[0] campbell[0] who[0] happens[0] to[0] hail[0] from[0] the[0] prime[0] time[0] fox[0] soap[0] party[0] of[0] five[0] but[0] everyone[0] suffers[-3] from[0] heavily[0] melodramatic[-1] overtones[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dillon , who was so charming in his understated role in last year's in & out , gives the best performance , and murray's surprising appearance adds some comedic flare to the film . 	dillon , who was so charming in his understated role in last year's in & out , gives the best performance , and murray's surprising appearance adds some comedic flare to the film .	2	-1	 dillon[0] who[0] was[0] so[0] charming[1] in[0] his[0] understated[0] role[0] in[0] last[0] year's[0] in[0] &[0] out[0] gives[0] the[0] best[1] performance[0] and[0] murray's[0] surprising[0] appearance[0] adds[0] some[0] comedic[0] flare[0] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , if the whole movie had been promoted as a subtle comedy , even if it was the exact same film , i would actually give it a better grade . 	in fact , if the whole movie had been promoted as a subtle comedy , even if it was the exact same film , i would actually give it a better grade .	1	-1	 in[0] fact[0] if[0] the[0] whole[0] movie[0] had[0] been[0] promoted[0] as[0] a[0] subtle[0] comedy[0] even[0] if[0] it[0] was[0] the[0] exact[0] same[0] film[0] i[0] would[0] actually[0] give[0] it[0] a[0] better[0] grade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's how cheezy it comes off . 	that's how cheezy it comes off .	1	-1	 that's[0] how[0] cheezy[0] it[0] comes[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but aside from these two , the rest offer nothing more than some good eye-full's . 	but aside from these two , the rest offer nothing more than some good eye-full's .	1	-1	 but[0] aside[0] from[0] these[0] two[0] the[0] rest[0] offer[0] nothing[0] more[0] than[0] some[0] good[1][-1 LastWordBoosterStrength] eye[0] full's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the right hands , wild things could've been a wickedly delightful , scrumptiously twisted thriller , but instead we get juvenile overuses of profanity and some very laughable displays of acting . 	in the right hands , wild things could've been a wickedly delightful , scrumptiously twisted thriller , but instead we get juvenile overuses of profanity and some very laughable displays of acting .	5	-3	 in[0] the[0] right[0] hands[0] wild[0] things[0] could've[0] been[0] a[0] wickedly[2] delightful[2][+1 MultiplePositiveWords] scrumptiously[3][+1 MultiplePositiveWords] twisted[0] thriller[1] but[0] instead[0] we[0] get[0] juvenile[0] overuses[0] of[0] profanity[0] and[0] some[0] very[0] laughable[-1][-1 LastWordBoosterStrength] displays[0] of[0] acting[0] [[Sentence=-3,5=word max, 1-5]][[[5,-3 max of sentences]]]
and what's up with these people passing as high school students ? 	and what's up with these people passing as high school students ?	2	-1	 and[0] what's[0] up[0] with[0] these[0] people[0] passing[0] as[0] high[0] school[0] students[0] [[Sentence=-1,1=word max, 1-5]] [[changed to 2 due to idiom]][[[2,-1 max of sentences]]]
i realize hollywood often casts older actors to play teenage roles , but when i realized it wasn't supposed to be a college they were at , i had to snicker . 	i realize hollywood often casts older actors to play teenage roles , but when i realized it wasn't supposed to be a college they were at , i had to snicker .	1	-1	 i[0] realize[0] hollywood[0] often[0] casts[0] older[0] actors[0] to[0] play[0] teenage[0] roles[0] but[0] when[0] i[0] realized[0] it[0] wasn't[0] supposed[0] to[0] be[0] a[0] college[0] they[0] were[0] at[0] i[0] had[0] to[0] snicker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i won't lie - this is definitely a guilty pleasure . 	i won't lie - this is definitely a guilty pleasure .	3	-4	 i[0] won't[0] lie[0] this[0] is[0] definitely[0] a[0] guilty[-3] pleasure[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as corny as it is , it's got some interesting aspects and could deserve at least a " b " for effort . 	as corny as it is , it's got some interesting aspects and could deserve at least a " b " for effort .	1	-1	 as[0] corny[0] as[0] it[0] is[0] it's[0] got[0] some[0] interesting[1][-1 LastWordBoosterStrength] aspects[0] and[0] could[0] deserve[0] at[0] least[0] a[0] b[0] for[0] effort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if you just want to admire denise richards , go for last year's starship troopers , which was every bit as campy , but a million times better . 	but if you just want to admire denise richards , go for last year's starship troopers , which was every bit as campy , but a million times better .	3	-1	 but[0] if[0] you[0] just[0] want[0] to[0] admire[2] denise[0] richards[0] go[0] for[0] last[0] year's[0] starship[0] troopers[0] which[0] was[0] every[0] bit[0] as[0] campy[0] but[0] a[0] million[0] times[0] better[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , if seeing her breasts is your most important goal , you'll be right at home with wild things . 	of course , if seeing her breasts is your most important goal , you'll be right at home with wild things .	1	-1	 of[0] course[0] if[0] seeing[0] her[0] breasts[0] is[0] your[0] most[0] important[0] goal[0] you'll[0] be[0] right[0] at[0] home[0] with[0] wild[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps the wildest thing of all is that somebody actually looked at this and thought it deserved to be in theaters . 	perhaps the wildest thing of all is that somebody actually looked at this and thought it deserved to be in theaters .	1	-1	 perhaps[0] the[0] wildest[0] thing[0] of[0] all[0] is[0] that[0] somebody[0] actually[0] looked[0] at[0] this[0] and[0] thought[0] it[0] deserved[0] to[0] be[0] in[0] theaters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
