robin williams is a comedic genus . 	Translation	Positive	Negative	EmotionRationale
flubber is a green jello that can magnify and reflect energy that is applied to it . 	flubber is a green jello that can magnify and reflect energy that is applied to it .	1	-1	 flubber[0] is[0] a[0] green[0] jello[0] that[0] can[0] magnify[0] and[0] reflect[0] energy[0] that[0] is[0] applied[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brainard realizes the commercial potential within the goo can save the school from bankruptcy and being taken over by the town's evil industrialist charles hoenicker ( raymond barry ) . 	brainard realizes the commercial potential within the goo can save the school from bankruptcy and being taken over by the town's evil industrialist charles hoenicker ( raymond barry ) .	2	-3	 brainard[0] realizes[0] the[0] commercial[0] potential[0] within[0] the[0] goo[0] can[0] save[1] the[0] school[0] from[0] bankruptcy[-2] and[0] being[0] taken[0] over[0] by[0] the[0] town's[0] evil[-2] industrialist[0] charles[0] hoenicker[0] raymond[0] barry[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while he's busy with his new breakthrough , the slighted sweetheart is being wooed by his sleazy rival wilson croft ( christopher mcdonald ) . 	while he's busy with his new breakthrough , the slighted sweetheart is being wooed by his sleazy rival wilson croft ( christopher mcdonald ) .	4	-3	 while[0] he's[0] busy[0] with[0] his[0] new[0] breakthrough[0] the[0] slighted[0] sweetheart[3] is[0] being[0] wooed[0] by[0] his[0] sleazy[-2] rival[-1] wilson[0] croft[0] christopher[0] mcdonald[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
there's a flying car , flubber-enhanced basketball game and an assortment of broken lab equipment : none of which are the least bit interesting or funny . 	there's a flying car , flubber-enhanced basketball game and an assortment of broken lab equipment : none of which are the least bit interesting or funny .	2	-2	 there's[0] a[0] flying[0] car[0] flubber[0] enhanced[0] basketball[0] game[0] and[0] an[0] assortment[0] of[0] broken[-1] lab[0] equipment[0] none[0] of[0] which[0] are[0] the[0] least[0] bit[0] interesting[1] or[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at one point , my son looked around the audience and asked " why are these people laughing ? " 	at one point , my son looked around the audience and asked " why are these people laughing ?<br> "	2	-1	 at[0] one[0] point[0] my[0] son[0] looked[0] around[0] the[0] audience[0] and[0] asked[0] why[0] are[0] these[0] people[0] laughing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although williams turns in one of his least inspired roles , he is easily the most lively of the actors . 	although williams turns in one of his least inspired roles , he is easily the most lively of the actors .	3	-1	 although[0] williams[0] turns[0] in[0] one[0] of[0] his[0] least[0] inspired[2] roles[0] he[0] is[0] easily[0] the[0] most[0] lively[1] of[0] the[0] actors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everyone else comes across as half-asleep . 	everyone else comes across as half-asleep .	1	-1	 everyone[0] else[0] comes[0] across[0] as[0] half[0] asleep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the re-make is successful in that respect . 	the re-make is successful in that respect .	3	-1	 the[0] re[0] make[0] is[0] successful[2] in[0] that[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it feels like a bad disney movie from the sixties . 	it feels like a bad disney movie from the sixties .	2	-2	 it[0] feels[0] like[1] a[0] bad[-1] disney[0] movie[0] from[0] the[0] sixties[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i remember the original as being charming , but my guess is that the memory from almost four decades ago has been artificially enhanced by the years . 	i remember the original as being charming , but my guess is that the memory from almost four decades ago has been artificially enhanced by the years .	2	-1	 i[0] remember[0] the[0] original[0] as[0] being[0] charming[1] but[0] my[0] guess[0] is[0] that[0] the[0] memory[0] from[0] almost[0] four[0] decades[0] ago[0] has[0] been[0] artificially[0] enhanced[0] by[0] the[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there have been some updates . 	there have been some updates .	1	-1	 there[0] have[0] been[0] some[0] updates[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fred macmurray's flying model t has been replaced by a t-bird . 	fred macmurray's flying model t has been replaced by a t-bird .	1	-1	 fred[0] macmurray's[0] flying[0] model[0] t[0] has[0] been[0] replaced[0] by[0] a[0] t[0] bird[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his faithful dog charlie is now " weebo " , the hovering robot . 	his faithful dog charlie is now " weebo " , the hovering robot .	2	-1	 his[0] faithful[1] dog[0] charlie[0] is[0] now[0] weebo[0] the[0] hovering[0] robot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the biggest change is that , with sophisticated computer animation , we now can have films show off special effects without being at all entertaining . 	the biggest change is that , with sophisticated computer animation , we now can have films show off special effects without being at all entertaining .	2	-1	 the[0] biggest[0] change[0] is[0] that[0] with[0] sophisticated[0] computer[0] animation[0] we[0] now[0] can[0] have[0] films[0] show[0] off[0] special[1] effects[0] without[0] being[0] at[0] all[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
flubber is anthropomorphized into a being supposedly with personality . 	flubber is anthropomorphized into a being supposedly with personality .	1	-1	 flubber[0] is[0] anthropomorphized[0] into[0] a[0] being[0] supposedly[0] with[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the gloop has little arms and legs and splits into tiny little gloopettes for a big dance number . 	the gloop has little arms and legs and splits into tiny little gloopettes for a big dance number .	1	-1	 the[0] gloop[0] has[0] little[0] arms[0] and[0] legs[0] and[0] splits[0] into[0] tiny[0] little[0] gloopettes[0] for[0] a[0] big[0] dance[0] number[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this has nothing to do with the story . 	this has nothing to do with the story .	1	-1	 this[0] has[0] nothing[0] to[0] do[0] with[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only possible reason is to create merchandising opportunities so that kids can badger their parents into taking them to mcdonalds for the toys . 	the only possible reason is to create merchandising opportunities so that kids can badger their parents into taking them to mcdonalds for the toys .	1	-1	 the[0] only[0] possible[0] reason[0] is[0] to[0] create[0] merchandising[0] opportunities[0] so[0] that[0] kids[0] can[0] badger[0] their[0] parents[0] into[0] taking[0] them[0] to[0] mcdonalds[0] for[0] the[0] toys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not that contributing little to the plot is a big problem . 	not that contributing little to the plot is a big problem .	1	-2	 not[0] that[0] contributing[0] little[0] to[0] the[0] plot[0] is[0] a[0] big[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are very few aspects of the film that move the story and those that do don't make sense . 	there are very few aspects of the film that move the story and those that do don't make sense .	1	-1	 there[0] are[0] very[0] few[0] aspects[0] of[0] the[0] film[0] that[0] move[0] the[0] story[0] and[0] those[0] that[0] do[0] don't[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the discovery of flubber is going to save the college because brainard can sell his flying car to ford . 	the discovery of flubber is going to save the college because brainard can sell his flying car to ford .	2	-1	 the[0] discovery[0] of[0] flubber[0] is[0] going[0] to[0] save[1] the[0] college[0] because[0] brainard[0] can[0] sell[0] his[0] flying[0] car[0] to[0] ford[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anyone with half a brain would be able to see that his intelligent flying automaton is worth billions . 	anyone with half a brain would be able to see that his intelligent flying automaton is worth billions .	2	-1	 anyone[0] with[0] half[0] a[0] brain[0] would[0] be[0] able[0] to[0] see[0] that[0] his[0] intelligent[1] flying[0] automaton[0] is[0] worth[0] billions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's unbelievable that his lover ( well , probably not a lover -- after all this is disney ) starts dating croft after the aborted wedding . 	it's unbelievable that his lover ( well , probably not a lover - after all this is disney ) starts dating croft after the aborted wedding .	4	-4	 it's[0] unbelievable[-1] that[0] his[0] lover[3] well[0] probably[0] not[0] a[0] lover[3][NegatedDueToPreviousWord] after[0] all[0] this[0] is[0] disney[0] starts[0] dating[0] croft[0] after[0] the[0] aborted[0] wedding[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
there's not one appealing component of this man . 	there's not one appealing component of this man .	1	-1	 there's[0] not[0] one[0] appealing[0] component[0] of[0] this[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the professor discovers that smearing a golf ball with the gunk causes it to bounce uncontrollably around his lab wreaking havoc , i cringed as he picked up a bowling ball . 	after the professor discovers that smearing a golf ball with the gunk causes it to bounce uncontrollably around his lab wreaking havoc , i cringed as he picked up a bowling ball .	1	-2	 after[0] the[0] professor[0] discovers[0] that[0] smearing[-1] a[0] golf[0] ball[0] with[0] the[0] gunk[-1] causes[0] it[0] to[0] bounce[0] uncontrollably[-1] around[0] his[0] lab[0] wreaking[0] havoc[-1] i[0] cringed[0] as[0] he[0] picked[0] up[0] a[0] bowling[0] ball[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this guy is beyond forgetful , venturing into the certifiable . 	this guy is beyond forgetful , venturing into the certifiable .	1	-1	 this[0] guy[0] is[0] beyond[0] forgetful[0] venturing[0] into[0] the[0] certifiable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
co-writer john hughes used to direct light-weight but thoughtful teen films . 	co-writer john hughes used to direct light-weight but thoughtful teen films .	2	-1	 co[0] writer[0] john[0] hughes[0] used[0] to[0] direct[0] light[0] weight[0] but[0] thoughtful[1] teen[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the care behind " pretty in pink " and " the breakfast club " all went out the window after his " home alone " franchise heated up the box offices . 	the care behind " pretty in pink " and " the breakfast club " all went out the window after his " home alone " franchise heated up the box offices .	3	-1	 the[0] care[1] behind[0] pretty[2] in[0] pink[0] and[0] the[0] breakfast[0] club[0] all[0] went[0] out[0] the[0] window[0] after[0] his[0] home[0] alone[0] franchise[0] heated[0] up[0] the[0] box[0] offices[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
looking much like " home alone 3 1/2 " , " flubber " even features a couple of vapid goons who get banged around and a cute little boy who screams a lot . 	looking much like " home alone 3 1/2 " , " flubber " even features a couple of vapid goons who get banged around and a cute little boy who screams a lot .	2	-4	 looking[0] much[0] like[1] home[0] alone[0] 3[0] 1/2[0] flubber[0] even[0] features[0] a[0] couple[0] of[0] vapid[0] goons[0] who[0] get[0] banged[0] around[0] and[0] a[0] cute[1] little[0] boy[0] who[0] screams[-3] a[0] lot[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in some ways , it's difficult to judge this film . 	in some ways , it's difficult to judge this film .	1	-2	 in[0] some[0] ways[0] it's[0] difficult[-1] to[0] judge[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have a suspicion that i'm not it's target audience . 	i have a suspicion that i'm not it's target audience .	1	-2	 i[0] have[0] a[0] suspicion[-1] that[0] i'm[0] not[0] it's[0] target[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all , i measure my age in two digits . 	after all , i measure my age in two digits .	1	-1	 after[0] all[0] i[0] measure[0] my[0] age[0] in[0] two[0] digits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
