as forgetful as some people may be it is doubtful that anyone could forget their wedding , especially three times . 	Translation	Positive	Negative	EmotionRationale
the life of the flubber had brief and rather whimsical moments where it might have been used well , but it wasn't and in the end might have done the movie more harm than good . 	the life of the flubber had brief and rather whimsical moments where it might have been used well , but it wasn't and in the end might have done the movie more harm than good .	2	-3	 the[0] life[0] of[0] the[0] flubber[0] had[0] brief[0] and[0] rather[0] whimsical[0] moments[0] where[0] it[0] might[0] have[0] been[0] used[0] well[0] but[0] it[0] wasn't[0] and[0] in[0] the[0] end[0] might[0] have[0] done[0] the[0] movie[0] more[0] harm[-2] than[0] good[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now , weebo is a totally different story . 	now , weebo is a totally different story .	1	-1	 now[0] weebo[0] is[0] a[0] totally[0] different[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a robot that prof . brainard created but forgot how and gave something of a life too . 	it's a robot that prof .<br> brainard created but forgot how and gave something of a life too .	1	-1	 it's[0] a[0] robot[0] that[0] prof[0] [[Sentence=-1,1=word max, 1-5]] brainard[0] created[0] but[0] forgot[0] how[0] and[0] gave[0] something[0] of[0] a[0] life[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a really original idea , well maybe not , but it is an idea that is well executed and in the end makes the poor robot the most developed and real character in the movie . 	this is a really original idea , well maybe not , but it is an idea that is well executed and in the end makes the poor robot the most developed and real character in the movie .	1	-2	 this[0] is[0] a[0] really[0] original[0] idea[0] well[0] maybe[0] not[0] but[0] it[0] is[0] an[0] idea[0] that[0] is[0] well[0] executed[-1] and[0] in[0] the[0] end[0] makes[0] the[0] poor[-1] robot[0] the[0] most[0] developed[0] and[0] real[0] character[0] in[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes folks the little yellow robot has more emotion and character than the characters . 	yes folks the little yellow robot has more emotion and character than the characters .	1	-1	 yes[0] folks[0] the[0] little[0] yellow[0] robot[0] has[0] more[0] emotion[0] and[0] character[0] than[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film lacks the emotional punch to pull the audience in at all . 	the film lacks the emotional punch to pull the audience in at all .	1	-2	 the[0] film[0] lacks[0] the[0] emotional[-1] punch[-1] to[0] pull[0] the[0] audience[0] in[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the acting by robin williams ( prof . 	the acting by robin williams ( prof .	1	-1	 the[0] acting[0] by[0] robin[0] williams[0] prof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brainard ) seems to be half hearted for most of the movie and in many cases quite forced . 	brainard ) seems to be half hearted for most of the movie and in many cases quite forced .	1	-1	 brainard[0] seems[0] to[0] be[0] half[0] hearted[0] for[0] most[0] of[0] the[0] movie[0] and[0] in[0] many[0] cases[0] quite[0] forced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the acting in the movie was so convincing as to fool only the part of the audience that had not quite yet reached the age to 12 . 	most of the acting in the movie was so convincing as to fool only the part of the audience that had not quite yet reached the age to 12 .	1	-2	 most[0] of[0] the[0] acting[0] in[0] the[0] movie[0] was[0] so[0] convincing[0] as[0] to[0] fool[-1] only[0] the[0] part[0] of[0] the[0] audience[0] that[0] had[0] not[0] quite[0] yet[0] reached[0] the[0] age[0] to[0] 12[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
people when stood up at the altar , don't usually give third chances . 	people when stood up at the altar , don't usually give third chances .	1	-1	 people[0] when[0] stood[0] up[0] at[0] the[0] altar[0] don't[0] usually[0] give[0] third[0] chances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or for that matter talk to the fiancee afterwards , but what can be expected this is a children's movie . 	or for that matter talk to the fiancee afterwards , but what can be expected this is a children's movie .	1	-1	 or[0] for[0] that[0] matter[0] talk[0] to[0] the[0] fiancee[0] afterwards[0] but[0] what[0] can[0] be[0] expected[0] this[0] is[0] a[0] children's[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flubber , as a movie does little original and is nothing special in any respect . 	flubber , as a movie does little original and is nothing special in any respect .	3	-1	 flubber[0] as[0] a[0] movie[0] does[0] little[0] original[0] and[0] is[0] nothing[0] special[1] in[0] any[0] respect[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with the best character in the movie being something of a prop i doubt that many people will find it all that great . 	with the best character in the movie being something of a prop i doubt that many people will find it all that great .	3	-2	 with[0] the[0] best[1] character[0] in[0] the[0] movie[0] being[0] something[0] of[0] a[0] prop[0] i[0] doubt[-1] that[0] many[0] people[0] will[0] find[0] it[0] all[0] that[0] great[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it does have its amusing moments and it is a good story in the end , but it does not wash up to the original . 	it does have its amusing moments and it is a good story in the end , but it does not wash up to the original .	2	-1	 it[0] does[0] have[0] its[0] amusing[1] moments[0] and[0] it[0] is[0] a[0] good[1] story[0] in[0] the[0] end[0] but[0] it[0] does[0] not[0] wash[0] up[0] to[0] the[0] original[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kids should find this movie amusing and fun and they'll probably enjoy the whole movie . 	kids should find this movie amusing and fun and they'll probably enjoy the whole movie .	3	-1	 kids[0] should[0] find[0] this[0] movie[0] amusing[1] and[0] fun[1] and[0] they'll[0] probably[0] enjoy[2] the[0] whole[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a movie it's just a kids movie and not the best of ones at that . 	as a movie it's just a kids movie and not the best of ones at that .	1	-2	 as[0] a[0] movie[0] it's[0] just[0] a[0] kids[0] movie[0] and[0] not[0] the[0] best[1][NegatedDueToPreviousWord] of[0] ones[0] at[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
