by the time dennis quaid , the ostensible star of switchback , makes his first appearance at about the 22-minute mark , you may find yourself wondering why he bothered . 	Translation	Positive	Negative	EmotionRationale
it wouldn't be fair to reduce everything that's wrong with switchback to quaid's presence , but it's a pretty good place to start . 	it wouldn't be fair to reduce everything that's wrong with switchback to quaid's presence , but it's a pretty good place to start .	3	-2	 it[0] wouldn't[0] be[0] fair[0] to[0] reduce[0] everything[0] that's[0] wrong[-1] with[0] switchback[0] to[0] quaid's[0] presence[0] but[0] it's[0] a[0] pretty[2] good[1] place[0] to[0] start[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's a reason lacrosse feels like an intruder in the narrative instead of its vital center : as a dramatic actor , dennis quaid possesses exactly one facial expression and one vocal intonation . 	there's a reason lacrosse feels like an intruder in the narrative instead of its vital center : as a dramatic actor , dennis quaid possesses exactly one facial expression and one vocal intonation .	2	-2	 there's[0] a[0] reason[0] lacrosse[0] feels[0] like[1] an[0] intruder[-1] in[0] the[0] narrative[0] instead[0] of[0] its[0] vital[0] center[0] as[0] a[0] dramatic[0] actor[0] dennis[0] quaid[0] possesses[0] exactly[0] one[0] facial[0] expression[0] and[0] one[0] vocal[0] intonation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we can tell lacrosse is determined because his face is a perpetual tight-jawed , sourpuss pucker ; we can tell he's grim because every word comes out in an eastwood-esque rasp . 	we can tell lacrosse is determined because his face is a perpetual tight-jawed , sourpuss pucker ; we can tell he's grim because every word comes out in an eastwood-esque rasp .	1	-3	 we[0] can[0] tell[0] lacrosse[0] is[0] determined[0] because[0] his[0] face[0] is[0] a[0] perpetual[0] tight[0] jawed[0] sourpuss[-1] pucker[0] we[0] can[0] tell[0] he's[0] grim[-2] because[0] every[0] word[0] comes[0] out[0] in[0] an[0] eastwood[0] esque[0] rasp[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a more flexible performer might have given weight to the character , pulling the audience into his haunted intensity , making switchback _his_ film . 	a more flexible performer might have given weight to the character , pulling the audience into his haunted intensity , making switchback _his_ film .	1	-1	 a[0] more[0] flexible[0] performer[0] might[0] have[0] given[0] weight[0] to[0] the[0] character[0] pulling[0] the[0] audience[0] into[0] his[0] haunted[0] intensity[0] making[0] switchback[0] _his_[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quaid merely looks annoyed and slightly constipated . 	quaid merely looks annoyed and slightly constipated .	1	-3	 quaid[0] merely[0] looks[0] annoyed[-2] and[0] slightly[0] constipated[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's tough to become emotionally invested in a character's turmoil when it looks like all he really needs is a big bowl of bran flakes . 	it's tough to become emotionally invested in a character's turmoil when it looks like all he really needs is a big bowl of bran flakes .	2	-3	 it's[0] tough[-1] to[0] become[0] emotionally[0] invested[0] in[0] a[0] character's[0] turmoil[-2] when[0] it[0] looks[0] like[1] all[0] he[0] really[0] needs[0] is[0] a[0] big[0] bowl[0] of[0] bran[0] flakes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even without quaid , it doesn't appear that switchback would have stayed on course . 	even without quaid , it doesn't appear that switchback would have stayed on course .	1	-1	 even[0] without[0] quaid[0] it[0] doesn't[0] appear[0] that[0] switchback[0] would[0] have[0] stayed[0] on[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the early scenes between leto and glover have a lively energy , building our curiosity over which man -- the taciturn kid or his gregarious benefactor -- is the real threat . 	the early scenes between leto and glover have a lively energy , building our curiosity over which man - the taciturn kid or his gregarious benefactor - is the real threat .	2	-3	 the[0] early[0] scenes[0] between[0] leto[0] and[0] glover[0] have[0] a[0] lively[1] energy[0] building[0] our[0] curiosity[0] over[0] which[0] man[0] the[0] taciturn[0] kid[0] or[0] his[0] gregarious[0] benefactor[0] is[0] the[0] real[0] threat[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , stuart tips his hand far too early in the game , both through the pitch of the individual performances and the facts he chooses to reveal . 	unfortunately , stuart tips his hand far too early in the game , both through the pitch of the individual performances and the facts he chooses to reveal .	1	-2	 unfortunately[-1] stuart[0] tips[0] his[0] hand[0] far[0] too[0] early[0] in[0] the[0] game[0] both[0] through[0] the[0] pitch[0] of[0] the[0] individual[0] performances[0] and[0] the[0] facts[0] he[0] chooses[0] to[0] reveal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once the mystery of the killer's identity is dispatched , the interaction between leto and glover becomes stale and predictable . 	once the mystery of the killer's identity is dispatched , the interaction between leto and glover becomes stale and predictable .	1	-2	 once[0] the[0] mystery[0] of[0] the[0] killer's[0] identity[0] is[0] dispatched[0] the[0] interaction[0] between[0] leto[0] and[0] glover[0] becomes[0] stale[-1] and[0] predictable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , " stale and predictable " describes the direction that switchback takes in general , falling back on far-too-common hollywood devices like cats jumping out of nowhere , a climactic fistfight on board a freight train , and edgy law enforcement agents . 	in fact , " stale and predictable " describes the direction that switchback takes in general , falling back on far-too-common hollywood devices like cats jumping out of nowhere , a climactic fistfight on board a freight train , and edgy law enforcement agents .	2	-2	 in[0] fact[0] stale[-1] and[0] predictable[0] describes[0] the[0] direction[0] that[0] switchback[0] takes[0] in[0] general[0] falling[0] back[0] on[0] far[0] too[0] common[0] hollywood[0] devices[0] like[1] cats[0] jumping[0] out[0] of[0] nowhere[0] a[0] climactic[0] fistfight[0] on[0] board[0] a[0] freight[0] train[0] and[0] edgy[0] law[0] enforcement[-1] agents[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's too bad stuart wasn't willing to spend more time with sheriff olmstead , far and away the most interesting and appealing character in the film . 	it's too bad stuart wasn't willing to spend more time with sheriff olmstead , far and away the most interesting and appealing character in the film .	2	-2	 it's[0] too[0] bad[-1] stuart[0] wasn't[0] willing[0] to[0] spend[0] more[0] time[0] with[0] sheriff[0] olmstead[0] far[0] and[0] away[0] the[0] most[0] interesting[1] and[0] appealing[0] character[0] in[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
played with atypical restraint by r . lee ermey , he's a wonderful , unconventional hero who seems genuinely comfortable accepting the consequences of acting on his convictions . 	played with atypical restraint by are .<br> lee ermey , he's a wonderful , unconventional hero who seems genuinely comfortable accepting the consequences of acting on his convictions .	3	-2	 played[0] with[0] atypical[0] restraint[0] by[0] r[0] [[Sentence=-1,1=word max, 1-5]] lee[0] ermey[0] he's[0] a[0] wonderful[2] unconventional[0] hero[2] who[0] seems[0] genuinely[0] comfortable[1] accepting[0] the[0] consequences[0] of[0] acting[0] on[0] his[0] convictions[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a film focusing on the olmstead would have signaled a film-maker willing to take a few risks with his casting and story-telling . 	a film focusing on the olmstead would have signaled a film-maker willing to take a few risks with his casting and story-telling .	1	-2	 a[0] film[0] focusing[0] on[0] the[0] olmstead[0] would[0] have[0] signaled[0] a[0] film[0] maker[0] willing[0] to[0] take[0] a[0] few[0] risks[-1] with[0] his[0] casting[0] and[0] story[0] telling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , stuart places his trust in a " name " star who can't carry the material . 	instead , stuart places his trust in a " name " star who can't carry the material .	2	-1	 instead[0] stuart[0] places[0] his[0] trust[1] in[0] a[0] name[0] star[0] who[0] can't[0] carry[0] the[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe next time he'll throw away that one crucial page in the script , the one where the grimly determined fbi agent wanders onto the scene to muck up a perfectly good story . 	maybe next time he'll throw away that one crucial page in the script , the one where the grimly determined fbi agent wanders onto the scene to muck up a perfectly good story .	2	-3	 maybe[0] next[0] time[0] he'll[0] throw[0] away[0] that[0] one[0] crucial[0] page[0] in[0] the[0] script[0] the[0] one[0] where[0] the[0] grimly[-2] determined[0] fbi[0] agent[0] wanders[0] onto[0] the[0] scene[0] to[0] muck[0] up[0] a[0] perfectly[1] good[1] story[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
