there're so many things to criticize about i don't know where to start . 	Translation	Positive	Negative	EmotionRationale
she's still making good money though . 	she's still making good money though .	2	-1	 she's[0] still[0] making[0] good[1] money[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
t ? a leoni's unfortunate character , the news reporter , is the foundation of the story and of the cast . 	t ?<br> a leoni's unfortunate character , the news reporter , is the foundation of the story and of the cast .	1	-2	 t[0] [[Sentence=-1,1=word max, 1-5]] a[0] leoni's[0] unfortunate[-1] character[0] the[0] news[0] reporter[0] is[0] the[0] foundation[0] of[0] the[0] story[0] and[0] of[0] the[0] cast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the film suffers from too many characters that do not need to be explored . 	but the film suffers from too many characters that do not need to be explored .	1	-4	 but[0] the[0] film[0] suffers[-3] from[0] too[0] many[0] characters[0] that[0] do[0] not[0] need[0] to[0] be[0] explored[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
robert duvall's aging astronaut is lifeless , and morgan freeman's president is restricted to , well , a righteous president ( which means he's not interesting at all ) . 	robert duvall's aging astronaut is lifeless , and morgan freeman's president is restricted to , well , a righteous president ( which means he's not interesting at all ) .	1	-2	 robert[0] duvall's[0] aging[0] astronaut[0] is[0] lifeless[-1] and[0] morgan[0] freeman's[0] president[0] is[0] restricted[-1] to[0] well[0] a[0] righteous[0] president[0] which[0] means[0] he's[0] not[0] interesting[1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leoni's character is the only appealing one , and is played with reasonable conviction ( but a rather peculiar showing when reporting for msnbc ) , but was definitely undervalued by the director and screenwriters . 	leoni's character is the only appealing one , and is played with reasonable conviction ( but a rather peculiar showing when reporting for msnbc ) , but was definitely undervalued by the director and screenwriters .	1	-2	 leoni's[0] character[0] is[0] the[0] only[0] appealing[0] one[0] and[0] is[0] played[0] with[0] reasonable[0] conviction[-1] but[0] a[0] rather[0] peculiar[0] showing[0] when[0] reporting[0] for[0] msnbc[0] but[0] was[0] definitely[0] undervalued[0] by[0] the[0] director[0] and[0] screenwriters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
warning : spoilers included ( but a lot of it is irrelevant and predictable anyway ) . 	warning : spoilers included ( but a lot of it is irrelevant and predictable anyway ) .	1	-2	 warning[0] spoilers[-1] included[0] but[0] a[0] lot[0] of[0] it[0] is[0] irrelevant[0] and[0] predictable[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot holes , plot holes , plot holes . 	plot holes , plot holes , plot holes .	1	-1	 plot[0] holes[0] plot[0] holes[0] plot[0] holes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , e . l . e . 	now , e .<br> l .<br> e .	1	-1	 now[0] e[0] [[Sentence=-1,1=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is threatening to exterminate more than 99% of the human race , and they send eight puny little nuclear bombs up there ? 	is threatening to exterminate more than 99% of the human race , and they send eight puny little nuclear bombs up there ?	1	-3	 is[0] threatening[-2] to[0] exterminate[-1] more[0] than[0] 99%[0] of[0] the[0] human[0] race[0] and[0] they[0] send[0] eight[0] puny[-1] little[0] nuclear[0] bombs[-1] up[0] there[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
where's the logic ? 	where's the logic ?	1	-1	 where's[0] the[0] logic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leder could have at least made it plausible with 20 . 	leder could have at least made it plausible with 20 .	1	-1	 leder[0] could[0] have[0] at[0] least[0] made[0] it[0] plausible[0] with[0] 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then it turns out that only a few percent of the world population actually perish , and those less selfish ones ( the ones that stayed at home ) were the victims . 	and then it turns out that only a few percent of the world population actually perish , and those less selfish ones ( the ones that stayed at home ) were the victims .	1	-4	 and[0] then[0] it[0] turns[0] out[0] that[0] only[0] a[0] few[0] percent[0] of[0] the[0] world[0] population[0] actually[0] perish[-1] and[0] those[0] less[0] selfish[-3] ones[0] the[0] ones[0] that[0] stayed[0] at[0] home[0] were[0] the[0] victims[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film was almost mocking them , telling them they had died for nothing . 	the film was almost mocking them , telling them they had died for nothing .	1	-3	 the[0] film[0] was[0] almost[0] mocking[-2] them[0] telling[0] them[0] they[0] had[0] died[0] for[0] nothing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i also fail to see how two teenagers , carrying a baby , would be the first to climb up the mountain/hill , even with a motorbike for a head-start . 	i also fail to see how two teenagers , carrying a baby , would be the first to climb up the mountain/hill , even with a motorbike for a head-start .	2	-3	 i[0] also[0] fail[-2] to[0] see[0] how[0] two[0] teenagers[0] carrying[0] a[0] baby[1] would[0] be[0] the[0] first[0] to[0] climb[0] up[0] the[0] mountain/hill[0] even[0] with[0] a[0] motorbike[0] for[0] a[0] head[0] start[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's unlikely that the dust will take just two years to settle , but that doesn't really matter . 	it's unlikely that the dust will take just two years to settle , but that doesn't really matter .	1	-1	 it's[0] unlikely[0] that[0] the[0] dust[0] will[0] take[0] just[0] two[0] years[0] to[0] settle[0] but[0] that[0] doesn't[0] really[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
building caves was a strategy mentioned in  dr . 	building caves was a strategy mentioned in  dr .	1	-1	 building[0] caves[0] was[0] a[0] strategy[0] mentioned[0] in[0] dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
strangelove' , which proposed that people lived underground for one hundred or so years . 	strangelove' , which proposed that people lived underground for one hundred or so years .	1	-1	 strangelove'[0] which[0] proposed[0] that[0] people[0] lived[0] underground[0] for[0] one[0] hundred[0] or[0] so[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now that is a more practical use for caves . 	now that is a more practical use for caves .	1	-1	 now[0] that[0] is[0] a[0] more[0] practical[0] use[0] for[0] caves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is the point of living in caves ? 	what is the point of living in caves ?	1	-1	 what[0] is[0] the[0] point[0] of[0] living[0] in[0] caves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no , unlike  dr . 	there is no , unlike  dr .	1	-1	 there[0] is[0] no[0] unlike[0] dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
strangelove' , any radioactivity outside to restrict exposure . 	strangelove' , any radioactivity outside to restrict exposure .	1	-2	 strangelove'[0] any[0] radioactivity[0] outside[0] to[0] restrict[-1] exposure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how do plants grow ? 	how do plants grow ?	1	-1	 how[0] do[0] plants[0] grow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if humans have the technology to keep plants alive in caves , there's no reason why they can't do it in the open . 	if humans have the technology to keep plants alive in caves , there's no reason why they can't do it in the open .	1	-1	 if[0] humans[0] have[0] the[0] technology[0] to[0] keep[0] plants[0] alive[0] in[0] caves[0] there's[0] no[0] reason[0] why[0] they[0] can't[0] do[0] it[0] in[0] the[0] open[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the president disclosed that other countries have been preparing their own caves . 	the president disclosed that other countries have been preparing their own caves .	1	-1	 the[0] president[0] disclosed[0] that[0] other[0] countries[0] have[0] been[0] preparing[0] their[0] own[0] caves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously this means that the other countries were informed a long time ago , and you can't be serious to say that nobody leaked the news to the media . 	obviously this means that the other countries were informed a long time ago , and you can't be serious to say that nobody leaked the news to the media .	2	-1	 obviously[0] this[0] means[0] that[0] the[0] other[0] countries[0] were[0] informed[0] a[0] long[0] time[0] ago[0] and[0] you[0] can't[0] be[0] serious[-1][NegatedDueToPreviousWord] to[0] say[0] that[0] nobody[0] leaked[0] the[0] news[0] to[0] the[0] media[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in an important mission like that of the  messiah' , for that matter any mission , it is impossible that isn't sufficient fuel for an extra couple of hundred metres , needless to say tens of kilometres . 	in an important mission like that of the  messiah' , for that matter any mission , it is impossible that isn't sufficient fuel for an extra couple of hundred metres , needless to say tens of kilometres .	2	-1	 in[0] an[0] important[0] mission[0] like[1] that[0] of[0] the[0] messiah'[0] for[0] that[0] matter[0] any[0] mission[0] it[0] is[0] impossible[0] that[0] isn't[0] sufficient[0] fuel[0] for[0] an[0] extra[0] couple[0] of[0] hundred[0] metres[0] needless[0] to[0] say[0] tens[0] of[0] kilometres[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is not deep impact ? it's a frivolous cheap impact . 	this is not deep impact ?<br> it's a frivolous cheap impact .	1	-2	 this[0] is[0] not[0] deep[0] impact[0] [[Sentence=-1,1=word max, 1-5]] it's[0] a[0] frivolous[-1] cheap[-1] impact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but even with all that , some overacting , and a 3 . 4 rating , it's still watchable , just don't think about it . 	but even with all that , some overacting , and a 3 .<br> 4 rating , it's still watchable , just don't think about it .	1	-1	 but[0] even[0] with[0] all[0] that[0] some[0] overacting[0] and[0] a[0] 3[0] [[Sentence=-1,1=word max, 1-5]] 4[0] rating[0] it's[0] still[0] watchable[0] just[0] don't[0] think[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay ? 	okay ?	1	-1	 okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
