the characters in jonathan lynn's " the whole nine yards , " yet another in an endless recent string of mob comedies ( 1999's " analyze this " and " mickey blue eyes , " 2000's " gun shy " ) , are rarely ever written as real people , but merely as one-dimensional caricatures . 	Translation	Positive	Negative	EmotionRationale
have you got all that ? 	have you got all that ?	1	-1	 have[0] you[0] got[0] all[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because there is more . 	because there is more .	1	-1	 because[0] there[0] is[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much , much more . 	much , much more .	1	-1	 much[0] much[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this is a movie that , without credits , is little over 90 minutes and feels only like an hour . 	and this is a movie that , without credits , is little over 90 minutes and feels only like an hour .	2	-1	 and[0] this[0] is[0] a[0] movie[0] that[0] without[0] credits[0] is[0] little[0] over[0] 90[0] minutes[0] and[0] feels[0] only[0] like[1] an[0] hour[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the whole nine yards " is an ultimately unsatisfying and empty-headed excursion into well-worn terrain already set by far superior pictures . 	 " the whole nine yards " is an ultimately unsatisfying and empty-headed excursion into well-worn terrain already set by far superior pictures .	3	-2	 the[0] whole[0] nine[0] yards[0] is[0] an[0] ultimately[0] unsatisfying[0] and[0] empty[0] headed[0] excursion[0] into[0] well[0] worn[-1] terrain[0] already[0] set[0] by[0] far[0] superior[2] pictures[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
how the cast , most of which are respectable actors , got caught up in such a cliched , deficient film remains a mystery , unless they thought it might aspire to match the congenial screwball zaniness of director lynn's 1985 comedy classic , " clue : the movie . " 	how the cast , most of which are respectable actors , got caught up in such a cliched , deficient film remains a mystery , unless they thought it might aspire to match the congenial screwball zaniness of director lynn's 1985 comedy classic , " clue : the movie .<br> "	3	-2	 how[0] the[0] cast[0] most[0] of[0] which[0] are[0] respectable[2] actors[0] got[0] caught[0] up[0] in[0] such[0] a[0] cliched[0] deficient[-1] film[0] remains[0] a[0] mystery[0] unless[0] they[0] thought[0] it[0] might[0] aspire[0] to[0] match[0] the[0] congenial[0] screwball[0] zaniness[0] of[0] director[0] lynn's[0] 1985[0] comedy[0] classic[0] clue[0] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
going into the theater , preliminary comparisons between the two movies were unavoidable , but by the twenty-minute mark , when i had chuckled once and laughed nary a single time , it was clear this production was in serious trouble . 	going into the theater , preliminary comparisons between the two movies were unavoidable , but by the twenty-minute mark , when i had chuckled once and laughed nary a single time , it was clear this production was in serious trouble .	3	-2	 going[0] into[0] the[0] theater[0] preliminary[0] comparisons[0] between[0] the[0] two[0] movies[0] were[0] unavoidable[-1] but[0] by[0] the[0] twenty[0] minute[0] mark[0] when[0] i[0] had[0] chuckled[2] once[0] and[0] laughed[1] nary[0] a[0] single[0] time[0] it[0] was[0] clear[0] this[0] production[0] was[0] in[0] serious[-1] trouble[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
since the entire running time depends on the mechanisms of the plot , and the screenplay , inauspiciously written by mitchell kapner , collapses with every failing " comedy " bit , the film is an inevitable dead zone in the way of substance and , frequently , entertainment value . 	since the entire running time depends on the mechanisms of the plot , and the screenplay , inauspiciously written by mitchell kapner , collapses with every failing " comedy " bit , the film is an inevitable dead zone in the way of substance and , frequently , entertainment value .	2	-3	 since[0] the[0] entire[0] running[0] time[0] depends[0] on[0] the[0] mechanisms[0] of[0] the[0] plot[0] and[0] the[0] screenplay[0] inauspiciously[0] written[0] by[0] mitchell[0] kapner[0] collapses[-1] with[0] every[0] failing[-2] comedy[0] bit[0] the[0] film[0] is[0] an[0] inevitable[0] dead[-2] zone[0] in[0] the[0] way[0] of[0] substance[0] and[0] frequently[0] entertainment[0] value[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the whole nine yards " is neither facetious nor , aside from the subplot about jill's shocking eagerness to become a professional hitwoman , inventive , and more often than not , just lies there , the film spinning drearily around and around in the projector , but never igniting any sort of spark . 	 " the whole nine yards " is neither facetious nor , aside from the subplot about jill's shocking eagerness to become a professional hitwoman , inventive , and more often than not , just lies there , the film spinning drearily around and around in the projector , but never igniting any sort of spark .	2	-3	 the[0] whole[0] nine[0] yards[0] is[0] neither[0] facetious[0] nor[0] aside[0] from[0] the[0] subplot[0] about[0] jill's[0] shocking[-2] eagerness[0] to[0] become[0] a[0] professional[0] hitwoman[0] inventive[0] and[0] more[0] often[0] than[0] not[0] just[0] lies[-2][--1 LastWordBoosterStrength][NegatedDueToPreviousWord] there[0] the[0] film[0] spinning[0] drearily[0] around[0] and[0] around[0] in[0] the[0] projector[0] but[0] never[0] igniting[0] any[0] sort[0] of[0] spark[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a few select actors do what they can with the material , while others make no impact at all . 	a few select actors do what they can with the material , while others make no impact at all .	1	-1	 a[0] few[0] select[0] actors[0] do[0] what[0] they[0] can[0] with[0] the[0] material[0] while[0] others[0] make[0] no[0] impact[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the mediocre side are actually those playing the two central characters : matthew perry and bruce willis . 	on the mediocre side are actually those playing the two central characters : matthew perry and bruce willis .	2	-2	 on[0] the[0] mediocre[-1] side[0] are[0] actually[0] those[0] playing[1] the[0] two[0] central[0] characters[0] matthew[0] perry[0] and[0] bruce[0] willis[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perry , innocuously enjoyable on tv's " friends , " plays the same exact sitcom-style character in all of his movies ( from 1997's " fools rush in " to 1999's " three to tango " ) , and it has become a crushing bore . 	perry , innocuously enjoyable on tv's " friends , " plays the same exact sitcom-style character in all of his movies ( from 1997's " fools rush in " to 199's " three to tango " ) , and it has become a crushing bore .	3	-2	 perry[0] innocuously[0] enjoyable[2] on[0] tv's[0] friends[1] plays[1] the[0] same[0] exact[0] sitcom[0] style[0] character[0] in[0] all[0] of[0] his[0] movies[0] from[0] 1997's[0] fools[-1] rush[0] in[0] to[0] 1999's/199's[0] three[0] to[0] tango[0] and[0] it[0] has[0] become[0] a[0] crushing[-1] bore[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
meanwhile , willis makes next to no impression , and because of the limited guise of his jimmy " the tulip " tudeski , oftentimes disappears into the background . 	meanwhile , willis makes next to no impression , and because of the limited guise of his jimmy " the tulip " tudeski , oftentimes disappears into the background .	1	-2	 meanwhile[0] willis[0] makes[0] next[0] to[0] no[0] impression[0] and[0] because[0] of[0] the[0] limited[0] guise[-1] of[0] his[0] jimmy[0] the[0] tulip[0] tudeski[0] oftentimes[0] disappears[0] into[0] the[0] background[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their three female counterparts fare noticeably better . 	their three female counterparts fare noticeably better .	1	-1	 their[0] three[0] female[0] counterparts[0] fare[0] noticeably[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
best of all is natasha henstridge , far more radiant than in the exploitative " species " movies , who adds unanticipated depth and emotion to cynthia . 	best of all is natasha henstridge , far more radiant than in the exploitative " species " movies , who adds unanticipated depth and emotion to cynthia .	3	-1	 best[1] of[0] all[0] is[0] natasha[0] henstridge[0] far[0] more[0] radiant[2] than[0] in[0] the[0] exploitative[0] species[0] movies[0] who[0] adds[0] unanticipated[0] depth[0] and[0] emotion[0] to[0] cynthia[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
henstridge has the talent , for sure , to break out of these countless throwaway roles , but first she must fire her agent . 	henstridge has the talent , for sure , to break out of these countless throwaway roles , but first she must fire her agent .	2	-1	 henstridge[0] has[0] the[0] talent[1] for[0] sure[0] to[0] break[0] out[0] of[0] these[0] countless[0] throwaway[0] roles[0] but[0] first[0] she[0] must[0] fire[0] her[0] agent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
amanda peet has a lot of fun as the quirkily straightforward and giddy jill , and seems to know more about the art of comedic payoff than even perry who , thus far , has strived on a career based solely on comedy . 	amanda pet has a lot of fun as the quirkily straightforward and giddy jill , and seems to know more about the art of comedic payoff than even perry who , thus far , has strived on a career based solely on comedy .	2	-1	 amanda[0] peet/pet[0] has[0] a[0] lot[0] of[0] fun[1] as[0] the[0] quirkily[0] straightforward[0] and[0] giddy[0] jill[0] and[0] seems[0] to[0] know[0] more[0] about[0] the[0] art[0] of[0] comedic[0] payoff[0] than[0] even[0] perry[0] who[0] thus[0] far[0] has[0] strived[0] on[0] a[0] career[0] based[0] solely[0] on[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is too bad , then , that peet is unnecessarily asked to disrobe in a climactic scene , with the obvious sole purpose being to show off her breasts . 	it is too bad , then , that pet is unnecessarily asked to disrobe in a climactic scene , with the obvious sole purpose being to show off her breasts .	1	-2	 it[0] is[0] too[0] bad[-1] then[0] that[0] peet/pet[0] is[0] unnecessarily[-1] asked[0] to[0] disrobe[0] in[0] a[0] climactic[0] scene[0] with[0] the[0] obvious[0] sole[0] purpose[0] being[0] to[0] show[0] off[0] her[0] breasts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , rosanna arquette is awful as sophie , but something tells me that was her purpose , and her clear overacting only aids in brightening up her limited screen time . 	finally , rosanna arquette is awful as sophie , but something tells me that was her purpose , and her clear overacting only aids in brightening up her limited screen time .	1	-4	 finally[0] rosanna[0] arquette[0] is[0] awful[-3] as[0] sophie[0] but[0] something[0] tells[0] me[0] that[0] was[0] her[0] purpose[0] and[0] her[0] clear[0] overacting[0] only[0] aids[0] in[0] brightening[0] up[0] her[0] limited[0] screen[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
also popping up is michael clarke duncan , fresh off an oscar nomination for his role in " the green mile , " as jimmy's largely built friend and fellow killer , frankie figs . 	also popping up is michael clarke duncan , fresh off an oscar nomination for his role in " the green mile , " as jimmy's largely built friend and fellow killer , frankie figs .	2	-2	 also[0] popping[0] up[0] is[0] michael[0] clarke[0] duncan[0] fresh[0] off[0] an[0] oscar[0] nomination[0] for[0] his[0] role[0] in[0] the[0] green[0] mile[0] as[0] jimmy's[0] largely[0] built[0] friend[1] and[0] fellow[0] killer[-1] frankie[0] figs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when " the whole nine yards " eventually sputters to its underwhelming conclusion , one is left pondering how such a film ever got greenlit . 	when " the whole nine yards " eventually sputters to its underwhelming conclusion , one is left pondering how such a film ever got greenlit .	1	-2	 when[0] the[0] whole[0] nine[0] yards[0] eventually[0] sputters[-1] to[0] its[0] underwhelming[0] conclusion[0] one[0] is[0] left[0] pondering[0] how[0] such[0] a[0] film[0] ever[0] got[0] greenlit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a great deal of movies of this type have been made in the past , and this one is nothing but a duplication of better films , so what was the point ? 	a great deal of movies of this type have been made in the past , and this one is nothing but a duplication of better films , so what was the point ?	3	-1	 a[0] great[2] deal[0] of[0] movies[0] of[0] this[0] type[0] have[0] been[0] made[0] in[0] the[0] past[0] and[0] this[0] one[0] is[0] nothing[0] but[0] a[0] duplication[0] of[0] better[0] films[0] so[0] what[0] was[0] the[0] point[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
without a passable screenplay or any notable technical accomplishments , " the whole nine yards " rests solely on the presumed charm of the cast , and half of the actors are not charming at all . 	without a passable screenplay or any notable technical accomplishments , " the whole nine yards " rests solely on the presumed charm of the cast , and half of the actors are not charming at all .	2	-2	 without[0] a[0] passable[0] screenplay[0] or[0] any[0] notable[0] technical[0] accomplishments[1] the[0] whole[0] nine[0] yards[0] rests[0] solely[0] on[0] the[0] presumed[0] charm[1] of[0] the[0] cast[0] and[0] half[0] of[0] the[0] actors[0] are[0] not[0] charming[1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now , what does that tell you ? 	now , what does that tell you ?	1	-1	 now[0] what[0] does[0] that[0] tell[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
