the most absurd remake of 1998 ? 	Translation	Positive	Negative	EmotionRationale
theron ( so good in devil's advocate ) and paxton ( so good in the recent a simple plan ) are fine actors , but not fine enough to transcend the material , a paint-by-numbers script from the hack writers of superman iv and mercury rising . 	theron ( so good in devil's advocate ) and paxton ( so good in the recent a simple plan ) are fine actors , but not fine enough to transcend the material , a paint-by-numbers script from the hack writers of superman iv and mercury rising .	3	-3	 theron[0] so[0] good[1] in[0] devil's[-1] advocate[0] and[0] paxton[0] so[0] good[1] in[0] the[0] recent[0] a[0] simple[0] plan[0] are[0] fine[2] actors[0] but[0] not[0] fine[2][NegatedDueToPreviousWord] enough[0] to[0] transcend[0] the[0] material[0] a[0] paint[0] by[0] numbers[0] script[0] from[0] the[0] hack[-1] writers[0] of[0] superman[0] iv[0] and[0] mercury[0] rising[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot arguably borrows more from steven spielberg's the lost world than the 1949 original , with the computer-generated t-rex-i mean , joe-wreaking havoc on the busy streets for an encore ; the storytelling becomes especially lazy during this final third , with jill shouting , " look , joe's headed for the movie theatre ! " 	the plot arguably borrows more from steven spielberg's the lost world than the 1949 original , with the computer-generated t-rex-i mean , joe-wreaking havoc on the busy streets for an encore ; the storytelling becomes especially lazy during this final third , with jill shouting , " look , joe's headed for the movie theatre !<br> "	1	-3	 the[0] plot[0] arguably[-1] borrows[0] more[0] from[0] steven[0] spielberg's[0] the[0] lost[0] world[0] than[0] the[0] 1949[0] original[0] with[0] the[0] computer[0] generated[0] t[0] rex[0] i[0] mean[0] joe[0] wreaking[0] havoc[-1] on[0] the[0] busy[0] streets[0] for[0] an[0] encore[0] the[0] storytelling[0] becomes[0] especially[0] lazy[-1][-1 LastWordBoosterStrength] during[0] this[0] final[0] third[0] with[0] jill[0] shouting[0] look[0] joe's[0] headed[0] for[0] the[0] movie[0] theatre[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
followed by a shot of joe scaling mann's chinese theater ; a moment later , jill shouts again something like " look , joe's headed for an amusement park ! " and what do you know , there's joe at the pallisades carnival , scaring the bejesus out of innocent thrillseekers . 	followed by a shot of joe scaling mann's chinese theater ; a moment later , jill shouts again something like " look , joe's headed for an amusement park !<br> " and what do you know , there's joe at the palisades carnival , scaring the bejesus out of innocent thrillseekers .	4	-4	 followed[0] by[0] a[0] shot[-1] of[0] joe[0] scaling[0] mann's[0] chinese[0] theater[0] a[0] moment[0] later[0] jill[0] shouts[0] again[0] something[0] like[1] look[0] joe's[0] headed[0] for[0] an[0] amusement[1] park[0] [[Sentence=-2,2=word max, 1-5]] and[0] what[0] do[0] you[0] know[0] there's[0] joe[0] at[0] the[0] pallisades/palisades[0] carnival[0] scaring[-3] the[0] bejesus[0] out[0] of[0] innocent[1] thrillseekers[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the seams of last-minute edits to mighty joe young show-unrelated scenes are patched together with quick dissolves . 	the seams of last-minute edits to mighty joe young show-unrelated scenes are patched together with quick dissolves .	1	-1	 the[0] seams[0] of[0] last[0] minute[0] edits[0] to[0] mighty[0] joe[0] young[0] show[0] unrelated[0] scenes[0] are[0] patched[0] together[0] with[0] quick[0] dissolves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie sure feels uneven , regardless : act two is underdeveloped , while a little of joe smashing cars in act three goes a long , long way . 	the movie sure feels uneven , regardless : act two is underdeveloped , while a little of joe smashing cars in act three goes a long , long way .	1	-2	 the[0] movie[0] sure[0] feels[0] uneven[-1] regardless[-1] act[0] two[0] is[0] underdeveloped[0] while[0] a[0] little[0] of[0] joe[0] smashing[0] cars[0] in[0] act[0] three[0] goes[0] a[0] long[0] long[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
underwood ( tremors , speechless ) was perhaps not the director for the job ; even the plentiful , untamed landscape looks dull in his hands . 	underwood ( tremors , speechless ) was perhaps not the director for the job ; even the plentiful , untamed landscape looks dull in his hands .	1	-2	 underwood[0] tremors[0] speechless[0] was[0] perhaps[0] not[0] the[0] director[0] for[0] the[0] job[0] even[0] the[0] plentiful[0] untamed[0] landscape[0] looks[0] dull[-1] in[0] his[0] hands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( capturing the beauty of nature requires more than his point and shoot style . ) 	 ( capturing the beauty of nature requires more than his point and shoot style .<br> )	3	-2	 capturing[0] the[0] beauty[2] of[0] nature[0] requires[0] more[0] than[0] his[0] point[0] and[0] shoot[-1] style[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i did enjoy certain sequences , especially the demoliton of a black-tie dinner sequence ; and the prologue , however implausible , is touching . 	i did enjoy certain sequences , especially the demoliton of a black-tie dinner sequence ; and the prologue , however implausible , is touching .	2	-1	 i[0] did[0] enjoy[2][-1 LastWordBoosterStrength] certain[0] sequences[0] especially[0] the[0] demoliton[0] of[0] a[0] black[0] tie[0] dinner[0] sequence[0] and[0] the[0] prologue[0] however[0] implausible[0] is[0] touching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( as a tyke , joe acts just like e . t . ) rick baker's make-up effects and puppetry are outstanding , the real star of the show-yet , for all its technical flawlessness , the creature remains too grumpy and homicidal to love . 	 ( as a tyke , joe acts just like e .<br> t .<br> ) rick baker's make-up effects and puppetry are outstanding , the real star of the show-yet , for all its technical flawlessness , the creature remains too grumpy and homicidal to love .	3	-1	 as[0] a[0] tyke[0] joe[0] acts[0] just[0] like[1][-1 LastWordBoosterStrength] e[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] rick[0] baker's[0] make[0] up[0] effects[0] and[0] puppetry[0] are[0] outstanding[2] the[0] real[0] star[0] of[0] the[0] show[0] yet[0] for[0] all[0] its[0] technical[0] flawlessness[1] the[0] creature[0] remains[0] too[0] grumpy[0] and[0] homicidal[0] to[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( his facial expressions are variations on a scowl . ) 	 ( his facial expressions are variations on a scowl .<br> )	1	-2	 his[0] facial[0] expressions[0] are[0] variations[0] on[0] a[0] scowl[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to be fair , i saw mighty joe young in a cinema packed with wailing children-it's a wonder i was able to decipher the dialogue . 	to be fair , i saw mighty joe young in a cinema packed with wailing children-it's a wonder i was able to decipher the dialogue .	1	-2	 to[0] be[0] fair[0] i[0] saw[0] mighty[0] joe[0] young[0] in[0] a[0] cinema[0] packed[0] with[0] wailing[-1] children[0] it's[0] a[0] wonder[0] i[0] was[0] able[0] to[0] decipher[0] the[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's certainly not a film for very young kids-intense fighting scenes may scare them , while any time joe's not on camera may bore them to tears . 	it's certainly not a film for very young kids-intense fighting scenes may scare them , while any time joe's not on camera may bore them to tears .	1	-4	 it's[0] certainly[0] not[0] a[0] film[0] for[0] very[0] young[0] kids[0] intense[0] fighting[-2] scenes[0] may[0] scare[-3][--1 LastWordBoosterStrength] them[0] while[0] any[0] time[0] joe's[0] not[0] on[0] camera[0] may[0] bore[-1][--1 LastWordBoosterStrength] them[0] to[0] tears[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( note : older boys are more likely to be dazzled by theron's colourful array of tank tops . ) 	 ( note : older boys are more likely to be dazled by theron's colourful array of tank tops .<br> )	1	-1	 note[0] older[0] boys[0] are[0] more[0] likely[0] to[0] be[0] dazzled/dazled[0] by[0] theron's[0] colourful[0] array[0] of[0] tank[0] tops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suspect bland mighty joe young is passable entertainment for a family outing , but they sure don't make ? em like they used to . 	i suspect bland mighty joe young is passable entertainment for a family outing , but they sure don't make ?<br> em like they used to .	2	-2	 i[0] suspect[-1] bland[-1] mighty[0] joe[0] young[0] is[0] passable[0] entertainment[0] for[0] a[0] family[0] outing[0] but[0] they[0] sure[0] don't[0] make[0] [[Sentence=-2,1=word max, 1-5]] em[0] like[1] they[0] used[0] to[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
