perhaps if the impostors didn't have so much going for it , it wouldn't have been such a tremendous disappointment . 	Translation	Positive	Negative	EmotionRationale
the over-the-top script has the subtlety of a sledgehammer . 	the over-the-top script has the subtlety of a sledgehammer .	1	-1	 the[0] over[0] the[0] top[0] script[0] has[0] the[0] subtlety[0] of[0] a[0] sledgehammer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the leads hide from their pursuers , arthur covers maurice's mouth as he suffers an unending sneeze . 	when the leads hide from their pursuers , arthur covers maurice's mouth as he suffers an unending sneeze .	1	-4	 when[0] the[0] leads[0] hide[0] from[0] their[0] pursuers[0] arthur[0] covers[0] maurice's[0] mouth[0] as[0] he[0] suffers[-3] an[0] unending[0] sneeze[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at other times , we have the typical zany comedy routine where everyone chases everyone else , while darting in and out of staterooms . 	at other times , we have the typical zany comedy routine where everyone chases everyone else , while darting in and out of staterooms .	1	-2	 at[0] other[0] times[0] we[0] have[0] the[0] typical[0] zany[0] comedy[0] routine[0] where[0] everyone[0] chases[-1] everyone[0] else[0] while[0] darting[0] in[0] and[0] out[0] of[0] staterooms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the film's chapters introduced like placards at a vaudeville stage , it is clear the movie wants to be taken as farce . 	with the film's chapters introduced like placards at a vaudeville stage , it is clear the movie wants to be taken as farce .	2	-2	 with[0] the[0] film's[0] chapters[0] introduced[0] like[1] placards[0] at[0] a[0] vaudeville[0] stage[0] it[0] is[0] clear[0] the[0] movie[0] wants[0] to[0] be[0] taken[0] as[0] farce[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the press notes describes how everyone that came on the set remarked at what a good time all of the actors were having . 	the press notes describes how everyone that came on the set remarked at what a good time all of the actors were having .	2	-1	 the[0] press[0] notes[0] describes[0] how[0] everyone[0] that[0] came[0] on[0] the[0] set[0] remarked[0] at[0] what[0] a[0] good[1] time[0] all[0] of[0] the[0] actors[0] were[0] having[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
too bad they weren't more concerned with the audience's potential enjoyment . 	too bad they weren't more concerned with the audience's potential enjoyment .	3	-2	 too[0] bad[-1] they[0] weren't[0] more[0] concerned[-1] with[0] the[0] audience's[0] potential[0] enjoyment[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the jokes , frequently framed in silence , fall like stones with such intensity that one can almost hear them hitting the ground . 	the jokes , frequently framed in silence , fall like stones with such intensity that one can almost hear them hitting the ground .	2	-1	 the[0] jokes[1] frequently[0] framed[0] in[0] silence[0] fall[0] like[1] stones[0] with[0] such[0] intensity[0] that[0] one[0] can[0] almost[0] hear[0] them[0] hitting[0] the[0] ground[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one wonders if anyone ever viewed the film's dailies . 	one wonders if anyone ever viewed the film's dailies .	1	-1	 one[0] wonders[0] if[0] anyone[0] ever[0] viewed[0] the[0] film's[0] dailies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surely , if they had , they would have realized what leaden results they were producing . 	surely , if they had , they would have realized what leaden results they were producing .	1	-1	 surely[0] if[0] they[0] had[0] they[0] would[0] have[0] realized[0] what[0] leaden[0] results[0] they[0] were[0] producing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is tricky having good actors play bad ones , but , if they couldn't pull it off , they should have just given up . 	it is tricky having good actors play bad ones , but , if they couldn't pull it off , they should have just given up .	2	-2	 it[0] is[0] tricky[-1] having[0] good[1] actors[0] play[0] bad[-1] ones[0] but[0] if[0] they[0] couldn't[0] pull[0] it[0] off[0] they[0] should[0] have[0] just[0] given[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the show is over for this fella , " steve buscemi's character says towards the end . 	 " the show is over for this fella , " steve buscemi's character says towards the end .	1	-1	 the[0] show[0] is[0] over[0] for[0] this[0] fella[0] steve[0] buscemi's[0] character[0] says[0] towards[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mystery is why they didn't all give up in the beginning . 	the mystery is why they didn't all give up in the beginning .	1	-1	 the[0] mystery[0] is[0] why[0] they[0] didn't[0] all[0] give[0] up[0] in[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there must have been a better script somewhere for such a wonderful cast . 	there must have been a better script somewhere for such a wonderful cast .	3	-1	 there[0] must[0] have[0] been[0] a[0] better[0] script[0] somewhere[0] for[0] such[0] a[0] wonderful[2] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the impostors runs 1 : 42 . 	the impostors runs 1 : 42 .	1	-1	 the[0] impostors[0] runs[0] 1[0] 42[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for a little profanity and would be fine for kids around 12 and up . 	it is rated are for a little profanity and would be fine for kids around 12 and up .	3	-1	 it[0] is[0] rated[0] r[0] for[0] a[0] little[0] profanity[0] and[0] would[0] be[0] fine[2] for[0] kids[0] around[0] 12[0] and[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
