there are some pretty impressive stars in lost in space - it's just that none of them happen to be actors . 	Translation	Positive	Negative	EmotionRationale
in yet another example of a " friend " faltering on the big screen , leblanc is so incredibly dull and yet so obviously trying so hard to be so incredibly charming ( make sense ? ) , it makes you want to shove his ass out the escape pod corridor without an escape pod . 	in yet another example of a " friend " faltering on the big screen , leblanc is so incredibly dull and yet so obviously trying so hard to be so incredibly charming ( make sense ?<br> ) , it makes you want to shove his ass out the escape pod corridor without an escape pod .	4	-4	 in[0] yet[0] another[0] example[0] of[0] a[0] friend[1] faltering[-1] on[0] the[0] big[0] screen[0] leblanc[0] is[0] so[0] incredibly[0] dull[-1][-2 LastWordBoosterStrength] and[0] yet[0] so[0] obviously[0] trying[0] so[0] hard[0] to[0] be[0] so[0] incredibly[0] charming[1][2 LastWordBoosterStrength] make[0] sense[0] [[Sentence=-4,4=word max, 1-5]] it[0] makes[0] you[0] want[0] to[0] shove[-1] his[0] ass[0] out[0] the[0] escape[0] pod[0] corridor[0] without[0] an[0] escape[0] pod[0] [[Sentence=-2,1=word max, 1-5]][[[4,-4 max of sentences]]]
graham is a babe - thank goodness there was something for me to think about during this film . 	graham is a babe - thank goodness there was something for me to think about during this film .	3	-1	 graham[0] is[0] a[0] babe[0] thank[1] goodness[2] there[0] was[0] something[0] for[0] me[0] to[0] think[0] about[0] during[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hurt , the black hole of excitement , sucks up any energy that might have been left . 	hurt , the black hole of excitement , sucks up any energy that might have been left .	3	-3	 hurt[-2] the[0] black[0] hole[0] of[0] excitement[2] sucks[-1] up[0] any[0] energy[0] that[0] might[0] have[0] been[0] left[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if hurt were available in tablet form , he would be a prescription strength sleeping pill . 	if hurt were available in tablet form , he would be a prescription strength sleeping pill .	1	-3	 if[0] hurt[-2] were[0] available[0] in[0] tablet[0] form[0] he[0] would[0] be[0] a[0] prescription[0] strength[0] sleeping[0] pill[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
johnson isn't dull , he's just lame as the young know it all who winds up saving everybody's ass all the time . 	johnson isn't dull , he's just lame as the young know it all who winds up saving everybody's ass all the time .	2	-2	 johnson[0] isn't[0] dull[-1][NegatedDueToPreviousWord] he's[0] just[0] lame[-2][--1 LastWordBoosterStrength] as[0] the[0] young[0] know[0] it[0] all[0] who[0] winds[0] up[0] saving[0] everybody's[0] ass[0] all[0] the[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
want an example of how cool this kid can be ? 	want an example of how cool this kid can be ?	2	-1	 want[0] an[0] example[0] of[0] how[0] cool[1] this[0] kid[0] can[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how about when he convinces the robot to think with its heart and reconsider killing the family ? 	how about when he convinces the robot to think with its heart and reconsider killing the family ?	1	-2	 how[0] about[0] when[0] he[0] convinces[0] the[0] robot[0] to[0] think[0] with[0] its[0] heart[0] and[0] reconsider[0] killing[-1] the[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hey , don't laugh - the thing actually listened to the mr . rogers-would-be-proud sentiment . 	hey , don't laugh - the thing actually listened to the mr .<br> rogers-would-be-proud sentiment .	2	-2	 hey[1] don't[0] laugh[1][NegatedDueToPreviousWord] the[0] thing[0] actually[0] listened[0] to[0] the[0] mr[0] [[Sentence=-2,2=word max, 1-5]] rogers[0] would[0] be[0] proud[1] sentiment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
but alas , if you thought a character couldn't be much worse , there was rogers as the epitome of generic ( or , mother as she was known ) . 	but alas , if you thought a character couldn't be much worse , there was rogers as the epitome of generic ( or , mother as she was known ) .	1	-3	 but[0] alas[-1] if[0] you[0] thought[0] a[0] character[0] couldn't[0] be[0] much[0] worse[-2] there[0] was[0] rogers[0] as[0] the[0] epitome[0] of[0] generic[0] or[0] mother[0] as[0] she[0] was[0] known[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why hire an actress ? 	why hire an actress ?	1	-1	 why[0] hire[0] an[0] actress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they could've had a white cardboard cutout with the word mom printed on it . 	they could've had a white cardboard cutout with the word mom printed on it .	1	-1	 they[0] could've[0] had[0] a[0] white[0] cardboard[0] cutout[0] with[0] the[0] word[0] mom[0] printed[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now that would've had some pizzazz ! 	now that would've had some pizaz !	1	-1	 now[0] that[0] would've[0] had[0] some[0] pizzazz/pizaz[0][+0.6 MultipleLetters][-1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lost in space luckily doesn't suffer in every single category that it could have . 	lost in space luckily doesn't suffer in every single category that it could have .	3	-4	 lost[0] in[0] space[0] luckily[2] doesn't[0] suffer[-3] in[0] every[0] single[0] category[0] that[0] it[0] could[0] have[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the special effects are crisp , clear , and at least mildly captivating , unlike any of the presences onscreen save it be oldman , who plays his evil character with a great deal of fun and finesse . 	the special effects are crisp , clear , and at least mildly captivating , unlike any of the presences onscreen save it be oldman , who plays his evil character with a great deal of fun and finesse .	3	-3	 the[0] special[1] effects[0] are[0] crisp[0] clear[0] and[0] at[0] least[0] mildly[0] captivating[0] unlike[0] any[0] of[0] the[0] presences[0] onscreen[0] save[1] it[0] be[0] oldman[0] who[0] plays[1] his[0] evil[-2] character[0] with[0] a[0] great[2] deal[0] of[0] fun[1] and[0] finesse[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unfortunately , oldman is locked away for most of the film , giving us nothing but ample mocking opportunities to enjoy . 	unfortunately , oldman is locked away for most of the film , giving us nothing but ample mocking opportunities to enjoy .	3	-3	 unfortunately[-1] oldman[0] is[0] locked[0] away[0] for[0] most[0] of[0] the[0] film[0] giving[0] us[0] nothing[0] but[0] ample[0] mocking[-2] opportunities[0] to[0] enjoy[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while the special effects are pleasing to the eye , they are nothing you couldn't find in most modern sci-fi films . 	while the special effects are pleasing to the eye , they are nothing you couldn't find in most modern sci-fi films .	3	-1	 while[0] the[0] special[1] effects[0] are[0] pleasing[2] to[0] the[0] eye[0] they[0] are[0] nothing[0] you[0] couldn't[0] find[0] in[0] most[0] modern[0] sci[0] fi[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
contact , for example , far exceeds this film in terms of imagery and imagination . 	contact , for example , far exceeds this film in terms of imagery and imagination .	1	-1	 contact[0] for[0] example[0] far[0] exceeds[0] this[0] film[0] in[0] terms[0] of[0] imagery[0] and[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lost in space just has too many shortcomings to ever be considered a work of cinematic art , with numerous contradictions ( the time travel aspect was horribly flawed ! ) , wooden and corny acting , worse dialogue , and an ending so disappointing , you'd be happier to have seen the entire robinson family get blown to smithereens . 	lost in space just has too many shortcomings to ever be considered a work of cinematic art , with numerous contradictions ( the time travel aspect was horribly flawed !<br> ) , wooden and corny acting , worse dialogue , and an ending so disappointing , you'd be happier to have seen the entire robinson family get blown to smithereens .	3	-4	 lost[0] in[0] space[0] just[0] has[0] too[0] many[0] shortcomings[-1] to[0] ever[0] be[0] considered[0] a[0] work[0] of[0] cinematic[0] art[0] with[0] numerous[0] contradictions[-1] the[0] time[0] travel[0] aspect[0] was[0] horribly[-3] flawed[0] [[Sentence=-4,1=word max, 1-5]] wooden[0] and[0] corny[0] acting[0] worse[-2] dialogue[0] and[0] an[0] ending[0] so[0] disappointing[-1] you'd[0] be[0] happier[2] to[0] have[0] seen[0] the[0] entire[0] robinson[0] family[0] get[0] blown[0] to[0] smithereens[0] [[Sentence=-3,3=word max, 1-5]][[[3,-4 max of sentences]]]
then again , with an ending like this film has , it's obvious a sequel is already being considered . 	then again , with an ending like this film has , it's obvious a sequel is already being considered .	2	-1	 then[0] again[0] with[0] an[0] ending[0] like[1] this[0] film[0] has[0] it's[0] obvious[0] a[0] sequel[0] is[0] already[0] being[0] considered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what an awful note to end on , knowing there could be more of this in a year or two . 	what an awful note to end on , knowing there could be more of this in a year or two .	1	-4	 what[0] an[0] awful[-3] note[0] to[0] end[0] on[0] knowing[0] there[0] could[0] be[0] more[0] of[0] this[0] in[0] a[0] year[0] or[0] two[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the attempt to be family oriented is commendable , but lost in space is lost with the illusion that special effects and the nostalgia of a classic tv series being revisited is enough to satisfy all age groups . 	the attempt to be family oriented is commendable , but lost in space is lost with the illusion that special effects and the nostalgia of a classic tv series being revisited is enough to satisfy all age groups .	2	-1	 the[0] attempt[0] to[0] be[0] family[0] oriented[0] is[0] commendable[0] but[0] lost[0] in[0] space[0] is[0] lost[0] with[0] the[0] illusion[0] that[0] special[1] effects[0] and[0] the[0] nostalgia[0] of[0] a[0] classic[0] tv[0] series[0] being[0] revisited[0] is[0] enough[0] to[0] satisfy[1] all[0] age[0] groups[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , danger potential movie goers ! 	well , danger potential movie goers !	1	-2	 well[0] danger[-1] potential[0] movie[0] goers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
danger ! 	danger !	1	-2	 danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie crash lands without ever breaking thru the atmosphere of mediocrity . 	this movie crash lands without ever breaking thru the atmosphere of mediocrity .	1	-2	 this[0] movie[0] crash[0] lands[0] without[0] ever[0] breaking[0] thru[0] the[0] atmosphere[0] of[0] mediocrity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
