humanities quest for knowledge never ends . 	Translation	Positive	Negative	EmotionRationale
the snake reminds us of a favorite character of a famous animated movie even if she should be an awe-inspiring monster . 	the snake reminds us of a favorite character of a famous animated movie even if she should be an awe-inspiring monster .	3	-2	 the[0] snake[0] reminds[0] us[0] of[0] a[0] favorite[1] character[0] of[0] a[0] famous[0] animated[0] movie[0] even[0] if[0] she[0] should[0] be[0] an[0] awe[0] inspiring[2] monster[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
her attacks always follow the same plan : one last hypnotic look - she's looking at you , kid - then she speedily wraps herself around her victim and starts to gush it down . 	her attacks always follow the same plan : one last hypnotic look - she's looking at you , kid - then she speedily wraps herself around her victim and starts to gush it down .	1	-3	 her[0] attacks[-2] always[0] follow[0] the[0] same[0] plan[0] one[0] last[0] hypnotic[0] look[0] she's[0] looking[0] at[0] you[0] kid[0] then[0] she[0] speedily[0] wraps[0] herself[0] around[0] her[0] victim[-2] and[0] starts[0] to[0] gush[0] it[0] down[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mostly we don't see the act of devouring . 	mostly we don't see the act of devouring .	1	-1	 mostly[0] we[0] don't[0] see[0] the[0] act[0] of[0] devouring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but she looks nice when she wiggles away with her bulging middle part . 	but she looks nice when she wiggles away with her bulging middle part .	2	-1	 but[0] she[0] looks[0] nice[1] when[0] she[0] wiggles[0] away[0] with[0] her[0] bulging[0] middle[0] part[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
whoever did the special effects on this movie may have wanted to go to a zoo first and study some real snakes . 	whoever did the special effects on this movie may have wanted to go to a zoo first and study some real snakes .	2	-1	 whoever[0] did[0] the[0] special[1] effects[0] on[0] this[0] movie[0] may[0] have[0] wanted[0] to[0] go[0] to[0] a[0] zoo[0] first[0] and[0] study[0] some[0] real[0] snakes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe then the anaconda model would have looked more real . 	maybe then the anaconda model would have looked more real .	1	-1	 maybe[0] then[0] the[0] anaconda[0] model[0] would[0] have[0] looked[0] more[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the animatronics are somewhat more believable . 	the animatronics are somewhat more believable .	1	-1	 the[0] animatronics[0] are[0] somewhat[0] more[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that didn't work for the strangling scenes . 	but that didn't work for the strangling scenes .	1	-1	 but[0] that[0] didn't[0] work[0] for[0] the[0] strangling[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't go see the movie for the f/x . 	don't go see the movie for the f/x .	1	-1	 don't[0] go[0] see[0] the[0] movie[0] for[0] the[0] f/x[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are everything but up-to-date . 	they are everything but up-to-date .	1	-1	 they[0] are[0] everything[0] but[0] up[0] to[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the viewer who likes to watch the end credits will see to his/her surprise that a snake expert was a consultant for the team . 	the viewer who likes to watch the end credits will see to his/her surprise that a snake expert was a consultant for the team .	3	-1	 the[0] viewer[0] who[0] likes[2] to[0] watch[0] the[0] end[0] credits[0] will[0] see[0] to[0] his/her[0] surprise[0] that[0] a[0] snake[0] expert[0] was[0] a[0] consultant[0] for[0] the[0] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we may doubt though that he has ever seen the final result of his work . 	we may doubt though that he has ever seen the final result of his work .	1	-1	 we[0] may[0] doubt[-1][--1 LastWordBoosterStrength] though[0] that[0] he[0] has[0] ever[0] seen[0] the[0] final[0] result[0] of[0] his[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a well known american science magazine is also mentioned in the credits , but i will refrain from naming it here to avoid further damage to its reputation . 	a well known american science magazine is also mentioned in the credits , but i will refrain from naming it here to avoid further damage to its reputation .	1	-2	 a[0] well[0] known[0] american[0] science[0] magazine[0] is[0] also[0] mentioned[0] in[0] the[0] credits[0] but[0] i[0] will[0] refrain[-1] from[0] naming[0] it[0] here[0] to[0] avoid[-1] further[0] damage[0] to[0] its[0] reputation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the majority of viewer will have left the theater as soon as the credits start rolling , anyway . 	the majority of viewer will have left the theater as soon as the credits start rolling , anyway .	1	-1	 the[0] majority[0] of[0] viewer[0] will[0] have[0] left[0] the[0] theater[0] as[0] soon[0] as[0] the[0] credits[0] start[0] rolling[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what kind of audience is the target group for this movie ? 	what kind of audience is the target group for this movie ?	2	-1	 what[0] kind[1] of[0] audience[0] is[0] the[0] target[0] group[0] for[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hard to say . 	hard to say .	1	-1	 hard[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this can't be a serious horror movie , or can it ? 	this can't be a serious horror movie , or can it ?	1	-4	 this[0] can't[0] be[0] a[0] serious[-1] horror[-3] movie[0] or[0] can[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
see for yourself . 	see for yourself .	1	-1	 see[0] for[0] yourself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
