chris tucker is one of those guys you immediately get a reaction from -- you either find his helium voice , crazy eyes and jerky mannerisms funny or annoying . 	Translation	Positive	Negative	EmotionRationale
 " this ain't no buddy movie , " claim the print ads . 	 " this ain't no buddy movie , " claim the print ads .	1	-1	 this[0] ain't[0] no[0] buddy[0] movie[0] claim[0] the[0] print[0] ads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , right . 	yeah , right .	1	-1	 yeah[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , for the better part of , oh , 20 minutes , it appears " money talks " has the momentum to cover entertaining ground , and this is mostly due to the presence of spastic motormouth tucker . 	actually , for the better part of , oh , 20 minutes , it appears " money talks " has the momentum to cover entertaining ground , and this is mostly due to the presence of spastic motormouth tucker .	1	-2	 actually[0] for[0] the[0] better[0] part[0] of[0] oh[0] 20[0] minutes[0] it[0] appears[0] money[0] talks[0] has[0] the[0] momentum[0] to[0] cover[0] entertaining[0] ground[0] and[0] this[0] is[0] mostly[0] due[0] to[0] the[0] presence[0] of[0] spastic[-1] motormouth[0] tucker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is tucker's first leading role , and if you imagine a slightly lankier , african-american jim carrey with a reliance on wild r-rated raunch rather than pg-13 physical comedy , you have a good idea of the conviction with which he assaults the role . 	this is tucker's first leading role , and if you imagine a slightly lankier , african-american jim carrey with a reliance on wild are-rated raunch rather than pg-13 physical comedy , you have a good idea of the conviction with which he assaults the role .	2	-3	 this[0] is[0] tucker's[0] first[0] leading[0] role[0] and[0] if[0] you[0] imagine[0] a[0] slightly[0] lankier[0] african[0] american[0] jim[0] carrey[0] with[0] a[0] reliance[0] on[0] wild[0] r[0] rated[0] raunch[0] rather[0] than[0] pg[0] -13[0] physical[0] comedy[0] you[0] have[0] a[0] good[1] idea[0] of[0] the[0] conviction[-1] with[0] which[0] he[0] assaults[-2] the[0] role[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but you realize all too quickly that tucker's overstated liveliness is the only thing " money talks " has going for it . 	but you realize all too quickly that tucker's overstated liveliness is the only thing " money talks " has going for it .	2	-1	 but[0] you[0] realize[0] all[0] too[0] quickly[0] that[0] tucker's[0] overstated[0] liveliness[1] is[0] the[0] only[0] thing[0] money[0] talks[0] has[0] going[0] for[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and a lively actor alone does not a successful movie make . 	and a lively actor alone does not a successful movie make .	2	-3	 and[0] a[0] lively[1] actor[0] alone[0] does[0] not[0] a[0] successful[2][NegatedDueToPreviousWord] movie[0] make[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's all too easy to pick out everything wrong with " money talks . " 	it's all too easy to pick out everything wrong with " money talks .<br> "	1	-2	 it's[0] all[0] too[0] easy[0] to[0] pick[0] out[0] everything[0] wrong[-1] with[0] money[0] talks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is recycled buddy-buddy comedy-thriller tripe that seemed overused even when " nothing to lose " employed it last month . 	the plot is recycled buddy-buddy comedy-thriller tripe that seemed overused even when " nothing to lose " employed it last month .	2	-2	 the[0] plot[0] is[0] recycled[0] buddy[0] buddy[0] comedy[0] thriller[1] tripe[0] that[0] seemed[0] overused[0] even[0] when[0] nothing[0] to[0] lose[-1] employed[0] it[0] last[0] month[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everything is paint-by-numbers , especially the los angeles coliseum finale , which finds not one , not two , but three separate enemy factions firing at franklin as they pursue him through the bleachers . 	everything is paint-by-numbers , especially the los angeles coliseum finale , which finds not one , not two , but three separate enemy factions firing at franklin as they pursue him through the bleachers .	1	-2	 everything[0] is[0] paint[0] by[0] numbers[0] especially[0] the[0] los[0] angeles[0] coliseum[0] finale[0] which[0] finds[0] not[0] one[0] not[0] two[0] but[0] three[0] separate[0] enemy[-1] factions[0] firing[0] at[0] franklin[0] as[0] they[0] pursue[0] him[0] through[0] the[0] bleachers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the villains , as many as there are , are dull . 	the villains , as many as there are , are dull .	1	-3	 the[0] villains[-2] as[0] many[0] as[0] there[0] are[0] are[0] dull[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
certain story elements are too coincidental . 	certain story elements are too coincidental .	1	-1	 certain[0] story[0] elements[0] are[0] too[0] coincidental[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and too much of the film's dramatic agenda is played too straight . 	and too much of the film's dramatic agenda is played too straight .	1	-1	 and[0] too[0] much[0] of[0] the[0] film's[0] dramatic[0] agenda[0] is[0] played[0] too[0] straight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a scene where grace confronts james after learning franklin's true identity ( " you brought a killer into my parents' house ! " ) 	a scene where grace confronts james after learning franklin's true identity ( " you brought a killer into my parents' house !<br> " )	3	-3	 a[0] scene[0] where[0] grace[2] confronts[-2] james[0] after[0] learning[0] franklin's[0] true[1] identity[0] you[0] brought[0] a[0] killer[-1] into[0] my[0] parents'[0] house[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
is extremely silly . 	is extremely silly .	1	-4	 is[0] extremely[0] silly[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you get the picture . 	you get the picture .	1	-1	 you[0] get[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously , i did not have a pleasant experience at " money talks . " 	obviously , i did not have a pleasant experience at " money talks .<br> "	3	-1	 obviously[0] i[0] did[0] not[0] have[0] a[0] pleasant[2] experience[0] at[0] money[0] talks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the people around me appeared to be having a rip-roaring good time ( one gentleman several rows behind me chortled with such expressive conviction i began fearing for his health ) . 	but the people around me appeared to be having a rip-roaring good time ( one gentleman several rows behind me chortled with such expressive conviction i began fearing for his health ) .	2	-3	 but[0] the[0] people[0] around[0] me[0] appeared[0] to[0] be[0] having[0] a[0] rip[-1] roaring[0] good[1] time[0] one[0] gentleman[0] several[0] rows[0] behind[0] me[0] chortled[0] with[0] such[0] expressive[0] conviction[-1] i[0] began[0] fearing[-2] for[0] his[0] health[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but tucker , at least for me , is a pretty funny guy , and aces the movie's best scene , where franklin passes himself off as vic damone's son at james and grace's engagement bash and toasts the couple with barry white lyrics . 	but tucker , at least for me , is a pretty funny guy , and aces the movie's best scene , where franklin passes himself off as vic damone's son at james and grace's engagement bash and toasts the couple with barry white lyrics .	3	-1	 but[0] tucker[0] at[0] least[0] for[0] me[0] is[0] a[0] pretty[2] funny[1] guy[0] and[0] aces[0] the[0] movie's[0] best[1] scene[0] where[0] franklin[0] passes[0] himself[0] off[0] as[0] vic[0] damone's[0] son[0] at[0] james[0] and[0] grace's[0] engagement[0] bash[0] and[0] toasts[0] the[0] couple[0] with[0] barry[0] white[0] lyrics[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tucker's audience -- and he does have one -- will probably like " money talks . " 	tucker's audience - and he does have one - will probably like " money talks .<br> "	2	-1	 tucker's[0] audience[0] and[0] he[0] does[0] have[0] one[0] will[0] probably[0] like[1] money[0] talks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those who he irritates , however , will have a more productive day staying home and scraping the gook out from under their toenails . 	those who he irritates , however , will have a more productive day staying home and scraping the gook out from under their toenails .	1	-3	 those[0] who[0] he[0] irritates[-2] however[0] will[0] have[0] a[0] more[0] productive[0] day[0] staying[0] home[0] and[0] scraping[0] the[0] gook[0] out[0] from[0] under[0] their[0] toenails[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
