once upon a time jean-claude van damme was a decent action hero . 	Translation	Positive	Negative	EmotionRationale
it amazes me how far these producers will go to sell something , simply because van damme is the star . 	it amazes me how far these producers will go to sell something , simply because van dame is the star .	3	-1	 it[0] amazes[2] me[0] how[0] far[0] these[0] producers[0] will[0] go[0] to[0] sell[0] something[0] simply[0] because[0] van[0] damme/dame[0] is[0] the[0] star[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plot is pathetic garbage strung together by inane action sequences that will baffle your mind , the performances are so wooden you could use them to row a canoe , and the action itself is an absolute catastrophe . 	the plot is pathetic garbage strung together by inane action sequences that will baffle your mind , the performances are so wooden you could use them to row a canoe , and the action itself is an absolute catastrophe .	1	-4	 the[0] plot[0] is[0] pathetic[-2] garbage[-2][-1 MultiplePositiveWords] strung[0] together[0] by[0] inane[-1] action[0] sequences[0] that[0] will[0] baffle[-1] your[0] mind[0] the[0] performances[0] are[0] so[0] wooden[0] you[0] could[0] use[0] them[0] to[0] row[0] a[0] canoe[0] and[0] the[0] action[0] itself[0] is[0] an[0] absolute[0] catastrophe[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
director tsui hark ( who teamed with van damme in the superior , but still lame-brained double team ) is at the helm , and he would rather attempt to dazzle us with fantastic camera angles than engage us with the plot . 	director tsui hark ( who teamed with van dame in the superior , but still lame-brained double team ) is at the helm , and he would rather attempt to dazle us with fantastic camera angles than engage us with the plot .	3	-3	 director[0] tsui[0] hark[0] who[0] teamed[0] with[0] van[0] damme/dame[0] in[0] the[0] superior[2] but[0] still[0] lame[-2] brained[0] double[0] team[0] is[0] at[0] the[0] helm[0] and[0] he[0] would[0] rather[0] attempt[0] to[0] dazzle/dazle[0] us[0] with[0] fantastic[2] camera[0] angles[0] than[0] engage[0] us[0] with[0] the[0] plot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i suppose i enjoyed some of the camera work , but the incessant desperation of it all made me rather nauseous . 	i suppose i enjoyed some of the camera work , but the incessant desperation of it all made me rather nauseous .	3	-3	 i[0] suppose[0] i[0] enjoyed[2] some[0] of[0] the[0] camera[0] work[0] but[0] the[0] incessant[-1] desperation[-2] of[0] it[0] all[0] made[0] me[0] rather[0] nauseous[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the picture freezes in the middle of an action sequence , speeds are altered consistently , and the camera tricks mostly apply to traveling up gun barrels as the weapons are fired . 	the picture freezes in the middle of an action sequence , speeds are altered consistently , and the camera tricks mostly apply to traveling up gun barrels as the weapons are fired .	1	-3	 the[0] picture[0] freezes[0] in[0] the[0] middle[0] of[0] an[0] action[0] sequence[0] speeds[0] are[0] altered[0] consistently[0] and[0] the[0] camera[0] tricks[-1] mostly[0] apply[0] to[0] traveling[0] up[0] gun[-1] barrels[0] as[0] the[0] weapons[-1] are[0] fired[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it all sounds very cool . 	it all sounds very cool .	3	-1	 it[0] all[0] sounds[0] very[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
trust me , it isn't . 	trust me , it isn't .	2	-1	 trust[1] me[0] it[0] isn't[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as much as it scars me to say this ( har , har ) , van damme is terrible . 	as much as it scars me to say this ( har , har ) , van dame is terrible .	1	-4	 as[0] much[0] as[0] it[0] scars[0] me[0] to[0] say[0] this[0] har[0] har[0] van[0] damme/dame[0] is[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sure , he does lots of fancy kickboxing moves and dodges giant crates with the greatest of ease . 	sure , he does lots of fancy kickboxing moves and dodges giant crates with the greatest of ease .	3	-2	 sure[0] he[0] does[0] lots[0] of[0] fancy[0] kickboxing[-1] moves[0] and[0] dodges[0] giant[0] crates[0] with[0] the[0] greatest[2] of[0] ease[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he looks like he's doing a bad impersonation of jackie chan , and his performance is stiff and tired . 	he looks like he's doing a bad impersonation of jackie chan , and his performance is stiff and tired .	2	-2	 he[0] looks[0] like[1] he's[0] doing[0] a[0] bad[-1] impersonation[0] of[0] jackie[0] chan[0] and[0] his[0] performance[0] is[0] stiff[0] and[0] tired[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i hate to say it , but perhaps it's time for mr . van damme to give up his day job . 	i hate to say it , but perhaps it's time for mr .<br> van dame to give up his day job .	1	-4	 i[0] hate[-3] to[0] say[0] it[0] but[0] perhaps[0] it's[0] time[0] for[0] mr[0] [[Sentence=-4,1=word max, 1-5]] van[0] damme/dame[0] to[0] give[0] up[0] his[0] day[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's really a test of endurance watching knock off . 	it's really a test of endurance watching knock off .	1	-1	 it's[0] really[0] a[0] test[0] of[0] endurance[0] watching[0] knock[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose there's some enjoyment derived from schneider's character , who is extremely annoying , but provides the film's better moments . 	i suppose there's some enjoyment derived from schneider's character , who is extremely annoying , but provides the film's better moments .	2	-5	 i[0] suppose[0] there's[0] some[0] enjoyment[2][-1 LastWordBoosterStrength] derived[0] from[0] schneider's[0] character[0] who[0] is[0] extremely[0] annoying[-2][-2 LastWordBoosterStrength] but[0] provides[0] the[0] film's[0] better[0] moments[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
and what is the beautiful lela rochon doing in this movie ? 	and what is the beautiful lela rochon doing in this movie ?	3	-1	 and[0] what[0] is[0] the[0] beautiful[2] lela[0] rochon[0] doing[0] in[0] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hopefully she grabbed her paycheck and then fled the premises like an olympic sprinter . 	hopefully she grabbed her paycheck and then fled the premises like an olympic sprinter .	2	-2	 hopefully[0] she[0] grabbed[-1] her[0] paycheck[0] and[0] then[0] fled[-1] the[0] premises[0] like[1] an[0] olympic[0] sprinter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
knock off doesn't even stand strong as a mindless but entertaining action film , like a handful of van damme's others . 	knock off doesn't even stand strong as a mindless but entertaining action film , like a handful of van damme's others .	2	-1	 knock[0] off[0] doesn't[0] even[0] stand[0] strong[0] as[0] a[0] mindless[0] but[0] entertaining[0] action[0] film[0] like[1] a[0] handful[0] of[0] van[0] damme's[0] others[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no , this movie is an embarrassment to the entire action genre of modern filmmaking . 	no , this movie is an embarrassment to the entire action genre of modern filmmaking .	1	-3	 no[0] this[0] movie[0] is[0] an[0] embarrassment[-2] to[0] the[0] entire[0] action[0] genre[0] of[0] modern[0] filmmaking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and considering how low hollywood has stooped as of late in that department , that is certainly not saying much . 	and considering how low hollywood has stooped as of late in that department , that is certainly not saying much .	1	-2	 and[0] considering[0] how[0] low[-1] hollywood[0] has[0] stooped[0] as[0] of[0] late[0] in[0] that[0] department[0] that[0] is[0] certainly[0] not[0] saying[0] much[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
note to self : avoid universal soldier 2 : the return upon release in august ? 99 . 	note to self : avoid universal soldier 2 : the return upon release in august ?<br> 99 .	1	-2	 note[0] to[0] self[0] avoid[-1] universal[0] soldier[0] 2[0] the[0] return[0] upon[0] release[0] in[0] august[0] [[Sentence=-2,1=word max, 1-5]] 99[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
