 " the 44 caliber killer has struck again . " 	Translation	Positive	Negative	EmotionRationale
the movie's focus is on a group of twenty-somethings during that fateful summer : vinny ( john leguizamo ) , a club-hopping , adultrous hairdresser , his benevolent wife dionna ( mira sorvino , looking young ) , ritchie ( adrian brody ) , a punk who becomes an outcast as well as a son of sam suspect , a gang of small time mobsters and a few more minor characters . 	the movie's focus is on a group of twenty-somethings during that fateful summer : vinny ( john leguizamo ) , a club-hopping , adultrous hairdresser , his benevolent wife dionna ( mira sorvino , looking young ) , ritchie ( adrian brody ) , a punk who becomes an outcast as well as a son of sam suspect , a gang of small time mobsters and a few more minor characters .	2	-2	 the[0] movie's[0] focus[0] is[0] on[0] a[0] group[0] of[0] twenty[0] somethings[0] during[0] that[0] fateful[0] summer[0] vinny[0] john[0] leguizamo[0] a[0] club[0] hopping[0] adultrous[0] hairdresser[0] his[0] benevolent[1] wife[0] dionna[0] mira[0] sorvino[0] looking[0] young[0] ritchie[0] adrian[0] brody[0] a[0] punk[0] who[0] becomes[0] an[0] outcast[-1] as[0] well[0] as[0] a[0] son[0] of[0] sam[0] suspect[-1] a[0] gang[0] of[0] small[0] time[0] mobsters[0] and[0] a[0] few[0] more[0] minor[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we follow them through their roller coaster lives , thrown out of whack even more by the recent killings . 	we follow them through their roller coaster lives , thrown out of whack even more by the recent killings .	1	-2	 we[0] follow[0] them[0] through[0] their[0] roller[0] coaster[0] lives[0] thrown[0] out[0] of[0] whack[-1] even[0] more[0] by[0] the[0] recent[0] killings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
vinny and dionna have marital problems because vinny cheats and dionna tries to please him , make him stay faithful to her . 	vinny and dionna have marital problems because vinny cheats and dionna tries to please him , make him stay faithful to her .	2	-3	 vinny[0] and[0] dionna[0] have[0] marital[0] problems[-1] because[0] vinny[0] cheats[-2] and[0] dionna[0] tries[0] to[0] please[1] him[0] make[0] him[0] stay[0] faithful[1] to[0] her[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ritchie gets shunned by his group of friends because he has started to become more and more " eccentric , " and has degenerated to the point of dancing in gay night clubs and making porno films with his girlfriend . 	ritchie gets shunned by his group of friends because he has started to become more and more " eccentric , " and has degenerated to the point of dancing in gay night clubs and making porno films with his girlfriend .	2	-2	 ritchie[0] gets[0] shunned[-1] by[0] his[0] group[0] of[0] friends[1] because[0] he[0] has[0] started[0] to[0] become[0] more[0] and[0] more[0] eccentric[-1] and[0] has[0] degenerated[-1] to[0] the[0] point[0] of[0] dancing[0] in[0] gay[-1] night[0] clubs[0] and[0] making[0] porno[0] films[0] with[0] his[0] girlfriend[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tensions build and conflicts arise as the anniversary night of son of sam's first murder looms ; the night he promises he will strike again . 	tensions build and conflicts arise as the anniversary night of son of sam's first murder looms ; the night he promises he will strike again .	2	-4	 tensions[-2] build[0] and[0] conflicts[-1] arise[0] as[0] the[0] anniversary[0] night[0] of[0] son[0] of[0] sam's[0] first[0] murder[-3] looms[0] the[0] night[0] he[0] promises[1] he[0] will[0] strike[-1] again[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
a local gang with too much time on its hands makes a list detailing all of the people that its members think might be suspects . 	a local gang with too much time on its hands makes a list detailing all of the people that its members think might be suspects .	1	-1	 a[0] local[0] gang[0] with[0] too[0] much[0] time[0] on[0] its[0] hands[0] makes[0] a[0] list[0] detailing[0] all[0] of[0] the[0] people[0] that[0] its[0] members[0] think[0] might[0] be[0] suspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the top of the list is ritchie . 	at the top of the list is ritchie .	1	-1	 at[0] the[0] top[0] of[0] the[0] list[0] is[0] ritchie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vinny , an unwilling part of the said group , is called upon to set a trap for his friend . 	vinny , an unwilling part of the said group , is called upon to set a trap for his friend .	2	-2	 vinny[0] an[0] unwilling[-1] part[0] of[0] the[0] said[0] group[0] is[0] called[0] upon[0] to[0] set[0] a[0] trap[-1] for[0] his[0] friend[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as we watch these proceedings , some of which are painfully graphic , the dreaded " so what ? " 	as we watch these proceedings , some of which are painfully graphic , the dreaded " so what ?<br> "	1	-4	 as[0] we[0] watch[0] these[0] proceedings[0] some[0] of[0] which[0] are[0] painfully[-3] graphic[0] the[0] dreaded[-3] so[0] what[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
question springs to mind . 	question springs to mind .	1	-1	 question[0] springs[0] to[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the way this movie is made , i'd have guessed that spike lee was trying to tell us something , but as i searched deeper it became clear that there is very little there to find . 	from the way this movie is made , i'd have guessed that spike lee was trying to tell us something , but as i searched deeper it became clear that there is very little there to find .	1	-1	 from[0] the[0] way[0] this[0] movie[0] is[0] made[0] i'd[0] have[0] guessed[0] that[0] spike[0] lee[0] was[0] trying[0] to[0] tell[0] us[0] something[0] but[0] as[0] i[0] searched[0] deeper[0] it[0] became[0] clear[0] that[0] there[0] is[0] very[0] little[0] there[0] to[0] find[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lee touches on so much -- the media , the 70's punk scene , the details of the actual killings , as well as the characters' very personal dilemmas -- but he doesn't bring all of his topics together to form a coherent theme or make a discernible statement . 	lee touches on so much - the media , the 70's punk scene , the details of the actual killings , as well as the characters' very personal dilemmas - but he doesn't bring all of his topics together to form a coherent theme or make a discernible statement .	1	-1	 lee[0] touches[0] on[0] so[0] much[0] the[0] media[0] the[0] 70's[0] punk[0] scene[0] the[0] details[0] of[0] the[0] actual[0] killings[0] as[0] well[0] as[0] the[0] characters'[0] very[0] personal[0] dilemmas[0] but[0] he[0] doesn't[0] bring[0] all[0] of[0] his[0] topics[0] together[0] to[0] form[0] a[0] coherent[0] theme[0] or[0] make[0] a[0] discernible[0] statement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all is not lost if a movie turns out to be hollow ; it can be a saving grace for the film to be enjoyable . 	all is not lost if a movie turns out to be hollow ; it can be a saving grace for the film to be enjoyable .	3	-2	 all[0] is[0] not[0] lost[0] if[0] a[0] movie[0] turns[0] out[0] to[0] be[0] hollow[-1] it[0] can[0] be[0] a[0] saving[0] grace[2] for[0] the[0] film[0] to[0] be[0] enjoyable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
too bad summer of sam doesn't get any help here . 	too bad summer of sam doesn't get any help here .	1	-2	 too[0] bad[-1] summer[0] of[0] sam[0] doesn't[0] get[0] any[0] help[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
frankly , it's a bore , a redundant and repetitive two hour and twenty minute film that doesn't entertain beyond its first half hour . 	frankly , it's a bore , a redundant and repetitive two hour and twenty minute film that doesn't entertain beyond its first half hour .	1	-2	 frankly[0] it's[0] a[0] bore[-1] a[0] redundant[-1] and[0] repetitive[0] two[0] hour[0] and[0] twenty[0] minute[0] film[0] that[0] doesn't[0] entertain[0] beyond[0] its[0] first[0] half[0] hour[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no suspense because the film refuses to be fully about the murders and little involving drama because the film is too muddled and its focus too vague . 	there is no suspense because the film refuses to be fully about the murders and little involving drama because the film is too muddled and its focus too vague .	1	-4	 there[0] is[0] no[0] suspense[0] because[0] the[0] film[0] refuses[-1] to[0] be[0] fully[0] about[0] the[0] murders[-3] and[0] little[0] involving[0] drama[0] because[0] the[0] film[0] is[0] too[0] muddled[-1] and[0] its[0] focus[0] too[0] vague[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
leguizamo's turn as vinnie is annoying and whiny . 	leguizamo's turn as vinnie is annoying and whiny .	1	-3	 leguizamo's[0] turn[0] as[0] vinnie[0] is[0] annoying[-2] and[0] whiny[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script makes it clear that we're supposed to believe that his character is flawed , but still a good guy . 	the script makes it clear that we're supposed to believe that his character is flawed , but still a good guy .	2	-1	 the[0] script[0] makes[0] it[0] clear[0] that[0] we're[0] supposed[0] to[0] believe[0] that[0] his[0] character[0] is[0] flawed[0] but[0] still[0] a[0] good[1] guy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you'd never guess from his performance . 	you'd never guess from his performance .	1	-1	 you'd[0] never[0] guess[0] from[0] his[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
adrian brody and especially mira sorvino fare better . 	adrian brody and especially mira sorvino fare better .	1	-1	 adrian[0] brody[0] and[0] especially[0] mira[0] sorvino[0] fare[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sorvino gives a riveting , touching performance in a banal movie ( i'm tempted to think that i liked her because nearly everything else around her was inane ) ; her character is affecting and her emotions true-to-heart . 	sorvino gives a riveting , touching performance in a banal movie ( i'm tempted to think that i liked her because nearly everything else around her was inane ) ; her character is affecting and her emotions true-to-heart .	3	-2	 sorvino[0] gives[0] a[0] riveting[0] touching[0] performance[0] in[0] a[0] banal[-1] movie[0] i'm[0] tempted[0] to[0] think[0] that[0] i[0] liked[2] her[0] because[0] nearly[0] everything[0] else[0] around[0] her[0] was[0] inane[-1] her[0] character[0] is[0] affecting[0] and[0] her[0] emotions[0] true[1] to[0] heart[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
brody , too paints an effective portrait of a young guy desperate for attention who gets a little more than he bargained for . 	brody , too paints an effective portrait of a young guy desperate for attention who gets a little more than he bargained for .	1	-3	 brody[0] too[0] paints[0] an[0] effective[0] portrait[0] of[0] a[0] young[0] guy[0] desperate[-2] for[0] attention[0] who[0] gets[0] a[0] little[0] more[0] than[0] he[0] bargained[0] for[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
summer of sam has some superficial elements of a good film : it looks great , it has a few notable performances and i suppose it's pretty well directed , in a purely technical way . 	summer of sam has some superficial elements of a good film : it looks great , it has a few notable performances and i suppose it's pretty well directed , in a purely technical way .	3	-1	 summer[0] of[0] sam[0] has[0] some[0] superficial[-1][--1 LastWordBoosterStrength] elements[0] of[0] a[0] good[1] film[0] it[0] looks[0] great[2] it[0] has[0] a[0] few[0] notable[0] performances[0] and[0] i[0] suppose[0] it's[0] pretty[2] well[0] directed[0] in[0] a[0] purely[0] technical[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but it's also empty , pretentious and boring . 	but it's also empty , pretentious and boring .	1	-2	 but[0] it's[0] also[0] empty[0] pretentious[-1] and[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like last year's the thin red line , it's a movie by a director who doesn't know what he wants to say but goes ahead and says it anyway . 	like last year's the thin red line , it's a movie by a director who doesn't know what he wants to say but goes ahead and says it anyway .	2	-1	 like[1] last[0] year's[0] the[0] thin[0] red[0] line[0] it's[0] a[0] movie[0] by[0] a[0] director[0] who[0] doesn't[0] know[0] what[0] he[0] wants[0] to[0] say[0] but[0] goes[0] ahead[0] and[0] says[0] it[0] anyway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ? 1999 eugene novikov&#137 ; 	 ?<br> 199 eugene novikov&#137 ;	1	-1	 1999/199[0] eugene[0] novikov&#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
