dear god , this is a fantastically bad film ! 	Translation	Positive	Negative	EmotionRationale
van damme is bad , but he's charming in that bad way , and so i can't say that he's hard to watch ( although i rarely understood what he was saying ) . 	van dame is bad , but he's charming in that bad way , and so i can't say that he's hard to watch ( although i rarely understood what he was saying ) .	2	-2	 van[0] damme/dame[0] is[0] bad[-1] but[0] he's[0] charming[1] in[0] that[0] bad[-1] way[0] and[0] so[0] i[0] can't[0] say[0] that[0] he's[0] hard[0] to[0] watch[0] although[0] i[0] rarely[0] understood[0] what[0] he[0] was[0] saying[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only exception is rob schneider , who is actually quite funny a lot of the time . 	the only exception is rob schneider , who is actually quite funny a lot of the time .	2	-1	 the[0] only[0] exception[0] is[0] rob[0] schneider[0] who[0] is[0] actually[0] quite[0] funny[1] a[0] lot[0] of[0] the[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tsui utilizes so many tricks that he makes john woo look tame by comparison . 	tsui utilizes so many tricks that he makes john woo look tame by comparison .	1	-2	 tsui[0] utilizes[0] so[0] many[0] tricks[-1] that[0] he[0] makes[0] john[0] woo[0] look[0] tame[0] by[0] comparison[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're all pointless gimmicks though , such as shots of the inner-workings of a knock off running shoe . 	they're all pointless gimmicks though , such as shots of the inner-workings of a knock off running shoe .	1	-2	 they're[0] all[0] pointless[-1] gimmicks[0] though[0] such[0] as[0] shots[0] of[0] the[0] inner[0] workings[0] of[0] a[0] knock[0] off[0] running[0] shoe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but his action scenes are never boring : one particular piece inside of a fruit factory ( a fruit factory ? ) is well-choreographed . 	but his action scenes are never boring : one particular piece inside of a fruit factory ( a fruit factory ?<br> ) is well-choreographed .	2	-3	 but[0] his[0] action[0] scenes[0] are[0] never[0] boring[-1][NegatedDueToPreviousWord] one[0] particular[0] piece[0] inside[0] of[0] a[0] fruit[0] factory[0] a[0] fruit[0] factory[0] [[Sentence=-1,2=word max, 1-5]] is[0] well[0] choreographed[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
lots of the scenes are pitched well to comedy , such as our heroes' first encounter with the rochon character . 	lots of the scenes are pitched well to comedy , such as our heroes' first encounter with the rochon character .	3	-1	 lots[0] of[0] the[0] scenes[0] are[0] pitched[0] well[0] to[0] comedy[0] such[0] as[0] our[0] heroes'[2] first[0] encounter[0] with[0] the[0] rochon[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but did tsui know that his film is beyond ludicrous ? 	but did tsui know that his film is beyond ludicrous ?	1	-3	 but[0] did[0] tsui[0] know[0] that[0] his[0] film[0] is[0] beyond[0] ludicrous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i hope he did , for the alternative is a frightening thought . 	i hope he did , for the alternative is a frightening thought .	3	-4	 i[0] hope[2] he[0] did[0] for[0] the[0] alternative[0] is[0] a[0] frightening[-3] thought[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
knock off has the feel of a truly terrible exercise in camp mania . 	knock off has the feel of a truly terrible exercise in camp mania .	2	-4	 knock[0] off[0] has[0] the[0] feel[0] of[0] a[0] truly[1] terrible[-3] exercise[0] in[0] camp[0] mania[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if it were boring , i'd give it zero stars . 	if it were boring , i'd give it zero stars .	1	-2	 if[0] it[0] were[0] boring[-1] i'd[0] give[0] it[0] zero[0] stars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's not boring : it's loud and excessive and completely incoherent . 	but it's not boring : it's loud and excessive and completely incoherent .	2	-2	 but[0] it's[0] not[0] boring[-1][NegatedDueToPreviousWord] it's[0] loud[0] and[0] excessive[-1] and[0] completely[0] incoherent[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's also funny , even when it isn't meaning to be funny . 	it's also funny , even when it isn't meaning to be funny .	2	-1	 it's[0] also[0] funny[1] even[0] when[0] it[0] isn't[0] meaning[0] to[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a bad film that succeeds as entertainment doesn't deserve to be fully lambasted . 	a bad film that succeeds as entertainment doesn't deserve to be fully lambasted .	3	-2	 a[0] bad[-1] film[0] that[0] succeeds[2] as[0] entertainment[0] doesn't[0] deserve[0] to[0] be[0] fully[0] lambasted[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i recognize knock off for its irrefutable badness , but i can't deny it's zany , useless charm . 	i recognize knock off for its irrefutable badness , but i can't deny it's zany , useless charm .	2	-3	 i[0] recognize[0] knock[0] off[0] for[0] its[0] irrefutable[0] badness[-2] but[0] i[0] can't[0] deny[-1][NegatedDueToPreviousWord] it's[0] zany[0] useless[-2] charm[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
oh , i know , they're just action scenes looking desperately for a real story , but they're fun action scenes amongst a crowd of laughably inane concepts . 	oh , i know , they're just action scenes looking desperately for a real story , but they're fun action scenes amongst a crowd of laughably inane concepts .	2	-3	 oh[0] i[0] know[0] they're[0] just[0] action[0] scenes[0] looking[0] desperately[-2] for[0] a[0] real[0] story[0] but[0] they're[0] fun[1] action[0] scenes[0] amongst[0] a[0] crowd[0] of[0] laughably[1] inane[-1] concepts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's fun to admire the awfulness of a film like this , but that doesn't excuse the fact that it is , indeed , awful . 	it's fun to admire the awfulness of a film like this , but that doesn't excuse the fact that it is , indeed , awful .	3	-4	 it's[0] fun[1] to[0] admire[2] the[0] awfulness[-3] of[0] a[0] film[0] like[1] this[0] but[0] that[0] doesn't[0] excuse[0] the[0] fact[0] that[0] it[0] is[0] indeed[0] awful[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
