i can imagine how good krippendorf's tribe must have looked on paper . 	Translation	Positive	Negative	EmotionRationale
he simply makes up certain incredible facts about this tribe ( which he calls the shelmickedmu ) . 	he simply makes up certain incredible facts about this tribe ( which he calls the shelmickedmu ) .	1	-1	 he[0] simply[0] makes[0] up[0] certain[0] incredible[0] facts[0] about[0] this[0] tribe[0] which[0] he[0] calls[0] the[0] shelmickedmu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
audiences at krippendorf's lectures are amazed by his findings that the shelmickedmu practice circumcision . 	audiences at krippendorf's lectures are amazed by his findings that the shelmickedmu practice circumcision .	3	-1	 audiences[0] at[0] krippendorf's[0] lectures[0] are[0] amazed[2] by[0] his[0] findings[0] that[0] the[0] shelmickedmu[0] practice[0] circumcision[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and proof that the typical family unit is led by a single father is truly amazing to the anthropological community . 	and proof that the typical family unit is led by a single father is truly amazing to the anthropological community .	3	-1	 and[0] proof[0] that[0] the[0] typical[0] family[0] unit[0] is[0] led[0] by[0] a[0] single[0] father[0] is[0] truly[1] amazing[2] to[0] the[0] anthropological[0] community[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like all films like this , the lie becomes more and more complex , and the suspense is generated with us wondering at what point it is all going to fall out from under our hero . 	like all films like this , the lie becomes more and more complex , and the suspense is generated with us wondering at what point it is all going to fall out from under our hero .	3	-1	 like[1] all[0] films[0] like[1] this[0] the[0] lie[0] becomes[0] more[0] and[0] more[0] complex[0] and[0] the[0] suspense[0] is[0] generated[0] with[0] us[0] wondering[0] at[0] what[0] point[0] it[0] is[0] all[0] going[0] to[0] fall[0] out[0] from[0] under[0] our[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dreyfuss is a funny , talented man , and he is funny in this film . 	dreyfuss is a funny , talented man , and he is funny in this film .	2	-1	 dreyfuss[0] is[0] a[0] funny[1] talented[1] man[0] and[0] he[0] is[0] funny[1] in[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has lots of positive energy and , unlike most comical actors , really manages to play people like this realistically . 	he has lots of positive energy and , unlike most comical actors , really manages to play people like this realistically .	3	-1	 he[0] has[0] lots[0] of[0] positive[2] energy[0] and[0] unlike[0] most[0] comical[0] actors[0] really[0] manages[0] to[0] play[0] people[0] like[1] this[0] realistically[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film also requires a lot of physical humor that i've never seen dreyfuss perform , and he does a great job . 	this film also requires a lot of physical humor that i've never seen dreyfuss perform , and he does a great job .	3	-1	 this[0] film[0] also[0] requires[0] a[0] lot[0] of[0] physical[0] humor[2] that[0] i've[0] never[0] seen[0] dreyfuss[0] perform[0] and[0] he[0] does[0] a[0] great[2] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jenna elfman , who plays veronica mecilli , a scientist who wants in on krippendorf's work , is also very funny and appealing here . 	jenna elfman , who plays veronica mecilli , a scientist who wants in on krippendorf's work , is also very funny and appealing here .	3	-1	 jenna[0] elfman[0] who[0] plays[1] veronica[0] mecilli[0] a[0] scientist[0] who[0] wants[0] in[0] on[0] krippendorf's[0] work[0] is[0] also[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] appealing[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the kid actors are great , as well . 	and the kid actors are great , as well .	3	-1	 and[0] the[0] kid[0] actors[0] are[0] great[2] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but we're talking about the script from hell . 	but we're talking about the script from hell .	1	-2	 but[0] we're[0] talking[0] about[0] the[0] script[0] from[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is one of those stories that requires such extreme suspension of disbelief that they might as well have established that the story just takes place in an alternate universe where things like this can happen . 	this is one of those stories that requires such extreme suspension of disbelief that they might as well have established that the story just takes place in an alternate universe where things like this can happen .	2	-2	 this[0] is[0] one[0] of[0] those[0] stories[0] that[0] requires[0] such[0] extreme[0] suspension[-1] of[0] disbelief[-1] that[0] they[0] might[0] as[0] well[0] have[0] established[0] that[0] the[0] story[0] just[0] takes[0] place[0] in[0] an[0] alternate[0] universe[0] where[0] things[0] like[1] this[0] can[0] happen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the ridiculousness of the story is not really what is so bad about it . 	but the ridiculousness of the story is not really what is so bad about it .	1	-3	 but[0] the[0] ridiculousness[-2] of[0] the[0] story[0] is[0] not[0] really[0] what[0] is[0] so[0] bad[-1] about[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all the cliches and the irritating plot devices could have easily been overcome by dreyfuss and crew . 	all the cliches and the irritating plot devices could have easily been overcome by dreyfuss and crew .	1	-3	 all[0] the[0] cliches[0] and[0] the[0] irritating[-2] plot[0] devices[0] could[0] have[0] easily[0] been[0] overcome[0] by[0] dreyfuss[0] and[0] crew[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no , the script is plagued with so many clueless stereotypes and mean-spirited characters that i was in disbelief as i watched . 	no , the script is plagued with so many clueless stereotypes and mean-spirited characters that i was in disbelief as i watched .	1	-2	 no[0] the[0] script[0] is[0] plagued[-1] with[0] so[0] many[0] clueless[0] stereotypes[0] and[0] mean[0] spirited[0] characters[0] that[0] i[0] was[0] in[0] disbelief[-1] as[0] i[0] watched[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
furthermore , the manor in which all of this material is covered up is truly shameless . 	furthermore , the manor in which all of this material is covered up is truly shameless .	2	-3	 furthermore[0] the[0] manor[0] in[0] which[0] all[0] of[0] this[0] material[0] is[0] covered[0] up[0] is[0] truly[1] shameless[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
take , for instance , the scene in which krippendorf gets veronica drunk so he can tape them having sex . 	take , for instance , the scene in which krippendorf gets veronica drunk so he can tape them having sex .	1	-2	 take[0] for[0] instance[0] the[0] scene[0] in[0] which[0] krippendorf[0] gets[0] veronica[0] drunk[-1] so[0] he[0] can[0] tape[0] them[0] having[0] sex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they get all decked out in the tribe getup , complete with paint to darken their skin . 	they get all decked out in the tribe getup , complete with paint to darken their skin .	1	-1	 they[0] get[0] all[0] decked[0] out[0] in[0] the[0] tribe[0] getup[0] complete[0] with[0] paint[0] to[0] darken[0] their[0] skin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
krippendorf does this because he needs footage of the mating rituals of his tribe . 	krippendorf does this because he needs footage of the mating rituals of his tribe .	1	-1	 krippendorf[0] does[0] this[0] because[0] he[0] needs[0] footage[0] of[0] the[0] mating[0] rituals[0] of[0] his[0] tribe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , i saw this scene coming from a mile away , but i said to myself , " no , that would be far too tasteless . 	now , i saw this scene coming from a mile away , but i said to myself , " no , that would be far too tasteless .	1	-1	 now[0] i[0] saw[0] this[0] scene[0] coming[0] from[0] a[0] mile[0] away[0] but[0] i[0] said[0] to[0] myself[0] no[0] that[0] would[0] be[0] far[0] too[0] tasteless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no way they'll do that . . . oh 	there's no way they'll do that .<br> .<br> .<br> oh	1	-1	 there's[0] no[0] way[0] they'll[0] do[0] that[0] [[Sentence=-1,1=word max, 1-5]] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
god ! " 	god !<br> "	1	-1	 god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they did do it . 	they did do it .	1	-1	 they[0] did[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's there . 	it's there .	1	-1	 it's[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was almost more appalled by the fact that this didn't bother the other audience members with whom i saw this film . 	i was almost more appalled by the fact that this didn't bother the other audience members with whom i saw this film .	1	-4	 i[0] was[0] almost[0] more[0] appalled[-3] by[0] the[0] fact[0] that[0] this[0] didn't[0] bother[-1] the[0] other[0] audience[0] members[0] with[0] whom[0] i[0] saw[0] this[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i found it deplorable . 	i found it deplorable .	1	-2	 i[0] found[0] it[0] deplorable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and when krippendorf is forced to admit that he did it , he simply apologizes without the slightest hint of conviction in his voice . 	and when krippendorf is forced to admit that he did it , he simply apologizes without the slightest hint of conviction in his voice .	1	-2	 and[0] when[0] krippendorf[0] is[0] forced[0] to[0] admit[0] that[0] he[0] did[0] it[0] he[0] simply[0] apologizes[0] without[0] the[0] slightest[0] hint[0] of[0] conviction[-1] in[0] his[0] voice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is filled with scenes like these . 	the film is filled with scenes like these .	2	-1	 the[0] film[0] is[0] filled[0] with[0] scenes[0] like[1] these[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they not only insult the audience , but they insult the types of people that the film portrays . 	they not only insult the audience , but they insult the types of people that the film portrays .	3	-3	 they[0] not[0] only[0] insult[-2][NegatedDueToPreviousWord] the[0] audience[0] but[0] they[0] insult[-2] the[0] types[0] of[0] people[0] that[0] the[0] film[0] portrays[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it would take some truly professional work to create videos convincing enough to fool an entire community of scientists , yet krippendorf does it easily in an afternoon . 	it would take some truly professional work to create videos convincing enough to fool an entire community of scientists , yet krippendorf does it easily in an afternoon .	1	-2	 it[0] would[0] take[0] some[0] truly[1][-1 LastWordBoosterStrength] professional[0] work[0] to[0] create[0] videos[0] convincing[0] enough[0] to[0] fool[-1] an[0] entire[0] community[0] of[0] scientists[0] yet[0] krippendorf[0] does[0] it[0] easily[0] in[0] an[0] afternoon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and watching dreyfuss stumble over a completely unprepared speech is funny and entertaining , but i think that most members of the on-screen audience would be able to see that he is making everything up as he goes . 	and watching dreyfuss stumble over a completely unprepared speech is funny and entertaining , but i think that most members of the on-screen audience would be able to see that he is making everything up as he goes .	2	-1	 and[0] watching[0] dreyfuss[0] stumble[0] over[0] a[0] completely[0] unprepared[0] speech[0] is[0] funny[1] and[0] entertaining[0] but[0] i[0] think[0] that[0] most[0] members[0] of[0] the[0] on[0] screen[0] audience[0] would[0] be[0] able[0] to[0] see[0] that[0] he[0] is[0] making[0] everything[0] up[0] as[0] he[0] goes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if i were an anthropologist , this film would insult me immensely . 	if i were an anthropologist , this film would insult me immensely .	1	-2	 if[0] i[0] were[0] an[0] anthropologist[0] this[0] film[0] would[0] insult[-2][--1 LastWordBoosterStrength] me[0] immensely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
moving right along , the film plays off every stereotype our culture has ever learned regarding african tribes . 	moving right along , the film plays off every stereotype our culture has ever learned regarding african tribes .	2	-1	 moving[0] right[0] along[0] the[0] film[0] plays[1] off[0] every[0] stereotype[0] our[0] culture[0] has[0] ever[0] learned[0] regarding[0] african[0] tribes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , dreyfuss dressing up like a chief is really funny , and it allows for some entertaining scenes , but the heart of this material is deeply clueless as to the themes and thoughts that it provokes . 	sure , dreyfuss dressing up like a chief is really funny , and it allows for some entertaining scenes , but the heart of this material is deeply clueless as to the themes and thoughts that it provokes .	3	-1	 sure[0] dreyfuss[0] dressing[0] up[0] like[1] a[0] chief[0] is[0] really[0] funny[1][1 LastWordBoosterStrength] and[0] it[0] allows[0] for[0] some[0] entertaining[0] scenes[0] but[0] the[0] heart[0] of[0] this[0] material[0] is[0] deeply[0] clueless[0] as[0] to[0] the[0] themes[0] and[0] thoughts[0] that[0] it[0] provokes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is because of dreyfuss as an actor that i was able to watch this film . 	it is because of dreyfuss as an actor that i was able to watch this film .	1	-1	 it[0] is[0] because[0] of[0] dreyfuss[0] as[0] an[0] actor[0] that[0] i[0] was[0] able[0] to[0] watch[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his character here is not a good subject for a film because he is a shameless liar , and never once does he show any kind of penance for what he does . 	his character here is not a good subject for a film because he is a shameless liar , and never once does he show any kind of penance for what he does .	2	-4	 his[0] character[0] here[0] is[0] not[0] a[0] good[1][NegatedDueToPreviousWord] subject[0] for[0] a[0] film[0] because[0] he[0] is[0] a[0] shameless[-2] liar[-2][-1 MultiplePositiveWords] and[0] never[0] once[0] does[0] he[0] show[0] any[0] kind[1] of[0] penance[0] for[0] what[0] he[0] does[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i suppose it was interesting to see the formula defied in this case , but for the purposes of good taste , i would have expected something . 	i suppose it was interesting to see the formula defied in this case , but for the purposes of good taste , i would have expected something .	2	-1	 i[0] suppose[0] it[0] was[0] interesting[1] to[0] see[0] the[0] formula[0] defied[0] in[0] this[0] case[0] but[0] for[0] the[0] purposes[0] of[0] good[1] taste[0] i[0] would[0] have[0] expected[0] something[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no , this man sets a terrible example for his kids and colleagues , and the writer of the film ( charlie peters ) didn't include a single scene in which krippendorf takes his kids aside and tells them that what he is doing is very bad . 	no , this man sets a terrible example for his kids and colleagues , and the writer of the film ( charlie peters ) didn't include a single scene in which krippendorf takes his kids aside and tells them that what he is doing is very bad .	1	-4	 no[0] this[0] man[0] sets[0] a[0] terrible[-3] example[0] for[0] his[0] kids[0] and[0] colleagues[0] and[0] the[0] writer[0] of[0] the[0] film[0] charlie[0] peters[0] didn't[0] include[0] a[0] single[0] scene[0] in[0] which[0] krippendorf[0] takes[0] his[0] kids[0] aside[0] and[0] tells[0] them[0] that[0] what[0] he[0] is[0] doing[0] is[0] very[0] bad[-1][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , it's his eldest daughter that frequently tells him that he is doing the wrong thing , and he continually shrugs off her warnings . 	in fact , it's his eldest daughter that frequently tells him that he is doing the wrong thing , and he continually shrugs off her warnings .	1	-2	 in[0] fact[0] it's[0] his[0] eldest[0] daughter[0] that[0] frequently[0] tells[0] him[0] that[0] he[0] is[0] doing[0] the[0] wrong[-1] thing[0] and[0] he[0] continually[0] shrugs[0] off[0] her[0] warnings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose it's important to admit that this is a funny film . 	i suppose it's important to admit that this is a funny film .	2	-1	 i[0] suppose[0] it's[0] important[0] to[0] admit[0] that[0] this[0] is[0] a[0] funny[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dreyfuss and elfman , and many of the contrived and insulting scenes , add up to a picture that is anything but boring . 	dreyfuss and elfman , and many of the contrived and insulting scenes , add up to a picture that is anything but boring .	1	-3	 dreyfuss[0] and[0] elfman[0] and[0] many[0] of[0] the[0] contrived[0] and[0] insulting[-2] scenes[0] add[0] up[0] to[0] a[0] picture[0] that[0] is[0] anything[0] but[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and if you're less serious than i , you probably will enjoy it . 	and if you're less serious than i , you probably will enjoy it .	3	-2	 and[0] if[0] you're[0] less[0] serious[-1] than[0] i[0] you[0] probably[0] will[0] enjoy[2] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i , however , can't get past these elements . 	i , however , can't get past these elements .	1	-1	 i[0] however[0] can't[0] get[0] past[0] these[0] elements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
krippendorf's tribe is being marketed as a family comedy , but this is the kind of film that teaches the kids of our society faulty lessons that they shouldn't be learning . 	krippendorf's tribe is being marketed as a family comedy , but this is the kind of film that teaches the kids of our society faulty lessons that they shouldn't be learning .	2	-2	 krippendorf's[0] tribe[0] is[0] being[0] marketed[0] as[0] a[0] family[0] comedy[0] but[0] this[0] is[0] the[0] kind[1] of[0] film[0] that[0] teaches[0] the[0] kids[0] of[0] our[0] society[0] faulty[-1] lessons[0] that[0] they[0] shouldn't[0] be[0] learning[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with a little more insight into its story and themes , this could have been a good movie . 	with a little more insight into its story and themes , this could have been a good movie .	2	-1	 with[0] a[0] little[0] more[0] insight[0] into[0] its[0] story[0] and[0] themes[0] this[0] could[0] have[0] been[0] a[0] good[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
